name,category,price_range,neighborhood,info,ratings,ratings_histogram,Claimed?,HasWebsite,reviews,first_review,last_review,permanently_closed,AvgLast_compound,AvgLast_star,AvgLast_subjectivity,AvgReviewN,Last_compound_coef,Last_compound_intrcpt,Last_star_coef,Last_star_intrcpt,Last_subjectivity_coef,Last_subjectivity_intrcpt
2 Sparrows,"Breakfast & Brunch,American (Traditional)",$11-30,Lincoln Park,"[{'Takes Reservations': 'No'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Trendy'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'Free'}, {'Has TV': 'No'}, {'Caters': 'No'}]",3.0,"[{5: 63}, {4: 94}, {3: 67}, {2: 78}, {1: 34}]",1,1,336.0,2011-10-08,2015-02-02,1,0.745941095890411,3.4794520547945207,0.5593300165517606,67.2,-0.0005551972464525318,0.8447281785503005,-2.3373191324249762e-05,3.483610881946722,-9.928679542594391e-05,0.5769962656721385
Coq D’or Restaurant & Lounge,"Lounges,American (Traditional)",$11-30,"Near North Side, Streeterville","[{'Takes Reservations': 'No'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Accepts Android Pay': 'No'}, {'Accepts Bitcoin': 'No'}, {'Good For': 'Late Night'}, {'Parking': 'Valet'}, {'Bike Parking': 'No'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Dressy'}, {'Ambience': 'Romantic, Classy, Upscale'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'No'}]",3.5,"[{5: 39}, {4: 41}, {3: 24}, {2: 16}, {1: 11}]",1,0,131.0,2006-06-23,2017-07-31,0,,,,,,,,,,
Cafe Laguardia,"Cuban,Latin American",$11-30,Bucktown,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Street'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}]",3.5,"[{5: 95}, {4: 187}, {3: 81}, {2: 43}, {1: 27}]",1,1,433.0,2005-08-19,2014-06-08,1,,,,,,,,,,
Luciano’s on Rush,Italian,,Near North Side,[],3.5,"[{5: 1}, {4: 3}, {3: 0}, {2: 0}, {1: 1}]",0,0,5.0,2005-11-02,2015-10-15,1,,,,,,,,,,
Cafe Matou,French,$31-60,Bucktown,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'No'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Street'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Dressy'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}]",4.0,"[{5: 30}, {4: 44}, {3: 15}, {2: 8}, {1: 2}]",1,1,99.0,2005-11-08,2011-04-12,1,,,,,,,,,,
Cafe Chien,Coffee & Tea,Inexpensive,Albany Park,"[{'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Bike Parking': 'Yes'}, {'Wheelchair Accessible': 'No'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'Free'}, {'Caters': 'No'}, {'Good for Working': 'Yes'}, {'Gender Neutral Restrooms': 'Yes'}]",4.5,"[{5: 30}, {4: 12}, {3: 3}, {2: 1}, {1: 0}]",1,1,46.0,2015-09-24,2017-08-04,1,,,,,,,,,,
Cafe Selmarie,"Bakeries,Breakfast & Brunch,Cafes",$11-30,"Ravenswood, Lincoln Square","[{'Takes Reservations': 'No'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Good For': 'Brunch'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Beer & Wine Only'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Caters': 'Yes'}]",4.0,"[{5: 237}, {4: 272}, {3: 72}, {2: 35}, {1: 20}]",1,1,636.0,2005-07-13,2017-08-09,0,,,,,,,,,,
Caffè Baci,"Italian,Caterers,Cafes",$11-30,The Loop,"[{'Takes Reservations': 'No'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Bitcoin': 'No'}, {'Parking': 'Garage, Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}]",3.5,"[{5: 11}, {4: 14}, {3: 10}, {2: 7}, {1: 3}]",1,1,45.0,2005-09-04,2017-07-27,0,,,,,,,,,,
Caliterra,"Italian,American (Traditional)",$31-60,"Near North Side, River East","[{'Takes Reservations': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Dressy'}, {'Noise Level': 'Quiet'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Has TV': 'Yes'}]",3.5,"[{5: 5}, {4: 8}, {3: 8}, {2: 5}, {1: 2}]",0,0,28.0,2005-07-22,2013-03-10,1,,,,,,,,,,
Cambridge House Ltd,Restaurants,,"Near North Side, River East",[],3.0,"[{5: 0}, {4: 3}, {3: 1}, {2: 0}, {1: 2}]",0,0,6.0,2005-07-15,2010-08-19,1,,,,,,,,,,
