date,star,text,compound,neutral,positive,negative,subjectivity
2015-02-02,3.0,"I wanted to like this place but I really don't. I have come here three times now and I haven't yet been wowed. The food all sounds good but not strong on taste or great preparing. I would skip the hype and look for places which have both chic looks and great tastes. The juices are typically good, get those if you come here and stuff that doesn't sound like it can be messed up. Like eggs.",0.9655,0.601,0.295,0.104,0.5761904761904761
2014-12-04,5.0,"I don't understand.  How is 2 Sparrows closed?  Where am i supposed to get a Bloody Norsman and the best Chilaquiles in the city now?  I showed up over Thanksgiving break with my mom and two friends and stood at the door, confused and heart broken.  I guess I can move out of the neighborhood now.  Nothing left in Lakeview for me.",0.0926,0.758,0.111,0.131,0.39999999999999997
2014-10-07,3.0,"2 Sparrows' strength lies in its pop-tarts. With flaky and slightly savory crust and seasonal filling ranging from mushroom and goat cheese to blackberry and orange to peach, these tarts are a far cry from Kellogg's. The rest of the brunch menu is good - but not great - so if you get just one thing, make it a homemade pop-tart.",-0.6532,0.804,0.064,0.132,0.6291666666666667
2014-09-25,4.0,"My roommate and I decided to try 2 Sparrows for Sunday brunch a couple of weeks ago. Have got to say I am still basking in the afterglow. We only had to wait a short while before we were seated, but the service was a little disappointing. I asked our server about some of the dishes, and my initial indecision seemed to cause her some anxiety. So the absence of a fifth star in my rating was mainly due to her lack of assertion. My roommate and I ordered the strawberry rhubarb french toast and the chilaquiles respectively, in addition to the orange marmalade pop tart and a cinnamon roll to share. First of all, the cinnamon roll was absolutely sensational-- sweet and laced in tang from the goat cheese icing. The pop tart was also very good, though I wasn't as partial to the slightly bitter and pervasive citrus flavor as I thought I would be. While we waited for our main entrees, both the manager and the owner (who was equipped with a dustpan and broom I might add) greeted us. I was immediately impressed by their demeanors, and when they informed me that all of their ingredients were from local farms, it certainly appealed to my love of the bougie and bucolic. But now the ENTREES. My roommate's french toast was gorgeous and ample-- strawberry rhubarb jam over brioche capped by a dainty dollop of chantilly cream and almond slices. I had the most massive chilaquiles (a pair of eggs, tortilla chips in a tomatillo salsa with melted cheese, aioli and black beans. As someone who has been told to ""eat like a Polish truck driver"", I was surprised at my only being able to consume half of this gorgeous monstrosity. At $10, it was a steal.",0.9852,0.799,0.144,0.057,0.5204761904761905
2014-09-23,3.0,"Lincoln Park absolutely stinks in terms of restaurants. Everything is some ultra modern/industrial hip facade with overpriced food, so in that bleak landscape 2 Sparrows is a bit better than the average LP fake, but cut from the same cloth. The bacon maple doughnut the guy sold us on may have been made with tender loving care but it honestly didn't taste any better than something from Dunkin Doughnuts, which isn't to say it tasted bad but it was 4$ plus tax. The Benedict I had with pancetta instead of the usual ham was actually very good and if I was in the area again I might pop in for that. Service was friendly but absent minded. I had to remind the server to clear the used plates and silverware from our table because there wasn't enough room to eat our mains.",0.973,0.745,0.189,0.067,0.597
2014-09-12,2.0,"Ugh the food was wayyy too greasy and there weren't a lot of options - also kind of expensive for what you get.  I would go elsewhere, especially around that area.",-0.4215,0.906,0.0,0.094,0.8666666666666667
2014-09-01,3.0,The food was great. Chiliqulles and Eggs Florentine and French Toast for the group. Great flavors and textures. Decent price. Very good coffee (metropolis brand) The service leaves much to be desired. A waiter spilled water and other liquids on me. The most irritating thing was we got here at 10 am and they already sold out of Chile Rellenos. Seriously? Our waiter was a bit crude.,0.7003,0.723,0.168,0.108,0.5898484848484848
2014-08-26,1.0,"My sister and I were already in the area, and we decided on this place last minute after walking around the three way intersection of LP/Lakeview looking for an ""actual"" brunch spot vs the several grill/tavern/bar spots we already saw. We should have went to one of those. But hey, you live and learn, right? First, the menu selection is quite small. Second, service was pretty slow. Took a good few minutes for us to get our water first. After that, we have no service come for a while. I ordered the market quiche. I don't even like quiche, but they didn't have many veggie options, and I like to keep my mind open. Most of the crust was burnt to the point where half was almost black and definitely tasted bitter. I didn't finish it. Overall, my food was just blah and bland. I noticed the female at the table next to us ordered the same and looked just as burnt. We also overheard the couple commenting on the slow service as well. My sister ordered the beef brisket and she said it was super bland, even with loads of salt and pepper.  Only positive for me was the tangerine and ginger tea I ordered, which came out first. Usually, places only give you a cup's worth of tea, or only so much. I actually receive a full pot to myself.  We left disappointed and dissatisfied.  Don't have any interest coming back.",0.1191,0.833,0.082,0.084,0.40307088744588737
2014-08-25,4.0,"2 Sparrows is a fantastic, understated place for brunch. I'll tell you why: great food and very cheap beers. I think the cheap cans ($4) of good beer (my personal favorite is the pint size cans of vandermill's cider) is worth coming on it's own. But add to that good coffee, good bloody Mary's, good creative brunch foods, and short lines, what could be better on a Saturday or Sunday morning!",0.9785,0.628,0.34,0.033,0.6725
2014-08-25,2.0,"This place was barely just fine. Was left disappointed and unsatisifed.  Stumbled upon this place while already in the area and stopped in for breakfast. My sister and I were seated promptly. The ambiance was pretty inviting with an open and modern space. We waited quite awhile for our server to come. Luckily, a busboy had already filled our waters. I even noticed that a table seated after us was taken care of before we were. I actually saw another waitress glance over at us while we were just sitting there with our menus closed and told our waitress that we needed to be taken care of. She finally comes over and takes our order. While friendly, she didn't really check up on us. Our food also took a tad long to come out. Also, I felt a drop of water come down on my shoulder and noticed that water was dripping from the vent above me. I didn't asked to be moved as it wasn't constant, but that is something they should already be monitoring. Also, it was awkward to see a waitress in training, as she shadowed another waitress around like a puppy dog.  I had the brisket hash while my sister had the veggie quiche. To my disappointment and surprise, my hash was one of the most bland things I have ever had...and I usually think a pinch of salt is too much. I don't understand how the braised brisket had zero flavor. I even cracked a bunch of fresh pepper on there, and it was still lacking in flavor. The only flavor it did have was the pickled veggies and it contrasted the dish in a bad way. Also, they left in some fatty bits, so it was hard to chew as it was unappetizing. They also did not know how to cook the egg, as the whole thing was nearly well done and the yolk was not oozing at all. My sister's quiche, along with another's that I saw was burnt, like overly burnt on its crust. She also did not find the inside to be all that good or flavorful. Mediocre at best. The only good thing was her tangerine ginger tea, in which it came out in the whole pot and not just a cup, which was nice. Took another while for our waitress to come by to get our check, as I noticed was the same for the table next to ours, as they seemed annoyed as well. Slightly less than 'fine' food and service. Definitely not coming back.",0.9743,0.844,0.108,0.048,0.48699763593380613
2014-08-21,4.0,"Brunch with family at 2 Sparrows was a fabulous treat! My only complaint, the place is so loud; they need to figure out something with the acoustics. Delicious coffee to start my day; awesome cocktails to kickstart the day for the rest of the group - the Bloody Norseman! We started with a cinnamon roll for the table, a sweet treat for sure, they are huge, must share! I had the quiche and salad combo which was fluffy, light and absolutely delicious. My hubby and son each had the chilaquiles, one with chorizo and one with chicken, this serving is seriously more than enough for two people. They decided the chicken was the better of the two, but both were outstanding. Good service and a fabulous selection of food; this will definitely be on our ""A"" list!",0.9871,0.71,0.259,0.031,0.7642676767676768
2014-08-20,5.0,Pretty much my fav brunch place in Lincoln Park!  Shrimp and grits are my favorite! I have not been able to find a place that has better.  YUM yum yum,0.9133,0.654,0.346,0.0,0.665
2014-08-18,1.0,"My girlfriend and I came here this past Sunday for brunch around 1pm. There was only a twenty five minute wait. At first everything seemed fine. We both got the chilliquilles , hers vegitarian and mine with chicken. We also had grits. My bowl smelled funny like something was sour, but out of good faith I ate a few bites. It tasted completely sour and my chicken was brown and rock hard. I tasted my girlfriends and hers seemed fine. The server came back and I said that my food tasted sour and the chicken was bad. He proceeded to tell me that he asked if everything was ok and I didn't say anything and that I have already half eaten my mean which was not the case it wa all just mashed up and moved around. He was very rude . The manager came over and offered something else but I declined. The guy next to me got a meal that had uncooked flour in the middle, and the girl next to me had a sour dish as well. Noone was rude to them. Nothing was comped off our check, and I will never go back. This place sucked. Get it together.",-0.4458,0.817,0.094,0.089,0.41342261904761896
