date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-31,3.0,"We were staying at the Drake Hotel, so the location was convenient. We really liked the dark, pubby vibe. The bench seat that held my bottom was perhaps the most comfortable ever.  The service was slow at first, but after the party next to us left, very quick and friendly. The drink menu was not huge, but had enough of what I wanted.  We tried the pretzels for an appetizer. The pretzels themselves were average, but the Gouda dipping sauce was amazing. We tried the cod and chips and the crab cakes as entrees. The fish was very average. Being from New England, the dish was nothing incredible. I had to ask for tartar sauce and what they brought was probably store-bought. The crab cakes were also mediocre, however, the inclusion of rhubarb in the salad was interesting.  We tried the brownie for dessert, and would not do it again. It consisted of a small, soft circle that hardly registered as chocolate, with chocolate in the center, almost like a lava cake. Unfortunately this was relatively tasteless and not warm enough. The dish was topped with blackberry, raspberry, as well as dried powder from both fruits. The creme fraise ice cream was interesting.  Overall a very average place in a city filled with excellent food.",0.9832,0.82,0.148,0.032,0.5566528925619834
2017-06-18,5.0,"The Drake is our favorite hotel in the city and when we come to the city we always stay there. We love to eat and drink here! The food is excellent, especially the crab cakes and deviled eggs! We both ordered an Old Fashioned which was great. I'm surprised to read reviews about poor service because I have dined here several times and have never once had bad service! We had Scott as our waiter and he has been our waiter several times before and he always provides excellent service. I can't wait for our next trip back!",0.9634,0.742,0.21,0.049,0.5511904761904762
2017-05-18,4.0,A cozy tucked away bar inside the ground floor level of the Drake Hotel. Love the dark warm ambiance - perfect place to hideaway on a cold and windy day. Just had a cocktail so I can't attest to the food. The bartender was friendly and the live piano music was a great touch. Felt a little like going back in time.,0.9602,0.717,0.283,0.0,0.6
2017-05-15,1.0,"I Normally Like It Unless the One Grumpy BarTender's There ... Then I Leave ... he's Been there Forever, Lacks Tact & Speed and is a Distinct Buzz Kill ...",-0.5267,0.732,0.08,0.188,0.475
2017-04-22,1.0,"Walked in to place a to go order.  He seemed perturbed and said I could order room service. Why pay 6.00 delivery to come up the elevator when I'm right there?  Then he said they didn't have what I was asking for so I left.  I get to the room and call room service to ask where they serve this item that I was interested in since it was on the room service menu. They said this place??  Ok so the ONLY difference seems like the type of bread but the waiter obviously didn't want to suggest that's probably what I wanted.  I was in the food service industry and always tip the same whether it's sit down or take out since I know they work just as hard, but apparently he didn't know that nor wanted to bother, not that it should matter. Oh well, sounds like it would get higher marks from other yelpers if it wasn't for the attitude. Even cracking a smile can make a difference. After that, i don't even want to patronize this place when I do have time to dine in.  I have several more stays at this hotel so what a shame.  Had excellent and very friendly attentive service at Doc Bs just a block away.",0.93,0.805,0.126,0.069,0.46479276895943555
2017-04-10,1.0,"I was very excited to try the drinks and food at the renowned Coq D'Or but was overwhelmingly disappointed. Over $100 spent on crab cakes (ended up being $13 per cake), a ""flatbread"" that legit tasted like a frozen Totinos pizza, and two drinks. Blech. If I could give half a star I would be pleased.",0.4672,0.752,0.149,0.099,0.6652777777777777
2017-03-30,5.0,"Outstanding food, warm and hospitable service, first class historical ambiance. New family tradition to be passed on for generations.",0.7096,0.742,0.258,0.0,0.4525757575757575
2017-02-19,4.0,"So, apparently this bar served the second drink in Chicago the day prohibition ended...awesome enough to check out.  And yes it is a cool place with lots of good booze.  There was a piano player, bass player, and lounge singer that tied the experience all together.",0.7845,0.838,0.162,0.0,0.43333333333333335
2016-11-10,4.0,"An old Chicago favorite. I'm never displease when I bring an out of towner here, it's quiet and consistent. You can never go wrong with the bookbinder soup and a shrimp cocktail.",0.6761,0.834,0.166,0.0,0.5366666666666666
2016-11-06,5.0,"We stayed at the Drake for 5 nights for a rugby weekend (Ireland  beat the NewZealand All Blacks first time ever!!!).  We had dinner and drinks three nights in a row here!    It was very busy catering to a big crowd of celebrating Irishmen, live jazz Friday, piano Saturday playing the old standards, we even had a dance, great ambiance, had a great time The cocktails were excellent, the blonde lady bartender knows her craft.  Our menu favorites included the burger, cod and chips and roast chicken.  They serve late, the service is very good but casual at the same time.   If you like s traditional clubby atmosphere you will love this place.",0.9776,0.774,0.226,0.0,0.5434375
2016-11-05,5.0,"Another trip and Coq D'or continues to impress me with the ambiance, history and their incredible menu. I had the Bookbinder Soup - a fish soup in sherry broth that was simply amazing. The bread that is served with the soup is perfection. The service is always impeccable here and many of the waitstaff have been here for years. This is a tradition for every trip to Chicago and I see it happening for many more years.",0.886,0.869,0.131,0.0,0.6749999999999999
2016-10-20,2.0,"Stopped in for a drink as I was staying at the Drake. I liked the old world charm the space had with its low ceilings, wainscoting, murals and leather upholstery. I grabbed a seat at the bar and went through their cocktail list. I settled on The Troubles which was supposed to be Bushmills 16 and Nonino Amaro with an orange slice.  The bartender first tried to make the drink with Jameson's. When I pointed out that it was supposed to be Bushmills 16 he seemed perplexed and then tried to make it with bottom shelf Bushmills. I again called attention to this at which point he admitted they did not have the 16. Then maybe change your menu to reflect this or offer another top shelf whiskey of similar value. A very generous 2 stars based solely on nostalgia and overlooking indifferent, questionable and unethical service.",-0.228,0.798,0.095,0.107,0.5259259259259258
2016-10-08,5.0,Very nice lounge.  Staff wonderful.  A relaxing place to spend an hour.  Lobster deviled eggs!!!,0.8507,0.426,0.463,0.111,1.0
