date,star,text,compound,neutral,positive,negative,subjectivity
2016-10-07,5.0,Excellent good and service. Valet parking crew is top notch.,0.8126,0.455,0.545,0.0,0.7000000000000001
2015-02-22,2.0,"Sad to see that this place is closing, as I have been here several times before and have had VERY pleasant dinners here in the past. However, I can't say that this last trip here was. First off, I had to settle for my third choice on beer. Second, they delivered my fiancé's soup even before we had ordered our main courses. Lastly, the Delmonico steak that I had ordered was overdone, and the horseradish crust was terrible.  All of this on an early Sunday evening.  I did send the steak back and had a new one cooked (without the crust), which did turn out better.  My fiancé and I thought, however, that even though her food was good and they did get the steak corrected, that this meal was clearly not worth the amount of money that we paid for it. I'm hoping that in the closing weeks, that this place would return to the standard that I've experienced before, and know that they're capable of providing",0.885,0.853,0.102,0.044,0.36522727272727273
2015-02-19,4.0,The food at Carmichael's is delicious. It's a good restaurant to go to before Blackhawks and Bulls games.,0.765,0.694,0.306,0.0,0.8
2015-02-18,4.0,So sorry to see you guys are closing!! You will be missed. Thanks for all the wonderful Ribeyes and great service!!!  It's ok with me if you change your mind. :),0.9357,0.535,0.38,0.085,0.7416666666666667
2015-02-17,3.0,"Over the years, I've learned that this place has good days and bad.  Some days the experience is nearly flawless; other days I walk out feeling a bit hosed when comparing what I got with what I paid for it.  Nonetheless, it's a Chicago institution at this point, and I'm sure we'll give it more chances.",0.7645,0.743,0.2,0.058,0.6717592592592592
2015-02-16,4.0,"Can't go wrong with this place.I always get the Melb's cut a.k.a bone in Ribeye,its always Tasty,and well seasoned.Though it was not as good Today???Nice and warm staffs,Great ambiance,location is great,no problem on the parking thanks for the complimentary valet!cant beat that! And just Today 02/16/15 We've learned that they are closing in 30 days,so saddening,This place will be missed big time.",0.6214,0.698,0.178,0.124,0.4833333333333334
2015-02-06,4.0,"Carmichael's is sadly going away. I've been there several times since it is near me and that Gilt City offered deals a few times. Carmichael's wasn't famous like Gibson's or glamorous like Chicago Cut or fancy like Mastro's, but it served quite good food with decent service in a slightly neglected atmosphere. The decor seems as though it hadn't been maintained in decades. The prices were lower than most of the other steakhouses in Chicago and the menu was pretty big without losing much quality. The bone-in ribeye was better than the ones at Mastro's, Sullivan's, and Smith & Wollensky's. Supposedly they're closing because the space is going to be used for apartments. Now there will be no steakhouses in the West Loop. Anyone smell opportunity?",0.8014,0.737,0.142,0.121,0.4720238095238095
2015-01-22,3.0,"This place caters to the pre-hawks/bulls game crowd. They have free valet and they also have a shuttle to the game.  The food is pretty good, but its not out of this world. I got a New York strip and was not blown out of the water by any stretch of the imagination. It was good, but not memorable. I can say confidently that there are many better tasting steaks at the same price point throughout Chicago.  And do know that EVERYTHING is extra. You get nothing with each dish and every little thing costs more and is hardly worth it (ie asparagus).  Middle of the road at best.",0.977,0.79,0.21,0.0,0.48404882154882156
2015-01-21,4.0,"Me and hubby  had an awesome date here. My lamb was actually   better for breakfast the next morning.. but to be honest, lamb is always better the day after lol..  it wasnt crowded which was awesome..so we sat and talked and drank and ate.. #Perfect we will be back for sure",0.9408,0.745,0.255,0.0,0.6098765432098765
2015-01-20,4.0,"I've gone here twice in the past month, and both times the food was delicious. Good ambiance, great spot before Hawks/Bulls games to get a tasty meal, and there's valet parking which is nice. I've gotten the filet and the burger and both were delicious. Will definitely return!",0.9647,0.67,0.33,0.0,0.7285714285714285
