date,star,text,compound,neutral,positive,negative,subjectivity
2014-01-29,4.0,"Depressing news to see this place has closed. It was a cool little neighborhood gem with quality food for reasonable prices and friendly waitstaff. I hope the Ceres Cafe is the venture of the owners and closing this was by choice and not necessity. Good luck Ceres, wherever you are. Cheers!",0.6492,0.685,0.192,0.122,0.55
2014-01-24,2.0,"The two reasons that drew us to this place were that we had a Groupon and it's very close to where we live. As convenient as it is, I don't think we'll be returning... Don't be fooled! ...although the menu looks like it might kinda fancy, it was very basic food. The baccala' cakes was basically fried mac and cheese balls with very little flavor. In terms of flavor for everything else we ate, if you like to eat spoonfuls of salt, I highly suggest you eat here! I do enjoy adding salt to anything I'm cooking but in the end, we couldn't even finish our main courses after everything else we were eating because everything was just too salty. That being said, I think it was quite overpriced for the quality of food. The atmosphere was nice and the bar area looked cool as well - if I was in the area and wanted a drink I would probably stop here. The staff were all extremely nice, although they forgot to give us one item we ordered and charged us for it...but that's our fault for not double checking the receipt.  The only things that would really bring me back here would be my desperate need for a drink and the good conversation with the friendly staff.",0.9363,0.831,0.119,0.049,0.5256372549019608
2013-11-06,4.0,"It was dark and cold, early on a Thursday evening when we ventured out into the elements up Clark Street to Ceres Table.  We were the first people in the restaurant, and the eerie silence really matched perfectly the gloomy evening. The food, fortunately, didn't match the atmosphere.  The two of us shared the squash gnocchi as an appetizer.  I got the pork belly special, she got the veal brisket, and we shared polenta.  Everything was very flavorful and well done.  I wouldn't quite say perfect, but the flaws were pretty small (gnocchi texture was squishy not fluffy, some items were very salt-heavy, etc).  There were some highlites, notably the puree and pickled cabbage under my pork belly and the roasty farro under the brisket were really tasty and very fall-appropriate.   When I think of the other upscale options along Clark Street north of Ceres in Andersonville, I can't really think of a better one.  In reading other reviews, maybe we were lucky to be there early when it was slow to ensure good service.  We were also Groupon users, and detected no hint of discrimination from our server.  The drinks weren't outrageous, but maybe an ounce or two smaller than you'd get for the same price elsewhere.  Whew.",0.9762,0.823,0.142,0.035,0.5211412151067324
2013-11-05,2.0,"Walked out after dinner recently feeling very ambiguous about Ceres' Table. On the one hand, the quality of the food was excellent: freshness, preparation, service of waitress. However, the welcome of the chef/proprietor -- who was ubiquitous this evening -- was appalling.  The evening began as we were met by him at the door and we confessed to him that this was our first visit and ""we had always wanted to try it"".  Instead of a ""glad you're here now"", we got a surly ""well why didn't you!""  Thoroughly reprimanded for our past negligence, we were shown to our table. The proprietor proceded to bring all the courses to our table, nary a word, continuing his surliness.  Made us feel right at home, if by home you mean prison.  Only other problem was the small wine pour. At $9 a glass of a wine that is $9 a bottle in the store, the pour could have been more generous without hurting the restaurant's bottom line. A good dinner out is good food, good service, good company -- all of these are necessary and there are so many restaurants in Chicago that meet our needs.",0.975,0.8,0.16,0.04,0.6165773809523809
2013-10-27,5.0,"Ceres' Table has become so reliable for unpretentious and affordable upscale dining.  They just introduced a new fall menu, which seems unusually meat-heavy.  Pescetarians will get by all right, but strict vegetarians will struggle outside of the starters list. For carnivores, there are some real treats.  Without realizing it until it was too late, I put together a three-course meal comprised of nothing but pasta.  In retrospect, I should have started with a salad, but the reason for my final selections was that I couldn't decide between two enticing dishes. So I started with the fusilli with bolognese sauce, shiitake mushrooms, white truffle oil, and parmigiano reggiano (delicious); then my wife and I shared the pumpkin gnocchi with sweet potatoes, brussels sprouts, and garlic sauce (lovely and interesting even when omitting the pancetta).  But for my main course, I hit a grand slam:  cavatelli with wild boar, baby spinach, leeks, and pecorino.  Outstanding!  And a giant portion!  This was one of the best dishes that I've eaten in recent memory, and I brought two-thirds of it home. The dessert menu was another stumper, as we gave serious consideration to the chocolate olive oil cake, the plum tart, and the pumpkin creme brulee.  Ultimately we chose the rice pudding with poached pear and crispy almonds.  It was a satisfying end to yet another great date-night dinner.",0.9866,0.82,0.148,0.032,0.626750423489554
2013-10-18,4.0,"Ceres Table was a perfect date spot to take the boyfriend for his birthday. We went around 7:30 on a Thursday night and were seated almost immediately. The wine list features a lot of less-common Italian wines; luckily for us, the waitress knew her stuff and explained the by-the-glass options. We went with a full, but not overpowering Sangiovese.  For starters, we ordered the arancine, which I could eat as dinner themselves. They came with a buttery tomato sauce and a fresh green sauce and were stuffed with an artichoke heart. So creamy and cheesy and crispy--Think of fried Mac and cheese's elegant Italian cousin.  The menu is small. There's a definite Italian influence, but you won't find endless pasta and breadsticks. I found this kinda refreshing. I ordered the Sicilian meatloaf and the birthday boy got the ricotta gnocchi. The meatloaf was fine; it was overshadowed by the MASHED POTATOES. Seriously, some of the best I've had in a restaurant. Also, the fried onion strings were a little much; I could've used about half of them. The red wine sauce livened up the dish with some tang and echoed the traditional ketchup meatloaf topping. I didn't get a chance to try the boyfriend's gnocchi. (I wasn't about to make him share on his birthday, after all). But, he ate mushrooms. Voluntarily. That's actually a first.  The atmosphere was perfect for talking. There was a low din of noise, but nothing too rowdy. The service was great--I don't think my water glass stayed empty for more than a minute the whole night-- and we got our food pretty quickly. The price was fair for what we got, but we were even luckier since I had the groupon! The hostess was very thoughtful and came to talk with all the tables.",0.9901,0.829,0.142,0.028,0.53125
2013-09-28,2.0,Good food. Terrible service. Waitress ignored us after taking our order.  Averted her eyes to avoid being waved down. Bummer.,-0.765,0.493,0.102,0.405,0.6296296296296297
2013-09-26,2.0,"If it was for the food alone I would give them 4 stars. However, my two stars reflect my overall experience- from decor to service to price to food.  Decor: Its modern with not a lot of detail. The space is clean and inviting.  Service: Its not bad but its not great either. The server did recommend a wine pairing for my entree (white fish with spicy pepper sauce) but never came back to ask how was it. The wine was good ($10 per glass) but it was pricey and pairing wise not the best choice.  Price: We were two. We split a melon salad, ordered 2 entrees- egg plant parmesan and white fish with pepper sauce, 1 glass of red wine, 1 soda and 1 dessert. Total tab including tax and tip was $85. For the portion size and incomplete plates (see later why I call it incomplete), this is pricey.  Food: The fish was excellent, eggplant was greasy at the bottom. My biggest complaint was the portion size. For $10 salad- it was few morsels. The fish was cooked to perfection (crisp skin and flaky) but there were no sides. It was an incomplete plate for $24. The eggplant parmesan was $17 but was served in an appetizer style in a bowl with lots of marinara. My friend was very confused about how to eat with.They served 4 slices of bread which were never re-filled.  Price: For $85 we left hungry.  In conclusion, if the server were attentive (I think they are understaffed) and if the portion size was better my experience would have been 4 or even 5 stars.  Vk",0.9472,0.817,0.117,0.066,0.4087878787878788
2013-09-26,1.0,"We attended one of their special dinners (Sardinia night in May) and it was a complete disaster.  Dinner included wine, where we consistently got smaller pours then our neighboring tables.  Entree of roasted pork, for which we waited over an hour and a half, consisted of a bunch of rib bones attached to maybe 0.5 ounce of meat.  We were SOOOOO hungry at that point.  The final blow was being told that they were out of the evening's special dessert, after which we saw multiple tables who were seated hours after we were seated being served the promised course.  At that point I blew a fuse, which I RARELY do.  Then Guiseppe came by to see what's up, and he comped the meal, but the manner in which he offered the comp was more of a f*&% you, this should shut you up, rather than a ""sorry things were so bad tonight; this is the least I could do to make it up to you.""  Listen bud, I am more than happy to pay for my meal, but if someone is paying 98 pp with tax and tip, you got to deliver. Additionally notable is that the vendors of the wines did not seem to be impressed, and our favorite server was no longer around. We used to visit about monthly, but see no reason to return.",0.388,0.849,0.079,0.072,0.6070105820105821
2013-09-19,4.0,"We have been here twice.   The second time there were a few slipups in service- our waiter forgot to bring my husband a drink, so we reminded him. Then when we got our check, the drink was still on there. We had to remind him again, for which he apologized. However, both times the service has been overall very good, and the food has been fantastic. A great little neighborhood restaurant with more style and pizazz than you might give it credit for. So happy it is nearby!",0.9642,0.797,0.203,0.0,0.5033333333333334
