date,star,text,compound,neutral,positive,negative,subjectivity
2016-06-07,5.0,",Found this unpublished review.  Was such a great experience I had to publish even though it's closed. Amazing; had the kitchen table for Valentines.  It was the most perfect night.  Loved to be able to people watch legally.  Smoothly run kitchen; clean beyond clean.  Quietly efficient.  Food was beautifully presented; definitely a memorable, magical night.  Thank you Chef Trotter and Chef Carlson.  Chef Trotter was quite amusing to watch.  Sad to see the restaurant close down after 25 amazing years.  Way to go and enjoy your next journey.  I am proud to say I've been to Charlie Trotters.",0.992,0.606,0.37,0.024,0.6862373737373738
2014-06-14,5.0,"It is a real shame that Chef Trotter passed away.  This restaurant was phenomenal.  The upscale ambiance was the perfect match for the clientele that dined here and the quality of the dishes served.    Both the presentation of the dishes and the way they pleased the palate left nothing to be desired. The wine selection was also fantastic.  Furthermore, the staff that worked here were kind, expedient, and professional.  This was the best establishment I ever had the privilege of dining at.  It saddens me that I will never again have the opportunity to dine here under Chef Trotter's guidance.  However, I am glad to hear of his family's recent announcement to maintain their ownership of this site and turn it into a non-profit business focused on benefiting the culinary world.",0.9678,0.757,0.191,0.052,0.5208333333333333
2014-05-10,1.0,"one of the most disappointing dinners ever: for $200, they served us a first course of scallops that tasted as thought they had been defrosting for several days, spongy, water-logged and tasteless and it went downhill from there. I was embarrassed because I'd brought three friends with me and the staff was inattentive and knew almost nothing about the awful food and wine that they were serving. I'm not surprised at all that they closed.",-0.2684,0.837,0.069,0.094,0.5541666666666666
2014-02-11,5.0,Had the grand tasting menu and full wine paring.  This place is omg good! Whoever said that they're more relaxed now that the end is near is totally lying! Perfect food and perfect service! Wishing him all the best!!  Everyone from the hostess to the server to the sommelier and even the cooks are profession yet friendly! Pure perfection all around!  Thankyou for the experience of a lifetime! I cannot say enough good things about this established restaurant!,0.9841,0.632,0.332,0.036,0.6307692307692309
2013-11-06,5.0,Kitchen Table experience was awesome.  Food was over the top; greatly complimented with the flight of wine pairing. May Charlie rest in piece.,0.8399,0.69,0.31,0.0,0.75
2013-11-05,5.0,"May Mr. Trotter rest in peace. The Culinary world has lost an icon, and will never be the same now that the flame of a great chef has burned out, and joined all the other great chef's before him with the lord above. May he rest in peace, and may the condolences of everyone in food go to his family. Charlie Trotter did so much for so many, and help inspire many into his field.",0.9664,0.735,0.24,0.025,0.3666666666666667
2013-11-05,5.0,Forever the best chef Rest in peace,0.8271,0.394,0.606,0.0,0.3
2013-11-05,5.0,The man who put Chicago in the map of great cities to eat died today....we bow to his genius. May he rest in piece,0.128,0.741,0.138,0.121,0.75
2013-07-21,5.0,"I was fortunate enough to come here before the restaurant closed its doors after 25 years in Chicago.  The restaurant itself is very hard to miss, as there isn't a huge sign or blazing lights or anything in the front - only a brownstone building with some beautiful ivy all around.  Our courses included: Faroe Island Salmon with Roasted Salsify, Preserved Shallot, and Kumamoto Oyster; Big Eye Tuna with Green Tomato Juice, Kalamata Olives, and Avocado Sorbet; Citrus Streamed Line Caught Cod with Braised Beef Cheek, Cumin Scented Apple Chutney, and Saskatchewan Chanterelle Mushroom; Muscovy Duck with Smoked Coconut, Spring Onion, and Venezuelan Chocolate; Elysian Fields Farm Lamb Shank with Curried Sunchoke and New Zealand Spinach; Raspberry Sorbet with Lemon Verbena Cream and Chambord Curd Tart; Brown Butter Corn Bread with Michigan Cherries and Corn Gelato; and, Triple Criollo Riviera Cake with Lemon Balm Puree and Strawberry.  Chef Trotter himself scared the daylights out of me (I actually screamed) when he came over to our table to say greetings and said that after dinner, he would be more than happy to give us a private tour of the kitchen - HOLY COW!  After a pleasant meal, we had a tour of the kitchen, saw the different stations, saw the chefs delicately plating several dishes, took a picture of Chef Trotter himself, and saw the studio kitchen where Trotter films his shows.  The whole experience was amazing, and it was sad to see one of Chicago's institutions come to a close.  Maybe one day, Chef Trotter will come back?!  There was limited street parking on Armitage, and I was lucky to find a free spot. +chef's tasting +kitchen tour +pictures with the Chef !!! +owned by Chef Trotter",0.9614,0.857,0.099,0.044,0.5555090742590743
2013-03-03,1.0,Diane.Get off your high horse.  Katie had some valid complaints.  Obviously she didn't get the pampered treatment you got at a kitchen table!,-0.4574,0.875,0.0,0.125,0.52
2013-03-02,5.0,You were an American institution and we'll miss you.  You were pure class and I hope you come back 1 day.  My wife and I loved our meal here...it wasn't just the great food but the amazing service (including tour of the kitchen).  We aren't the richest...but...for 1 night...we felt like royalty.  Thank you.,0.9281,0.687,0.257,0.055,0.49166666666666664
2013-01-05,5.0,"You fake food critics, get over yourselves. You've gotta be kidding me if you thought Trotter's was anything short of  AMAZING. We went a couple of weeks before it closed and the food was so excitingly delicious, I went into pre-labor. Seriously.  Not only will every fine dining experience I ever have from this day forward be compared to our meal at Trotter's, it will probably also pale in comparison.",0.8574,0.724,0.19,0.086,0.6225
2012-12-11,5.0,"Went here to celebrate an anniversary with my wife. It was a great experience. I really noticed how everything was prepared with a lot of care and could tell that the people there loved what they did. You can do everything right in the kitchen, but love is what elevates a dish to unforgetable. The most memorable was a valhona chocolate dessert.  I also loved the tour of the kitchen and the space and was allowed to take some funny pictures in the process. Overall, I left feeling more satisfied that at Alinea. Definitely would go to anything Charlie Trotter opens.",0.9876,0.701,0.299,0.0,0.5846938775510205
2012-10-16,3.0,"I'm convinced it's because I waited until the end... I know that Trotter's has closed, but it must be said: Charlie Trotter's is past its time. Call me a hater, but really, a lot of what I ate this evening was bread. Seriously. I had more bread courses than anything else. Granted, there were a few pieces of bread that were delicious. But let's be real...if I'm paying almost $200 on a meal, I'm expecting more than carbs and butter. At the very least, get me some water or something. There were really only one or two dishes that stood out. Everything else was just okay. I'm grateful for the experience, and it's something that I don't regret. But I do regret going too late.. Thank you, CT, for bringing international recognition to Chicago. And thank you for shaping some of my favorite chefs.",0.9788,0.763,0.202,0.036,0.49547619047619046
