date,star,text,compound,neutral,positive,negative,subjectivity
2011-09-21,5.0,Boo!  Heard through the grapevine that CB is now closed.,0.0,1.0,0.0,0.0,0.1
2011-09-10,4.0,"As tonight is their last night, a friend of mine and I decided to dine here on Thursday evening.  We both had the eight course tasting menu, which was absolutely delicious.  Service was wonderful. A little slow, as there was a large private party, but we didn't mind. (A little rest between each of those courses was nice to have!) My favourite of the courses was by far the first. A tomato terrine with crab, and cucumber noodles. So so delicious! The lobster course was also very tasty. I loved the sesame cracker!  Also, the strip was perfectly cooked. Tender and well prepared.  I think the pasta course with Parmesan, prosciutto, and a sous-vide egg was honestly magical. Melted in my mouth! If they weren't closing tonight, I would most certainly have been a regular!",0.9919,0.728,0.272,0.0,0.6237854251012145
2011-08-08,3.0,"I really wanted to fall in love with Cibo Matto...but could not. My partner and I did a 5 course tasting menu with accompanying wines.  amuse-bouche Hamachi crudo, puffed rice, lemoncello starter Pan roasted scallops Pancetta, pearl onion, blood orange curd, pepper dust salads Beets, Burrata, parma prosciutto, chestnut vinaigrette pasta Papperdelle bolognese Cipolini, brulee mozzarella, short rib entree 10oz Filet Mignon Dessert caramel and chocolate mousse with sambucca infused whip cream ~*~*~*~*~*~ I was most excited about the pasta and the salad as I had heard they were excellent. The amuse bouche was nothing special. tiny portion as expected. it was very buttery and the accompanying wine was a champagne.  I wish I had asked for the names of the wine pairings because the champagne was delicious! Starter - the scallops were a little chewy, probably due to them being overcooked. but the caramelized pearl onions were delicious. Salad - the beet salad did not disappoint!!  the burrata (cheese) was creamy and left me wanting more and more! the beets were earthy and complimented the cheese well. Pasta - I was disappointed with this course. the pasta was greasy.  it came deconstructed - the pasta, then the mozzarela, then the short rib/red pasta sauce mixture.  and the cipolini onions sprinkled throughout the pasta.   honestly, the short rib mixture tasted like pulled pork with ragu sauce. like the ragu brand sauce you get in the grocery store. not at all what i was expecting.  Entree - filet mignon.  I was hoping the entree would be better than the pasta because at this point in the dinner, the best meals had been the salad and the butter that came with the bread. unfortunately, the filet was sub-par.  i ordered it medium and it was gray/charred on the outside and had started to cook through the middle by the time i started eating it. so it was more like medium-well on its way to being well-done. it came with au jus sauce and what tasted like a black cherry reduction. it's pretty sad that the steak tasted better with the au jus than alone.  for me, a well cooked, well seasoned filet mignon should be able to stand on it own without au jus. i've had better steak at Outback.... the dessert was also very tasty and light.   so to summarize, best parts of the meal - beet salad, the dessert, and the butter and bread.   skip cibo matto. I would not go there again.",0.9968,0.781,0.185,0.034,0.5317042606516292
2011-08-04,3.0,"I give it three stars only because I cannot give it a 1 and a 5. Some of the dishes, like the pasta bolognese. were 5 star excellent. I opted for two appetizers instead of an entree and found one (grilled octapus) to be pretty good - not great - and the other ( a trio of sashimi type cuts of seasfood) to be disappointing. Service was sketchy. In an upscale restaurant one should never have to seek out a server, but we did more than once. Also, the pre-dinner drink menu - well there wasn't a menu - left us interrogating the server about scotches and he was unable to provide any useful information. I even offered to go to the bar and pick something out but was told the bar was ""in the kitchen"".  Summary: they have some allstars in their line up but they are surrounded by minor leaguers, in my opinion. Too bad.",0.2389,0.844,0.087,0.068,0.5608974358974359
2011-07-19,1.0,Overpriced and underwhelming. They couldn't even get a basic salad right. The ravioli was like a heart attack on a plate - literally drenched in butter and cheese and not flavorful. I can't even remember what the desert tasted like - and I usually like desert.  Not memorable at all.,0.5267,0.786,0.151,0.062,0.4776785714285714
2011-07-18,5.0,"We went to Cibo Matto for a special occasion and had an absolutely amazing time!  We got a 6 course meal through a Gilt City coupon so we got to try several dishes at an unbelievable price.  The scallops were delicious and just melt in your mouth.  I typically wouldn't have ordered filet mignon from a restaurant known for Italian dishes, but it was on the tasting menu and I have to say it was the best filet I've had in city (including many of the well known steakhouses).  The wait staff was friendly and the decor is great.  The wine pairings were spot on, I will definitely be back for the Perfect Pairs events that are held every other Wednesday!",0.9889,0.742,0.258,0.0,0.5283163265306122
2011-07-12,2.0,"Not worth the wait!  Yes, we had a large party of about 8.  Yes, it was a random weeknight.  And, yes, we just walked in and didn't make reservations.  But, really?!?!?  How does it take 1 1/12 hours to make pasta? The worst part, the pasta wasn't worth the wait.  I had the Tagliatelle Carbonara, which is supposed to be their signature dish.  It was just alright. The only saving grace was we got a free bottle of wine with the coupon we received upon check-in to The Wit Hotel. Service didn't help the situation either.  It wasn't horrible, but neither was it attentive as it should be with more than half the restaurant empty.",0.8493,0.789,0.159,0.052,0.5534798534798535
2011-07-07,5.0,"I am reluctant to give cibo matto a five-star review, just because I want to keep this place to myself before it blows up and is impossible to get a table at! Chef Evan has put together a menu full of complex flavors and textures, with fantastic visually appealing food. Linh and the rest of the staff maintain a venue which is accommodating, with service that is tailored to exceed every expectation. Even our server, Amy, was extremely knowledgeable about the menu and guided us expertly through an amazing experience. We started off the evening at the Perfect Pairs event, which is held every other Wednesday. We had about 6 different tastings (with plentiful refills) of this week's featured wines from France. Alongside these are the food tastings by Chef Evan and their pastry chef. Besides the cheese plate at the beginning of the event, the lobster bite and the bite of pork belly blew me away. The chocolate cigar at the end with raspberry was so good that my boyfriend, who usually hates raspberry, ate the whole thing before I even got a chance to taste mine! In fact, these bites of food were so appetizing that we asked Linh to get us a table to stay for dinner.  I'm so glad we did! We started with the mussels, which were a moderate portion. Actually, perfect because there were no closed mussels (a pet peeve of mine), and the sauce was light yet made with pancetta. This is a shining example of how pig and seafood marry so well. Next, the perfectly pan-roasted (and big!) scallops, crisp outside with cooked-just-right middle, were paired with pancetta and pearl onion, along with a citrus sauce.  Instead of entrees, we opted for a couple sides. First is the truffled lobster. The dish is covered in breadcrumbs and baked, so your first experience is the heat, and the crunch your spoon makes with the topping. Once you spoon it in to your plate, the truffle aroma hits your nose and the red of the lobster, paired with the green pasta and the white cheese is delight for your eyes. Need I mention how delicious it tastes? But really what sets cibo matto from your run of the mill restaurant is the care and attention that the people bring. We were blown away by the pork belly tasting from the Perfect Pairs event, but there wasn't a pork belly entree. Instead, there was a side dish that had pork belly as one of the ingredients. We asked Amy, our server, if it was possible for Chef Evan to put together a pork belly dish or just bring out the pork belly components of the side dish -- and it was done! Chef Evan created a dish for us from the pork belly, with morels and pickled carrots, alongside some fresh beans. That was absolutely delightful and beyond anything we could have expected. Finally, we concluded with the semolina cake topped with fresh berries and paired with their own hazelnut and creme fraiche gelato, a dessert that is sweet but also has enough savory to counter balance it.  I highly recommend cibo matto to anyone who wants to have a delightful meal. Chef Evan's menu is a must-try, and the service is impeccable. The ambiance? You must experience it for yourself. From the unique ceiling mural to the wall texture and lighting elements, this restaurant is an experience that everyone needs to try at least once!",0.994,0.894,0.097,0.008,0.5760069444444443
2011-07-06,5.0,"Awesome food and awesome service! Try the calamari and the agnolotti. Two great Italian dishes that they do very well. Actually, I've never had a bad dish - everything is excellent.",0.9703,0.516,0.484,0.0,0.6020833333333333
2011-07-05,4.0,"Beautiful atmosphere, friendly service and good food.  The decor was really beautiful and modern.  The food was good, but not great.",0.5582,0.492,0.362,0.146,0.6785714285714286
