date,star,text,compound,neutral,positive,negative,subjectivity
2014-10-30,4.0,"Tasty food and beautiful ambience. The pasta is especially good (mmmm, short rib ravioli).",0.796,0.629,0.371,0.0,0.7666666666666666
2014-10-14,1.0,Cichetti is closing Saturday. I called this in March. Listen to me my people! I know my stuff. I'm available for consulting if any restauranteurs want to know the secrets to satisfying the masses.,0.5562,0.867,0.133,0.0,0.7
2014-10-13,5.0,"Service was fantastic and so was the food (especially the desserts, including the donuts). We sampled several small plates, then shared two large. Everything was great. We also loved their drinks. The Old Fashioned was perfection!",0.9583,0.633,0.367,0.0,0.5598214285714286
2014-10-12,2.0,"We came here for a light dinner while we had a relative in the hospital.  I had the gnocchi which was an odd and not great flavor combo.  Lamb and gnocchi part were ok but cold cucumber and hot pepper were odd additions to the dish and it just didn't work.  Serving size was very small for $15.  Other person had Nonna's meatballs appetizer which had a cinnamon spice added which also was odd and didn't add to the enjoyment of the dish.  Last person had pepperoni flatbread which was not really completely cooked.  Pepperoni was pretty bland. Bill for 1 main, 2 appetizers, 2 glasses wine and one bourbon was $84 before tip.  Definitely not worth it.",0.6862,0.797,0.112,0.091,0.48107843137254896
2014-10-12,3.0,"All of the ingredients are fresh and the dishes are well prepared, but was not as tasty as traditional italian food prepared at say, il mulino.  The best dish was probably the seafood stew out of the 10 dishes my family ordered. Pastry chef did an amazing job with the desserts. Service is fantastic and they gave my mom a delicious sundae for her birthday. I wanted to like this place, but it just wasn't to my taste.",0.9851,0.682,0.318,0.0,0.6214285714285713
2014-10-06,4.0,"Really nice Italian spot in Streeterville. It's perfect if you want nice, modern Italian food with a group of people, especially families. The staff was really accommodating because I had to bump my reservation a couple of times.  The mushroom flatbread was flavorful, and the gnocchi was cooked perfectly. Our server recommended a great bottle of wine, and he definitely went all out in making sure we had everything that we needed. Will definitely be back!",0.9804,0.679,0.321,0.0,0.5876068376068376
2014-10-06,4.0,"We came here for a girls night and it was great. It was a little off the usual beaten path on St. Clair, but I liked the ambiance of the restaurant. We really liked our waitress and she had some great recommendations. Everything we ordered was very tasty. A great new Italian restaurant on the scene.",0.9696,0.665,0.307,0.027,0.5354545454545454
2014-10-06,3.0,"My husband and I were excited about the reviews but we found the food to be just ok and pretty overpriced. We started with the pork cracklins and the procuitto. The cracklins are coated in parmesan cheese and rosemary which takes away some of the pork flavor. I found the coating to have an odd taste.  The proscuitto was good but it was only a couple of pieces with no bread or other accompaniment. I imagined it would be served more as a charcuterie.  We also ordered the spicy sausage link, the gnocchi, and the short rib ravioli. The sausage link was very good, as was the ravioli. The gnocchi lacked flavor to me.  We ended up spending about $65 per person for an ok meal (only one of us had drinks), which for me is too much given all the good and reasonably priced Italian restaurants in the city. We likely won't be back.",0.9545,0.83,0.136,0.034,0.5530555555555555
2014-10-04,4.0,"I have been here for brunch and for dinner.  I really enjoyed the brunch, there is a breakfast board with all kinds of baked goods that was really tasty (I love it when brunch places offer fun, shareable appetizers).  The cocktails are also a highlight, I liked each of the drinks I had during my brunch visit and my dinner visit.  The saffron risotto is particularly yummy; it is offered at both brunch and dinner.  There is just something about this place that makes me not love it.  I would go back for brunch...  I am not sure about going back for dinner, there are a lot of other options in the city.",0.9743,0.783,0.201,0.016,0.4270202020202021
2014-09-28,5.0,"My wife and I had a wonderful dinner here this past weekend. From the moment of booking, everything was perfect. We were able to get a reservation for 530pm on Saturday without issue, and the restaurant itself is incredibly easy to find. It literally sits in the ground floor of one of the Northwestern Hospital buildings at the corner of North St. Clair and Erie. There is both indoor and outdoor seating. We opted for indoor seating, and it was worth it. The décor of the restaurant is rustic and spacious. There is an open kitchen area, which adds to the ambiance. Our server John K was incredibly knowledgeable about the menu. If you've not been before, the menu consists of a few dozen small plates that should to be shared for your first courses. Then, you choose an entrée that sounds yummy. Make sure to save room for desert as well. For our starters, we went for the aged hanger steak carpaccio, cheese board, and sardines. All were perfect! It's hard to say which one we liked more. I'd say the carpaccio, but my wife would say the cheese board. For the mains, I went for the duck breast with duck sausage and cauliflower, and my wife went for the short rib ravioli. Both were excellent. There is something truly magical about crispy skin on a duck breast! For desert, we went for the doughnuts and the caramel tart. Both were a wonder way to conclude the evening.  I'd highly recommend this place due to the great food, high quality service, and ease of location.",0.9903,0.843,0.153,0.004,0.6115509259259259
