date,star,text,compound,neutral,positive,negative,subjectivity
2011-08-08,5.0,"My big bro dragged me kicking and screaming to this place. No, not really. But it did take me nearly forever to finally muster up the courage to head here. It's been so remarked by him that I liked the dream. Boy am I glad I went. I have been to Charlie Trotters. I went to Tru. But this place, when you factor in the food, ambiance and friendliness trumps BOTH. Bold statement. When you walk in the front door, you're magically transported to someone's living room. Decorations everywhere like Aunt Margaret would have. Tin ceiling. Character that is nurtured, not designed in a studio. That set the stage. My big bro got us a bottle (or two) of a delicious, tall red. We were in for the long haul and CdR was ready for us. We started with an order of mussels (natch) and an order of mushroom soup which we used as a bread dipping. As usual, this odd pairing made for a satisfying first course as we chatted and met our neighbors who were super-friendly. Then the mains: I had lamb and my bro had halibut. With the apps already in us, the main was a good addition without being overwhelming to the waist line. It was just the right size. As he's more familiar, he invited the chef out to join us for a glass of wine. He sat with us for 20 minutes as we talked about the food and his plans for the future. All told, this experience was $100 without tip. For all that it delivers, this is a magnificent place to sample new French cuisine, BYO and take your time.",0.9843,0.834,0.136,0.029,0.5203182619849288
2011-07-05,3.0,"not a review, but just so everyone knows, this place is getting rehabbed and allegedly will re-open as same restaurant, however, they are closed until Sept 2011 some time.",0.0,1.0,0.0,0.0,0.10833333333333334
2011-05-21,1.0,"Sub- adequate, overpriced French food with a nice ambience but - only one server for a Saturday night is inexcusable so, despite our alerting the server to our pending theatre tickets, we received poor service.  Further, the food was over-salted and uninspiring.  I'll not return and recommend readers avoid it.",-0.8055,0.764,0.061,0.175,0.5722222222222222
2011-04-21,5.0,"I'm hesitant to tell you about this place -- that's the kind of gem it was. Everything was perfect -- the service, the food, the ambiance. But I have a story to tell. Shortly after my fiancee and I sat down with our bottle of expensive wine to celebrate her birthday, an older couple walks in and sits down. The man starts complaining loudly about the lighting. So they turn it up for him (and tell us, ""dont worry, we'll turn them back down when they're done ordering). Then he screams across the restaurant about the music. They ignore him. He starts asking around if anyone else likes the ""noise."" Another man says, ""we don't like the way you're acting."" He threatens to leave, so waitress turns lights back down to accommodate the nice couples at the tables. Eventually, he shuts up. Our service was impeccable throughout and they seemed more embarrassed about the guy than we were. Definitely a classy place and one that can handle rude, uncouth people. Did I mention how good the food was? Because that bouillabaise is unbelievable. The pork tenderloin was great. The calamari appetizer was fantastic. Crazy that it's tucked in non-descript in a storefront on Broadway. Oh also, my fiancee left her wine bag there and they opened special two days later to give it to her. The place is classy, yet unpretentious and goes out of their way to make sure their customers are happy.  And it better not be busy the next time we want to go there.",0.9807,0.754,0.166,0.08,0.5390376984126984
2011-04-12,4.0,Probably one of the best deals you will find in all of Chicago for very good French food.  This BYOB has a great menu with the typical French favorites and the mussels are fantastic.  The service is excellent and enormously friendly as we bring our 2 year old with us each night and they make sure to have bread ready for him after just a few minutes from sitting.  Overall this is great French food at a very good bargain.,0.9901,0.62,0.38,0.0,0.46758169934640526
2011-03-13,2.0,"The food we had was very good and  the service was very pleasant, but this restaurant is clearly understaffed.  The service was not just slow, it was insanely slow, even for a leisurely French meal.  My husband and I got the feeling there was only one or two people working in the entire establishment on a Saturday night (we saw exactly one employee the entire 2.5 hours we were there.)   If you are understaffed, you underserve.  We weren't able to enjoy the food properly (without bread, how are you supposed to eat pate?  The Cheese Plate may be delicious, but how can we know if you forget to serve it to us?)  That said, the main thing that bothered us was that the restaurant was not clean.  I'm by no stretch of the imagination a neat freak, and I liked the general ambiance of the place, but there was dust and grime everywhere, and an unmistakeable odor of mildew throughout the restaurant, especially in the bathroom (even with two cinnamon candles burning.)  The bathroom was also filthy. Not just ""kind of"" unclean...the white door was almost black in places; and truly, the floor was disgusting. I guess it bothered me most because it's not that hard or expensive to keep a place clean, or to slap a fresh coat of paint on a door if you can't get it clean anymore.  It just takes effort.  It also made me wonder how clean the kitchen was. I doubt we will go back, which is a shame, because the food was good, served in the kind of spot we love to love, and with just a little effort (and additional waitstaff) the whole experience could have been wonderful.",0.8944,0.712,0.157,0.131,0.5973504273504273
2011-02-13,4.0,"This place is a hidden gem. We went there last night to celebrate Valentine's Day and were able to make a reservation just a few hours before coming. The food was outstanding. We had the mussels (amazing!) and cheese plate to start. I got the bouillabaisse as my main course and it was evident that all of the seafood was extremely fresh (salmon, shrimp, mussels, calamari). My only complaint was that they didn't give us spoons to go with the bouillabaisse or mussels. The broth of of both dishes was sooo delicious-- I wanted to lap it up. My fiance had the fish of the day, which was monkfish served with garlic mashed potatoes. He loved it and the sauce was wonderful. These people know how to make a good sauce. We had the flourless chocolate cake for dessert and it was perfect. The ambiance was also lovely --dark with nice candlelight-- very romantic.  The service was good but it was definitely a leisurely meal. We brought one bottle of wine, but next time we will probably bring two (maybe one regular size and one split), because the entire meal took about two and a half hours. We will definitely be back.",0.9771,0.845,0.147,0.008,0.5315527065527066
2010-12-26,4.0,"We've been going to Cotes Du Rhone for several years and was glad to have a French Bistro come onto the BYO scene. Our group has BYO'd since 9/11 and it's been difficult to find BYOs outside of the usual Thai, Indian, South American, small storefront New American and the occasional Italian style restaurants. I used to live around the corner from Cotes Du Rhone, back when it was a huge Mexican burrito place.  Besides Pasteur, that stretch of Broadway Avenue between Foster and Hollywood was in dire need of decent restaurants and took a nice turn with the addition of La Fonda and a couple of defunct Ethiopian and Bosnian restaurants. Cotes Du Rhone is dark and chocolate looking inside with fancy lamps, empty wine bottles from previous customers lining the window sill.  The dining area is divided into a small room up front with mirrors and a larger room in the back.  Miles Davis and other jazz standards can be heard playing much of the time. Don't go to this restaurant while in a hurry.  The food takes a while and it's perfect for opening a couple of bottles, letting them breathe, chatting with your friends and savoring the moment. It's not a factory and you won't dare be rushed through your meal. At times the chef will come out and chat with the tables so don't be afraid to send him back a nice glass of whatever you're drinking in appreciation of BYO status. Our favorites include the foie gras, escargot, mushroom soup, the wonderful and hot baskets of bread to dip sauces with, any of their white fish dishes, including the sea bass selections, the duck entrees all held together with the wonderful bitter greens, squash and mashed potatoes. The desserts are phenomenal and our favorites include the peanut butter and chocolate bread pudding and the spotted dick. There's a nearby Jewel-Osco that sells wine but check out the liquor store on Foster and Clark in Andersonville. They're pretty knowledgeable and usually sell great bottles of French wine for around $30 on sale.  We picked up a great Châteauneuf-du-Pape on sale for around $30, regularly priced at $70 or so. Was a perfect pairing with our meals. I miss Cotes Du Rhone.",0.9866,0.859,0.113,0.028,0.45374549692731514
2010-10-17,2.0,"Makes me sad to write this review. Way back when they opened, I loved!! this place, but last night, took my brother out for a special dinner. Didn't get any water till we asked. Didn't get any bread till we asked. The place was pretty full, but there was ONLY ONE WAITER!!! (and we think he might have been doing the cooking, too?) he'd disappear for about 15-20 min, then return just to wait on someone else. It took us 3 hours to get served (no exaggeration) and we would have stayed for dessert, but thought we might be waiting another hour or so. Food was good, but holy cow! You guys have lost a customer...",0.885,0.82,0.123,0.057,0.5754761904761906
2010-10-10,5.0,"I'm reluctant to write this review because Cotes du Rhone is one my Chicago secrets.  I have eaten there many times and every meal has been terrific.  Brian is a bistro chef in the true sense - lots of good, hearty food.  Fortunately Brian has ignored the typical fare of steak frites (which American restaurants typically butcher anyway) in favor of more creative menu items.  Be sure to try the mussels which truly are the best in Chicago - just don't ask about the cholesterol.  The wait staff - especially Stacey - is friendly and professional.  Personally, I like to go on Wed or Thurs nights because the place tends to be pretty quiet.  We always end up hanging around to the end and having a glass of wine with the staff.  It's just that kind of place.  Remember that it's a BYO. Fortunately, it does not have one of those ridiculous corkage fees.  I took Martini fixings one night and we had cocktails before dinner as well - you can figure out your drink theme for the evening.  Hard to beat that deal.  Whatever you do in that regard, you can eat a great 3-course bistro meal and top out at $50/person with your own wine or beer or whatever.",0.9862,0.785,0.179,0.036,0.6305555555555555
