date,star,text,compound,neutral,positive,negative,subjectivity
2013-07-20,5.0,"Excellent food and drinks, great ingredients and friendly staff! I'll definitely be going back! And they deliver! Just found my favorite pizza place in Wicker Park!",0.9576,0.54,0.46,0.0,0.625
2012-04-21,4.0,Food was excellent. We tried the brisket calzone and the pizza margarita. Both were done just right. Service was very attentive. Outside seating was lovely. Would come again for sure.,0.8689,0.734,0.266,0.0,0.7041005291005291
2012-01-13,1.0,"Closed?? So, I take it they won't be honoring the  restaurant.com  gift certificate I recently purchased - that's nice.",0.52,0.597,0.278,0.124,0.45
2012-01-03,4.0,"This was about the tenth time we've been to Crust this evening. We go there all the time, but honest too goodness, we always have a terrible host/hostess experience. The service and food is always great, but our greeting at the restaurant always seem snarky.  Still worth going too. The flamklucken flatbread is amazing (has a white sauce and is light, smokey deliciousness). The beer selection is decent that salads have never disappointed. Overall, it's still a fav, but try to get to the table as soon as possible.",0.9838,0.678,0.285,0.037,0.6151515151515151
2012-01-01,4.0,"This placed announced they were closing when we were there last night., NYE. Over shots of Jameson handed out  us and the 3 other tables,  a nice guy announced from behind the bar, ""tonight is our last night. We will be closing, and this is our last service.""  We got another round of free shots and watched bottles of bubbly being sprayed over the bar area. On us and on each other.  They went out with a bang. It was a fun, yet unexpected way to bring in the new year. Thank goodness we thought to use our rest. com discount.",0.9313,0.861,0.139,0.0,0.45871212121212124
2011-12-17,4.0,"LOVE their pizza.  And their beer list is great as well.  Salads equally good.  Have eaten here enough to be pretty close to saying that I can recommend almost anything on the menu.  But I do love their pizzas more than their calzones.  Fresh and innovative ingredients.  I dare say this is better than Piece.  And closer - big bonus!  Love their outdoor patio.  Very relaxed place to get a great thin crust pie.  Oh, and did I mention it is cheap!!  :)",0.9943,0.548,0.452,0.0,0.6382352941176469
2011-12-16,5.0,The flavors are fresh and rich. The crusts are just perfectly cooked and just the right size.,0.8779,0.581,0.419,0.0,0.6964285714285714
2011-12-14,3.0,it's ok. a good neighbourhood hangout place if you live in the area.,0.6249,0.662,0.338,0.0,0.5333333333333333
2011-12-12,4.0,"Overall a good place to eat.  It is pricey, but the pizza was all really good and very fresh.  The only thing I was not a fan of was the butternut squash soup.  It did not have any taste and was more like baby food than soup.  The pizza, cheese platter, and drinks all made up for it though.",0.8869,0.769,0.194,0.037,0.5583333333333333
2011-12-01,4.0,"i like this place.  it's delish and satisfying.  they have a great selection of pizzas - each of them serve about 1-2 people.   i came here with my bff and her family over thanksgiving weekend.  we started off with the foccacia and evoo, and then we ordered the sausage & fennel, the jacinto, and the flamkuchen pizzas.  there were 6 of us.  it was perfect.  each of us had a piece of every pie.  everything is organic - even the beer and liquor.  we all drank a few before hitting up small bar across the street.  it was a great dinner and the perfect setting to drink, eat, and get to know each other!",0.9783,0.793,0.207,0.0,0.671875
2011-11-19,3.0,"Good food, cute hipster-y kinda place, service ok - not particularly friendly, big beer garden.  Had good selections for both our vegetarian friend and the rest of us regular folk ;-).  Walked in here after happy hour at Boundary down the block on a weeknight, not busy.  Music a bit too loud, especially when you get seated right under the speaker and they have ""no place else to move us"".  In a half empty restaurant.  Really. Not running back for another visit, but if our friends wanted to come back we wouldn't say no.",0.7427,0.753,0.154,0.093,0.4825364693785746
2011-11-16,3.0,"I dunno... When I first moved around the area I did eat here quite a bit, but after a while it just gets expensive and honestly, I never thought the pizzas were that good. I like how it's organic and all, but really besides that it's really just okay.",0.9309,0.733,0.267,0.0,0.4904761904761905
