date,star,text,compound,neutral,positive,negative,subjectivity
2015-03-12,4.0,"We honestly liked Cullen's so very much. To all you Cullen's people, owners, managers and wait staff, bussers, bartenders and of course cooks and dishwashers, all be well with you now and always. Thank you for having so many times helped to make our lives more wonderful. It's good to have you permanent residents in our memories and forever more in our hearts. We wish we didn't have to miss you as we do and will. ~Peter O, S, and Mother T",0.9623,0.771,0.229,0.0,0.5942857142857143
2015-03-10,5.0,"Great Food.  Fabulous Staff.  A Home Away From Home for Many Neighbors & Merchants.  A Destination for International Travelers.  A Wonderful Owner with a Heart of Gold.  A True Pioneer of Southport. Thank you Michael & Staff/Friends for MANY wonderful memories!  You'll be Greatly Missed :(   As Quoted on the Bar - ""Never Lose the Common Touch""",0.9205,0.581,0.298,0.122,0.6954545454545454
2015-02-27,5.0,"Sadly, Cullen's closed on February 27, 2015.  It was a great place, my family's home away from home. I was there on my wedding day and countless birthdays, kids' birthdays, anniversaries, and other important days of my life.  It will be missed.",0.2263,0.768,0.126,0.107,0.6208333333333333
2015-01-12,1.0,"Cullen's, pay attention to your service/staff.  Just because you get a lot of unintentional and non-destination customers due to your proximity to the Music Box and Mercury doesn't mean you shouldn't strive to be a great pub.  Read your Yelp reviews.   Your service is mediocre at best.  The server we had last Friday night was, to be honest, a total b.  She argued with us about what a black & tan was (Guiness and Bass, or sometimes Harp) then brought me some dark mug of something.  When I questioned why it wasn't separated into a light and dark half, she told me they use 2 dark beers and it was exactly as it was supposed to be.  2 dark beers for a black and tan?  We suspected she was making it up and had just messed up our order.  She took my dates food order and began walking away, without taking my order, clearly miffed that I asked about the ""black & tan"" thing.  We had to call her back so I could order, and this continued for the rest of the meal, she would ask if we needed something, we needed ketchup, she walks away and we wait...10 minutes later she is walking by and asks if we needed anything, I said, yes we still need ketchup.  She acts like we had never requested this before but eventually brings it.  My date wanted me to leave a poor tip to reflect the bad service and attitude, but I left 20% despite my better judgement.  The food was just meh by the way, nothing special.  Oh, and the employees/regulars having a screaming conversation clear across the room as one was leaving was just annoying.  This place needs someone who knows how to manage it properly, pour a proper beer, and fire the crappy servers, or you could do nothing and watch your ratings and your business drop off month by month.",-0.9794,0.831,0.043,0.126,0.4371159754224271
2014-12-22,3.0,"I've been coming to this bar for almost 4 years. It is great when you are catching a show at either theater next to it. Great place to get a serious drink, a well poured Guinness... However in the last year i have noticed the food quality take a nose dive. Their fish and chips are no longer meaty filets, but obviously pre-made puny frozen things. Same with chicken fingers. Their veggies aren't crisp and fresh like they used to be, probably also pre-cut now. Finally last night the service was lousy. They only had 1 waitress for the WHOLE bar. There were shows at both theaters and the place was full...this lead neglectful service and long wait times for everything.  Time to up your game again Cullens- you can do better.",-0.0498,0.806,0.096,0.098,0.4939814814814815
2014-12-09,4.0,"We came here while waiting for dinner at Tango Sur. We shared the artichoke dip while we sipped our beers...it was to die for! Creamy, hot, delicious crust on top wit the melts dip under. I would 100% order that again! Hoping to get back here sometime soon for an actual meal!",0.7701,0.748,0.188,0.063,0.49000000000000005
2014-10-09,2.0,"I have liked Cullen's for a long time and disappointed I have to write this, but our waitress paid little to no attention to us.  It took her forever to get our first drinks and then ran away the second she placed our food down.  She didn't even ask if we wanted any other drinks until I had finished my food.  Needless to say we were done at that point.  The food was still good so we hope this was a one time experience!",0.7831,0.834,0.116,0.05,0.5047222222222223
2014-09-25,4.0,"Since this place was attached to the Mercury Theater, Boyfriend and I decided that this was where we were going to have dinner before our showing of Avenue Q. I ordered their flautas (odd choice for a pub, I know, but they sounded amazing at the time and I was craving Mexican food) and Boyfriend chose a sandwich (I think it was their BLT). The food was pretty good, especially since they brought it out to us pretty quickly since I made sure to inform the waitress that our show was next door and starting pretty soon (though she also had reassured us that we would definitely get our food, eat it all and be seated with time to spare before the show started). It's a dimly lit restaurant that gives off the air of a dive bar -- but not one of those scary-looking ones. Think of it as more of a neighborhood dive that may not seem outwardly inviting but is totally friendly once you get past the door. I love all the decor on the walls and that it's, essentially, a no-frills pub-like place for you to eat and drink at.",0.9923,0.792,0.197,0.011,0.5467836257309941
2014-09-09,4.0,"Still likin' this place as the food is good, the service is spot on and I like that I can sit and watch the world pass by as I enjoy my food. Street parking is easy along Southport (surprisingly so) and I think the food is pretty good for a bar as well.  The other night we had the nachos and the chicken strips and the chicken actually had almost a ""tempura batter"" on them which was a nice change from the typical deep fried chicken batter. Cullen's continues to be my ""go to"" spot on Southport!",0.9674,0.783,0.217,0.0,0.6613095238095238
2014-08-10,1.0,"Stopped in with my sons before going to see the Monty Python broadcast at the Music Box. Waited about an hour for two burgers and a club sandwich . Watched the waitress plead with the ""chef"" for the last 15 minutes before we had to leave for the show. In dire need of a Gordon Ramsay tirade.",-0.6249,0.893,0.0,0.107,0.06666666666666667
2014-07-26,5.0,"Always a personal favorite, great quality food with Mother Cullens recipes, friendly staff and the freshest Guinness in Chicago! May need to wait a little for a table during peak hours",0.8908,0.702,0.298,0.0,0.61
2014-07-02,4.0,As far as Irish bars goes Cullen's does a mighty fine job pouring a healthy Guiness and providing an ambiance of the Emerald Isle.  The food is just fine so I would skip here for dinner and just stop in for a pint. 164/365,0.4767,0.809,0.142,0.049,0.5666666666666667
2014-06-26,5.0,Friendly staff and the fact that this is a bar connects to a theatre gives it a five star rating. The food and look of the bar is pretty cool to if it was just a sand alone bar but the concept of going to a bar at intermission and getting loaded for the second half if pretty cool. It is near the music box theatre as well. A great neighborhood away from the douchie parts  of Wrigleyville.,0.9571,0.746,0.237,0.017,0.5685185185185184
2014-06-12,5.0,"This is an awesome Irish pub! The servers are friendly and efficient, the atmosphere is cozy, and the food is outstanding! I ordered the Sunnyside burger--yum! My partner ordered the big daddy mac and cheese. It was also very tasty! The portions here are huge! You won't be disappointed!",0.9644,0.676,0.324,0.0,0.575
2014-05-22,4.0,"Curry Fries and the most perfectly poured Guinness, that is all that needs to be said.  I had no intention to getting any food but when I saw they had curry fries for an appetizer I was sold. I love those but it is so hard to find. The reuben Egg roll were good but the order was so small, we got only 2 small rolls cut in half :(  I ordered the mac and cheese and was surprised how large the bowl was and how good it was, very creamy and the noodles were cooked perfectly. However, my wife ordered the fish and chips and her serving was rather small, only 3 small pieces of fish that were soggy.",0.9548,0.745,0.18,0.075,0.6242724867724869
2014-05-12,2.0,"Not quite sure how this place is still in business, especially on Southport.  I live right up the road and wish so much there was a better neighborhood bar.  Definitely lacking in those in the Southport area (around train and north of).   We were really hoping this would be the one since it was the only one we hadn't tried yet...and it wasn't.  We sat on the patio so I can't speak for the inside environment, but they surely don't put much work into the outside ambiance/furniture.  No worries there, just saying.  Their menu's still state ""Winter 2013"" menu and when we asked if we had the wrong one, they said no, that's just the menu.  After looking through beer selection and food items, kinda made sense since every ""seasonal"" beer they were out of so most options were dark beer.  Not awesome on a humid day in the 70's.  Finally settled on a Leine's Summer Shandy on tap.  Does everyone here know what that smell is of an old bar that makes you lose your appetite?  Smells like the rug has been drenched in old beer for years with a mix of toilet cleaner?  It's a God awful smell that makes me leave a bar every once in a while and the beer on tap tasted exactly like the smell.  Same with my boyfriends brown ale.  Awful.  Thankfully, the waitress brought us a bottled beer to replace it but I'm thinking it was only because she was pretty terrible leading up to that point.  Stood about 4 feet away, and behind me bf to take our orders.  Didn't help with any suggestions on drinks, just kept saying ""no we don't have it.""  I asked if there was an sparkling wine (for mimosas), she promptly said no..then said, oh ya, we have some champagne.  And then made a face like it was awful.  Even the girl at the table next to us said ""by the looks of things, it doesn't look like you should get it!""    Anyway, she took our food orders (failing to ask us which side we wanted but at that time we were so annoyed we just wanted to be gone) and we got our food out at a decent time.  Mine was supposed to be on ""Texas toast"" which is typically a buttery delicious bread.  In this case, it was dry, huge and toasted, but flavorless and again...dry.  On the 1 good note, I got the blackened chicken and it was some of the best blackened chicken.  Very juicy and tasty seasoning.  Maybe this is what's keeping it in business? ... Fries, blah.  Poured half the salt shaker on them to make them ""ok.""  Seriously, Please new management take over or else a new place move in? Such a shame and waste of a great location : /",0.9706,0.754,0.143,0.103,0.5959516594516595
2014-04-08,3.0,"Like this place.  Hit is before baseball games when I go with one of my buddies that is a bit more west of me.  Solid beer selection, attentive staff even when games are going on and this place gets jammed.  Food is rock solid bar food.  Make a decent turkey club if you are trying to be some what healthy... good luck with that when a Cubs game is in the mix.",0.8625,0.845,0.155,0.0,0.4851851851851852
2014-04-04,2.0,Do not go to Cullen's after a Cubs game unless you also have been drinking all day.  What in the world did they do to the shepherd's pie?  It used to be good but now is unrecognizable.  It's also not good.,0.7003,0.868,0.132,0.0,0.5333333333333333
2014-03-16,2.0,The shepherd's pie was good (though not super authentic) but I had my  Guinness poured into an 12 plastic cup (others got glasses and full pints) and I kept getting wafts of something that smelled like a drain pipe was backed up.,0.5068,0.806,0.146,0.048,0.6416666666666666
2014-03-01,4.0,"Comfortable and great service.  The Mac and cheese looks amazing, I had a rueben which was ok, could have been more toasted and the corned beef was a little fatty. Didn't have any drinks, but the beer selection seemed abundant.  I'll be back!",0.7901,0.8,0.2,0.0,0.588888888888889
2014-02-16,4.0,"Partner and I stopped here for dinner before an event at the very nearby Music Box. We loved the space. The staff was friendly and efficient. The food was good. It's an Irish pub kinda place and the menu befits an Irish pub. We each order the Shepherd's Pie; he accompanied dinner with a coffee and Irish Cream; I with a Calypso Coffee. The drinks were good despite the fact the coffee was awful. The entrée was good albeit not great. I suspect the mashed potato topping began in a box. Overall, we were both happy with the meal and won't hesitate to return when in the neighborhood.",0.9502,0.725,0.209,0.066,0.4730769230769231
2014-02-14,1.0,"Truly awful! If this place wasn't attached to the theater, it would be closed by now. The service took forever. The waitress just did drive-bys, never really stopping to actually serve us. We had to ask for everything and often sat without the basics.  The bathroom was beyond disgusting on every level. The food was ok; the martini was in one of those tiny glasses from the 50s and so overpriced. Never again!",-0.3012,0.832,0.09,0.078,0.48571428571428577
2014-02-05,4.0,"Good place if you're seeing something at the music box, i got the mac and cheese with salad, also tried the quesadilla app, all were solid, nothing special, but reasonably priced and good service",0.6674,0.769,0.188,0.043,0.49428571428571433
2014-01-13,3.0,"Had a little time to kill last night (Sun 1/12/14) before a movie at Music Box next door so stopped in here. It wasn't terribly busy and the gentleman behind the bar got us menus quickly enough but was difficult to engage to actually order anything when we figured out at least our drinks within a few minutes. He was busy with whatever, the service bar, one or two other customers, and we looked up from our menus, made eye contact, yada yada, the usual signs after five minutes that ""hey, we're ready to order here!"" But I pretty much had to verbalize that when he paced from one side of the bar to the other for the umpteenth time. Nice bottled and draft beer selections. We got the artichoke dip app and it was sublime. Ultra rich, nice onions, great cheese flavor with a perfectly bubbly brown crust. Served with rye bread triangles. The bar has a historic Irish feel to it and come to find out the ""Codger of Cullen's,"" our bartender, has the Irish brogue. Brooding Barkeep with Brogue...that's what I'll call 'eem! Place has potential, just needs to be friendlier.",0.9894,0.777,0.188,0.034,0.467948717948718
2013-12-21,2.0,"Stopped in for a bite and a few drinks before a show at the Music Box. We had an hour and change to kill, so no rush.  We got sat in a fine booth, next to the kitchen. The server was attentive and cordial. No complaints there. We got the ham sandwich, tuna melt, wings, and a few drinks. Both sandwiches were subpar, the drinks were expensive, and everything was just blah. Fries were totally unseasoned the curry sauce was bland. It would've been a 3 star review, but it ended up being almost $80.  I suspect they'd get a ton of clientele regardless of whether their product is any good based on location alone. I can't wait for Blue Bayou to open back up. I will not be coming back.",-0.7591,0.84,0.04,0.12,0.391025641025641
2013-12-15,4.0,"Went here around 9 on a Friday night after a show at The Music Box and had dinner and drinks with the wife and was pleasantly surprised. I usually like to review the service, menu and atmosphere but in all fairness to the staff, a whole large group of us descended on the place all at the same time. And given that there seemed to be one waitress for the whole place, I'll give the staff some slack. That being said, service was still quite good despite that. We were promptly seated, given menus and our drink orders were taken and received in a fairly short period of time, regardless of crowd size. What I appreciated about our server is she managed to keep a good attitude and a smile on her face despite it being nearly impossible to navigate between the hordes of people jammed into the bar area (and a really drunk loud guy who seemed to be hell bent on knocking into everybody and spilling their drink). I had the Shepherd's Pie and the wife had the Chicken Pot Pie and both were excellent. The Shepherd's was a nice size, filled with well seasoned beef and topped with mashed potatoes. I appreciated that it was more meat than potatoes (like some places you get this in). HP steak sauce was a nice bonus too. The Chicken PP was HUGE and filled with chunks of real chicken and a nice sauce. A perfectly flaky crust topped it al and it was so big the wife couldn't finish it. Again, quite excellent.  Our food came out quickly given the crowds so we were happy about that.  One thing to know about the place is it's a tight. We were at a table near the window and there was no room to move your chair and people will bump into you as they try to walk by to get to the bar. So I wouldn't call this a first date place. Or maybe it is because you will be very close to each other for the entire evening. Overall I'd definitely go back as between the food, service and atmosphere, it's a nice change of pace from the usual Wigleyville places that surround it. And 15% off with a ticket from the Music Box makes it a bargain too.",0.9968,0.788,0.183,0.029,0.5865725359911406
2013-11-16,4.0,"Cute little pub! I came in here while waiting for our dinner at another restaurant down the block. We ended up ordering appetizers and drinks here and watched the Bulls game. We ordered the curry fries and onion rings. I really liked the curry fries! The onion rings were standard onion rings, a little bit greasy. The food that people at other tables ordered looked and smelled amazing, so I'd be down to come back and try the real food.",0.8214,0.845,0.121,0.034,0.4460648148148148
2013-11-09,4.0,"One of the better chicken pot pies to be had around town. Great atmosphere. Perfect if you are checking something out at Music Box, or even Metro since it's just a short walk down a few nice side streets.",0.926,0.71,0.29,0.0,0.6111111111111112
2013-10-28,3.0,"Great Reuben egg rolls.  Sauerkraut, corned beef wrapped in dough then fried, then dipped in thousand island.  Not healthy but delicious! Limited appetizer selections. Wine selection is limited to: red or white.   Good beer selection. Friendly staff.",0.9348,0.57,0.34,0.089,0.403968253968254
2013-08-30,1.0,"Horrible!! Went on a Sunday when their special was mimosas. They were out of champagne. WHAT??? You're out of your special? Well, to make matters worse, they were also out of the next FOUR beers I wanted. I'm sorry but that's just not right. And this was all after it took the server 15 minutes to come to our table and ask what we wanted. Needless to say, NEVER going back.",0.4577,0.804,0.124,0.072,0.5865079365079365
