date,star,text,compound,neutral,positive,negative,subjectivity
2007-03-27,3.0,I've never been but I just wanted to clarify that Del Toro is closed permanently.  The owners are going to open a different type of restaurant in the same space.  No word yet on what type of restaurant it will be.,-0.4215,0.931,0.0,0.069,0.33125
2007-03-27,5.0,"If they ""aren't really closed"" then why is there a sign on the door and all the windows are covered with cheap colored paper?   Too bad, I went once and it had a very interesting different tapas type menu, lot of seafod.   Now its.....dead......or is it  remodeling?    I didnt get close enough to read the sign.  Guessing is fun.  It had funky architecture, so remodeling doesn't make as much sense....",0.4124,0.843,0.09,0.067,0.4520833333333334
2007-02-23,3.0,"From the outside this place looks like a warehouse. Its a bit hard to read the sign Del Toro.  Once you step in through the door its a whole different story.  It is magnificently decorated. I went there for brunch on a Sunday; there was about 14 of us so we had a little bit of a wait before we got seated.  So we relaxed in the lounge and ordered some drinks.I loved the drinks, the Bloody Mary is like none other.  They have great mimosas.   When we sat down the price for  brunch was a lot less then I expected. Most of the dishes were under $10.  The food was good, you cant beat it for the price. It's American dishes spruced up nicely. The waitress was a bit off, one of my friends got a dish she never ordered. She took it and ate it because she did not want to wait another 45 mins for her food to come.  If the waitress had not messed up the order and the food didn't take an unreasonable time to come out this place would have gotten 5 stars from me.",0.9804,0.816,0.156,0.027,0.5160130718954248
2007-02-20,4.0,"BRUNCH:  Del Toro is my new GO-TO place for the greatest laid-back Sunday brunch.   A super-surprising, morning meal.  Well done, Wicker Park. Sit at the bar solo (and crossword-puzzled) or nuzzled by buddies to munch with Del Toro's brilliant brunch-only bartender Skylar; he is a true gem for this place!   The 'Del Toro Bloody Mary' is TRULY crazy-tasty!   The other specialty brunch drinks are simply deee-he-he-licious, nice Mimosa varieties, no doubt. Mark my words:  I LOVE their food.  Without fail, a smart and gorgeous combination of flavors and textures.   TOP PICKS: Huevos Segovia...amazing Spanish Croissant...yes  Smokey Tomato Ancho Chili Chilaquiles...yum Must-mention:  This is the most reasonable brunch menu for such an upper-tier ""hot spot"" restaurant.  For the brunch selections offered at Del Toro, you ! absolutely ! CANNOT beat these prices.   Would go five-star, but... 1. Hot and fresh-tasting potatoes are hit-or-miss.   2. Dining next to heavy smokers is still totally gross.   3. Parts of the Del Toro dining room during day-service look downright scary: deep evil reds, vicious curves, and some jagged edges that just might eat me before I get to eat my beautiful brunch! If you're reading this and have not visited yet,  DO IT. Ah, Del Toro.   Sunday can't come soon enough!",0.943,0.74,0.159,0.101,0.6303291536050157
2007-02-20,4.0,"I can't think about Del Toro without getting a serious craving for their little potato...things...sour cream...good....drool... Sorry, what was I saying?  Oh yeah, the potato things.  They are these DELICIOUS little fried potato ""cups"" (I think they're called Patatas Bravas) that are deep fried and filled with sour cream.  Or was it mayo?  Whatever, they are fabulously good.  You need some right now. Besides the potatos, the rest of the menu is delicious, the decor is fabulous, the crowd is hot, and the servers are fun. Edited 4/10: SHUT UP!  Del Toro closed??  NOOOOOOOOO!!!!!! I wonder what concept the owners will try this time.  First Mod, then Del Toro, what's next?  Could they please just pick a restaurant and commit to it?",0.9799,0.786,0.206,0.008,0.5603174603174603
2007-01-31,5.0,Definitely the best tapas restaurant I have been to in Chicago. I went with a big group of friends on a Saturday night and we all really enjoyed it! Everything we ordered was delicious and we ordered a lot! All of the dishes are very gourmet and much better than some of the traditional tapas you get at places like Cafe Ba Ba Reeba and Cafe Iberico. Try the butternut squash- it does not disappoint. The atmosphere was great too- kinda funky yet really warm and welcoming and the staff is really nice. And it's not even expensive. I highly recommend Del Toro.,0.9904,0.664,0.327,0.009,0.5953846153846154
2007-01-25,3.0,"I really enjoy tapas places, and I had high expectations for Del Toro.  They sat us on time, the service was good, and the prices seemed reasonable enough.  The sangria was ok - not too fruity, which was good.   The food tasted great, but it is not your regular Spanish tapas preparation, and the servings are REALLY SMALL.  Especially if you're used to Cafe Ba-ba-reeba or Emilio's or the like.  My favorite dish was the Spanish bruschetta with the manchego cheese, mushrooms and truffle oil.  Delicious!   Overall, everything was good, but I was really not full at the end of dinner - to the point where I ordered my own dessert just to try and fill up!  Good experience, but next time I think I will go somewhere where the food is a little more substantial...",0.9832,0.791,0.209,0.0,0.5137792642140468
2007-01-25,3.0,"My purse isn't big enough or flash enough. My hair isn't blonde enough. My jeans aren't designed enough. And my shoes? Not Jimmy Chu. But dammit, when I order patatas bravas, they better be hot.",0.4404,0.919,0.081,0.0,0.43125
2007-01-22,4.0,"Wicker Park is overloaded with brunch spots. We've never eaten so much brunch than in the last 6 months. Del Toro seriously surprised me. I was expecting overpriced, over-adjectived average food but I got a seriously great meal. We went on a sunday morning & didn't have any trouble getting a seat or talking to our friends. the decor was definitely modern, but check out the back fabric wall & the bathroom sinks. Quality.",0.9459,0.737,0.221,0.042,0.31296296296296294
2007-01-16,5.0,"Probably my favorite restaurant in Chicago. The decor is quite indescribable- like Gaudi got a hold of thousands of tiny tiles and went nuts. The food is more upscale than ba ba reeba/iberico/twist (the leading tapas places in the city), so not really even on the same level to compare. The waiter we had was more knowledgeable on wine than any sommelier ive met. Great service. Food IS pricey though, but its worth it.",0.7302,0.867,0.112,0.021,0.45937500000000003
