date,star,text,compound,neutral,positive,negative,subjectivity
2016-11-19,2.0,Not worth it. Tried based on other reviews. At least 2 levels below Lao Beijing (both Szechuan) and almost the same price. Skip it.,0.2263,0.921,0.079,0.0,0.25
2013-05-29,5.0,Eggplant with Garlic Sauce - INCREDIBLE. Seriously...I would venture out to Chinatown just for this dish.,0.0,1.0,0.0,0.0,0.9
2013-04-22,4.0,"If you like spicy you would have loved this place, the best cumin lamb ever. but sadly I Think its gone. what a shame.",-0.4678,0.537,0.215,0.248,0.7000000000000001
2013-04-21,1.0,Did Double Li close or just relocate?  I tried to stop by on 04/21/13 it said another restaurant would be coming soon.  Stopped by Moon Palace instead and was satisfied.,-0.0772,0.79,0.085,0.125,0.5
2013-03-25,1.0,"If I could leave a negative star I would too. This place is utterly despicable! The waitress was very rude! For example, I told her my girlfriend food is not edible because there's too much fat in it. She persisted to tell me that there wasn't any fat in her food. So then I had to show her all the fat that was in her food. She tried to tell me that that wasn't fat that its normal for chicken to be chewy. I could see where this is going. Then another person comes out of the kitchen with raw chicken in a bowl and shoves it in my face. And says see there's no fat. At this point I felt like I was being pranked. Soon after that I asked for a check. Of course she charges for the whole thing, I don't really care!! I just wanted to go somewhere else to get something to eat. She asks us if we wanted A to go box for that food. I just said Can we just have a check so we can go please.",-0.8935,0.883,0.026,0.091,0.5991538461538461
2013-03-19,5.0,"2 years later, I still love it. BF and I try to come at least once a month. If I go longer than a month without the chili chicken or the home style octopus, I start getting cranky.  This place is a little off the Chinatown beaten path but it is the most authentic, welcoming and well-priced restaurant and it's my favorite. Also, don't forget to BYOB, you'll want some cool, refreshing beer to calm the fire in your mouth.",0.9351,0.714,0.229,0.057,0.6454545454545455
2013-03-18,4.0,I am huge fan when it comes to spicy food.  My boyfriend brought me to his place because he wanted authentic spicy cuisine. We ordered the fried eggplant with fish sauce and water boiled beef. The dishes were amazing!!!!  If you want to know where the local eats then this is the place for you.,0.7243,0.878,0.122,0.0,0.6375
2013-01-27,4.0,"Absolutely delicious! I had crispy garlic shrimp and my hubby had the Kung pow (sp?) combo. Both were tasty. The peppers in the Kung pow even made my Mexican husband's eyes water so be ready for some heat.  We also had pot stickers that were excellent and spring rolls that while tasty, were cold in the middle (shockingly cold). Aside from that we had a wonderful dinner and will definitely return. All that for $34 (included complimentary tea)...Not too bad at all.  We will definitely be back.",0.9599,0.746,0.22,0.034,0.5972222222222222
2013-01-24,4.0,"Came here on the coooldest day ever and it was completely empty. Warmed up with some awesome hot pot. I let my more experienced friends do all the ordering, I just made sure they got lots of meat. And meat we got! The best were the balls of meat, the white fish (think it was flounder), and even the sandwich meat (kinda like spam) was good. I can't think of a single thing that I didn't like after we cooked it in the broth. Wish I could give more specific examples but like I said, I didn't do the ordering, just the eating!",0.9457,0.782,0.203,0.014,0.5315145502645503
2012-12-20,5.0,"This is by far my favorite place in Chinatown -- truly authentic Sichuan. Great food, comfortable atmosphere, pleasant waitstaff, inexpensive. Order the crunchy garlic shrimp with noodles or the dried chili chicken!  Also, Double Li's is flexible and fun -- when my brother came back to the states after 6 months in China he was able to practice his Mandarin and order an item off the menu!",0.9697,0.725,0.275,0.0,0.6368055555555555
2012-12-13,5.0,"Double li is a treat!  It's a really nice place for a date or to get together with friends (BYOB!), although it is unassuming as ever.  We were adventurous & ordered the pigs ear & oh my it was delicious.  It is sliced thinly & served cold so it is definitely not what I expected, but it tasted like thinly sliced cold bacon.  I liked it very much.  My favorite dish was mapo tofu.  Poket tofu is also, & they give you a generous amount of veggies with it, but I like mapo tofu better because it is spicy.  My boyfriend is a big fan of the dry chili chicken!  They are usually pretty slow to get your check, but the food is so good I usually don't want to leave anyway.",0.9932,0.668,0.323,0.009,0.6849999999999999
2012-10-19,1.0,"NEVER come here. I wish I could give negative stars! The restaurant was Szechuan-style but all waitresses I saw there were all from northeast China. The service is terrible. I visited here with my friend. We asked for extra rice for several times and finally it was served after 15 minutes. I asked to check then waited another 10 minutes. Then the waitress left again. I gave up and thought I'd better check directly at the cashier's. Guess what? The waitress said I need to pay more tips! Alight, I then added $1. She was still not satisfied, then she took out a calculator and showed me how much I needed to pay for tip! Since the waitress was from northeast China, where people are well known as rude, unreasonable, and collude with gangdom, I didn't think it's a good idea to argue with her, especially when there was no mobile network coverage in case I needed to call police. The rating on Yelp is unreasonable high. They must cheated on this. Save your money, time, and life. KEEP AWAY FROM HERE!!",-0.9242,0.761,0.084,0.155,0.5226666666666667
2012-10-04,4.0,"This restaurant made me remember the saying Don't judge a book by its cover. I took the red eye flight to Chicago last weekend for a wedding. By the time I was well rested it was pretty late, so my fiancee and I decided to have a late lunch in China town. We found Double Li on yelp and went with gut instinct. We had a hard time finding it due to the way its entrance is set up. Also due to the odd hour, we were the only ones there. The place looked pretty run down and not very appealing. Call it being hungry or adventurous, we decided to give it a shot! BEST DECISION EVER! We were in a mood for some dumplings and fish in chilli sauce, both of which did not disappoint! The food was delicious and everything we imagined. I wish we had more of an appetite to try something else. The hostess who seemed also like the owner was very warm. We had some fabulous fish in schezwan sauce in Boston, since then we have been craving and looking for that entree everywhere. I can happily say we found it in Chicago. The price was very reasonable and the meal had good portions to it. For any tourists or local people I would highly recommend this restaurant.",0.9897,0.802,0.177,0.021,0.5552735042735042
2012-09-29,5.0,"I'm from Chongqing , so enough familiar with the Chingqing food. It is really traditional!",0.0,1.0,0.0,0.0,0.5833333333333334
2012-09-12,5.0,"Went here for hot pot after waiting in line too long at a neighboring establishment and was not disappointed! We had a group new to hot pot and the service was great and attentive, the food was awesome...we are looking forward to going back.",0.7873,0.852,0.148,0.0,0.6193181818181819
2012-07-27,4.0,"When I walked into this unassuming restaurant by chance a few days ago I knew I'd hit a home run. There were hand-writtten Specials in Chinese characters pasted to the wall, which indicated I would find some authentic Chinese food. All I had wanted to do was to  escape from the 105F heat after traipsing around with a 7 year old to buy a pink parasol to match her cheongsam.  Problem: The 7 year old only eats food that has no color or taste and my 20-something daughter, who was with us, doesn't like anything cooked with oil. I like spicy food, the more oil the better. What to do?  The menu choices and the cheerful willingness of the restaurant to accommodate everyone's wishes saved the day. From the menu we ordered a noodle soup (for the 7 year old), and a vegetable and tofu soup as a back up. The flavors of both were delicate but delicious and everyone loved them. The 7 year old gobbled up the noodles, of course, and even asked for more of the tasty broth.    My daughter asked if they could prepare for her a steamed vegetable dish with steamed chicken (not on the menu, for understandable reasons). It turned out to be a good call because the 7 year old surprised us both by woofing the broccoli and pea pods -- and they're not even white! I gave the steamed stuff a miss, but to please me we also ordered a spicy beef dish from the menu that was truly delicious. Even my daughter agreed. The 7 year old passed on that one.  I don't go to Chinatown very often because there are not many restaurants whose food tempts me back, but I'll certainly be going back to Double Li. In China I've eaten some great food, hard to find in most restaurants here, but that spicy beef dish was the real deal.",0.9922,0.815,0.157,0.028,0.4418027210884353
2012-05-08,5.0,"Great old-school Sichuanese food, reminds me of home. Everything tasted pretty on-spot, and it's less glittery and commercialized than Lao Szechuan. My only complaint was that the la zi ji ding was a little too dry for my tastes, but that might be just catering to Americans. And the spiciness was thankfully authentic! tl;dr: Come here for real Sichuanese food! Not your standard American/Americanized fare.",0.8092,0.851,0.127,0.023,0.5166666666666666
2012-03-30,5.0,"Needed some dinner with my fiance before seeing a movie on a Saturday night and the wait at Lao Sze Chuan was 40 minutes.  So I pulled up Yelp and tried to find something decent that wasn't going to take forever, and wasn't Phoenix since we eat there all the time and I was insisting on something new. We found Double Li tucked away in an unassuming area directly across from the arch that takes you into the main Chinatown strip. *** FOOD (5 stars) *** First off, their menu is huge.  Don't be overwhelmed. The Szechuan Dumplings are what I was hoping for, dumplings served in essentially a soup of sauce that you fish out on a spoon. The sauce was great, but the dumplings themselves were a little light on flavor. We also ordered a pork dish that I'm blanking on but was essentially julienned pork, celery, and bamboo with a nice sauce.  And my fiance got a shrimp dish with I think a black bean sauce that was also good. By far the best dish, and perhaps one of the best dishes of Chinese food I've ever eaten in my entire life (and I have eaten a lot) was their home-style chicken special.  Picture a metal pot brought to your table and filled with mushrooms, bamboo, tons of dried chiles, a million szechuan peppercorns, and bite-size chunks of chicken (some still on the bone) that is both crispy, and extremely juicy at the same time. My fiance HATES spicy food and I can't get enough.  She was brave enough to try this after she smelled how good it was, and because the peppercorns numb your tongue to the heat (and make your mouth tingle), she was able to eat this, and even she agreed it was unreal how good it was. If you go here, you MUST MUST MUST order this dish. I couldn't stop eating it, literally, and almost ate myself sick. *** Service (5 stars) *** Contrary to other reviews, our service was great.  We had a very nice waitress who explained everything to us, talked to us about the restaurant, the food, etc.  She even went into detail about how the home-style chicken is made because it is her favorite dish too. *** Atmosphere (3 stars) *** They aren't going to win any design contests.  However if you enjoy small and cozy hole-in-the-wall Chinese restaurants with amazing food, this is where you go.  I personally enjoy that environment.",0.9956,0.795,0.159,0.046,0.5999953946762456
