date,star,text,compound,neutral,positive,negative,subjectivity
2015-02-27,5.0,"The atmosphere was cozy with a touch of romantic class at the Drawing Room, Chicago! My friend and I were seated at a cozy corner table for two. The plush chairs had a side and back which made it very comfortable, and if need be, easy to push together to make miniature love seats, for tables of four! Greeted by our personable and knowledgable waiter, we ordered drinks from the list of uniquely designed cocktails. Of course, wine and beer are available but the cocktails are really worth a try! I ordered what the waiter described as a 'holiday' drink, ""Orange is the New Black"" with hints of spices and orange. I ordered it because of the same name show on Netflix! I would describe it as two drinks in one. The spices are definitely dominate until the last few sips where a foamy sweetness with a hint of orange flavor takes over. After ordering drinks, it was time to look at the food menu! Even with the short list of menu items, about five choices in each section of First, Second, and Main, it was hard to decide what to order. I could have chosen two items from each section! After narrowing down our choices, we asked our waiter what his favorite items were. He mentioned our top choices and it was an easy decision from there. We started with a First, Steak Tartare, reluctantly skipped the Second, and chose Pan Roasted MonkFish and Duck Confit as our Main. Everything was delicious. We left nothing on our plates except for the duck bone. We never wanted for anything! The water glasses were always filled before they were empty. The food portions were perfect! We did not leave feeling stuffed but, honestly, very satisfied. The staff we came in contact with were very friendly and professional. The Drawing Room is definitely a place to consider for a date night, special romantic outing, or a nice dinner with the girls! I am already thinking of reasons to go again! (Dinner ~ February 8, 2014)",0.9966,0.785,0.192,0.023,0.5032882395382396
2014-12-27,5.0,"Love this place! I've been here several times, though admittedly not for a number of months, but will be happy to return once I get the chance. They have some of the best cocktails here, super comfy lounge chairs that make you want to stay for hours, delicious and pretty food, and impeccable service. The waitstaff and bartenders aim to please, providing answers to questions about some of the lesser known ingredients in the cocktails and asking for your likes/dislikes to help guide you towards a delicious beverage. Everything here is consistently good and worth the venture to the Gold Coast.",0.9946,0.621,0.371,0.008,0.6263888888888888
2014-12-17,5.0,"This restaurant offers an atmosphere matched by few. Dim lighting, velvet cushioned lounge chairs, candles, and linen draping from the ceiling to the floor combine for an elegant meets swanky vibe, without a dress code or pretentious feeling. The appetizer my husband and I had was some version of pork belly and IT WAS THE MOST TENDER MEAT I have ever had. Flavorful, and delicious, I could eat it again and again.. my husband and I fought over the last bite!  The entree was mediocre, I took a chance on a lamb burger, only having had lamp as a chop before, and I found it entirely too bloody.. quite unappetizing. The waiter and manager were incredibly accommodating and sweet about it all. They also compensated for it by lowering our bill. (We still tipped as if it were there out of gratitude.. the server shouldn't be penalized) My husband ordered some sort of cajun steak and it was different, but good. For dessert, we each got something different. He got creme brulee and I got a deconstructed pecan pie, both of which were INSANELY delicious. They use only what is in season, and only local ingredients. This leads to very few selections on the menu, but ideal choices nonetheless. Would recommend for a date or after-work get-together with a few friends!",0.9811,0.852,0.134,0.014,0.6388666666666667
2014-12-09,5.0,"The food is excellent and the drinks are so creative and perfectly made every time. On my last trip here I learned that they are closing at the beginning of next year and my heart fell dark. The service and quality of drinks will be dearly missed, especially in the area. It was the only place in the loop/river north that I could always find a seat and have a great cocktail.",0.9559,0.747,0.227,0.027,0.6907407407407408
2014-12-05,4.0,"Entrance takes you down a staircase into a subterranean oasis. Ambiance is dark with speakeasy sass and cozy. Seats are cushy little half couches.  We've come many times for dinner. Cocktails are beautiful and carefully prepared. Their menu is rather small, but reliably good. Despite the location, it's a little hidden Gem. And if you come on a weeknight it's super chill and a great place to relax with friends or your person and talk about life.",0.9818,0.696,0.304,0.0,0.5903703703703704
2014-12-04,4.0,"Came here for a quick drink on a week night and liked the quiet, laid-back vibe and conversation-friendly music level. Drink was tasty & strong. Dining tables were cozy but it wasn't open that night due to private event. Would love to come back and check out the food!",0.8791,0.809,0.191,0.0,0.4966666666666667
2014-11-30,4.0,"Generally, I am not a fan of the high priced gastro-experience places, but this one is actually not bad.  We were in a larger group, and had the semi-private room. Our waiter was knowledgeable, friendly, and accommodating.  The food was delicious, not too pretentious, but on the pricy side. I think the concept is to serve small enough plates where you try different things from appetizers to dessert.  I gave it 4/5 simply for the prices.  Otherwise this is a cool spot!  Love the ambiance!",0.975,0.753,0.232,0.015,0.577985347985348
2014-11-22,4.0,"What a perfect little spot in the Gold Coast area!  I came here for drinks & dinner with my boyfriend. First.. This place is hidden! You have to keep your eye out for it. It's more of a lounge than a restaurant. We sat on little couches with a table. We first ordered drinks from their cocktail list. So the reviews are right.. Their cocktails are delicious! They are made with fresh ingredients! I had a drink that was made with cinnamon, apple cider and butternut squash. It sounds gross but was amazing! My boyfriend had a drink called the Peruvian  trying to do me in and he really enjoyed it. We also shared a drink with lavender in it.. That was my favorite! If  you are coming here for drinks..skip the beer and wine! Just stick to their cocktail list and you will be satisfied!  As for food..pretty tasty! We ordered the mussels which were a hit! We also ordered the braised short rib.. It was just ok. The reason why I say just ok because they fried it. I am not a big fan of m short rib being fried. Lastly we ordered the duck confit! It was cooked perfectly and mouthwatering! I recommend the duck! I am sure everything else on their menu is good too! Wish I could of tried it all!  Lastly... The ambience of the place is different. It's in a basement so you don't have any windows but it's dark with dim lighting. It's a great place for a large group to sit around and have a few drinks!",0.9955,0.781,0.204,0.016,0.5237583205325141
2014-11-21,4.0,"A cheerful but very young bartender made us some pretty good off-menu drinks.  By Chicago standards, I'd give the cocktails alone a solid three or even three and a half stars. But far more exciting, who knew that there was someplace on Rush street where you could waltz in without a reservation on a Friday night and easily grab a seat in a quiet and cozy place and have a civilized conversation for several hours?  I had no idea, and for that reason The Drawing Room goes in my back pocket.",0.9417,0.744,0.203,0.053,0.5668888888888888
2014-11-18,4.0,"Blues starts at 9:30.  I have been challenging the mixologist to match drinks to the scallops and bacon, then the Kale/anchovies salad and finally the deep fried spare- rib.  He has nailed ever drink.",0.1531,0.952,0.048,0.0,0.7999999999999999
