date,star,text,compound,neutral,positive,negative,subjectivity
2015-01-03,1.0,"How about a General Manager, John, who walks around f'n drunk!!!! Then it smelled like rats!!!! I have a friend who used to work there and said that rats were a common thing in the restaurant, pasta boxes, in the ceiling!!!!! STAY AWAY!!!!",0.7825,0.843,0.157,0.0,0.6666666666666666
2012-05-02,2.0,"The food is OK, but I've never had a good experience at this location. This place is nearby so I've been there many times over the last 10 years.  The service is OK at best and usually it's BAD.  The place is almost always empty and they still make you wait forever.  I keep on giving them another chance and they keep reminding me not to go back.   Examples of bad experiences: - Waiting to be seated for 15 minutes when we were the ONLY customers in the restaurant - Waitress or waiter takes your order and you never see them again.  I've actually had to go to the register to pay because they never came back to give us the check, much less refilling drinks. (this has happend more than once) It's been so consistently bad that it just has to be managed poorly.  These aren't flukes. Chicago has plenty of good pizza places.   This isn't one of them.",-0.8264,0.773,0.093,0.134,0.4351851851851851
2012-04-06,4.0,"I had some pretty good deep dish here. I ordered just a slice of cheese and it got to out table pretty quickly. It just tasted really fresh and warm, I guess it was  a bit expensive for me but I'm definitely a fan",0.919,0.659,0.341,0.0,0.6444444444444444
2011-11-04,2.0,[2011.11.04] Came back here to use my other $25 gift certificate. We got the Gluten free pepperoni pizza and chicken fettuccine alfredo. The pizza tasted mushy and the fettuccine wasn't anything better than what you make at home.,0.5851,0.803,0.142,0.055,0.525
2011-07-03,4.0,"I eat too much pizza. I love pizza too darn much.  And here's where I offend most Chicagoans....I do not like deep dish. Would I like it here or there? I would not like it here or there, I would not like it anywhere.  Give me a good crispy, thin crust. Or even a doughy-foldable New York style. I feel like it's almost blasphemous to say this in Chicago, but there...I've said it. I don't see anyone with pitchforks outside my door, so I guess we're good. For now. Despite my avoidance of deep dish, I still love pizza in Chicago, hunting down the elusive perfect thin crust.  Edwardo's does well. Enough so that I keep going back.  I've never eaten in at this location, which seems to be many other reviewers run into issues. They're so close to home, I just walk my butt over there for take-out, and justify the ""exercise"" as offsetting all the pizza calories.  I'm pretty basic when it comes to pizza. Light sauce, good cheese, and spinach. That's my regular. If I'm in the mood, I add flavor via basil and artichokes. So any pizza place that offers these three ingredients is A-Ok in my book. (You'd be surprised how many places don't offer -any- of these three ingredients.) The roommate tolerates my affinity for veggies over meat toppings, so we're all good. The sauce is tasty, but doesn't overwhelm the other ingredients. I haven't had to specify light sauce since a) they don't drown the pizza in sauce, and b) the quality of the sauce is good enough that I enjoy, rather than tolerate, eating it.  The crust is crispy, though a tad too thick for my personal tastes. (I dig communion wafer thin.) They provide adequate coverage of the pizza with your ordered toppings. No worries about ordering a pepperoni, and seeing five sad little slices.  And if you roll in around closing (not hard to do with how early they close), and there's a really friendly lady working the register, you could totally walk out with some free peanut butter cookies.  Which are my roommate's favorites. So I stroll home, and he's in awe ""You bought me cookies? Oh these are delicious. You're awesome!""  Uh, yeah sure, I'll totally take the credit for the cookies.  If you also have a sudden meatball craving, just go with it. Once you peel off the slice of unmelted cheese on top (kind of weird), you uncover two huge, delicious meatballs. Yeah, I won't eat meat on my pizza, but roll it into a ball, and offer it as a side, and I'm totally down with that.  Now, is it just me, or is pizza really flipping pricey in Chicago, compared to other options? As much as I spend on a large pizza, I can score an appetizer and entree take-out from Chinese, Indian, a burger joint, etc.  Granted that doesn't stop me from eating pizza....a lot. It's just an observation. Weird note: In the later evening when I try to order via GrubHub (have laptop, will not leave chair), they tell me that Edwardo's is closed. So I have to haul my butt up, remember where I put my phone down, and then *gasp* dial a number and speak to a person! Oh, the humanity! I understand they won't take web orders close to closing time, but this has been two or more hours before close. A quirk on Edwardo's side or GrubHub's side, who's to say. But if GrubHub says Edwardo's is closed when they should be open, just pick up a phone, reach out and touch someone for your pizza. Or not, that could probably get you arrested these days.",0.9974,0.8,0.154,0.047,0.5211282912775451
2011-05-08,4.0,"I love this place, dude.  Only complaint is that it's kind of expensive. A small spinach and sausage stuffed pizza (my thing when I go there) is like $20. Which is alright, but being a student, I have other expenses to cover.  In terms of taste, I think it's amazing. My mouth begins to water when I walk in the door (I always order it for pick up because it is extremely close).  A small stuffed pizza is probably enough for two people if you both take your time eating it, but if you eat fast, you'll find yourself eating the whole thing (and then laying on the couch afterwards for a while).  I have never had Edwardo's delivered, nor have I tried any salads or appetizers.  I just love that stuffed pizza though.",0.9455,0.863,0.125,0.012,0.6125
2011-04-26,2.0,So I just ordered delivery for the first time.  A simple order that the seemingly nice girl (Liz I think) repeated to me over the phone.  They promised an hour and 38 minutes later dude was there.  Awesome right?  Except the medium I ordered and paid for became a small somehow.  Manager Cynthia was rude from the beginning on the phone and resolved the issue by sending another small pizza.  I still have never seen a medium from this place.  The customer clearly does not get what they ask for here on the south side.,0.8689,0.83,0.14,0.03,0.5009523809523809
2011-04-25,3.0,"The Hawaiian pizza here isn't that bad....Delivery took a while, but hey it got here.",0.0,1.0,0.0,0.0,0.0
2011-03-12,5.0,Best pizza in Chicago but go to the printer row location and ask for Miles or Cynthia they have excellent customer service and great sense of humors. My daughter and I love this place therefore we will continue coming to this location only.  Miles is the bomb server. Oh and the pizza is yummylicious! Great service + great food = a happy customer,0.9936,0.537,0.463,0.0,0.76875
2011-02-12,5.0,"Having just finished moving into my South Loop apartment, we were starving.  After 6 hours of driving a U-Haul and lugging furniture up 5 flights, we needed a place to replenish our dwindling supply of energy. So we take a walk.  Being new to Chicago, I chose to walk towards the city...stuff will be open, right?  Wrong...most things shut down after 5pm downtown (duh...shoulda thought of that). Then we come upon Edwardo's.  It was open late and had plenty of seating.  And after 7 months of trying various pizza places in Chicago, I will say that I find Edwardo's to be the tastiest, most consistent and best Chicago deep-dish pizza around. I once tried their hot wings.  They were okay, but honestly stick with just pizza.  It's delicious. This location is always near-empty and the ambiance leaves something to be desired, but it's a freaking pizza place, not a fine restaurant.  And the pizza is super-yummers!",0.8817,0.843,0.111,0.047,0.5452765752765754
2011-01-08,2.0,"I really love Edwardo's Pizzas, however I won't be going back ever after our last trip to the South Dearborn location. Our waiter was a real nut case, and kept sneaking up to our table and screaming ""Happy Birthday"" as well as loudly singing the Happy Birthday song. He said that it was his birthday in a few days and that he was celebrating early. He was obviously drunk or on something. He pretty much weirded out my entire table and we eventually just got up and left. There are plenty of great pizza places around town, so I doubt that we will ever feel the need to make our way back to crazy town at Edwardo's.",0.9464,0.739,0.183,0.078,0.5083333333333334
2010-12-31,1.0,"Avoid this restaurant if possible. My wife and I just went and it was awful. The bruschetta appetizer was bad and we ended up leaving 80% of it on the table uneaten. I have had better out of the grocery store's freezer. The chicken basil salad was bland and mostly full of iceberg lettuce. The deep dish pizza was mediocre, edible but nothing special. Probably the worst deep dish pizza I have had in the city. I can understand if you go here only for the pizza, but you can definitely find better deep dish elsewhere.",-0.6171,0.78,0.087,0.134,0.7044642857142858
2010-11-29,4.0,I've been going here with my husband since we were dating over 10 years ago. This is a good staple for decent pizza and their spinach mozzarella sticks are terrific. The service can be a bit slow at times but they have great outdoor seating in the summer that exemplifies the beauty of Printer's Row.,0.9418,0.767,0.233,0.0,0.6833333333333333
2010-11-10,2.0,"Being a loyal Geordano's girl I never tried anything else until recently....i was walking my dog and saw the Edwardo's delivery buy and thought to myself why not, I should try it out.  We ordered and it was good, no complaints, the sauce had a bit of a kick to it but nothing major.  Okay, now fast forward to four weeks later, I decided to order again, this time for pick up.  I ordered a salad and pizza and was starving, I ran in to pick up my pizza and noticed one of the workers fixing what looked like to be my salad, with bare hands he filled the container up, wiping on his nasty apron, he then closed the salad container and handed it over to the register guy...and went back to cleaning the counter top with a brillo pad.  At that moment I realized that I didn't want to eat Comet for dinner so told the guy at the register forget the salad and I got the pizza.  Got home and started eating the pizza and it just wasn't good this time, it tasted stale and way too spicy.  Next time I'll just stick to good ol' Geordano's, so much for wanting a change.",0.1073,0.837,0.08,0.083,0.4431372549019608
2010-10-15,4.0,Ive eaten here a couple times and I dont have anything bad to say.. I recently tasted the spinach and sausage stuffed pizza and know I have to have it again. I like that the crust isnt cornmealish. Calzone made with anything I want in it- Love it!  Breaded mushrooms- Great! Chicken strips with bold and spicy sauce- Amazing! Garlic Bread- Yum!,0.9702,0.685,0.315,0.0,0.6833333333333333
2010-10-14,2.0,"I really didn't think much of this place. I was brought here on my ""welcome to your new job"" lunch.Maybe they were trying to hint something?",0.4588,0.885,0.115,0.0,0.43863636363636366
2010-08-20,3.0,The decor and atmosphere was underwhelming. It'd be a good place to bring a group I suppose. When I was there almost no one was there so maybe that influenced it. The pizza itself was okay but not great. It took a really long time to make and I'm used to waiting 40 minutes at Giordano's and the like. Nothing was terrible but with so many places in Chicago to choose from I most likely won't go back.,-0.6591,0.798,0.08,0.121,0.5833333333333334
2010-08-19,4.0,"The only thing good here is the thin crust All Meat Combo pizza, trust me, you'll love it!  But don't dine in, just order pick-up.   They always have my pizza ready in 20 minutes and every time I eat it, I forget about the times I actually dined in. They use a corn base dough for they stuffed pizza which I don't like at all. If you're every in the neighborhood again and want pizza, try the THIN ALL MEAT COMBO PIZZA and you'll be in meaty, cheesy, yummy heaven! Promise.",0.9627,0.732,0.229,0.039,0.7222222222222222
2010-07-22,1.0,"Worst place I've ever been to in terms of service. After waiting 10 minutes for anyone to come to our table, one of the two people waiting tables comes out screaming at everyone...at the top of his lungs...that he's aware that everyone has been waiting a long time and that they were short staffed.  ""Going up to the counter and asking for the manager is a waste of your time.  No one else is here but us tonight.  Just wait!""... he said.  No apologies really...just as a matter of fact.   I walked out promptly. Avoid at all possible.  The staff is clearly on the hunt to close this place down.  Based on past reviews, this seems to be a common occurrence and that the mgt doesn't care.  One person wrote ""duck cuz they're gonna throw some sh** at you"".  Well, it doesn't seem to be far from true.  I'm baffled that a restaurant like this is still in business on this economy.  Too bad i didn't get to try their seemingly good food but i'm sure it's not THAT good.",0.7184,0.764,0.13,0.106,0.5457516339869282
2010-06-24,1.0,"This place is bad. When I visited here the entire restaurant had one waitress covering all the tables @ around 5:30PM.  Granted there were only two tables when I walked in, but by the time I left (at around 7:30PM) there were at least 15 tables with only one waitress covering the whole restaurant.  Needless to say, the service was slow. Pizza itself is un-amazing.  Bland sauce combined with ""fresh"" mozarella cheese and uninspiring bread.  If I were to make a pizza from scratch at home, my oven would make a better one.  I was hoping to taste the good ""Chicago-style"" pizza, and what I got was something worse than Papa John's. Summary... bad pizza, bad service, overpriced.  Don't visit.",-0.6124,0.781,0.098,0.121,0.6161458333333333
