date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-18,5.0,"I have been wanting to try this ""new"" and ""popular"" trend of pairing wine flights with chocolates.  It was a phenomenal experience and I even purchased some of the chocolates to bring home after. Upon entry into ENO you sit at a bar...it seems more like a sushi style bar...but it is chocolate and/or cheese...you select the kind of flights of wine that you want i.e. white, red, rose, sparkling, etc. and then they are paired with gourmet house crafted chocolates....so delicious and very filling.... I love the creativity of the names on the menu as well...you can tell that someone has a great sense of humor! If you do not want to pair the wines with chocolates they also have cheese options. Definitely worth trying as it is a unique experience!!! FYI-Each month they feature a ENO university in which you pay $55.00 and have a specific tasting of genres of wines, i.e. rose for example and it is paired with cheeses and chocolates. They also rent backpacks to take with a bottle of wine, cheese, and chocolate in case you feel like picnicking.  Great idea as they are a few blocks from The Riverwalk!",0.986,0.807,0.178,0.016,0.5488636363636362
2017-08-11,2.0,"Pretty good Happy Hour prices on drinks...but don't order the charcuterie plate for $30...2 VERY small pieces of cheese, some salami and 4-6 small pieces of bread, mustard and jam....not enough for that price when 6 hungry shoppers stopped in!",0.8478,0.745,0.215,0.04,0.6699999999999999
2017-08-05,5.0,"I came to Chicago for a mini one-nighter vacation. After dinner at the Purple Pig, we walked across the street for a little wine and dessert. This place was great!  The coolest thing was the flights - they have both wine and chocolate flights. For chocolate, we had the ""dark and decedent"" flight, as well as the fleur de sel flight. The chocolates were pretty good! My favorite was the pomegranate Malbec. I also tried the ""Bubbles"" champagne flight, which was really yummy. A range of dryness, a range of fruity, and all of them were great. We were waited on by Cami, who had a lot of knowledge about the offerings, recommendations for pairings, etc. She told us about the origins of the business, and we felt very welcome. Would definitely recommend!",0.9872,0.765,0.235,0.0,0.67
2017-06-29,3.0,"I expected so much more. We wanted a wine bar experience and like to visit these type establishments. The wine was good, and while the font on the menu was extremely hard to decipher, once I at least translated sliders on there, they tasted pretty good (not bursting with flavor but very juicy and a good compliment to the wine).  The service was very disappointing, from the host staff to the bartender. They seemed to be just going through the emotions with no flair or pizzazz I would have expected from such a fine looking place. Fixing the service can fix a lot of what's wrong with ENO, and then what's right (the wine of course) will shine even brighter.",0.7441,0.746,0.158,0.096,0.5791587301587302
2017-06-26,3.0,"The wine selection here was ok. The charcuterie board was really disappointing. For $30 we got a lot of bread that was nothing special, a really small and limited selection of cheese; two of them being cheddar, and maybe 10 tiny slices of just ok soppressata. For a place that touts themselves as a wine and cheese bar, the cheese selection was disappointing. I've had better charcuterie boards from hotels as a side. For $30 from a place that makes wine and cheese their business, I expected a lot more. Our total for the charcuterie and four glasses of wine was $130. Definitely not worth what we paid. This place is definitely taking advantage of its location on Michigan Avenue and it's attachment to the hotel. Steep prices, crappy selection, almost rude service. I'd find other places for your wine and cheese cravings.",-0.5545,0.762,0.107,0.13,0.4837053571428571
2017-06-02,3.0,Decided to stop by for a quick snack after walking past it a few times. What was supposed to be a quick stop for wine and cheese turned out to take a good while. It took forever for us to get our cheese and meat board. I also got a red wine flight and didn't like any of them. Oh well. The cheese was good though. Bread and prosciutto were your typical offerings. Overall decent but wouldn't stop by again.,-0.2744,0.837,0.068,0.094,0.3716666666666667
2017-05-22,5.0,"Amazing, is the best word to describe this place. We ended up spending 3 hours here, prior to our dinner. They have so many amazing wines. So we ended up doing their wine flights. She had a champagne wine flight and I ended up doing 3 wine flights of red wines.  We also had some charcuterie, which was just as amazing as the wines.  I can highly recommend this place to wine lovers, people who want to spent a good time in a cozy atmosphere or to people looking for an romantic evening.",0.9841,0.707,0.293,0.0,0.4991666666666667
2017-04-25,5.0,"Not pretentious like other wine bars I've been to recently. Emphasizes flights, and portions are more than reasonable for the price. Had a flight of reds and a flight of cheese. Finished with a flight of ports with a flight of single origin chocolates.",0.3612,0.94,0.06,0.0,0.4398809523809524
2017-04-01,5.0,This place is great. Ambience = 10. Ask for Nicole. She is a service professional.. upon arrival I was put off by the service and rudeness I received from the men working. Nicole is amazing and makes this a place worth coming. The food and wine are great but Nicole - you changed this review From bad to wonderful,0.7579,0.692,0.211,0.098,0.6095238095238095
2016-12-12,3.0,Food cheese and wine are good. But could have better wine list. Service was pretty bad. I went there on a Sat night. Place was ok full. Waiter have no good knowledge about wine. And doesn't want to engage and talk to us. Not friendly. He seems very busy seat around instead of pay attention to custom. He left my plate of food not being to us. I had to looking for him forever eventually asked other people bring it to our table. The rest of our time there I try to order another round of food and wine. But nobody available to take care of us. Eventually a guy come to us took our order. 5 mins later someone told us the stuff I ordered is not available. It is very bad service. Bill come they add 18 percent of service fee on my bill for what I get. It is not good.,0.8896,0.78,0.138,0.082,0.491078431372549
2016-12-07,2.0,Service sucked. Had to find waiter every time. After half an hour we cancelled our cheese and charcuterie plate. Waiter argued with us about  the time but it was right on the ticket. We had a nice experience here our first time at the bar but won't be back.  Service is the most important part of any dining experience IMHO.,0.4748,0.823,0.097,0.08,0.5051020408163265
2016-11-06,5.0,The best wine I ever found in US. Not only the wines are awesome but the chocolate Flights and cheese Flights are superb! I wish I had more time in this town to visit this special wine bar,0.963,0.614,0.386,0.0,0.7285714285714285
2016-11-05,2.0,Was here 2 years ago and would have given it a 5......was so excited to return here a couple weeks ago and unfortunately was very disappointed. Last time the server was amazing...she made it a wonderful experience and wanted you to enjoy and learn....this time no where near the same experience. The gentleman that started service with us just did not seem to care. Another server eventually took over and she was better but still not near what it was last time. Great potential in this place but with the prices I expect someone to put some effort into assisting you in making a wine selection. Last time we went back 3 times in 5 days and spent over $150.00 each time....this time once was more than enough. A disappointed returning customer.,0.4953,0.813,0.101,0.086,0.4973684210526315
