date,star,text,compound,neutral,positive,negative,subjectivity
2016-03-13,5.0,"When I lived here this was my occasional go-to, now when I visit, this is my immediate go-to! Lovely, personal, family owned restaurant with great authentic Italian meals and a fabulous wine list. I almost always get the Ricotta Stuffed Gnocchi, but have tried most of the menu through others, everything is delicious and cooked to perfection! They have a nice patio, offering indoor / outdoor seating year-round. My kinda place for occasions, date night, comfort food, and just an expected nice time.",0.9826,0.708,0.292,0.0,0.63125
2016-02-15,4.0,"Dang, just found out this place is closed :( My husband and I came here for our second Valentines Day (celebrating it on the 15th though) when we were dating. Their bruschetta was amazing and I cannot ever forget that mousse cake. That cake was oh my goodness incredible. And I do recall we were the only ones in there aside from one other couple. Yes, that was awkward. But I won't forget that food.",0.8091,0.787,0.158,0.055,0.659375
2015-07-11,2.0,"We went last night for the first & last time. Our server was very nice & helpful but that's it. As a previous reviewer said the food is a step above Olive Garden. Everything was mediocre. The indoor patio looks much prettier in the photos. In reality it looks tired and dingy. The floor looks dirty. Overall it just looks like it needs to be refreshed. Maybe those lights have been hanging there too long.  But to be clear it is  not an outdoor patio. It is enclosed on 3 sides. The ""ceiling"" is plastic with some grubby looking corrugated sheets visible through it. Not romantic and cozy. More like dingy & in need of cleaning. Romantic outdoor patio you will find at Piccolo Sogno.",0.948,0.768,0.178,0.054,0.4392156862745098
2015-07-06,4.0,"The atmosphere is wonderful! We were seated in the indoor patio. Its cute. I was wishing to be outside for real but maybe they don't have that? Also our server was awesome. Very helpful and attentive. He joked along with me and make sure that we had a nice dinner. To start I had a dirty martini which was made perfectly. My boyfriend had a negroni which was also nice. We went right into the mains. I had the risotto special with beets and my boyfriend got the manicotti. We had a side of brussels sprouts with it. I'm not over the trend yet. Everything was delicious and well made. I think for the price point you get good bang-for-the-buck. Its not fancy, and I'm not sure if everything is made in-house, but what we had was pretty good. If I lived in this neighborhood this would be my ""I don't feel like cooking tonight"" place.",0.9953,0.654,0.313,0.033,0.7597326649958228
2015-07-03,2.0,Pros: Outside garden is pretty.  Gelato is the best thing on the menu The bread was fresh and hot.  Cons: The restaurant smells like mildew. The bathroom scent is so strong that I tasted it in my mouth.  The food was so mediocre. A step above olive  garden.,0.9472,0.714,0.286,0.0,0.5666666666666667
2015-06-15,5.0,"Excellent food, great service. Lovely out door patio. We stayed inside as the weather was muggy but stepped out for a peek. Nice quiet ambiance for conversation.",0.875,0.667,0.333,0.0,0.7722222222222221
2015-05-30,4.0,"This place has been a favorite of mine and my husband's for about 7 years. We love the outdoor seating area and the ambience. It's a local favorite.  Overall, it's good. Some minor tweaks that would make good food, even better food. We started with the calamari. The calamari, is good, but I think they should experiment cooking it a tad longer for a more ""golden"" calamari. The coloring is a little light which isn't terrible but I think it could have used another minute.  I also would strongly recommend they serve the calamari with a warm tomato sauce vs. cold. It just didn't pair properly. Maybe it's supposed to be warm, but ours seemed like it was intended to be cold. Just seemed odd.  I enjoyed my entree dish. I had the clams with linguini and chose the white wine sauce. It was quite good - loved the flavor of the sauce and the pasta was perfectly cooked. They could have cleaned the clams a little better - I had tasted sand, which is bound to happen but it was kinda more than anticipated. The other tweak - and it's picky I know - but I would have thought they could have sprinkled some fresh flat leaf parsley on top of the center of the dish. Again, very good - but it was like ""oh, there's just a lot of minced clams in the center of the plate. Alright.""Some parsley could have brightened up the dish a little.  My husband had his staple favorite - gnocchi with tomato cream sauce. This place has the best gnocchi I have ever had in my life - and I have been to Italy. Their gnocchi are just perfect pillows of ricotta. I strongly recommend this dish and it's just under $17.  Overall a great experience. There's a reason why we've been coming here for years.",0.9983,0.715,0.277,0.008,0.5442424242424243
2015-05-20,3.0,"My husband and I visited Fiorentino's on a blustery Monday night.  We said outside in the heated outdoor garden, despite cool weather, and were comfortable without coats. Mondays there is a special on wine - 50% off.  It was a nice surprise.  Bread was fresh and rather normal. We started with a grilled octopus -- it was the best part of the meal and we really enjoyed it. We both ordered a special, but the food was mostly ordinary -- neither were ""special"" in flavor and my risotto (sausage and broccoli) was even bland.   We finished off with a tiramisu, which was a large portion and good, but not to die for. Overall it was a nice ambiance and okay food, but I don't see a reason to visit when I can go to one of the other local restaurants that is just plain amazing.",0.9831,0.767,0.223,0.01,0.5390151515151514
2015-05-10,3.0,"I had been looking forward to trying Fiorentino's for some time, and I was kind of disappointed. It's not bad, but it's certainly not any better than most Chicago Italian joints. For example, the rock shrimp risotto had decent flavor, but it wasn't made with arborio rice. It was pretty clearly made with long grain white rice, and the creaminess was faked with the mascaropone cheese they added. Lame. I've made much more authentic and delicious risotto at home. The signature dish of homemade pasta stuffed with crab and artichoke in a vodka sauce was pretty decent, but overly heavy, so not authentic Italian. The Nana's ""Have a Bite"" was pretty unique, with two meatballs served with a salad in viniagrette. Eating the meatballs together with the salad was pretty good -- on their own, the meatballs were a little bland. My husband had the minestrone soup, and he thought that was also unremarkable. The best thing I ate there was by far the apple, mission fig and blue cheese salad. It was nicely dressed and good proportions. The service was pretty average, not especially attentive, but the person bussing our table stacked someone else's dirty dishes on our table when he was clearing ours, which I think is pretty tacky (and unappetizing). The dining room felt like a flurry of clanging dishes when we first sat down, as several tables at once were cleared at once -- I get it, they have to be cleared, but it was really disruptive. All together, the place was only ok. I won't be rushing back, but if you're satisfied with average, Chicago-style Italian, and you aren't hoping for something more authentic or interesting, you may be just fine with this place. It was easy to get a reservation on a Saturday night last minute. So it has that going for it.",0.9963,0.73,0.218,0.052,0.5947330447330448
2015-05-03,4.0,"Pleasantly surprised.  I Stopped in Saturday may 2nd at about 7pm. When we walked in it was really warm in the restaurant and no available out for seating.  I actually had to take a star away because of how hot it was,  and our table was shaky.  But our server fixed it.  I had the Neroli and it was so good.  I forgot it had alcohol in it.  She had the fruta de Mar and loved it.  One mussel was empty.  And the clams were quite small.  But good flavor.  I had the tortillini also really good and filling. I felt like the drinks were a little over priced for the neighborhood and alcohol level.  But I think I'll be back.  Bottles of wine are a really decent price.",0.9585,0.766,0.178,0.056,0.48333333333333334
