date,star,text,compound,neutral,positive,negative,subjectivity
2015-10-25,5.0,"A lot of history here, my uncle Tony used to eat here in the 70s. This place was sort of low key and from what I remember really only served other italians probably all the way up to the 90s",-0.3384,0.939,0.0,0.061,0.66875
2014-01-08,4.0,"When I was younger, Gennaro's was one of my favorite restaurants. Their food was so good. I used to love their pork chops and pasta dishes. I can't believe that Gennaro's has already been closed for just over four years. Where has the time gone?",0.8988,0.781,0.219,0.0,0.4600000000000001
2010-01-09,1.0,"The husband, 2 friends & I tried to eat here long ago.  No one would seat or speak to us because the group was racially-diverse. We left, and will NEVER return because of this. We have NEVER been back, and never will be.",0.2263,0.878,0.072,0.051,0.13333333333333333
2009-10-19,3.0,"Gennaro's is stuck in the 70's.  This can be good or bad.  It's good if your an older person that like the familiarity of the run-down, old school restaurant.  It's also good if you want to crack up at the bar.  It's bad, if you are finicky.  You'll probably lose your patience. The food here is an after thought b/c the real entertainment is the staff.  Corporations have sanitized the restaurant industry.  Servers and bartenders are expected to be neutral.  Gennaro's staff is not neutral.  They shoot from the hip and if you don't like it; they don't care.  Are they bad people?  No.  I'm sure they're great people.  They're the people who lived and grew up in Little Italy all their lives.  They did not move to Elmwood Park or Addisson and assimilate w/ the rest of the world.   This place is definitely more of a cultural excursion than a food experience.  I had the chicken vesuvio.  It was good, but the garlic just killed me.  My friends had the manicotti and ravioli and they were disappointed.",-0.4303,0.754,0.128,0.118,0.5301169590643274
2009-08-28,3.0,"An old school Italian place that buzzes you in the front door? Welcome to Gennaro's.  This place is a bit like eating at a relative's house. Open when they want (Thurs- Sundays) with children's drawings taped to the walls (grandchildren perhaps?)and the menu prices updated with stickers (who needs new menus anyway?) this was like a flash back to another time. A simpler time. But the prices were definitely 2009.  Once buzzed in, I took a seat at the bar to wait for my dining companion. The owner was back there greeting regulars and grabbed me a beer while I waited. There are three booths in the bar area and a handful of tables in the back. The walls are decorated with taxidermed fish (the owner's dad got the big shark on one wall) and pics of the celebrities that have eaten there.  We waited at the bar until they could get ""our"" table ready which ended up being one of the booths in the bar area.  As is often the case- we ordered a range of food so that we could try several things on the menu. For appetizers- we had the stuffed artichoke special and the antipasti plate. Both were quite good.  Next up- the soup (fava bean) and salad (iceberg and tomatoes) course which was okay but nothing special.  Finally the entrees. My dining partner in crime had the pork chops and peppers special (2 huge double pork chops smothered in peppers) which was quite good. I had the Braciole special (flank steak rolled and served over linguine). It came smothered in meat sauce and was good but I have had better at other places in town.  The service was friendly, folksy and efficient (again like eating at a relative's house) and was well coordinated between the two servers.  Given the low key approach to this place- I was surprised to see the bill coming in at $92 before tip. It felt a bit pricey for dinner and two drinks in a neighborhood place.  I love neighborhood joints to grab dinner with friends. But I love them better when they don't charge ""fancy place"" prices.",0.9964,0.771,0.199,0.03,0.42615027829313545
2009-08-02,2.0,"Gennaro's is your no-frills neighborhood place that looks like it is a find. However, I have eaten there twice and found it to be sub-par. Their house salad is nothing more than a clump of  iceberg and I was underwhelmed by their sauce (gravy in Chicagoan).  Overall, you can do better.",0.6597,0.893,0.107,0.0,0.3333333333333333
2009-05-28,4.0,"Gennaro's This is a very nice old school Italian place that my Mom and Dad would frequent back in the day.  All of the pasta dishes that I have tried were great, although they recently did raise their prices on some of the meat containing entrees.  There is a bit of an exclusive feel to this joint because they have to buzz you in the door.  Even after the state wide smoking ban, old timers were constantly still lighting up inside this place.  2 entrees with an appetizer and one dessert was about 60 bucks (no booze).  That to me is a lot, but I know that for Chicago that is a competitive price.  A quick story with respect to this place.  I called up to make a reservation for dinner one Valentine's Day.  I said, ""reservation for 2 at 7:00PM please"", and this guy responds ""No problem"", I say, ""oh great I was concerned it being Valentine's Day that you might be booked"", and this guy replies, ""Na we got room enough for your 'Valenteen', 'Valentine', and your 'Valenteen-a-roo-ski'"".  I hung up the phone shaking my head.",0.8897,0.868,0.094,0.038,0.39871794871794874
2009-05-09,1.0,"I'm thinking some of these reviewers are family???  Could that be it??? I ate here with a large group last month.  Living in the neighborhood, I know about the place because it's been around forever!  The old world Italian feel of the buzzing-in (they didn't do that the night we were there--trust me--they needed everyone they could get in there), the dark woody feel, etc. yeah yeah yeah.   It needs to be dark, because I get the feeling you wouldn't want to see too clearly.   We were one of only two groups in the place on  a Saturday night, so business can't be that good.  So many better choices on the street. My group had a variety of dishes that I tasted.   First, the calamari was OK, not great, but passable.  The side salad--iceberg and a tomato wedge with Kraft Italian.  I had the lasagna special of the day and thought that, at least, this would be good.  I mean, come one, they've probably made it 50,000 times.  Not so.  I admit there were a lot of layers.   All noodles and cheese stuff--no flavor.  Did they forget the meat?  Did they forget the sauce?  The meat sauce served with it tasted scorched.   They should go down to Conte di Savoia and buy one of their homemade lasagnas--much, much better.  A friend had the sausage and peppers (another old Italian dish they should know how to make) and there must have been 10 green peppers ( so huge ) along with the dry sausage.  Peppers very greasy and oily.   I will admit that the plates of pork chops with potatoes looked huge.  But they doesn't make them good.  I didn't try that and can't comment on it. This restaurant has done it's time and it's time is done.  Go 1/2 block W to Francesca's and have a nice meal.",0.9731,0.809,0.131,0.06,0.46365740740740746
2009-03-17,5.0,"smells like tomatoes have been brewing for years the moment you walk, or wait! they first need to buzz you in :-) living around the corner from this place, you have got to love it. The meat sauce is to die for. This is real italian. you don't have the fancy schmancy stuff you have all along taylor, you have soul and heart here. you have the grand-kids drawings taped on the wall, you have them being open whenever they want to... you have amazing italian food.  The pasta is perfection. the meat sauce with the italian sausage is yummy there, and even tastier when you take it home and eat for breakfast the next morning.  and porkchops.. my goodness! flavors popping everywhere! i miss this place. it's quaint and homey, so expect that you may wait,  food will take while, it's not a cheap place, but at gennaro's, you marinate during the meal.. just like the tomatoes marinated all day in that sauce.  you enjoy it.",0.957,0.844,0.135,0.021,0.4121212121212121
2009-01-09,5.0,"All I can say is you gotta try the pork chops!  2 huge pork chops piled high with potatoes and garlic and red peppers and oil, omg! Know a guy that keeps track of how many times he's eaten them there! pasta and everything else is good too. Real home style. The owner or son or whatever bartender can be pretty abrupt and rude and not easy to deal with. The sister is sweet and nice and takes care of her regulars and neighborhood people.",0.9164,0.758,0.187,0.055,0.6602777777777777
