date,star,text,compound,neutral,positive,negative,subjectivity
2015-09-16,1.0,"Love that this place closed!  Was in my all my top 10 for rudest customer service experiences of all time.  Total hipsters with the classic entitlement attitude, rather have Dominos and get treated with respect.",0.7088,0.706,0.214,0.08,0.42333333333333334
2015-04-24,1.0,Was wayyyyy overrated.....run by miserable aging hipsters who looked upon their customers with great disdain. Good riddance.,0.1779,0.494,0.266,0.24,0.7833333333333333
2013-02-28,5.0,I have heard it's closing. Tried to call last night and the line had been disconnected. My favorite pizza  in Chicago. Very sad to see it go. Was a wonderful restaurant with high quality ingredients and a beautiful atmosphere. Will be missed.,0.719,0.677,0.211,0.111,0.7677777777777778
2013-01-30,1.0,"Good pizza ($$$$$), bad lady. Heard this place was closing, it made me chuckle. I once ordered that French style pizza with onions and bacon, you know tarte flambee (btw it's better in France). When I asked the lady (I call her lady because she isn't a waitress) if they could put the onions on half she basically told me no way (you all know the story, they don't do anything for anyone). I told her then that she could watch me pick the onions off one by one when the pizza came. I stared her down and picked them off as previously stated, plopping them down onto the pizza tray. She couldn't have cared less but I enjoyed it. Go somewhere else (oh wait you have to it's closing and if they open a new place still go somewhere else). Your arrogance is beyond words.",-0.0858,0.868,0.065,0.067,0.36658249158249157
2013-01-28,2.0,"I felt torn with this review.  I need to start off by saying that the pizza was out of the world incredible!  I have never tasted pizza quite so good.  It almost overshadowed the horribly rude and impatient waitstaff, but not quite. They will not take a party over 4 people because they want to fit as many people in as possible, according to them.  When I told them that I wanted my father, who is 86 years old, to dine with me and my family, bringing our group number up to 5 people, one staff member very bluntly said, ""no, this is the way it is and it's not changing.""   Therefore, I have only eaten here once.  There was a wait of 1 hour just to get seated, and it's BYOB.  When we tried to alter the pizza by asking them to put on a little less onion on the onion pizza, the waitress gave an adamant ""NO, the chef does not change the pizza, ever.""  OK, I can appreciate a chef sticking to his/her guns, but the waitress just acted so irritated by us for asking.  When we got the pizza, I could hardly get over the incredible taste of it, so I can understand why the chef does not change the pizza for any reason.  It truly was perfect. When we gushed over how good the pizza was, the waitress seemed to irritated and indifferent.  It's like they all hate customers.   The restaurant itself was very, very small.  We had to share a table with a few people, and that was kind of fun.  I enjoyed the ambiance of the place.  Too bad the service was so bad and the entire waitstaff seemed ungrateful and resentful of anyone eating there.   Also, the pizza was incredibly expensive.  $30 for a pizza.  A little much for my taste.  It really was good, though.",0.4871,0.726,0.14,0.134,0.5839583333333332
2013-01-23,5.0,"Great place, great pizza, and great people.  This spot will be sadly missed.  There are a lot of reviews angry at the wait, the service, the employees and in a way I can see their point.  I have visited 8 times, had to wait every time, and twice I was unable to be seated so had to carry out.  The bottom line is that this is a small place with very limited seating that serves top quality pizza.  When demand exceeds supply wait times increase, or some times you get shut out.  If you go in with the expectation I am here for a great pizza you will walk away happy.  For ample seating, bubbly servers, and constant attention this isn't the place.",0.935,0.738,0.175,0.087,0.6599206349206349
2013-01-19,4.0,"Great place for pizza (not Chicago style).  It's a small place but really good, fresh ingredients and you can taste it.  Make sure you have plenty of time to wait or put you're name in and go over the hopleaf for a beer and come back!  It is worth it!",0.9441,0.728,0.272,0.0,0.4626984126984127
2013-01-14,5.0,"I am a connoisseur of pizza, high and low brow...love it all. I have to say Great Lake is some of the best pizza I have ever experienced. Owners are truly devoted to their craft and execute their vision with excellence. I can really appreciate that. They use the best local ingredients when available and have high standards for ethics in all products they use. That is what I pay for. They aren't trying to be everything to everyone, nor should they. I will truly miss this business, but look forward to seeing what they will do next!",0.9299,0.768,0.193,0.039,0.3845454545454545
2013-01-13,4.0,"This is one of those tiny places where you wait a long time for pizza. Just get here at 4:15 and you will get a seat. There is a place in Arizona just like it and that's what we did. Sometimes you have to wait in line for good food. We went here after we found out they were closing at the end of the month and wanted to get to the number 1 pizza on the GQ list. Overall the pizza was really good, but I wouldn't put it at number 1. I would say it was probably 5 or 6 on the list. Overall, worth a trip, but don't expect the best pizza ever, just really good pizza.",0.7094,0.844,0.118,0.037,0.34444444444444444
2013-01-10,4.0,"Love the pizza and was glad to have one last meal at the Andersonville location yesterday before they close later in the month. Who knows where/when/in what capacity they will re-open, so I wasn't taking any chances. Loved the pizza, as always. Had a delicious pie with aged cheese, garlic, spinach, cream, and sea salt; on a crust that was at least partly whole wheat. I've never once experienced any issues with service - what problems could there be? There are only 5-6 things on the menu, they don't serve alcohol, and only serve a couple beverages. How much additional service could you really need? If there aren't seats, relax, go over to Hamburger Mary's for a few beers, and they'll call you. PIcked up a half dozen of Lydia's delicious cookies as well. Yes, the pizza is pricey, but you pay for the extremely high quality ingredients, local whenever possible. Two people can have a very filling meal with a little left over for about $30/pp including tax and tip, which I find reasonable for what you get. I wish them the best and hope they re-open soon. I live in Avondale, so...if you want to open up a shop there....yeah...",0.9742,0.826,0.143,0.031,0.49901234567901237
