date,star,text,compound,neutral,positive,negative,subjectivity
2015-03-09,3.0,"Beautiful restaurant with great customer service. However I didn't enjoy my food, I ordered lamb and it was a little dry. But it is a beautiful restraunt and I know a lot of people do enjoy this place and I will definatly come back to try it again.",0.8245,0.677,0.224,0.099,0.60625
2014-11-03,3.0,"I came here for restaurant week lunch. I have to agree with some of the reviewers, that while the place is gorgeous and the service is impeccable, i didnt think the food was up to par for the price. We tried the potage du jour, the salad, the duck terrine, gnocchi, and chocolate mousse for dessert. I liked the dessert the best, it had a mousse, chocolate gel and bits of ganache in it. Come here for a drink and admire the place",0.9485,0.813,0.187,0.0,0.6875
2014-08-19,4.0,"I am surprised to hear that Henri is now closed. I guess I am glad that I had an opportunity to dine in this establishment. I had a wonderful dinner with my husband and our business partner here one night. I really liked everything about this restaurants:atmosphere,drinks and of course food. Their bartender was very friendly and knowledgeable and the drinks were superb. I had Albacore crudo,Roasted Foie Gras and Duck Cassoulet. The food was exceptional,the atmosphere sophisticated and service top-notch. Too bad that I wont be able to relive my dining experience.",0.969,0.72,0.247,0.034,0.7946969696969698
2014-06-30,5.0,This restaurant went above and beyond for our anniversary celebration.  The menus were printed up saying congratulations and we were given a lovely glass of champagne on the house.  This restaurant made me feel as though I walked into a past generation where good food and good service were king.  I loved that everyone there was a little dressed up and enjoying the experience as much as the food.  I would come back here over and over.  Thank you for such a wonderful evening!,0.9826,0.697,0.303,0.0,0.4916666666666667
2014-06-04,5.0,Escargot is definitely a must-try! Bacon Wrap Rabbit Loin is very delicious. Would love to try out other desserts and the chef tasting menu soon! Will come back more often with close friends!,0.9445,0.649,0.351,0.0,0.49583333333333335
2014-05-20,5.0,"Loved the food. Totally nonplussed that it's closing to give way to a middle tier Italian restaurant. I got the explanation and I understand it, but that doesn't mean I have to like it. But on to the review. A great friend and I had our own mini degustation with wine pairings that was simply outstanding. As my friend and I have discovered, trusting the server to come up with the menu and the wine pairing creates a winning meal every time. Homemade bread. Diver scallops. Escargot bourgogne. Split pea soup. Duck cassoulet. Nettle Ravioli. Cafe au lait. Banana souffle. Three tier chocolate mousse. One of my greatest French dining experiences in Chicago was at a certain French restaurant in Evanston. After going ot Henri, that Evanston restaurant had competition. It's too bad that Henri will be closing its doors.",0.9917,0.706,0.265,0.028,0.5607568027210884
2014-05-14,5.0,"I have only dined here once but I enjoyed it immensely. I loved the relaxing decor and the extensive wine list. I am very, very, sorry to hear that it is transitioning to another concept but I will keep an open mind. It is so difficult to do fine French in an unpretentious way and this restaurant nailed it.  The night we dined there we enjoyed the chef's tasting menu - lobster mouse, fois gras, cod with fava beans and a rhubarb consommé, squab with ramps..etc., - and all beautifully paired with some organic/biodynamic wines. They sourced from: Gunthorp Farms, La Belle Farms, Maple Leaf Farms, Nichols Farms, Sustainable Greens Farms, and Swan Creek Farms. Again, I am so sad that they are closing. Henri serves up some delicious cocktails too! Perhaps I will be able to get a reservation before Henri closes for good. I recommend you do the same!",0.9824,0.715,0.217,0.068,0.6802083333333334
2014-04-27,5.0,"Came here for restaurant week and had a lovely meal! The duck was pretty amazing and the pumpkin soup was a great start. It's definitely a good place for special occasions. The environment is on the traditional side, and the patrons tend to be a little older. I've always been a fan of French cuisine, and I truly enjoyed the thoughtful design and quality preparation that went into the dishes here!",0.9871,0.608,0.392,0.0,0.6128968253968253
2014-04-25,5.0,"Incredible! Food was so creative with unexpected ingredients but in no way overdone. Highlights were the Diver Scallops, Foie Gras, and my favorite the Pheasant.  Service was professional and polished but still very natural and genuine. Wine list was full of quality that you won't find elsewhere by the glass. This is an absolute must for your next dinner out. I'm mad at myself for not visiting sooner!",0.549,0.78,0.132,0.088,0.6790909090909091
2014-04-21,4.0,"a looong overdue review.  i made a reservation for nye for my family. we decided to go for full experience and chose the tasting menu w all courses. we felt slightly rushed throughout. food was great. towards the end, i was so full that i couldnt finish my desserts (that never happens and i was very sad).  i will be dropping by here very soon to try out other items!",0.6588,0.933,0.067,0.0,0.5273809523809524
2014-04-14,5.0,Excellent overall experience. Interesting wine list. I had halibut and woodland mushrooms. Both were excellent. Blueberry sorbet also great. Excellent service that aimed to accommodate special requests. I will return next time I am in Chicago. A top notch experience.,0.9698,0.564,0.436,0.0,0.5912698412698413
2014-04-13,5.0,Henri superseded my expectations! They were the only restaurant willing and able to accomodate me and my 18 other guests on a Friday evening  for my fiance's surprise birthday dinner. The ambiance and decor was elegant yet modern. We sat at a table overlooking Michigan avenue in very comfortable velvet chairs. It was very quaint and classy. The staff was very attentive and helpful. A few guests had questions regarding the menu and our waiter explained the entire menu to them. They were also very patient as several of my guests were late.  Now to the food. This was our first time having French inspired cuisine. My fiance and I thoroughly enjoyed the appetizers. We ordered the roasted foie gras (duck liver) and the albacore crudo. Not only were they succulent but the presentation was mesmerizing. They were very whimsical looking. For our entrees we ordered the rack of lamb and the monkfish bouillabaisse. The lamb was very tender and juicy and accompanied by sweet potato. The monkfish reminded me of a soup or gumbo because it contained lots of seafood such as huge prawns and mussels in a broth-like sauce. Delish! For dessert they provided my fiance with creme brulee and it was also decadent! Crispy on top and light and creamy underneath.   The night couldn't have been any more perfect! I felt the pricing was reasonable considering it was an upscale restaurant and the portions were fair. The only downside was that they did not have valet parking!! :( ..By it being located on Michigan Ave one would  expect valet. Fortunately we were able to find parking on state street and walk over after sometime of searching.  One will not be disappointed dining at this lovely one of a kind restaurant! Thank you Henri for an incredible evening and for being the highlight of my fiance's birthday!,0.9933,0.819,0.162,0.019,0.652136752136752
