date,star,text,compound,neutral,positive,negative,subjectivity
2015-12-14,5.0,I still miss this place.  No breakfast place in town has ever come close.  Such a sad loss.  Like the death of a friend.  Please come back.  We love you.,0.0258,0.416,0.282,0.303,0.525
2010-02-02,5.0,"Hillary, your mac n cheese was the best I have ever had.  I still don't know what to do without you after all these years.  Please, come home and give us another chance.",0.8176,0.761,0.239,0.0,0.3
2008-04-06,5.0,"Praise go to MS. HILARY WHERE EVER YOU ARE... YOU ARE THE MODEL FOR ANY RESTAURANT ON THE FACE OF THIS EARTH.  YOUR SERVICES , HOSPITALITY,) are amazing. I have dreams of this wonderful place.  I am not ashamed to say  but i didnt tell my old high school friends (lol  cause some of them are about drama  gangs and b s)  I didn't want to see people from any hood hanging out here. THIS RESTAURANT SERVED PANCAKES GOOD ONES  ALL THROUGHOUT THE DAY.... The lighting and the setting were contemporary and urban.  Very nice host and hostess...  ITS ALL ABOUT HILARY  I bet she trained them, as well as her cooks.  THIS PLACE IS IDEAL  WHEN I HAD TO STUDY SOME BUSINESS LAW  or wanted to take one of my buddies to talk business or have a casual conversation. But on the other hand  VERY SPECIAL IF I TOOK A CHICK HERE,,,  This was my place my joint, my world... Ummmm I can  taste the delicious food in my mouth now... and its so furfilling  ... the food is endless on your plate  it fills you up and there is still more left over...   If my bill was 30 dallors  expect 15- 20 dallor tip... I believe in tipping big  if im treated like ROYALTY.",0.9948,0.774,0.22,0.006,0.5800661375661376
2007-10-12,4.0,I'm surprised this place closed down. It was actually very good. I hear the mayor used to eat here. Used to be one of a few reliable brunch spots.,0.624,0.831,0.169,0.0,0.4337777777777778
2007-08-24,5.0,An awesome urban joint. I used to take Saturday morning motorcycle trips downtown to have breakfast here. There is nothing like it (that I've found) in DuPage County.  Truly inspired food. Corned beef hash that's based off slow-cooked brisket chopped into large chunks. Variety of eggs choices served in styles that blow away 99% of all restaurants serving breakfast. Awesome breads and coffee threatens to peel the enamel off your teeth. If a new one does open (drops to his knees and prays) I hope they keep the tough urban feel of the old store front.  This place is busy for a reason so expect to wait if you snooze late.,0.9184,0.809,0.141,0.051,0.4833136560409288
2007-05-14,5.0,"Where o' where has my HUE gone? So many good memories I had here. Remember when they had that HUGE, ginormous breakfast buffet upstairs that was about $25.00 per person but worth every dime? Remember how you had to wait on Saturdays or Sundays for about 30 minutes but did not mind to people watch. Remember how they used to serve all drinks in Mason jars? Remember when you thought that was chic, not trashy? I remember wanting to live in the upstairs because it looked like the loft of a really cool friend who just happened to have a buffet in the living room. Please, someone recreate the ambiance of HUE on a warm, Saturday morning in May.....I will pay whatever you want. I am serious.",0.9754,0.777,0.201,0.022,0.5645833333333333
2007-03-24,5.0,What happened to this place?!! I use to love going there with my boys especially in the summer!! Every time my brother ran a marathon we would go to Hue's  for brunch and sit outside in their patio.......so sad! :(,-0.453,0.755,0.091,0.155,0.7300000000000001
2007-03-03,5.0,I miss this place so much... i miss the stupid fucking jars of jelly beans... what the shit? who wants a three year old jelly bean? I miss their mediocre food... i miss the shittiest brunch buffet in the world that i was forced to go to once... they did have sprecher ginger ale... i drank 7 once at brunch there.,-0.89,0.676,0.06,0.264,0.5375
2007-02-03,4.0,Hillary's was a haven of good food.  The number of crystals hung from the ceiling with fishing line really started to freak me out.  But they had great comfort food.,0.7675,0.632,0.284,0.083,0.5166666666666667
2007-01-29,4.0,"Moved away a few years ago from Chicago and shocked to hear this place closed (Although it appears the rumours are that they are to reopen). Great breakfast place, as evidenced by their typically long lines on the weekends. Brunch buffet is excellent but the killer dish for me was the Chilaquiles, the best! Great staff and Hillary and her husband were terrific...Here's hoping it reopens soon and will before my next visit!",0.9329,0.697,0.221,0.082,0.46666666666666656
