date,star,text,compound,neutral,positive,negative,subjectivity
2011-03-31,4.0,"The Hot Spot closed!?!?  This makes me really sad.  I used to LOVE going their on a Sunday morning for a tall glass of spa (cucumber) water and an egg sandwich with my friends.  The owner was really awesome and always super friendly.  Plus, they always had ""Finding Nemo"" on the TV.  I was obsessed with their lighting.  :(",0.938,0.623,0.271,0.106,0.7462962962962963
2009-08-28,5.0,"What happened to the hot spot?!  There was a time when I would eat there once a week, the pancakes were out of this world!",0.0,1.0,0.0,0.0,0.8500000000000001
2009-08-04,4.0,"as a current resident of brooklyn, i have become accustomed to a new york brunch. basically, passable food and all you can drink screwdrivers or mimosas or bloodys...you get the idea. hot spot is what i miss about chicago brunch. cute place. good options for brunch and no rush. i was a bit miffed that they don't take credit cards, but we got past that.",0.1301,0.848,0.08,0.072,0.5924242424242424
2009-08-04,3.0,"i came with molls to the hot spot.  i'm a resident of bklyn, too, and i can appreciate a good brunch - that has lunch available.  i wanted to like hot spot more, but i was seriously miffed about the lack of credit card taking.  no stars off for that, though, because if that's their policy ... then i can take myself somewhere else i reckon. the cobb salad was pretty good ... except that the supposed ""blue cheese dressing"" was not blue cheese dressing but balsamic.  i had the others at the table taste it to be sure i wasn't crazy after the waiter told me that it was blue cheese.  he had them take some ranch and add some blue cheese to it, which was ok.  interesting! also, refill service was a little slow on my diet coke.  i need caffeine on sunday people! it was cute though, and no rush.  nice waitstaff, too.",0.9782,0.725,0.213,0.063,0.5777777777777777
2009-08-03,2.0,"My boyfriend and I experienced The Hot Spot for the first time yesterday for brunch (Sunday, Aug. 2nd).  Our first impression of the place was that it was a really cute, bright and quaint brunch place.  We really wanted to check it out since we live blocks away and like to support immediate neighborhood businesses.   The waitstaff was really friendly and overall okay (minus the fact that the waiter forgot my boyfriend's order of toast).  Our problem was with the portions.  For the amount that the bill came too, we were a bit surprised because we received more than double the amount of food from other local/neighborhood brunch places in the area (Cozy Corner Diner, Bongo Room, Toast 2, etc).  The only reason why this would be an issue is because it was a really apparent stark contrast of the amount of food we got just last week at Cozy Corner Diner in comparison to The Hot Spot.  We left a bit disappointed and will have to seriously think about it coming back (that is if we want to pay money to only be half full in comparison to full).",0.8851,0.838,0.109,0.053,0.49505208333333334
2009-07-27,2.0,"Have lived in the neighborhood 3 years and been to Hot Spot countless times - except, probably haven't been in at least 6 months after our trip this past Sunday.  Walked in at 10am and was immediately seated - normally we are just able to squeeze in the last open booth before the place is packed by 10:30.  There wasn't anyone seated at the ""bar"" near the window or in the back, we were one of three tables.  Food wasn't as good or as plentiful as I remember (not a bad thing, just no leftovers to snack on later).  Service was fine, waitress left us alone for the most part but checked on us regularly for coffee refills.  We were in and out in 35 minutes because our food came fast, we were her third table and the check came quickly as well.   They've switched to cash only and have hours on Friday, Saturday, Sunday so I don't know what the biggest deterrent is.  Maybe everyone was having a yard sale Sunday?  We were missing the old Hot Spot from last year and probably won't return.  It didn't elicit the happy feelings brunch there in the past has.  Logan Square has few brunch choices so this is a sad change to see.",-0.9238,0.896,0.019,0.085,0.42075596816976124
2009-07-01,5.0,"Hot Spot, I love you.  I love your French toast, I love your eggs benedict, I love your pancakes (""crack cakes"" - all my friends who are pregnant are addicted, one claimed to have dreamt of eating the pancakes), I love your eggs over easy, I love your service (so friendly and fast), I love your green walls with bright circles, I love the coziness, I love the drawings on the wall, I love sitting at the counter, I love sitting in the back room, I love sitting in the middle section, I love your warmth in the winter, I love your shade in the summer, I love that honey butter deliciousness that sits atop my breakfast and I love that I have been to Hot Spot about 20 times and whenever anyone asks where we should go for brunch I bring up Hot Spot.  Hot Spot, I love you",0.9984,0.536,0.464,0.0,0.5720430107526882
2009-05-17,3.0,"Went to Hot Spot for the first time this morning for brunch. I ordered the breakfast burrito which was good, but the salsa that came with it tasted more like red sauce than salsa. The girlfriend had breakfast sandwich which she thought was OK, but all the flavor came from the sour cream chipotle sauce. I would try something else in the neighborhood first before going back again.",0.8604,0.868,0.132,0.0,0.3574074074074074
2009-05-10,2.0,"i've lived in the neighborhood for years. but i will never, ever go to the hot spot again. i got the loganberry pancakes - waaay too much sour cream in their batter, and not enough berries on the side. the coffee was TERRIBLE. i mean, i cannot properly express how terrible it is. my boyfriend took one sip and ordered a soda so he could get caffeine. one sip? yeah, it was that bad. his food, according to him, wasnt so terrible, but the prices and portions are crap. the only good thing about this place is the bacon, and its nothing special. never again, sorry you regulars.",-0.9618,0.741,0.064,0.196,0.7053996598639456
2009-03-12,4.0,"From the moment, I walked into the Hot Spot, I knew this was going to be good. Aside from the fact that I walked in gagging from laughter as my twitchy friend, Imran K. hopped and jumped so dramatically through rain puddles outside, I literally spent the entire time in Hot Spot laughing. I paused my laughter long enough to inhale some pancakes. They were so good. Imran got the franch toast. also delish. Loved the decor Loved the breakfast Loved the owner LOVED the prices.  I will be back.",0.9881,0.679,0.321,0.0,0.5553571428571429
