date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-24,4.0,I have been going to the IG for at least 10 years.  Always very good. The lunch buffet is an excellent option to the burgers etc. also very nice people.  If you are an Indian food novice the lunch buffet is a perfect way to try a variety of Indian dishes.,0.9285,0.763,0.237,0.0,0.836
2017-08-17,5.0,Love love love the buffet at lunch. The service is wonderful and the people are friendly.,0.9661,0.361,0.639,0.0,0.6599999999999999
2017-08-17,4.0,The Indian Garden was a very delightful place for Indian cuisine. I visit mantra often with my friends and I have to say their garlic naan is some of the best naan Chicago has to offer. Every dish I order has a beautiful flavor profile and is made to my preferred spice level. The paneer and chicken dishes are my personal favorite. I've eaten at many Indian restaurants and I just say Indian Garden has a lot to offer! Check them out for awesome food!!,0.9758,0.756,0.244,0.0,0.75625
2017-08-13,1.0,"We had a pretty horrible experience here. I see that many people seem to like this place, so I'm willing to consider that it might have been a fluke.  Our waiter was really unnecessarily rude. One of my companions mispronounced a word, and instead of taking it in stride or politely correcting her, the waiter then assumed that she had never had that item before, and asked who had told her about it. It was a strange assumption to make.  She then tried to ask if she could specify the spice level of her dish. Instead of just saying that that wasn't doable, he told her she must want another dish, but didn't actually explain the ingredients or the difference between the two. She was confused and said she just wanted the item she ordered, with a medium spice level. He said okay, leading us all to think that it was.  Another member of my party asked if their dish (which is a mild dish to begin with when prepared normally) could be made as mild as possible. Again, he easily could have just said that's not doable, but instead laughed at us and rolled his eyes.  When our food did arrive, the first member of my party got a different dish than she requested - the one he had told her she must have wanted. If preparing what she wanted the way she was asking was an issue, he should have told her it wasn't possible, instead of ignoring her and assuming she wanted something she already said she didn't.  Another dish we received (murgh makhni) was horribly, intolerably, salty. It was impossible to taste any other flavors. The person who ordered it was ignored whenever they tried to tell the waiter about it.  Then, he came back over later and told (not asked) my friend that she was done with her drink. He grabbed the glass without waiting on any confirmation from the person, who then had to argue to get her half full drink.  The prices are also ridiculous- vegetarian dishes cost equal amounts as meat dishes, despite this never being the case at abut other Indian restaurants. However on top of that, none of the entrees include rice or bread. You have to order those separately and pay an additional 4-5 on top of an already inflated cost of entrees.  If either the service had been good or the food had been good, I could have justified the cost. But you can't have your waiter treat customers poorly AND serve subpar food AND charge upscale restaurant prices.",0.9639,0.841,0.101,0.058,0.5686274509803922
2017-08-11,3.0,The reviews are pretty much spot on.  It is on the second floor. The stairs are steep. We went at lunchtime on a Friday. They had two buffet lines. The longer one was fir all the vegetarian dishes. I tried them all and they were all good and hot. Fresh hot naan served at your table. You could watch them make the naan through the windows behind the vegetarian line. The left line was the carnivore line. One fish dish. Two chicken dishes. One goat dish. The fish was full of bones so be careful. Two desserts--the milk/rice/almond concoction and the dough balls with a pistachio in the middle that is in a syrupy/honey. Service was just fine. Quick to clear the dishes and keep the water glasses full. The food is on steam tables so it is plenty hot.   The place was clean. The food was good. It was very popular at lunch time. Large groups of people kept coming in. Buffet for the three of us with water to drink was 60 bucks not including tip. Enjoy.,0.9568,0.864,0.122,0.014,0.5744306418219461
2017-08-09,4.0,"Had delivery and was pretty satisfied... Had the app combo and chicken tikka masala (no judgements please :0 )...  App combo was pretty decent size, heavier on the veg items and the chicken tikka pieces were on the dry side but it was all well seasoned... The chicken tikka masala was a decent portion size with white meat and good flavor.  It didn't come with rice and was on the pricey side but par for course given the neighborhood.   Also had the Gulam jamun which was light and moist, pretty good...  Delivery was fast, showed up 20 min earlier than expected...  Solid option for the area, would order again",0.9377,0.853,0.147,0.0,0.6596491228070175
2017-08-08,5.0,Came back several times to eat here. Got to speak to Nazia again and it is always a pleasure to have her as our waitress. Restaurant has great food and Nazia's customer service makes it much better to be here.,0.8934,0.771,0.229,0.0,0.3125
2017-08-03,5.0,Love this place!  Amazing Lunch buffet.  They mark all their dishes if vegan or gluten free.  I get the Chana Masala and have them add spinach...and it's out of this world!!!,0.9256,0.684,0.316,0.0,0.7666666666666666
2017-08-01,1.0,"Really Bad Service - awful experience! This place deserves negative stars.  There was no assigned server and the servers had no clue about the menu. The drinks that we ordered, never arrived. We were unable to get additional bread/dishes during the meal, as there was no one to take the order; even after asking repeatedly. The lady taking the order refused to call the manager when we wanted to provide a feedback and finally got us a check which was not for our table. The attitude was that the $8 discount at the end makes up for the horrible evening with atrocious service -- they really managed to spoil a family get together.",-0.9696,0.812,0.0,0.188,0.7208333333333333
2017-07-31,1.0,"The only reason I gave this restaurant 1 star is because the app doesn't allow you to give a restaurant negative stars.  We came for a family dinner on a Saturday evening with an 8 PM reservation. The entrance was decorated with traditional gold statues and lotus petals, adding to the overall ambience. The restaurant didn't seem to have waiters or waitresses assigned to table as they were really just fluttering around from table to table. However, they certainly weren't understaffed.  We began by ordering a paneer tikka, bhel puri chaat, and a beer for drinks. The paneer tikka was very dry and the presentation looked as if the food had just been thrown onto the plate. We asked the server for mint and tamarind chutney, as the menu stated they were supposed to be included. Our server just nodded her head and brought it after we reminded her 3 times and we had finished our appetizers. The bhel puri was under seasoned and lacked unity with the seasoning because the vegetables were roughly diced and too chunky for the dish.  For the main course we ordered the black daal, shai paneer, and kofta. The black daal and shai paneer was pretty decent but lacked a sufficient amount of salt. The kofta had become soft but the taste of the gravy was good as the tomato and garam masala added a base to the dish. About halfway through the entrees, we asked a different server for the menu to order another naan (bread) as the ones we had ordered already were finished. This server also just nodded his head and said he would send someone over with a menu. The same thing happened once we asked for onions with yet a third server. After about 20 minutes, no one had come with the menu and we had to eat the rest of the food without any naan.  Once we were 'finished', we called our server for the check and told her that she hadn't brought our drinks, onions, lemons, or menu for another naan. We requested to see the manager as 3 of their servers hadn't gotten our food. She said that there was no need for the manager and that she could take care of it. She even went to say that we hadn't even ordered a beer and that it wasn't on her writing pad. She ended up coming with the cheque with a 10% discount and telling us that she just 'forgot' the beer and that it was in fact on the menu. We opened the bill and told her that she had brought the wrong bill, yet another shocking mistake. The total bill came to $89.90, which wasn't at all worth the trouble.",-0.9133,0.919,0.026,0.055,0.5137238095238095
