date,star,text,compound,neutral,positive,negative,subjectivity
2016-02-02,4.0,"The miracle berry 6 course meal with included pairings is a great deal at $75. The food is from the same mind but does not have the same execution and finish of Moto where we dined earlier in the week. But for a third the cost I can take it. Details like slow service, unclear explanations and  failure to clear dishes and glassware are details I can bear. The food is still fun and once again I'll reiterate that it's a great deal.",0.9408,0.707,0.222,0.071,0.35333333333333333
2014-12-22,5.0,"Came here with the bf to try the Valentine's special 9 course meal. I thought all the dishes were creatively composed and tasted spectacular. Some way better than others, but overall experience was outstanding. The decor mixed with the server's head to toe black attire made me feel like i was in a modern art museum. This place is all about the experience -- which is a huge part of what molecular gastronomy offers. It's visually and sensory pleasing. The miracle berry was something else! It's from Africa and they dried it to prolong its shelf life. Eating it turns anything you eat that's acidic to sweet tasting -- I was blown away! It's always the little things that captivate you. Loved every part of my experience from start to finish. The meal was also more affordable than other high-end, experiential restaurants.  Warning: small place, definitely make a reservation way in advance.",0.9902,0.753,0.229,0.018,0.5027380952380953
2014-07-03,4.0,"One of the most interestING dining experiences I've had.  I tried the Salvadore Dali 4-course menu during restaurant week. All the dishes were based on Salvadore Dali's paintings. Beautiful presentations, small portioned meals. Flavors were very earthy and interesting. The miracle berry was a trip!  Service, although, was pretty slow. Staff was friendly and were knowledgeable about every single course.",0.9654,0.719,0.281,0.0,0.5314285714285714
2014-06-07,1.0,"We came for the Salvador Dali special for Restaurant Week. And have been trying to blot it out of our collective memories since, while simultaneously regretting the hasty decision to mortgage our children to pay for it.  The only good thing I can say about the overall experience is that the waiter brought a second plate of lemons to extend the miracle berry pill experience beyond the two slivers of citrus provided by default. (Hey, folks, do you realize that the taco place two blocks down will give you these for free? Yes, heroically, even as we suffer through the Great Lime Famine of 2014. As for the miracle berry tablets, they can be bought off of Amazon for ~$1.40 each.) The slimy ""melting clock"" applique on the second course was roughly the texture of snot, and tasted about the same: bland while simultaneously obstructing and sliding down your esophagus... a little like diphtherae (don't scrape, you'll just make it worse). The tables are about two feet apart and the wait staff cultivate a smug self-important veneer. Something like, ""I work at a fancy restaurant, but I could not care less about customer service because it interferes with my sherry-sipping art student"" attitude.  The main course, a chorizo stew, was an inferior version of homemade, i.e. impossibly salty. In spite of this, water refills were infuriatingly slow. As we slowly died of internal desiccation, dessert finally arrived: a mangled piece of stainless steel supporting what could generously be described as two dots of Trader Joe's cherry and apricot jams and one dot of Trader Joe's cookie butter. This, friends, is what passes for luxury and innovation. I, lolcat, am not amused and would rather scavenge my owner's still-hanging duck prosciutto from the patio hooks than pay another $60/person to come again (and that's not including tax or tip). As I sit, still gulping down my Pedialyte, forever rehydrating (FOREVER rehydrating), I beg you to reconsider your kidneys. By the way, I still have one child remaining. And he looks like a fairly promising violinist. Any more bright dining ideas?",0.9579,0.796,0.132,0.072,0.4463010204081633
2014-06-05,3.0,"iNG really shoots for the moon. Unfortunately, it misses the mark. A friend and I came here for the Salvador Dali inspired menu.The dishes were artfully presented and the descriptions sounded creative. But taste was just not there. The first course was a beet salad which came with a miracle berry pill for ""flavor tripping."" The server instructed us to tasted the profile of dish before the pill, then to take it and re-taste the dish. All of a sudden, everything tasted sweet, and the dish took on a different personality. Flavor tripping was definitely the highlight of the meal. While it is a unique idea, the bottom line is that it is gimmicky, and cannot truly enhance an otherwise normal dish. The second course was a tomato and sausage soup that was pretty unmemorable. The dessert course was an amalgam of unidentifiably-flavored schmears of sauces and a long slice of nougat. It looked lovely but tasted average. iNG wants to be creative, but sacrifices taste for presentation. This is a shame since it has to compete with lots of nearby restaurants that strike a great balance between taste, creativity, and artistry. So I am not going to be running back here for their pretty plates.",0.9751,0.791,0.161,0.048,0.5873015873015873
2014-05-30,4.0,"Went with a TravelZoo deal, which included 10 courses and drink pairings.  We had our friends with us, so there were 2 vegetarians and 2 non-veg.  The new menu had just kicked in, which was based on Beer.  I was in heaven... all the course came with some kind of beer, my wife got the wine pairing, she was happy with that.  I enjoyed most of the courses. I thought a couple were too funky and one or two a little two on the salty side, but overall I liked the concepts and it was ""fun with food""",0.926,0.839,0.149,0.012,0.5616161616161617
2014-05-07,2.0,"OK. I got taken on a Travelzoo on a ten course iNG tasting menu with ""cocktails"". Now when I bought this Travelzoo for iNG they were proudly advertising the weird and interesting Dali menu with a COCKTAIL pairing. NOW, it's beer can chicken and craft beer, WTF? Travelzoo got their money and they are NO help for what is obviously a severely downgraded menu and drinks. Bait & Switch is the only way I can describe it, however unintentional these hipsters may have intended it. I bought Dali and cocktails, I got beercan chicken and beer. Now I could have gotten into the Dali Menu in that cold weird urban space with the previously advertised COCKTAILS, but the lame beer can menu with craft beers was more surreal than Dali and I just felt I had been ripped off $195. And I was. Do NOT go to iNG until they get their act back together- no big suprise they are CLOSING 5/24 for a 2-3 month renovation. And certainly do NO busyness with TRAVELZOO. They are no help.  AVOID TRAVELZOO. Groupon is solid, sh*t happens and they fix it.",-0.8755,0.785,0.083,0.133,0.5994331065759637
2014-04-16,1.0,"Went there tonight with my restaurant club.  Such a disappointment, I am writing a review.  Things to note: -The living social deal you boughy was just that. A deal. Dont be fooled into overtipping. Tip on the $100 meal that you received. No more.  -The second beer pairing was not what listed on the menu. But they didnt care.  -Food is average to sub average. -Two of my dishes came out cold  -Service is mediocre -Too much time in between courses, exaggerated delays.  -Empty plates just left in front of you for long periods of time (I even went to the bathroom and came back and it was still there!) -Absolutely nothing unique save the 'magic berry pill' which was the only thing remotely innovative.  -The pairings were okay but not spectacular.   Go to a better place--the Standard, Goosefoot, Grace, Blackbird, Girl and the Goat! Even Grange Hall would leave you with a better experience.  Side note: run by hipsters who cant be bothered, until you bother them. Then they just look annoyed.  Save your $. Period. Honestly. I run a dinner club. Hands down this was the worst experience of anywhere we have ever been in two years of going out. The worst.",-0.4312,0.756,0.11,0.135,0.5885185185185187
2014-03-30,5.0,"We picked a place we could get a reservation at rather last minute before going to the theatre last night.  Getting any reservation last minute on Saturday night can be a challenge--so glad we were able to get in at ing! What a blast!  Admittedly, I was a little concerned that the tasting menu was very meat based, but they did an outstanding job subbing for my vegetarian/pescatarian menu.  We had their craft beer 6 course tasting menu.  Food was incredible and so much fun to pair with local brews.  The miracle berry is wild!  It dissolves on your tongue and changes your taste buds.  Getting to enjoy the same dish two very different ways was pure, delicious fun.  As their menu changes frequently, I look forward to staying in touch via email so we can go back for another culinary adventure!",0.9905,0.778,0.222,0.0,0.4002380952380953
2014-03-28,1.0,"Completely SHOCKED at the positive reviews for this place. Quite honestly, I think this place is a borderline scam.  The profit margin they must make on each diner must be MASSIVE and they make the dishes ""creative"" to distract from the fact that nothing tastes good and they are serving you two bites of bland chicken and fish. We were not impressed at all. We went for the Chicago ""beer menu"".  It was really expensive for what you get and we almost left hungry.  Not a single dish amongst the 6 was memorable or made an impression on us. Nothing tasted great.   Plus, for $300 bucks for two people - and bite sized portions - there better be some steak, lobster, truffles, etc....but I think the best protein based dish we got was some variation on beer can chicken.  WTF? Not to mention, drinking 6 different beers in a sitting isn't for everybody especially the ladies at the table.  It's trying to be some fancy, foodie spot but the food just falls well short for it to be that type of place. The decor and ambience are also lacking.  It's super bright in there and has some sort of weird red theme.  The whole feel of the place is awkward  and we all couldn't wait to leave.  When we finally got to the Aviary next door afterwards, it felt like a relief. Finally, I have a suspicion that gratuity was added for our party of four and our waitress didn't point this out so we tipped on top of that.  That is just unethical if you ask me. Not that the service was bad - but if gratuity is included (especially for a smaller party), I think the server needs to speak up on that. Overall, the place makes no sense at all and the food/drink aren't even that good...and its expensive to boot.   This place is a no-brainer skip.  Go spend your money somewhere worthwhile.",0.9139,0.788,0.124,0.088,0.6669299169299169
