date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-25,4.0,"I'm not sure why there are so many mediocre reviews for this place. We had a wonderful lunch experience on a random Thursday afternoon. Jam offers a seasonally rotating menu with delicious options all presented in an exceptional way. They take a regular brunch spot and go to the next level with unique variations on standard dishes like eggs Benedict and chicken & waffles.  They also take great pride in their coffee creations and I enjoyed a macchiato made to perfection while my husband had an o'Fallon wheat beer that you don't see often on menus.  The place is small but modern and clean with a great open patio that leads into the interior of the restaurant.  I ordered the hot chicken & waffles while my husband ordered the eggs Benedict and a half order of the French toast. Presentation, unique flavors, and perfect execution all led to a pretty fantastic experience for both of us. Service was friendly and relaxed and they were very accommodating for our newborn and stroller.  The place gets pretty crowded on weekends but I think we will be back on weekday afternoons to take advantage of such a great spot with no wait.",0.9956,0.715,0.266,0.019,0.6156611362493715
2017-08-24,5.0,"Amazing dishes in a fun and warm spot. The chicken and waffles are on another level than what other places are serving, and the Lamb and grits were even better. The pancakes are a great option if you're looking to go the sweet route. Service was personable and attentive. 5 out of 5! Will be back!",0.9617,0.706,0.294,0.0,0.5825000000000001
2017-08-22,4.0,"Great spot for brunch. Some of the portion sizes are a bit small for the price. Otherwise, no complaints at all. Service is typically great and the quality of the food is top notch.",0.7269,0.653,0.233,0.114,0.6
2017-07-24,4.0,"This is a retrospective review of my visit to JAM in the summer of 2016. I loved the restaurant so much I went there twice during my visit to Chicago. ****** 1st visit: After I arrived at Midway Airport I went straight to Logan Square, checked into my hotel, and dashed to JAM to eat before they closed. My server was Raquel and she was very pleasant and attentive. I ordered the Malted Custard French Toast and also an omelette with anchovies and chorizo. Yup, I ordered two entrees.  Both entrees were plated beautifully. The omelette probably needed more salt, but the egg mixture was perfectly mixed and cooked. Also loved the added anchovies. The french toast was just ridiculously good. So gooey. So sweet. Decadent.  2nd visit: Before going to the airport, I went back to JAM with some friends and had Raquel again as a server. Our table ordered the Malted French Toast, a pancake dish with peaches and a marshmallow on top, jowl bacon, Burrito Suizo, and an egg benedict dish. Everything was great except for the burrito suizo. ****** JAM is the kind of restaurant I wish existed in Durham NC (where I live). It's now 2017 and I still think about that place. The menu and some of the ingredients would be a little out of character in the South, but the unique ingredient combinations and the artistic plating would be such a refreshing welcome. The interior design is also fantastic. Love the gray walls, the concrete tables, and the clear chairs (I have the same chairs at home). I loved eating at JAM and love telling friends about the experience. I never knew breakfast food could be artistically plated until visiting JAM. When I visit Chicago again I'll definitely jam straight to this restaurant.",0.9979,0.75,0.241,0.009,0.5377314814814816
2017-07-18,5.0,Amazing French Toast and Eggs Benedict. Unexpected ingredient pairings all worked perfectly!! Delicious!!!,0.9309,0.437,0.563,0.0,0.725
2017-07-17,1.0,"I went in with 3 other friends on Sunday for brunch as I had heard it was good food from someone else who had gone not too long ago. I have to say I was looking forward to trying a new spot, however was very disappointed with the service.  We arrived and the host told us there would be about 15 min wait. We waited for almost 1/2 hr and noticed 2 empty tables inside and 2 outside. We asked the host and he advised he had to make sure he was not skipping anyone before us. As far as we could tell there was no one else waiting. We waited and those tables continued to be empty. What we did see however was someone just walk from the street,point to a table and was seated right away, which was a family of 5. To be fair maybe they had been waiting left and came back - not sure but what really bothered me was the hos'ts attitude. He saw us walking away and did not even bother to stop us or even be apologetic. I hardly review, but this place service really left a bad impression. I kind of felt like he did not want to seat us. Just not a good feeling.",0.1301,0.811,0.096,0.093,0.5226843262557547
2017-07-17,1.0,"I'd like to start by saying that i was starving when i got to this place, i heard the food was good and went with a group of 4. The host at the door took our name and said there was a short wait so we decided to wait. It became awkward when we are the only 4 standing at the door and others were being seated before us. Granted we asked for an outdoor table so at this point we ask for any available, the host decides to look at his list and says, let me just make sure i don't have anyone waiting before you. He barely glanced at his paper and walked away. We all agreed to leave. As we walked out, the host passed us and did not say a word. Needless to say my experience here was enough to give it a bad review and would not recommend this place to anyone I know. (description of your number 1 host: long hair, glasses, about 5'4) Might wanna keep an eye on how he is treating paying customers.",0.224,0.868,0.071,0.061,0.6232323232323232
2017-07-16,1.0,"Came here after the Chicago Rock & Roll Run.  Were looking for some yummy breakfast food.  As we passed their patio I noticed there was an empty table and walked in and asked the server if we could possibly sit there.  He quickly said there may be others waiting for the table and we would have to wait.  I said okay - how long? He said about out 15-20 min.  I said no problem we waited and waited and the table in the patio remained empty.  After 30 min of waiting I see a group of people walking in point at the table and our server gladly give it to them.  I went and said if at this point we could just have any table available outside or inside (there was another table available inside a group gave up because it was close to the entrance) he said oh no there may be others waiting.  Unless there's a secret spot for waiting guests I did not see another group aside from us waiting.  Wasn't sure if we were discriminated because of our ethnicity or our running gear.  We decided to not wait any longer and walked down the street to Cafe con  Leche where we had wonderful meal, service and ambiance.  Needless to say....I will not go back and will not recommended it to any of my friends! Too bad because their toast with avocado looked really tasty.",-0.1396,0.868,0.059,0.073,0.5552469135802469
2017-07-16,5.0,"Awesome brunch. Nice vibe, warm welcoming and the food was to die for. The known for French toast was fantastic as my wife and shared one piece. Oh my. I had the breakfast burrito which was excellent. Great place for a weekend brunch.",0.9666,0.521,0.415,0.064,0.75
2017-07-12,3.0,"This really is a beautiful restaurant. You'll feel like you're in a posh river north spot, rather than this homey logan square corner. (which I guess is pretty posh, too) I love that they bring out tiny pastries to taste before your meal starts. I just find it all too formal. Each time I've been, the servers seem like they're supposed to follow some strict guidelines and act super formal.  Interior, pastries, five stars. But getting down to the entrees...they do not match up to the prices or the beauty of the restaurant. It's hard to put my finger on it. It feels like they try really hard, and the result is fancy looking, okay food.",0.9796,0.761,0.218,0.021,0.6265432098765432
