date,star,text,compound,neutral,positive,negative,subjectivity
2016-06-10,4.0,I'm soooo sad to see this place go! I visited the blue room here and dined in the upstairs restaurant and I loved the food! Especially the iceberg salad with quinoa and calamari! Yummers! Please come back!,0.6449,0.754,0.173,0.073,0.5800000000000001
2016-03-07,1.0,UPDATE:   Boy was I right on this one !!    I think this DUMP closed just months after my review.,-0.6705,0.78,0.0,0.22,0.31785714285714284
2016-02-10,5.0,"had a truly amazing meal here last year, so sad to see them close.  looking forward to visiting his other restaurants, especially in NYC.",0.4037,0.652,0.218,0.13,0.6683333333333333
2016-02-02,5.0,"This was my favorite restaurant in Chicago; I even had my birthday party here in 2014. I was not happy when Japonais brought on Morimoto as the menu changed and key items like the hot rock Kobe Beef and lobster teriyaki were removed. Nonetheless, I continued to patronize as the ambiance was unmatched.  So sad to hear of the closing. I will miss the ahi tuna pizza, chili fusion crab legs, and rock shrimp. I hope your business resurfaces at another location. Until then, goodbye Japonais!",0.4768,0.779,0.122,0.099,0.97
2015-09-28,5.0,Was here with a group on the patio and did not eat but they have some amazing drinks. The atmosphere can't be beat and our server was so helpful and nice. Can't wait to go back and try their food.,0.9453,0.717,0.283,0.0,0.6333333333333333
2015-09-27,4.0,Soothing low lights... White linen decor. Couches with pillows... The Glare of the Michigan River. Overall a very nice classy place to enjoy some drinks and dinner. I had edamame for appetizer then ordered Calamari with Quinoa Salad and white sparkling wine. It was all great and server was attentive. Prices are reasonable. For $12 they have Valet available.,0.943,0.713,0.258,0.03,0.4863636363636364
2015-09-20,4.0,"I'm giving Japonais 4 stars because of the overall ambiance and not because of the food. Perhaps I just selected the wrong dishes but the ones selected by our table was far from memorable. We arrived early and sat in the bar for drink while waiting for our table. The bartender was very friendly and made us some great drinks. During dinner we ordered the Calamari & Quinoa salad, and the Rock Shrimp Tempura as appetizers. The calamari had too much batter and without the batter it was tasteless. The Rock Shrimp was only okay but we would not order it again. Our entree was Duck Duck Duck and Roasted Sea Bass. The Sea Bass was very good and we would recommend this dish. The Duck dish was not very good - duck soup had too much ginger and the duck leg was super dry. I would definitely go back to this restaurant and try other dishes which hopefully will be winners.",0.9922,0.763,0.226,0.011,0.5641602564102562
2015-09-17,2.0,"Haven't been in 6 years (or since the Morimoto connection) for that matter. Had a reservation on a weeknight. We were sat on time and then service managed to forget about us for the rest of the night. Took around 2 hours from being seated to being served. Waiter forgot about one of our dishes, fortunately it wasn't on the bill.  Table next to us waited at least 30 minutes after finishing dessert for their waiter to come back and provide the check.  The price point is way too high for that level of service.  Things we noticed:  - Dishes were never brought to the right table on the first try. ""Tuna pizza?"" become a common question.  - The menu was not explained and no recommendations provided - Sushi menu no longer has any rolls (or they forgot to give us one)  - Never checked in on once to see if we liked/disliked an item   - No apology for any of the delays. We would wait 30 minutes between ""courses""",-0.0062,0.938,0.037,0.025,0.3761309523809524
2015-09-14,4.0,"Great experience at Japonais. I went there for four times, everytime there is a surprise. Japanese food lovers, this is the place I would recommend :)",0.9337,0.544,0.456,0.0,0.5833333333333334
2015-09-13,5.0,"Terrific experience...starting from when we walked in the door. Everyone was lovely and welcoming, especially Hannah down in the lounge and Maro, our server. The food was brilliant, particularly the Gyoza with bacon foam and the duck main course. I was disappointed to hear they are closing, but I do hope the professional, friendly, staff we encountered land someplace suitable for their skills and talents. It was a very pleasant meal and experience! Recommend a visit before it's gone for good.",0.9851,0.652,0.328,0.02,0.6465811965811965
2015-09-08,5.0,"Excellent place.  The Duck Duck Duck is amazing.  Everything was cooked perfectly and delicious.  Full of crazy good flavors.  The Hamachi tacos are an excellent lite starter.  Then we had the Chef Choice Sushi plate.  Good mix of rare, unusual pieces and the regular familiar ones.  Ended with the Duck Duck Duck, wow.  Great food.  Good drink list, decent beers and a whole lot of Japanese whiskeys.  Downstairs is a cool lounge with similar menu and a nice cool blue atmosphere.",0.991,0.584,0.394,0.022,0.6768162393162394
2015-09-07,2.0,"I really wanted to like this place. Like really bad. I guess it's unfair to say I didn't. The food was incredible. Actually I guess it's cool that this place still exists because it's an example of a restaurant that exists based on food merit alone. Because literally everything else was kind of a disappointment.  Ok, so I kind of hate myself for thinking this place is a disappointment.  Let's get the self loathing out of the way ASAP. Like who the hell am I to go to a sushi restaurant in a landlocked state near zero oceans and still be disappointed after getting some of the freshest fish in Chicago, right?  But I guess considering a meal with drinks for 4 people was over 300 dollars (and yeah, I've been to alinea et al, I know that to certain tax brackets and maybe my dad that this is nothing, and to some of my friends it's a gross amount to spend on a meal and i should probably not even admit to eating here in the first place so my super cool fellow comedians don't think I'm too hoity-toity) but I guess for that price I expected to maybe be treated like my friends and I were welcome even just a little? Like I know it's such a first world thing and super American entitlement to expect everyone serving us to act like they enjoy it, but fine dining waiters make BANK and so maybe act like we aren't a total inconvenience for having a reservation one hour before the technical closing time? Our reservation was 8, made on opentable. A completely reasonable time for a human being to eat dinner on a day when many people gather to make lunch on a communal charcoal device. I mean the restaurant was open on Labor Day, so they were like...OPEN right?  So we get there At like 8:05. 5 minutes late? Yes, but like totally normal in our shitty capitalist culture and also the place was not busy at all.  We sat at our tiny table, even though there were a lot of way bigger tables that parties of two were sat at vs our party of four, including 2 parties sat after Us. But I reminded silent. I was too afraid of looking like my father because sometimes he embarrasses me with his entitlement but this was not publican on a Saturday with the coolest servers.  The waiter made sure to inform us that he would be back to go over the menu ""considering the kitchen closes soon."" So that's understandable that you close early on a holiday (9pm), but like maybe don't list an 8pm reservation (A WHOLE HOUR BEFORE YOU CLOSE EARLY) if you're just going to rush us into ordering?  So we ordered drinks and apps and made choices of food while that was prepped. First the hot stone came, so we started on that. the drinks came after we finished, yet the waiter who clearly needed to leave didn't clear our plates or ask if we wanted to place the rest of our order until after we basically finished our first round and the sake that he placed in an undisclosed location. We got the rest of the Sake but our menus were still stacked and in the way no matter what the entire time because we just couldn't seem to get to the next step of the process in the right amount of time.  When our main courses were being ordered before 9 pm, or rather as soon as the option was available to us even though we were kind of guilted for our extremely unreasonable reservation of 8, two other tables sat down. The waiter was just fixated on the fact that he was given two more opportunities for tips in the fine dining establishment he works for that essentially guarantees large gratuity and was so put off that he, according to my guest, couldn't even look at us. At one point he said the restaurant contacted the reservations made close to 9 on open table but couldn't contact One 8:30. When he realized we were 8 pm he's like oh it wasn't you. But thanks for making us feel guilty anyway?  Again...food was amazing. Again...a holiday. But for a 300 dollar meal and such a high regarded chef I expected way better service. He could not get rid of us fast enough. We felt like we needed permission to order more drinks. Also usually when it's a sharing place and I ask if it's enough food they actually were honest instead of saying ""well I don't know how hungry you are sooooooo...."" I mean it's a great story and maybe I'll get some shitty stand up material but for such a well-respected chef maybe get some respectful staff? Or maybe I should just pull a Thoreau and reevaluate my life?",0.9985,0.782,0.163,0.055,0.5095776318190112
2015-09-06,1.0,"I am giving it one star because of the service we received. The food was excellent, but I did not appreciate being charged $18 for water with no ice. The waitress never explained that the water was going to cost nine dollars a bottle. She simply asked - would you like water with ice or no ice? In NYC, all water is served in bottles with no ice, so I assumed it would be the same thing. When I saw the bill, with $18 charge for water, I questioned it, and waitress was very apologetic. She said she would talk to the manager, to see if they could do something. However, the manager just came over, and laid down my full bill, and just simply walked away. I felt taken advantage of - I mean, who wants to pay $18 for table water???? They just lost a customer who would have definitely came back.",-0.4869,0.794,0.093,0.112,0.3877886002886003
2015-09-06,3.0,"I was really excited to come here and found the menu/food to be quite good. Unfortunately, they took 30 minutes to seat us even with a reservation and then another 40 minutes for the last of the dishes to come. This was particularly frustrating given we had another reservation afterwards that we were subsequently late for. I wanted to like this place but probably won't be returning. There are plenty of other Japanese options in town that I would try first.",0.1919,0.882,0.07,0.048,0.5138888888888888
