date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-16,2.0,"Disappointing. Service was slow, considering there were only a handful of people in the entire place. Nachos were underwhelming and pulled pork had zero smoke flavor. The building is nice; lots of potential but they seem to be missing the mark.",-0.4588,0.845,0.043,0.112,0.682142857142857
2017-06-08,4.0,"I am not a huge fan of clubs but I really enjoy weekend nights at John Barleycorn. The first floor has tables to eat and drink and hangout while watching one of a million of their huge tv's. My friend and I got our first round of drinks at the bar on the lower level and I was pretty disappointed at the lack of energy. However, as it got past 11pm, everyone's inner party animal came out! I spent most of my time on the second floor which was so fun! It's like a cool club inside a sports bar, something you would not expect! Drinks were good and prices were decent for Wrigleyville. I will definitely visit JB the next time I am in Wrigleyville.  After about an hour of dancing I resorted to sitting on a chair every so often due to my feet being in excruciating pain from my stilettos. Then again, they say beauty is pain, right? ;) Visit this place for a great night out.",0.9805,0.616,0.246,0.139,0.49611801242236025
2017-04-23,4.0,"Sooo idk why this place has bad reviews. I loved it. But maybe I just don't know any better. I love the music that they play, truly a mix of everything. I love that you can sit downstairs when you get tired, the drinks weren't strong (I got an long island ice tea) but if you pregame before you will be just fine. At worst you dont like it then you find a bar that you truly enjoy down the street, but I personally feel that this is the best bar ever!",0.9095,0.605,0.243,0.151,0.5634920634920635
2017-03-26,5.0,The size of this place is amazing!  The 2nd floor allows for an additional area in the event the 1st floor is too jammed packed.  Great place to dine on a large selection of food while watching the Cubs.  The food is awesome!  Everything on the menu is a great choice.  Plenty of servers and great service as well.,0.9747,0.69,0.31,0.0,0.6473214285714286
2017-03-21,1.0,"Been coming here for years!! Thought this was my go to spot and tonight one of the bartenders completely ignored me, while trying to order a few drinks. I started screaming ""excuse me!!"" To get his attention and he still ignored me and went to everyone else but me. When i started yelling he told me to ""calm the fuck down!"" DO NOT GO THERE IF YOU ARE BLACK!",-0.8026,0.796,0.054,0.15,0.37460317460317455
2017-03-20,2.0,"I've been here a couple times, and have always had fun. If you like to dance, you'll definitely enjoy the upstairs area.  I tried to return this weekend with a group of male friends, and unfortunately, they were denied entry due to footwear that wasn't in line with the dress code. A closer look at their dress code revealed something disconcerting to me...They very specifically ban Jordans, high tops, boots, excessive jewelry, etc. You probably understand where I'm going with this.  This is not a ""nice"" bar. You'll find plenty of people inside wearing disgusting, ratty canvas sneakers, which for SOME REASON, is perfectly acceptable.  Tailoring your dress code to exclude minority groups is repulsive...even more repulsive than some of the outfits I've seen in this bar lmao.",0.9328,0.717,0.188,0.095,0.655
2017-03-17,1.0,Omg had their bbq sliders the worst experience ever. Tried to talk to manager he tried to call me ignorant like I dont know how brisket supposed to taste. Brisket sliders were full of fat. Never coming to this place again,-0.5719,0.81,0.055,0.136,0.775
2017-02-09,5.0,"I stopped in at John Barleycorn with a few of my friends for a bite to eat. We ordered the chicken nachos, hot wings, and pork sliders, everything was amazing! We ended up staying all night, 2 djs two dance floors!",0.7639,0.784,0.173,0.044,0.7000000000000001
2017-02-09,5.0,Fun place to watch sports or dance with djs on both floors. If you're eating I suggest the wings or a burger!,0.5562,0.841,0.159,0.0,0.2
2017-01-04,1.0,"This was the second year I bought NYE tickets to JBC- Wrigleyville. The first year 2014-2015 was awesome; no line, excellent food, midnight toast, and lots of fun. This year I bought 2 tickets in advanced for New Year's Eve totaling to $160. I showed up at 9:30pm expecting to be let in right away. That was not the case. I wasn't let in until 11pm. 2 hours that costed me $80. When I was let in they didn't scan mine nor my boyfriends ticket, they just looked at it. So to say they were at capacity is totally false and not to mention a safety hazard. Not only did they waste 2 hours and $80 of my money, I wasn't served any food. The buffet was empty and nothing but trays filled hot water were on the tables. At that point I was in shock so I asked if they were going to be serving more food. I was told no and I could look upstairs. So I went upstairs to be disappointed yet again. Come midnight I was expecting a champagne toast and confetti but was let down and all we got was a lousy 45 second countdown. At 1:15am the lights were turning on and they were kicking everyone out. To charge $80/ per person and not have enough food for us by 11pm AFTER making us wait outside for 2 hours is inexcusable. Please make this right or else I will have to make this a bigger thing than need be.",-0.8109,0.859,0.056,0.085,0.5042694020954892
