date,star,text,compound,neutral,positive,negative,subjectivity
2016-11-01,5.0,"I have been here several times for different reasons, and every time I have been treated well, despite my obvious intoxication. The food is really good, the waitress was friendly, knowledgeable and patient, and the beers were perfectly poured. I came in here once at 10 AM already half drunk and they treated me and my friend like royalty. In you're in the area, definitely check this place out.",0.9565,0.712,0.259,0.029,0.5407407407407407
2016-09-17,5.0,"We just showed up with 11 dudes at 10:15am for brunch pre-Cubs game. Meghan and John took CARE of us. Instantly got a place to sit, amazing food, bottomless mimosa's. Walked out the door for 25. They ran individual tabs. Bachelor party? This is your spot.",0.8868,0.801,0.199,0.0,0.5916666666666667
2016-08-22,5.0,Pre Pearl Jam..... Timothy & crew are def the best pregame anywhere.!!!!! Drinks and atmosphere are great,0.8877,0.597,0.403,0.0,0.525
2016-06-18,2.0,"So we ran into Johnny O'Hagan's as we were leaving the Cub's game.  They have a nice patio with beautiful flowers and an interesting street view, so we decided to give it a try.  There was live music, which was great (and a highlight of the visit), and we found a table right outside the front door on the patio.  The service was a little slow at first, but everyone that we spoke to (our server, the bartenders, and a manager) were friendly and happy to assist.    We ordered a round of beers first.  They had a special, so we tried two Blue Moon's on Tap, a can of 312 and a Samuel Adams bottle.  The tap beers were hardly cold, and got warm so quickly that we didn't even finish them.  The glasses we not filled all the way and didn't come with an orange.  We asked for cold glasses for the other two beers, and after waiting about 15 minutes for them, were given room temp. glasses. Disappointing.     The menu was small, but we were hopeful that the food would be good.  Overall, very disappointing.  The Ruben ($12)  had cold bread, so little meat it didn't cover the bread with even one layer, and the meat was very fatty.  Unfortunately, the worst Ruben I have ever had.  The fries were served in a cute metal basket, but were lacking in the flavor department.  The Mac and Cheese ($12) , while hot, was only mediocre in flavor and texture.  The Cheeseburger ($13) looked good, but when we started eating it we realized that part of it was actually border-line RAW.  Ewwww!   The server was very apologetic and tried to make up for it, but at that point we had lost our appetite.  We stopped in the restroom before we left and were grossed out by the smell, all the unknown liquid that was all over the floor, and the tp everywhere.  I did speak to a manager and she assured me that she was sorry about the food (the kitchen staff is new and not prepared for the game day rush) and the bathroom (which she says should have been closed and people should only use the upstairs restrooms).  She said she would take care of it on the bill.  In the end, she took off $14.20 from the bill, so hardly made up for the totally unacceptable food, but maybe there was a break down in communication and she didn't realize the burger AND rubens were bad.  Tried to give her the benefit of the doubt.   It is a shame, because the bartenders and staff couldn't have been nicer and more accommodating. But just goes to show that when a few parts of a restaurant are not good, it makes the whole experience not good.   I hate to give bad reviews, but in this case, I feel like I should warn fellow Yelpers.",0.9207,0.777,0.123,0.099,0.5891319038776667
2016-06-02,4.0,"Stopped in to Johnny O' Hagan's before a Cubs day game for a meal. We stopped in for their Irish breakfast and we were not disappointed. The plate was a great meal. Tasted their turkey burger, in a word, great. It had a mild kick to it and the meat was tender and very tasty. Both dishes worth getting again. Music was a bit loud for the day but the selection made up for it. Nice ambiance and close to Wrigley field about four blocks. Worth the walk!!",0.8661,0.783,0.161,0.056,0.49545454545454537
2016-06-02,5.0,"Awesome people, awesome customer service, awesome food. Great place, atmosphere, everything about this place is great. I highly recommend coming here!!!",0.978,0.367,0.633,0.0,0.84
2016-05-27,5.0,"Great place to hang out during the Cubs game when it's raining.  The service has been great, beer options are plenty and even some wine for those of us who like wine.  The Mac and Cheese was delicious.  Definitely will be back!",0.9545,0.68,0.32,0.0,0.5666666666666667
2016-05-21,1.0,"Went to a bar crawl and their manager overbooked the place. They kicked everyone out after an hour without a warning at 7:30pm. Our server was nice but the manager was disengaged and not willing to be kind. There are lots of options in Wrigleyville, pick other places.",0.7916,0.843,0.157,0.0,0.75625
2016-05-01,5.0,"First time here and we loved it.  Great bartender, Caitlyn, great brunch, very good spicy Bloody Mary, and good beer selection. We'll be back for sure.",0.956,0.442,0.484,0.074,0.6446913580246915
2016-03-26,5.0,"Caitlin was very personable and fantastic! We came in for the mozzarella sticks, and they food did not disappoint! The mozzarella sticks were gigantic, gooey and crispy! The sauce was a perfect pairing. Ask for Caitlin she was fantastic to add the the experience!",0.9418,0.724,0.276,0.0,0.775
2016-03-21,5.0,"Every time I come here the food is amazing! The first time I came here was June 2014. We had stopped in for some brunch and I ordered the goat cheese flat bread with malt vinegar dressing. It was outstanding! We were able to sit outside on a nice day and the staff was very friendly. The second time I came in was a little after St. Patrick's day 2016. We ordered 2 Irish car bombs and later found out that the owner had bought everyone their first round of drinks. I ordered the King of Clubs which consisted of thick cut chicken and bacon with a fried egg, lettuce, a hollandaise type dressing and avocado. The atmosphere is always great and I look forward to going back.",0.95,0.828,0.141,0.03,0.4425925925925926
2016-03-17,5.0,Awesome bar! The ambience was great. Bartenders and waiters are great. They had bag pipes and riverdancers for St. Pattys. Even customers are supper friendly. Loved it!,0.9682,0.524,0.476,0.0,0.76
2016-03-12,5.0,"Its no surprise why this establishment is so highly rated. They understand that the balance of food and service is necessary for a great experience. They have built a strong brand that is consistent from any person on the staff. Oh yeah, the best fish and chips we have ever had!",0.9324,0.7,0.264,0.036,0.5955555555555555
2016-03-06,5.0,"Great chill pub with an awesome super friendly staff! They have really good Irish coffee with Jameson that I had tried, and love for the cold days. They also have a really cool setting on the inside with exposed brick walls, and a fireplace too! Perfect for hanging out with a group of friends!",0.9869,0.539,0.444,0.018,0.6766666666666666
2016-01-25,3.0,"My girlfriend and I came here just to try new things. We were fairly excited to try an Irish bar for the food, but there didn't seem to be anything special. Other than a few Irish words here and there, you would never guess what kind of bar they lable themselves as. However, the food I did get was pretty good. I had a blackened chicken sandwich (which was nothing special), but I never wanted something elaborate. My girlfriend got the Chicken Pot Pie and thoroughly enjoyed it. Going on a Sunday night was pretty dead around 7ish, but the atmosphere while watching an NFL Playoff game was lively enough.  Waiter services always differ from person to person. The key is to stop expecting to get pampered as if you own the place. Our waitress was on top of things, and was engaged with our table and had suggestions for the rest of our meal.",0.9734,0.77,0.181,0.049,0.6237455726092089
2016-01-22,3.0,The Guinness is just fine. The atmosphere leaves a lot to be desired. We walked in to bouncers or whatever standing off in the corner trying to be polite but ultimately not all that welcoming. There is no interaction between the employees/bartenders and customers. Just weird punk music playing in the background. I always appreciate a good pint of Guinness so that gets the 3 stars. The lack of attention and connection gets nothing else. Not very Irish to stand in the corner and ignore your customers.,-0.3837,0.732,0.126,0.142,0.62
2016-01-15,5.0,"We were lucky enough to come when the new owner/manager was rolling out the new menu during staff training and all we can say is wow!  The atmosphere is great and everyone was so friendly - exactly what an Irish bar should be.  After downing some Guinness pints we tried some delicious food.  Onion rings were a great starter! Crispy, great portion and their Rose sauce was EXCELLENT.  My fiancé loved the Irish breakfast- he normally doesn't like black pudding but loved this one. The potatoes were great and he said the egg was cooked perfectly.  I loved the Reuben! The corned beef was AMAZING. Seriously the best I've ever had, the cheese melted in my mouth and the fries were delicious.  We'll definitely be back for the great service, great atmosphere and great food!",0.998,0.56,0.422,0.018,0.6393939393939395
2015-11-18,5.0,"Love this place....great food, authentic Irish bar.  Everyone there is very nice. See ya this weekend!!",0.835,0.64,0.36,0.0,0.5875
2015-11-07,5.0,"Opens at 8 and serves an amazing Irish breakfast. John, the owner, is very hospitable. Can't wait to come back at night!",0.6239,0.83,0.17,0.0,0.3
2015-11-03,2.0,"Cool looking bi-level Irish pub towards the bottom of the Wriggleyville bar stretch. Been here twice for ND games, once when it was really crowded and another time when it was really dead. And I have to say, both times were VERY mediocre. Service was really poor and slow regardless of how busy they were. Our server asked us what we wanted before we even saw a drink menu. Throughout the night she would often check on one person out of our large group and then walk away. Food has also been very average. I've tried most of their appetizers and they're all pretty bland. The specials they run for the game in particular are pathetic, and way overpriced. The burger you get with the one special isn't much bigger than an oreo. I even had their chicken pot pie (which they're famous for) and wasn't impressed at all. Like a small cup of blah soup topped with a giant croissant.  Needless to say, I'm surprised by how good most of the reviews are for this place. Maybe it's much better during the week? Could be, but I'm not going to find out.",0.0976,0.884,0.064,0.052,0.6245238095238095
2015-10-06,4.0,"The food was fantastic. The service was a little...weird? We sat outside, the gal was obviously flustered. I asked her what was in the curried fries, and she acted rather exasperated and told me, ""Curry. I don't know how else to describe it."" When she made her way back with our drinks I asked her how she was doing, and mentioned that she must be the only person on the floor. She turned into a human at that point, she was the only server and it was a hot day. The service was fantastic after that point, and the curried fries were great!",0.8313,0.849,0.107,0.044,0.6050000000000001
2015-09-13,4.0,Good food and beer and fun trivia!  They were out of mozzarella sticks last time I went :(,0.5562,0.598,0.278,0.124,0.4666666666666667
2015-08-29,4.0,The staff are very welcoming. We had the wings-very decent for .50 on a Thursday. We also had a 311 beer on special that day for $4. The curry fries were incredible-a must order. Great environment...will be back when in the Wrigley area.,0.8748,0.792,0.208,0.0,0.4576190476190476
2015-08-11,5.0,"Very authentic. Amazing food (Bangers and mash, shepard's pie, Irish sausage) and atmosphere. Opens at 8 on weekends for brunch and EPL games. Host was very friendly and prices were spot on for the amount of food you get.",0.8211,0.826,0.174,0.0,0.63125
2015-08-09,5.0,Excellent shepherd's pie combined with a lovely fresh Smithwicks on tap. Soccer on the tvs. Pleasant pub atmosphere right by the el tracks.,0.9201,0.579,0.421,0.0,0.7504761904761905
2015-08-08,5.0,Stopped in for food and drinks before game. Loved the food and the service was outstanding. Highly recommend this sports bar as a pre game spot.,0.8687,0.625,0.318,0.057,0.603
2015-08-08,5.0,"We came to this pub after doing the Wrigley Field tour. The place has a charming and comfortable ambiance and you feel right at home. The service was great, the owner was extremely friendly and felt like you were having a good time with an old friend.  The food was awesome.  I had the Rueben and my wife had the O'Hagan Goat. Both were really good and the food came out promptly. They had a soccer game playing which was fun to watch while we are and enjoyed the enthusiastic response of the other patrons during the game. If I were a local I'd definitely be here regularly.",0.9921,0.664,0.336,0.0,0.5298687423687425
2015-08-02,5.0,Cute bar/restaurant with a festive authentic Irish atmosphere. We ate here for breakfast on St. Pats day for the traditional Irish breakfast. Helped set the mood for the day and fill our bellies for a full day of drinking!,0.7424,0.848,0.152,0.0,0.5083333333333333
2015-08-02,5.0,"Best rueben in the city hands down, Irish breakfast to die for, solid wood bar and Irish feel.",0.2263,0.607,0.235,0.158,0.13777777777777778
2015-07-25,5.0,Had a great time here after attending a Cubs game. Staff was very friendly and helpful and the drinks were very reasonably priced. Would definitely recommend this place for a couple drinks after a Cubs game. Luckily it's far enough down Clark to avoid the larger crowds that you would find at the bars right next to Wrigley.,0.9513,0.688,0.28,0.032,0.5253835978835979
2015-07-14,3.0,"Slightly above average Irish pub fare, but better than average for that row of places on Clark and Wrigleyville.",0.5927,0.824,0.176,0.0,0.27999999999999997
2015-07-01,5.0,Excellent!  Great food and our server/bartender Garrett was so friendly and very attentive. I will be back.,0.9218,0.516,0.484,0.0,0.65
2015-06-23,5.0,A true gem. Lovely ambience especially during the weekday evenings.,0.765,0.515,0.485,0.0,0.7999999999999999
2015-06-06,5.0,Just loved the atmosphere and people. Drinks were great and inexpensive. Food is also good. Clean and friendly.,0.9501,0.436,0.564,0.0,0.6700000000000002
2015-05-26,5.0,"Extraordinarily friendly staff.  It was a lovely night here in Chicago and the bartender took great care of us.  Highly recommend the Gaelic burger, a proper pint of Guiness, and the friendly conversation.",0.9652,0.552,0.448,0.0,0.5233333333333333
2015-04-06,2.0,"If they're not going to clean their bathrooms, then please have separate mens and womens rooms.  The unisex bathrooms are disgusting and smell like urine.",-0.2163,0.668,0.153,0.18,0.8500000000000001
2015-03-28,5.0,"Open at 8 am for Sat-Sun Brunch and International Sports.  Serious beer and food with a European flare (cloth napkin with sturdy fork and knife). FIRST DATE VENUE -- casual, comfortable old school pub that is spacious with a touch romanticism (fireplace).  The perfect place for Sports and Love with flowing Beers.  Necessities of a successful date.  Who said sports and dating doesn't mix?   STEAK N EGGS ($11) -- I'm always happy to see a price that is around $10.  Ecstatic when it tastes good.   BOTTOMLESS COFFEE ($2) -- a diner kind at the right price. SERVICE -- John is endearing (the accent, manners and humility).  Relax, perfect timing and never neglected. Next, I shall do a tasting of traditional Irish dishes.  5 more visits to go...",0.9914,0.701,0.29,0.009,0.5572562358276644
2015-03-17,1.0,"I wanted to have some fish n' chips on St. Patrick's Day and Blokes and Birds was closed for maintenance so I figured why not try the Irish Pub/Restaurant down the street? Bad idea. I arrived at roughly 12:20 and sat down at the bar. Front room was NOT crowded. Maybe 10 other people, total, and three others at the bar. Two bartenders working completely ignore me for a good 8 minutes. One finally comes up. I order the fish n' chips and a coke. Drink arrives. Literally no contact from either bartender until my order was up. None. No how you doing, no nothing. So my food gets here and they have ZERO idea how to cook fish n' chips. Outside is fried to a darkness a shade past the way even Long John Silver's cooks it and they overcook everything. I dig in. The inside is FULL of moisture and once the piece of cod is cut the batter and everything is soaked.  You NEVER fry frozen cod in batter. This is what will happen. The inside will be soggy and the outside will get fried. The fish wasn't undercooked but it was soaked and turned into a soggy mess. Well, crap. I soldiered through it. The fries were the only part of the meal that wasn't half bad but they were frozen, too. Don't come here if you want anything fresh, I guess. Or at least thawed. Again, NOT ONCE did either of the two bartenders check on me while I ate my meal. good thing I got water because I ran out of coke about halfway through my two soggy pieces of overfried cod.  AGAIN, it took about 8 minutes for one of the two bartenders to notice I was done and pushed my plate aside. After getting one of them to answer me I asked for the check. He brings check. Another 8 minutes until he comes back and picks it up.  I'm glad Blokes and Birds will be finished with its maintenance on Thursday because I'm never making this mistake again. p.s. I am reviewing this place as a diner, only, I'm sure the whiskey selection and everything is great that's just not what I came fore.",0.8991,0.865,0.076,0.058,0.48678160919540225
