date,star,text,compound,neutral,positive,negative,subjectivity
2014-11-17,3.0,"NOT CLOSED! It's still open at Terminal 2. I don't really eat fast food because it's gross. But if I'm gonna eat airport food, it's gonna be food that is not pretending to be good for you and cost $30. The fries are no longer crinkled, which I like. They were nice and hot. The burger was definitely premade and reheated, but that's what you get. They go a little heavy on the mayo, which I wish I'd asked for no mayo.  About $13 for a burger, fry and drink.",0.571,0.801,0.119,0.08,0.48636363636363633
2013-11-12,3.0,"Stopped in on a layover as I was craving a burger. I frequent O'Hare and often walk past Johnny Rockets, never having tried it! I know it's a chain but haven't noticed them anywhere else. Anyway, the burger and fries did the job, but I'm not sure that I would go back. And beware, adding cheese to a regular burger costs $1 extra!",-0.5388,0.922,0.0,0.078,0.2693019943019943
2013-11-04,2.0,Quick stop on the way to our US Airways flight in terminal.There are not a lot of good choices if you want eggs and bacon. Fairly greasy spoon would probably risk a Starbucks than go back here. Everthing is cooked to order but not very well.,-0.6427,0.82,0.024,0.156,0.45999999999999996
2013-10-16,1.0,Find another place to eat.  Such a disappointment. Burger was sloppy and tasteless. Fries soggy and cold.,-0.5106,0.82,0.0,0.18,0.71
2013-10-09,4.0,"Four stars. Had a double with onion rings, for breakfast. Amazing...for breakfast! The burger was pretty good. Guess I expected more, but was a bit disappointed. It satiated my hunger for breakfast, at least. Had a nine and a half hour ride back to Honolulu, so had to fill up on something. And this is what it was! Aloha!",-0.6679,0.812,0.066,0.122,0.42407407407407405
2013-10-06,3.0,"Picked up an $8 original double at Johnny Rocket since my flight wasn't serving food. FYI - the double is two quarter pound patties with special sauce. Since everything else at the airport costs at least $7, you might as well get something cooked to order. The burger was huge and oozing with heart clogging love. It was the last taste of Chicago before my flight to Hawaii.  A half pound of greasy goodness is probably not a good idea at 5am. My body didn't agree with it - enough said. Apologies to the passengers of DL4488 to Hawaii.",0.8735,0.787,0.152,0.061,0.41406926406926414
2013-09-19,2.0,"When traveling through O'hare one has many options for food. Instead of stopping in quickly at McDonald's I decided to try something a little nicer. I could have gone to the Wolfgang PUCK restaurant but I went here instead. The line was crazy long and it was crowded so I figured it would be well worth the wait. The food was not terrible but not on the level of many of the great burger places like In and Out Burger or Five Guys. Being that this was an airport I think the cost of the food was elevated. In a nutshell it was not worth the calorie intake nor the price. Next time at O'hare i will try something different. The location is situated between the B terminal and the E, F terminal. There is also a new sushi bar called ""wicker park"" that looks really good. I will perhaps aim for this next time.",0.9693,0.816,0.157,0.027,0.46030303030303027
2013-08-13,3.0,"Nothing special. The Johnny Double didn't have much flavor and the burger patties were very thin. The fries were kind of hard and weren't salted at all.  You have to order everything separately: burgers, fries and drink.",0.2516,0.888,0.069,0.043,0.535515873015873
2013-05-07,2.0,"Guess its what we get for buying dinner just before the place closed down.  The burgers were acceptable, although the lettuce seemed soggy.  The fries tasted like they had been cooked in old oil, left out to sit, and were luke warm at best.  The only redeeming feature was that the location was great to watch people running by to get from one terminal to another at O'Hare airport",0.9325,0.81,0.19,0.0,0.4154320987654321
2013-04-14,3.0,"This was one of my many meal stops after being stranded in O'Hare for 14 hours in February.  What a delightful experience... not.  United kills me.  At hour 4/14 I needed a milkshake.  I needed a vanilla milkshake like it was nobody's business.  $11.91 and twenty minutes later I had lunch. Food: Original Burger ($5.29):  In the grand scheme of airport food, this burger was ok.  It wasn't Coyote Jack's in Toronto airport, but it hit the spot.  Cooked well, good toppings.  Definitely a step above McDonald's and the price was good for airport food. Vanilla Milkshake ($5.49):  Maybe I'm broken since NYC is the most expensive place ever to get a good milkshake, but I was totally thrilled with the shake.  It was huge and delicious and they spared me of the whipped cream. The service is slow as can be, and there is nowhere near enough seating.  I'm not sure if I was starving so everything tasted good or what.  I know people hate on airport food, but this was the best food I ate in the airport all day.  Seriously.  Outside of an airport, eh.  But beggars cannot be choosers.",0.9828,0.681,0.221,0.097,0.5755555555555556
