date,star,text,compound,neutral,positive,negative,subjectivity
2014-06-03,1.0,"Closed! They're re-opening a new concept in late summer, White Oak Tavern. Roscoe Village location is still open.",0.0,1.0,0.0,0.0,0.33090909090909093
2014-05-17,1.0,Closed! :( Drove up to it and saw it closed up. Boo. The Roscoe location is open though.,-0.4926,0.842,0.0,0.158,0.42500000000000004
2014-04-14,1.0,"Service is awful.  After my order came out wrong, server acted as if I placed my order wrong.  Really, I think I know how I like and order my eggs for the past 30 years.  I got up 3 times to walk inside and ask for things she failed to bring.  Love the location but service is kinda a big deal.  Then I gave her my credit card and she ran it and didn't see it for 15 minutes.  I walked in yet again and I saw her mouth to one of her co-workers ""Oh, F him, he is such a D****.  Okay then, I will go to Elly's or Taco Bell for breakfast...  Geez, I am pretty easy and a big tipper.",0.8555,0.797,0.135,0.067,0.5525641025641025
2014-03-05,4.0,"Came here for a birthday brunch and we were a huge party of about 15 and they managed to accommodate us all at one table. Service was a little slow but it seemed like there was only one waitress for our entire section. I started out with a bloody mary and it was tasty and worth the $6. For my starter I ordered the mexican hash (with my eggs poached) which was a huge plate of hash fried with shredded chicken and peppers with my eggs on top and a side of toast. A ton of food for a good price at $11. The only real problem I had with the place was the service. I don't know if it was the fact that any party our size has gratuity included so the waitress didn't really care or if the staff was stretched thin. Either way it was very disappointing since we wanted to get in multiple drink orders, and ask for extra napkins and silverware, and extra sauces/sides for our entree orders.",0.4104,0.799,0.116,0.085,0.5159523809523809
2014-02-09,3.0,"Decent place. I had a hankering for soup with a kick to it. Gumbo or chili. I started with the donuts for an appetizer. It's brunch, so it's socially acceptable to order this on a Sunday. The warm vanilla glazed donuts were delicious with a side of blueberry jam. For my main entree, I order the Los alamos chili. Small cubes of beef and a lot of warm flavors. What was lacking was the spice. What I usually expect out of chili and bit too many beans for me. Nothing really stuck out to me besides the meat. If they added some spice I would think differently otherwise. I'll give it go again next time if I'm in the neighborhood.",0.7764,0.895,0.086,0.02,0.4347222222222222
2014-01-12,2.0,"This place is about as average as it gets. I had the Cowboy Burger. The meat tasted old, there was hardly any cheese, they forgot the caramelized onion, and the fries were soggy.  My friend had the BBQ pulled-chicken sandwich. The bun was soggy and again they forgot the onions. It pretty much tasted like BBQ'd mush. The food is overpriced, and everything I've tried here is just a little 'off''. The service is awful; lots of phones out and waiting around for the servers to finish chit-chatting before we were seen to. It seemed like the busboy/food-runners were the only ones keeping the place running at all. I could be wrong but I'm pretty sure it was 'John', the owner, who stormed through the place harassing his staff about this and that. I left there wishing I'd just gotten some groceries; it would have been so easy to make a better meal at home for half the price.  Ultimately, this place just has no soul.",0.9282,0.796,0.141,0.062,0.6331597222222223
2013-12-16,3.0,A-Ok with me--my food was decent and the coffee was good/hot. I also like the neighborhood location!,0.4199,0.843,0.157,0.0,0.6666666666666666
2013-11-24,5.0,Food: 4-5 stars (in relation to price) Atmosphere: 4 Stars (Patio/sidewalk seating! Inside is split between two rooms) Wednesday taco special is top notch and there is also a $5 Margaritas special.,0.7574,0.783,0.217,0.0,0.5476190476190476
2013-10-23,4.0,The food at John's Place is pretty good. Their salads and burgers are worth trying.,0.7906,0.6,0.4,0.0,0.5666666666666668
2013-09-21,4.0,I'm sitting outside in the sun on a crisp fall day. Half price bottles of wine on Tuesdays but I just had one glass. I AM working! Today's special included a blackened salmon salad. If this is a choice take it it! The salmon was succulent and evenly lightly with Blackened seasoning. It was perfect. There was avocado and grape tomatoes as well as grilled corn in the salad of mixed and very fresh greens. Red onion too! And tossed with their own vinaigrette. I had the salad with a glass of New Zealand Sauvignon Blanc and it was a perfect choice and recommended by my server who was very nice and attentive. Ah. I love Fall especially when it comes with a lovely lunch and a glass of wine. Just wish I'd gotten that half price special bottle of wine...,0.9936,0.726,0.274,0.0,0.5919685577580314
2013-09-20,5.0,I am new to Chicago. It 's been only 4 months but already been here more than 10 times. I love the sweet potato fries!!! Staffs are really fast and polite. The most lovable place to have your breakfast for the start of a new day.,0.9618,0.701,0.299,0.0,0.5843434343434343
2013-09-07,1.0,"The food was mediocre and bland. The service was not great. The atmosphere was overly loud that it was hard to hold a conversation at a small table. The worst part however, and the reason why I will not be retuning was a long piece of hair in my burger. It was disgusting.",-0.9041,0.787,0.0,0.213,0.7472222222222222
2013-09-02,5.0,"I love John's Place. I work nearby, so I frequent John's for lunch/dinner. Everything I've had there is fantastic. I usually call in my order ahead of time and it's always hot and ready when they say it will be. I'm a vegetarian, and they have some great veggie options. My favorite is the black bean burger.. It's one of the best I've ever had, and it fills me up after just half of it. So yummy. Their fries are good too! I would highly suggest John's for anyone looking for a delicious and reasonably priced place to eat. The waitstaff are all amazing too! Love this place!",0.9916,0.688,0.312,0.0,0.6052941176470589
