date,star,text,compound,neutral,positive,negative,subjectivity
2011-04-18,3.0,"All I got to say is greens, pork chops, and mac n cheese PLEASE!!!!!!!!!!!!! Everything I've had here is good!",0.6209,0.807,0.193,0.0,0.6000000000000001
2011-02-21,4.0,I lived in Chatham for 21 years as an adult and technically via my grandparents for even longer(1958). Army & Lou's was my favorite neighborhood spot. My husband and I used to come a least once or twice a week for breakfast. My favorite was the salmon croquettes.   The main draw back for me is that they don't open til 9a and if you get there at that time you have to wait forever to get your food because their setting up. Hint Hint Get there at 7a and set up BEFORE your customers come in! My favorite waitress there is Marie! She looks a little like Aretha Franklin and she's fun and sassy!,0.9369,0.87,0.13,0.0,0.4848484848484848
2010-07-24,2.0,Can someone please tell me what has happened to Army & Lou's? We went recently and it was a weekend night but over 2/3 empty.  We loved A & L's but are in no hurry to go back after this last experience - All the older waitresses that gave this place so much charm are gone. Out of the jambalaya and the gumbo (again). Corn muffins no longer served while you wait for your meal. And you will WAIT ... took forever to get our food. No ice in the iced tea. Food was all cold. Ribs and sauce not as good as before. Flavorless mac and cheese. Wait staff not attentive. We noticed the old artwork is gone and other decor changes - maybe they are under new management?  Sad to see these changes and lose a favorite.,-0.7005,0.767,0.095,0.138,0.511969696969697
2010-06-30,4.0,"This place serves excellent food. My community member and I decided to go looking for some good soul food and found this place. It looks like it was perhaps a fancy restaurant sometime back in the day, but was never updated. Nonetheless, it has its own style. The food was all served hot and had generous portions for a GREAT price. The service was absolutely slow the night we went though and the bad thing about it is that there were not too many other people in the restaurant. I am not too sure about the live music on a Saturday night either. I mean, I like live music, but they are blocking the front door. If you want some good soul food DEFINITELY check this place out... I think you will leave satisfied.",0.9728,0.709,0.216,0.075,0.6363562091503269
2009-12-12,4.0,"Have been to Army & Lou's at least 10 times. I have not had a meal there that I did not enjoy. The gumbo and corn muffins are a tasty starter. The decor is strange, but ads to the overall atmosphere...  The service is always very slow. But, always friendly! This is a nice quiet place to have wonderful heavy home-style cooked food.",0.9206,0.759,0.195,0.047,0.4903333333333334
2009-11-14,5.0,"Dang Army. Dang Lou. The food was FABULOUS! Somebody get some extra moist towelettes up in here! Glad to report that Army & Lou's managed to impress me and my oftentimes hard to please Southern Mama from Mississippi. Once I saw her throw her hands up and ""testify"", I knew that A&Ls really put their foot in it! .  On my first visit I had the privilege of trying the Ribs (huge, whole slab) Catfish and Fried Chicken. All stellar...seasoned the way they're supposed to be! Portions were huge. Now to the sides....  - MAC 'N CHEESE (Somebody get a tambourine...Woooo!!)  - Greens (Tell a friend, these are the real deal)  - Yams (Sam I am, these some damn good yams)  - Cabbage (Seasoned well, tender, delish)  - Coleslaw (Quite possibly the best we've ever eaten. EVER!...Creamy, sweet delightful...great with the Ribs)  The flavors and cooking techniques are similar to what I ate growing up, so the meal made me feel so nostalgic. I swear my Grandma Violet had to be back in that kitchen!  I'll be back soon and a piece of cobbler will be coming home with me.",0.9831,0.795,0.177,0.028,0.5154761904761906
2009-10-23,3.0,Not a bad place at all... Just the decor hasn't changed ever... Last time I went the service was slow... But the food was good,-0.1531,0.766,0.106,0.128,0.43333333333333335
2009-09-04,4.0,"I took a black female friend with me and visited Army & Lou's.  For me it was cultural and historic trip to visit this restaurant where Martin Luther King and Harold Washington once dined. Along with visiting an area that in my memory was once a white enclave, it brought back memories of my childhood.  The food was very good, the fried chicken, along with the smothered chicken of my guest. The wonderful candied sweet potatoes, mac n cheese and the cobblers added to our dining experience.  However, it was the ambiance of the restaurant, the artwork on the walls, the picture of Martin Luther King, the vintage cash register, the soft jazz music playing, the warmth of the waitress and the guests made this trip all that more interesting, inviting and recommended. I've always been a fan of RB and so it was welcoming to hear it play in the background.  Yes, the service can be rather slow and sporadic however, the waitress was very polite, comforting and attentive in her own way.  If anyone has ever visited the South, one would understand that waiting on a table is not like rushing to put out a fire. So, expect a slower pace. ...and as one of the posters said that waitresses are old.....So what?!....You'll be old one day too and I would hope that people would stop discriminating against older people who have been where you're going....gimme a break!  I would visit Army & Lou's again. It is nice to see a thriving black owned business that draws people from all over Chicago so doing well.  A great cultural experience on the South side.",0.9913,0.797,0.174,0.029,0.4915277777777778
2009-05-13,4.0,"During our latest big trip to Chicago, we decided we needed to hit Izola's or Army & Lou's. I am so glad we hit Army & Lou's! It seems my comments should be taken with a grain of salt, as service & food seem to be inconsistent, but we went on the right night.  the service & food were spot on.  I loved the dining room - it was old school with real tablecloths and very simple decor. Our waitress was young, but she had the soul of an old waitress.  She was very efficient & if she didn't like our choices - we were told.  She wouldn't even serve us our greens cause she thought it was too much food.  (She was right - but we like leftovers) Unable to decide, my husband & I split our plates.  He got the fried chicken & I got the fried chicken livers.  Both were fantastic.  The coating at Army & Lou's is of the ""less-is-more"" variety, a little salt, pepper & flour.  Everything was juicy & hot....and fried liver that is moist is very impressive!  The sides were all delicious:  the mac & cheese was simple & tasty, the cornbread stuffing - super rich, sweet potato, and green beans...sooooo goooood! We paid less than $25 for our whole meal with beverages.  While I can't promise you'll find the same experience...I'm glad we got to go.",0.9929,0.783,0.187,0.031,0.5534893267651889
2009-05-06,4.0,food was fantastic... i like their cash register really unique its a antique,0.3612,0.8,0.2,0.0,0.95
2009-03-08,3.0,"Just went to ALs and i have to tell you that i'm glad I went on sunday. if you go to ALs for one thing, go for the blackberry cobbler, which is only served on sunday. Apple and Peach are served all the time. the blackberry was absolutely delish. not too sweet and the berries were good and the crust was perfect. the food was decent, i'm from the south so i say it was a good attempt by northerners at cooking southern food. the staff was super nice but the service was really really slow, like wait 15 min for drinks, 45 for food, and then another 15 for the check slow. I had the ""recession special"" for 4.95 and you get  fried chicken, a roll, mashed potatoes, and cole slaw  then i added on mac and cheese and cornbread dressing ( i know , i got a little carried away right..lol) . make sure you have some time to linger so go here on a lazy sunday afternoon when you have nothing to do but just try to beat the church crowd. It's a good place if you want to get a good meal and a great place if you want some cobbler and some history.",0.986,0.768,0.193,0.039,0.7020786092214665
2009-02-17,3.0,"The food is a little hit or miss.  Service is nearly always slow as molasses. When the food is good, it's very, very good.  When the food is bad, it's still okay, it's just disappointing compared to what it can be. This isn't fine dining by any means, but you can get some good soul food.  The smothered chicken and smothered pork chops can be otherworldly good, and I like any place that has pickled peaches.   If you're into historical dining places, this is a must-see place.  If you're just looking for great soul food this is one of several places to try, but I'm not sure that for food alone it should top your list.",0.8932,0.705,0.175,0.12,0.5491503267973856
2009-02-17,5.0,"A friend and I went for the Valentine's Day buffet.  We couldn't have been happier.  The food was great.  It hit the spot!!  The peach cobler left something to be desired, but I still want to try this blackberry cobler everyone's talking about.  The atmosphere wasn't bad either, i think the walls were red, but I enjoyed the artwork.  The staff was friendly!  And they told us about the Sunday brunch buffet, the first Sunday of every month!  I'm there next month!  It was worth the drive, I will be back!",0.9674,0.748,0.233,0.019,0.305
2008-12-06,5.0,"Thanksgiving Dinner! All I can say is yes!  I ordered the thanksigving dinner from their thanksigiving order form i picked up while dining at Army and Lou's recently.  I was afraid the food would be kind of boxed, like it is from Dominicks or the fast food places that offer boxed Thanksgiving menus.  I was quite surpised, everything was perfect!  The food was delicious, especially the turkey, it was juicy, tender and seasoned nicely. My mother and dad really loved the mac and cheese and the rolls were outstanding--you could tell it was home cooking made easy. I don't understand why some people would say otherwise--to each is own--but for them I say ""stay home and cook your own food"" because it sounds like nothing would be good enough for your taste buds anyway.  I say thank god for restaurants like Army & Lou's.  I've been going there all my life and have to say, it's only gotten ""better""!",0.9833,0.794,0.192,0.014,0.7583333333333333
2008-11-25,4.0,"Go on Sunday, so you can get the blackberry cobbler.  Army and Lou's is a wonderful Southern cooking restaurant. If you're hungry for a breakfast of eggs, ham, grits, and biscuits, this is the place to be. Everything is just as it should be. Sunday is the only day you can also get their famous blackberry cobbler. We were too full, so got ours to go. It made for a perfect dessert later that day.  Decor is below acceptable. It needs some basic work. The service is fine. Yes, the waitresses are typically old, but they nice, friendly, and do their job just fine. Relax and enjoy the cooking.",0.9775,0.775,0.225,0.0,0.5625
