date,star,text,compound,neutral,positive,negative,subjectivity
2008-03-11,4.0,"Simply gorgeous ambiance, attentive but not overbearing service and very good food. I had the rack of lamb and was not ashamed to pick it up with my hands and tear every last morsel of meat off the bones.",0.8785,0.776,0.224,0.0,0.6616666666666667
2008-02-25,4.0,"Wonderful ambiance and excellent service!  The meal was excellent, but I am a little bit disappointed that I went for a beef dish instead of fish (the fiancee was getting beef and its near impossible to get a bottle of wine that would work with both).  Not that the steak wasn't wonderful, I was just looking for something a little more unique.  As everyone else has remarked: the tuna tar tare was superb.  I'm not a huge wasabi fan, but the use of it in this dish was surprisingly subtle (which is a good thing because normally wasabi makes me feel as though my sinuses are on fire).  Excellent wine list, a great variety of types and prices.",0.9624,0.691,0.218,0.091,0.7805555555555556
2008-01-29,5.0,"Beautiful, sexy atmosphere. Tables are nicely spaced, excellent and generous service but the food is incredible. Very well balanced, fresh and distinguishable flavours. We can't wait for our business to take us back to Chicago so we can dine there again.",0.9386,0.66,0.34,0.0,0.7125
2008-01-23,4.0,"I went here last night for a client dinner for the first time and was pleasantly surprised. While the name kind of turned me off at first, I quickly realized that the restuarant was much nicer than what I had pictured in my head.  There were about 15 of us at dinner, so i took full advantage of sampling the salad, asparagus and tuna tartare for starters - which were all very good. For the entree, i ordered the sea bass and garlic shrimp. It was delicious. While I'm often turned off at some of the entrees at similiar restuarants, this was really nice without being pretentious. Great for a downtown place to take your parents or for a date.  PS -  the table also ordered the chocolate cake and the presentation, and more so the taste, were awesome!",0.965,0.812,0.166,0.022,0.6258333333333335
2007-12-25,5.0,"I had a great dinner here.  First I'm a wine person and the wine menu was amazing, but more importantly the waiter knew his wines and was recommending what went well with our food.   He also bought us tastes of the wines by the glass because we got a glass of wine with the appetizer and then a bottle of red with dinner.I started with the Tuna Tartare which was a signature dish.  I enjoyed it but I don't think it was the best thing I had.  The other appetizer was ostrich which I had never had before but it was fabulous.  I was told it was beef without the guilt and let me tell you that was the truth. For dinner the group shared three of the entrees which was the way to go.  The Tuna main dish was amazing, it had a great flavor and was the lightest of the dishes we had.  We also had the duck and the veal.  The duck was probably my least favorite but it was still great.  The veal was amazing.  Everything was better then the next.   I would totally return.",0.9956,0.722,0.263,0.015,0.6070833333333334
2007-11-13,4.0,"I went to Kevin back in March 07 and really enjoyed the food.  Their Tuna Tartare is one of the items that is a ""signature dish"" for their restaurant and doesn't come off the menu, whereas most other items seem to rotate depending on what is in season. I thought the ambiance was very nice, romantic.  But also perfect for a business gathering or a nice dinner with the folks.  I would definitely go back again! Their desserts were great!  Shared the Pepper Creme Brulee and paired it with a scotch.  Wonderful combination!  Also had the lamb and venison - cooked to perfection. Would love to find an excuse to go back again!",0.9904,0.701,0.299,0.0,0.5339285714285714
2007-10-31,5.0,"I have dined at quite a few places in my time and currently Kevin is tops on my list.  My girlfriend took me out here for my birthday and the whole experience was absolutely fabulous!  She booked the reservations in advance and told them that it was my birthday and requested a romantic table.  When we got there they sat us in one of the best tables that they had overlooking most of the dining room.  How is that for service? The dining room and ambiance was a nice change from what I am used to in a Chicago dining establishment.  The experience at Kevin was focused on service and the food instead of the volume of diners that other establishments count on.  The dining room probably only sat 30 people compared to the 100+ in other establishments, the difference here is that you can actually have a conversation with the person you are dining with instead of having to shout to him or her.   Food here is fantastic!  We started out with the tuna tar-tare (which we were notified was Kevin's signature dish) and it was the best tuna tar-tare that I have ever had.  Presentation here was nice and simple and the dish itself was so light and fluffy to the tongue that it was almost as though it dissolved when it was in your mouth leaving just a hint of sesame.  In terms of entrees we choose the grouper and the roasted duck, both which were also fantastic.  The grouper was nice and flaky while the duck had to be the crowning dish.  Desert was also another party pleaser and the pastry chef had the thoughtfulness to write Happy Birthday to me in chocolate on the dish! In essence, I would highly recommend Kevin to anyone who has the palate to enjoy such wonderful creations in a cozy atmosphere.  I hope that this establishment stays in Chicago for many years to come.",0.9962,0.82,0.18,0.0,0.6073015873015873
2007-10-28,5.0,"Last night I took my boyfriend here for his birthday and everything was PERFECT.  I made reservations a few days in advance and told them that we were celebrating a special birthday and requested a romantic table.  When we arrived we were seated in a booth so that we could sit next to each other.  A great start to our night.  Kevin has an extensive wine list and the menu changes everyday.  The server was very polite and even offered suggestions.  We ordered one of their cheaper bottles of wine (still a good $45 though), and had the famous tuna tartare for an appetizer.  It was very good and I loved the side salads and greens that came along on the plate.  For entrees we had the Red Snapper and Roasted Duck.  I had the duck, and it was amazing.  It came with two duck potstickers (which were out of this world), cranberries, a potato pancake and a mushroom/celery salad.   We ordered dessert and espresso.  When the dessert came out the pastry chef wrote ""Happy Birthday"" on the plate in chocolate and sent out a candle with it.  A great presentation. The atmosphere is clean and minimal.  I really liked that the dining room was full and you could still talk at a normal level.  Overall, the service was perfect and they paid much attention to the small details and the food was fabulous.  I would recommend this place to anyone wanting to celebrate a special occasion.   Even though the prices may seem a little high, I think it was well worth the money for the experience and fine dining.",0.9964,0.774,0.226,0.0,0.5452310924369749
2007-10-13,4.0,"Had dined here 2 years ago and again tonight.  Very nice; atmosphere, relatively quiet and really well executed food.  Not mind blowing flavors, but the service was terrific (and we all know that counts for as much as the food).  I think our bottle of zin had turned but my dinner mates didn't notice, so maybe it's the headcold I'm getting over.  Tuna tartare is some of the finest in Chi, Pork loin was outstanding as was lamb and halibut.  Overall, solid, but it's not gonna knock many socks.",0.9359,0.843,0.157,0.0,0.46759259259259267
2007-08-15,5.0,I went back to Kevin recently after not having been there in a while and it was fabulous! Everything about our dining experience was great. We started out with some appetizers including the famous tuna tartare which is probably the best I have ever had.  Our main courses were also very good and unique.  The atmosphere was quiet and elegant and the wait staff was good.  They ran out of cherries for my favorite drink and were nice enough to go buy me some! I have never experienced that before. Definitely check it out if you are looking for a nice restaurant to go with family or to celebrate a special occasion.,0.9902,0.704,0.296,0.0,0.6746365914786967
