date,star,text,compound,neutral,positive,negative,subjectivity
2012-05-19,3.0,"Okay is the best word to describe Klay oven. I almost gave them 3 stars, but I've been able to recreate some dishes I love in my home with much more flavor. Although, I've eaten here on many buffet days, they just don't compare to many of the places near Devon on Chicago's northside. The atmosphere of the place is great for Business lunches, Dates, and or just large groups of people who looking for a first time indian experience. However, if you're looking to experience bold indian flavors and spices then this is not the place for you. I also must add that having been multiple times some days are better than others. Also, you tend to not get the same quality at a buffet which they do at a specific time during the day. So maybe a non buffet hour. I had to add a extra star because they are part of grub hub so you can have things delivered right to your home if you like the food.",0.9761,0.863,0.137,0.0,0.41607142857142854
2012-04-10,1.0,"This place was underwhelming compared to other Indian buffets in Chicago(Indian garden, India house). Nice atmosphere, but the food was below aveage to say the least. Most of the curries were bland, and everything on the buffet line was cold! They only had one chicken dish, and in general, a smaller variety than at most places. No Samosas, wtf? Also, I had to Hunt for pander in the saag panerf dish. Lmy boyfriend only got one piece in the entire two spoonfuls he had, sorry, but I'll stick to India garden!",-0.8608,0.873,0.02,0.107,0.7455555555555555
2012-03-22,5.0,"When I want Indian food, I go on Grubhub and order from Klay Oven. I order 3 things -- Matar Paneer do Piaza, Naan, Matar Aloo Samosa. Sometimes I'll switch it up and order some Garlic Naan too.  The Matar Paneer is the best I've ever had, and I've tried several Indian restaurants in Chicago. The Samosas are kind of hit or miss. Sometimes they're fabulous, sometimes I don't really eat them. Lately, I haven't been ordering them. And the naan is always great. Nice and big. Sometimes it's a little more crispy in the middle, but I don't mind since I just use it to dip/scoop my matar paneer. I dined in one time for Saturday lunch. They didn't have any Matar Paneer during the buffet, but the stuff they had was really great.",0.9294,0.872,0.119,0.01,0.5076923076923077
2012-02-23,2.0,"Its at best a 2-star experience. Was here for the lunch buffet - it was a work group lunch thing. Mediocre food, ambiance and service sums up my experience. There was nothing good about the lunch.",0.4203,0.824,0.112,0.064,0.6333333333333334
2012-02-19,4.0,"Exceeded expectations in all respects. You might argue that an Indian restaurant isn't the place for an IPA - but I was excited they served a few micro-breweries (and that I had more to choose from than an array of Lite-beers). Service, portions and prices were generous and the food nice. Perfect for a quick bite - but not for a date night.",0.9535,0.718,0.258,0.024,0.6416666666666667
2012-02-08,5.0,"I cannot thank Klay Oven enough for a wonderful experience here. I had to organize a big lunch for work (about 30 people), and usually the number is never finalized until the day before, or even the day of, meaning I often have to pick places that are easy going, and frankly, able to deal with people showing up last minute. I called Klay Oven before hand to ask for information. They were very friendly and helpful on the phone. Given the fact that they have the buffet with or without our group, I didn't expect them to give me any trouble - but you'd be surprised to find out how many places don't appreciate a big group. They tell me just to call a day or two before hand to give them an estimated number. Two days before the event, I got a call from Klay Oven. They wanted to know how the number of guests. I was pleasantly surprised by this. I organize these events pretty often, and this is the first time a restaurant call me to remind and confirm with me before I call them. It might have been the timing but regardless it gave them a huge plus.  When our group arrived, the customer services could have not been any better. There were more people than expected, and the manager (I assume so because he was older and wearing a jacket) was SUPER accommodating and friendly. He kept track of the guests the whole time and reminded me everytime someone else came in. Our waiter was super attentive and my water was never empty. He made quite a few trip too as some people found the food a bit spicy.  The food itself was delicious. They had lots of option both meat and vegetarian. I remembered 3 types of vegetarian curry/potato and 4-5 other meat options. Along with salad (delicious chickpea salad), appetizers, 2 types of rice (white and spiced), and nan. There were plenty of food - a great choice if you are new to Indian cuisine or if you just want to eat it all in one meal. I tried all I could eat (that was anything without meat), and nothing failed to impress me. They also had 2 types of desert: kheer and mango kulfi (I think, I didn't try this so it might have not been).  The kheer was very good as well and it cured my craving! From the beginning to the end, everything was perfect: food, ambiance, decor, services, and even location (less than 5 mins walk from the Brown line). I'd recommend this place to everyone, and if you have a big group, don't hesitate, contact them!",0.9974,0.794,0.18,0.026,0.5302950558213717
2012-01-01,5.0,"I love this place!  Five star review, yes siree! I came with a group of friends on New Years Eve. We made reservations on  gdine.com  and for twenty dollars and some change, we enjoyed a lovely 3 course menu. Our waiter, Joel, was absolutely fantastic and made our dining experience that much better.  I had the vegetable samosa for starters and it was delicious. The plate came with two giant samosas the size of my hand. They were a bit spicy, but so great! The husband had spicy shrimp skewers and he gobbled them up as soon as he got them. For the main course, I had the chicken tikki masala. Super delicious. I asked for mine to be mild and Joel made sure it was! The dish also came with rice and naan. Again, super delicious. It's served family style so you can taste other people's dishes, if they are so inclined to share.  For dessert, I ordered the mango ice cream and it was perfect. Light, tasty, and a perfect compliment to the more spicier parts of the meal. The husband ordered rice pudding but only took one bite- he wasn't too big of a fan. The restuarnt itself was great too- the ambiance was a bit more upscale, and quiet- perfect for a romantic date night! We're definitely returning here!",0.9984,0.668,0.332,0.0,0.6972811447811448
2011-12-12,3.0,"We were there on a Sunday for their lunch buffet where we received a zero level of customer service. No, there were not rude or anything. In fact there wasn't a chance for them to be rude because the staff hardly uttered a word. We were seated by the host (or maybe manager, since he wore a blazer) and brought to our table. And then he walked away. Not a single word telling us that we were welcome to start the buffet at anytime. OK, so we started the buffet on our own. There was only one other employee there who acted as the ""busboy"" and we ended up ordering our masala teas from him at the end of our meal. And then the host/manager appeared again at our table only to drop of the check, again without uttering a single word, and then walked away. Later, he came back to our table, swooped up the check + money and walked away, again without uttering a single word. Not even a thank you. And then we left. No byes or thank you please come again.  So yes, literally zero customer service at Klay Oven. Oh what a difference in atmosphere during the Karma Kitchen events held at Klay Oven on every second Sunday of the month.  Klay Oven needs to do something. Their varieties for the buffet is not as impressive compared to other downtown Indian buffets, and plus zero customer service.... not very smart of them.",0.843,0.86,0.088,0.052,0.47521206863312127
2011-11-25,3.0,"3.5 stars.   The good: the decor is nice and we had pretty good friendly service.  They were a little slow on refilling our waters but overall our server was attentive (much better than India House's...every time we go there, the servers aren't very friendly and don't seem to want to serve us).   Also, our samosas were packed with lots of meat which was awesome and their garlic naan is the best!  Lots of garlic goodness on it.  The bad: the flavors aren't as good as India House's and they use lower quality meat as there were a few pieces of lamb that I was not a fan of.   Although their prices are a little less expensive than some other places and they do have better service than some other restaurants, it's not enough for me to go back since the food always comes first for me.  If I'm craving Indian, I'll rather pay a bit more to get food that blows my socks off.",0.9844,0.721,0.213,0.066,0.5064102564102564
2011-11-14,1.0,"The food was ok, but the service and ambience was horrible.",-0.631,0.586,0.104,0.309,0.75
2011-11-07,4.0,"I love this place! I dont get to eat Indian food often but any chance I get I come here. The mixed grill is phenomenal, the tikki masala is perfect, and I love the generous wine list. The flambe for desert is my favorite. The service is always pleasant and prices are good. Must try!",0.9885,0.558,0.442,0.0,0.6895833333333334
2011-11-01,3.0,"There are only a small handful number of Indian restaurants around the area but Klay Oven stands out with the buffet option, the fine decorated interior, and cleanliness. The buffet is a great deal for the amount of variety that is offered and comes with complimentary naan bread that is freshly made. Unfortunately, the food at the buffet was kind of bland. I realize that they may hold off on the level of heat to cater to a wider audience but I couldn't taste the spices either. Based on other people's review, I'll have to try ordering off their menu next time.  Being in the downtown area, you can expect to pay more than other Indian restaurants. If you are craving Indian food for lunch, there are other options around the area where the food is better and costs less. But if you are feeling gluttonous and want a buffet, Klay Oven will satisfy that urge.",0.9595,0.83,0.142,0.028,0.5359375
2011-10-17,3.0,"Went there in a group, for dinner. The samosas and aloo tikkis didn't meet my expectations, but the main dish (Lamb) was very good. The food is pricey though. This place won't be my first choice if I was looking for Indian food in the city, but could be my second or third choice.",0.6474,0.922,0.078,0.0,0.28933333333333333
2011-09-25,4.0,"The meal was very expensive, but incredibly good food! I had the Chicken Madras and it was so flavorful. I also tried what my friends ordered, the Chicken Marsala and Murg Saag and it was all very tasty. The only issue was the bill, which was a lot more expensive than it looked on Yelp. Went here with some friends who had a Groupon so that help alleviate the financial burden and eat the meal mostly guilt free. Great date spot though, the ambiance was very intimate.",0.9734,0.692,0.248,0.06,0.6723076923076923
2011-08-29,4.0,"My wife and I quite enjoy this establishment.  The ambiance is quaint and relaxed, dramatic draped curtains accent the main dinging area, dim lighting sets a romantic feel, and the service is extremely attentive and work as a team.  The food is average to above average, as I would, and have, returned on many occasions for items such as the Vegetable or Chicken Biriyani and Morge Pakora. The host and staff are extremely polite and courteous, as they took the time to answer any questions we have and cater to any request which was made.",0.9179,0.87,0.13,0.0,0.5845238095238096
2011-07-27,4.0,"Excellent service. Food is a little pricey, not the best....but still quality. Spicing was appropriate.",0.5719,0.778,0.222,0.0,0.6666666666666666
2011-07-26,4.0,"Came here for lunch yesterday for their yummy lunch buffet. $11.95 for all you can eat + naan works for me. :) I wish they were more on top of the freshness of the food and refilling everything, but I guess they were super busy. The service was excellent. I actually have been there for dinner too and had a great experience. :) Definitely great Indian food that everyone would love!",0.9927,0.562,0.438,0.0,0.6515151515151515
2011-07-01,3.0,"I've ordered carry-out here twice now - I always get the same thing with Indian food. You find what you like and stick with it. The food here is decent, nothing spectacular, kind of middle of the road Indian. The one thing that bugs me.....both times i've carried out here, the food was to be ready in 20 minutes. I show up 25 minutes later and still end up waiting 10  minutes! So here's the lesson: if you order carry-out, be generous and allow them an extra 10-15 minutes.",0.8588,0.887,0.113,0.0,0.39895833333333336
2011-06-26,2.0,"I stepped into Klay Oven for the second time in about seven years since I'd forgotten why I stayed away from a place that is fairly popular. The food reminded me why. Revolting is hardly a word I use with appetizers especially my favorite Indian ones -- but the samosas and the aloo tikki I ordered that night were just that. Bad bites come in big portions - at least that's what it felt like as I struggled my way through the apps. The bread (nan) fell flat as well although the mixed vegetable dish my friend and I ordered was good - the only redeeming taste of the night. Maybe the kitchen was off-base the night I went back and I would readily believe that my experience was an aberration rather than a rule. However, as far as dining goes, it's a one strike, one bad experience rule that I play by...and Klay Oven just got struck out.",0.4384,0.768,0.124,0.107,0.515625
2011-06-05,2.0,Overpriced North Indian food at a fancy location.  The food isn't bad - but it's not great.  My palak paneer was fine.  So was my dirty martini.  Do I sound indifferent?  I was.,-0.8299,0.615,0.106,0.279,0.6233333333333333
2011-06-05,2.0,"It's not a bad place...it just doesn't stand out.  If you're willing to go there for a lunch special, it's completely standard inoffensive Indian buffet fare, which if you're with a small group that is in a rush, works just fine.  On the other hand, if you'd actually like to do lunch take-away, expect to get nailed by dinner prices...which is kinda sleazy by me.  If you're in the middle of all these offices, why not do lunch specials? I did find a special place in my heart for the naan though, particularly the paneer naan.   I expect to go back, as it's close, cheap, and (fairly) cheerful.  It just won't be tops on my list.",0.9387,0.821,0.157,0.022,0.4262755102040816
2011-05-16,4.0,Lol Despite the instant smell of armpits and curry that hits you right after you enter they offer a wide variety of indian food. I'm mexican and Indian food is one of my favorite type of foods to eat . Dont worry about the armpit smell you'll forget about it once you start eating ...,0.25,0.822,0.097,0.081,0.5503968253968253
2011-05-12,4.0,"Thanks to Groupon and Klay Oven for the offer.  Otherwise, I may not have known about nor cared to venture downtown for Indian food.  Why should I when Devon Avenue is within reasonable distance of my residence.   When you don't know or aren't sure when dealing with a cuisine you don't often eat; do yourself a favor and look up reviews or ask for a recommendation.  If some of the other reviewers did so, I think they would've dealt with far less problems.  But that's only half of it.  Read on. Nice atmosphere which is welcoming with a serene pond at the foot of the entrance.  Music is ambient and usually some sort of Middle East folk or Indian instrumentals.  The restaurant is dimly lit whatever time of the day it is and has a cooling feel to it.  Clean and comfortable.  Deeper inside, there are vibrant colored walls and detailed areas of seating perfect for that special date or party.     Klay Oven's greatest failure is wait and host services.  Unfortunately the heavy of this burden falls on a few guys, the hardest working in my opinion which is the runners.  I wish I knew this fellow's name, I'd say he's Mexican with an accent, a sharp guy with details and knows the menu thoroughly.  You know when you try to speak another person's language or order ethnic entrees, how people of that background repeat back the same words you spoke as if to hear it in a proper sound and then acknowledge it.  This dude did that to me(!), not once but twice!  I'm Indian, but a Southie and not a Northie, terms which carry more meaning to Indians.  Significant difference is that we southie's would pronounce some entrée names differently than those from the North.  Most Indian restaurants found anywhere are typically North Indian in cuisine, FYI. Since my first visit I've been back a couple times for the food which is stellar, but I've been boring and ordering the same dishes over and over.  First let me reiterate that the host and waiters are tediously slow and I'm not quite sure what their role is other than wasting our time.  I walked in on a Sunday just after they opened and another time during early evening on a week night.  Both times the runners were running their asses off helping customers.  (Literally running at one point.)  Not sure where the host or main waiters were.  I'd guess having a smoke or doing their hair.  No offense, just I assume that when a business opens for the day, a restaurant already has staff ready to go.  This place is located downtown, so I would assume some level of professionalism.  Yes?  Though not the case.    On that Sunday around early afternoon, we waited for fifteen minutes plus before someone came over and welcomed us.  Another five minutes to get a table in a place which was only 5% full at the time.  Ridiculous.  The runner was handling their phones, taking phone orders, trying to assist new customers as they entered and fill drink orders all at the same time.  Insane and all the while, new walk-in's grew more and more tired of the treatment.   After much wait and trepidation, we were happily surprised with the outcome of the food.  Every entrée was tasteful and kept our taste interests piqued.   A few memorable entrees to mention:  Aloo tikki, fried potato patties.  Aloo samosa, vegetarian samosa.  (I don't ever order non-veg samosa, because it's usually a waste of money.)  Mila Jhula because it's an appetizer plate and I can't pass on the opportunity of having one.  Poori which is a large circular puffy bread different to naan and great for dipping.  Though it can be oily.   Many of the chicken and lamb dishes are very good.  My favorites are on the seafood menu, such as lobster masala and (I think it's called) Jheenga nariyal.  The latter was composed of tiger prawns which are butterflied, spiced and grilled to perfection.  Tiger prawns so big that they are as big as your fist.  Four pieces offered.  The lobster masala had some big chunks of meat and was an excellent dish we fought over finishing the following day.  Not to be mistaken with crab masala which I am told is not taste worthy and they are considering removal from the menu. A few entrees can make your bill rise pretty quickly, so it's best to inquire with a waiter on how much food is needed to fill your lot.  The best deal for the new walk in is the buffet.  On one occasion I spent almost $120 dollars on top of a Groupon for three people with leftovers for home.  Another time almost seventy dollars for two and of these two visits, these were the charges without booze!  I think some of their pricing is far too high, but then again, I haven't a clue how much their rent is per month. For good parking, I typically find some by Doughnut vault or park in the garage and I think the restaurant will comp you on it.",0.9941,0.827,0.114,0.06,0.5018348318348319
2011-05-09,5.0,"Chooza tikka masala was amazing! Loved it so much that i tried to find a recipe online. Saag Gosht was also very good. They were overwhelmed when Groupon was about to expire, and were not staffed properly. However, once the manager realized that the kitchen is unable to fill all orders, he allowed groupons to be used at a later time. Granted it happened after waiting 1.5 hrs in the restaurant + order placed 2 hrs before that... 5 stars are for the food, which was excellent.",0.9523,0.806,0.194,0.0,0.535
2011-04-25,3.0,"EDIT: Klay Oven's management was gracious enough to send me a $40 gift certificate in order to give them another chance. I went there in the evening and didn't let them know who I was. My friend and I had a very pleasant dinner on their patio. The food was good, about where you'd want it to be vis a vis the price. Overall I judge Klay Oven to be a solid choice for competent Indian in the neighborhood. It's good, but I wouldn't go out of my way for it, like I would for, say, Sabri Nahari on Devon. I never really did have complaints with Klay Oven's food, but rather with their handling of the Groupon. In my recent visit the service was as it should be: I didn't think twice about it. Three or three and a half stars is about what I think they deserve when they are not behaving oddly inflexible toward their patrons. I'd definitely go back during lunch if I was in the neighborhood. Kudos to their management for reaching out, I'm glad they did.  Original review: I'm very upset at this place. After buying their Groupon, the Klay Oven folks did everything in their power to stop me from using it. I can't even remember all of the weird reasons and excuses they threw at me: the kitchen was closed to non-buffet patrons for some reason, or it couldn't be used because they were privileging some other function, or because of some alternative vegetarian restaurant idea that didn't appeal to me, and so on. And every time the manager/host was completely inflexible and unwilling to work with me, which was annoying after driving all the way there, parking, etc. Shame on them for treating customers that way. Finally, the food is okay and all, but its not the sort of thing that you'd drive to, as your local Indian is probably comparable - the Indian in my neighborhood certainly is.",0.9469,0.815,0.127,0.058,0.4908234126984126
2011-04-20,4.0,"Good Lunch buffet. $11.  Noticed they serve Chimay beer, and have a nice looking bar selection. Will go back for dinner some time. Good service, Velvet atmosphere.",0.8225,0.728,0.272,0.0,0.55
2011-04-19,5.0,My favorite Indian restaurant in the city! I think I have eaten half of the menu at this point and am never let down. I like to ask for recommendations but at this point I just go for new options.I love their  Naan which is not the ordinary kind-it has raisins and a special kick.  Shrimp masala and chicken masala never fail me and the staff is always great.,0.9702,0.719,0.261,0.019,0.5581529581529582
2011-04-17,4.0,"Klay Oven is my bf's fave Indian spot, so whenever we're in the mood, we come here or order from here. I do enjoy the ambiance, with high ceilings, as opposed to other places' cramped quarters. They have sections which are semi-private if you have an event in mind. The food is always spot-on. We always have too much!",0.75,0.898,0.102,0.0,0.40375
