date,star,text,compound,neutral,positive,negative,subjectivity
2017-05-03,5.0,"Everything was excellent, best sushi in town, great space though it gets loud at times, service was outstanding",0.9517,0.467,0.533,0.0,0.7449999999999999
2017-03-31,4.0,"Got a groupom for this place. Sushi and presentation was great. It took forever to get our order in and food but David (pur server) made it a great experience. He was charming and had the entire restaurant, he bussed and poured water at all tables too. Poor job by management. But David and food made up for the short coming.",0.882,0.758,0.185,0.057,0.6708333333333334
2017-02-15,4.0,"WOW I found Kyoto Steak-Sushi Restaurant on Groupon.  They had a $45 dollar meal for $22 dollars.  At the time there was a further reduction of $5 for a discounted meal above $20 dollars.  So basically a $45 dollar meal cost $17.   This restaurant is located in the heart of Lincoln Park on Fullerton just east of Clark.  I guess it's a little off of the main stream of traffic, but it's literally located across the street from Lincoln Park on the south side of Fullerton Avenue between Clark Street and Commonwealth. From the outside there's not much to draw people in off of the street and you could easily go by it without even noticing it, which I have done literally 100's of times.  In fact I even drove by it tonight even though I knew the general location.   Once we got to the restaurant and went inside there weren't many people inside.  In fact only 2 other tables were occupied.  It's a nice restaurant with a very pleasant ambiance, low lighting with a color scheme of burgundy accent walls, light beige taupe (identical to my living room) w/dark brown tables.  They also have some nice ornamental wall sconces with ornamental sculptured metal intertwined that serve as light supports as well as integral holders of the light sconce to the wall.   We ordered 2 fish dishes and some miso soup.  The soup came out in the coolest little bowls with matching lids, served on a cool little slate serving tray.  After that the soup was average, but the seaweed/kelp inside was very good. My wife ordered the miso glazed cod which was over cooked and rubbery.  This dish also came with oyster mushrooms which were excellent & asparagus.  I ordered the crispy striped bass which was excellent, light salted with a crispy charred skin that added to the texture and flavor.  It also came with bok choy w/toasted almonds w/a ginger sauce w/a soy meringue.  This was ok, but the crispy striped bass was the star of this dish.  We were also got an order of creamy garlic mashed potatoes w/green onions that were to die for.  I savored every mouthful of this dish.  Our waiter David was outstanding.  From start to finish his service and attention to detail were outstanding.  He had a good knowledge of the menu items and he was on point with the service.  That's why I gave him 25% tip.   The one critique I have and this isn't the servers fault was the kitchens turn around time was extremely slow considering there were only 3 tables occupied.  I didn't time it, but it probably took between 20-25 minutes to get our main dishes.  Overall we had a very nice meal (especially with the Groupon discount)",0.9959,0.846,0.137,0.017,0.6257692307692307
2017-02-10,5.0,"Was hesitant at first, but went with recommended items and they were great! The tuna salmon poke is a must! Spicy snowball was delicious. Seared salmon was cooked to perfection! Crispy top and bottom with soft, juicy inside. Was hesitant with Brussels sprouts because I've never had it and only heard bad things about it, but man, was I surprised! I'm converted to loving brussel sprouts! Would come back again!",0.9728,0.606,0.303,0.091,0.645
2017-01-23,3.0,"So sad.  Before they moved to Fullerton, we ate at Kyoto very often over a number of years.  We were loyal patrons, as was my sister & her family. It was ALWAYS delicious. The environment was cute & cozy.  The prices were fair...not cheap & not too pricy.   The new restaurant is more Japanese steakhouse than sushi restaurant, with pricy cuts of meat on the menu.  The sushi menu consists mostly of rolls, not individual pieces of sushi.  We ordered sushi that they used to make but is no longer not on the menu.  On a busier night, they may not have done this for us.  New rolls have been added while others have been removed.  The prices appear to have gone up too.  The new location -- while it has outdoor seating which will be fantastic in the summer -- is really odd inside.  I am not sure what to make of it...too big, strange layout, really bad looking floors.   We left there underwhelmed.  While the service was very good, the sushi & rolls were not up to the old Kyoto standard...not super flavorful. We may/may not be going back for a 2nd chance when there are so many good sushi restaurants in Lincoln Park/Lakeview.  It's very sad.  We miss the old Kyoto!",0.3817,0.774,0.116,0.11,0.5083063973063972
2016-12-29,1.0,"Got delivery.  We focused on rolls that did not have a ton of sauce or mayo listed.  Well, we were wrong.  THEY ALL CAME WITH MAYO!!!! ALL!!!! WE WERE BLINDSIDED!  GROSS. THE INGREDIENTS LIST IS NOT ACCURATE FOR DELIVERY.  One person couldn't even eat any and half was tossed out.  A waste of $80.   List all ingredients or add on the side.  I won't be ordering there again. I like to know what I am getting.  And I'd like to know ahead of time if MAYO or any other sauce is being added.  Fish and cream is gross together.",-0.7431,0.784,0.088,0.128,0.29642857142857143
2016-12-24,5.0,"From San Francisco and was referred by a friend that this is a must place to go when visiting Chicago. It certainly did not disappoint. Food was excellent, great atmosphere and especially the wonderful service from our servers. It was also a treat to have the owner visit our table and shared with us his passion and inspirations for all of his creations. Can't wait to go back when we're in Chicago.",0.9854,0.634,0.366,0.0,0.7202380952380952
2016-12-23,3.0,"Ordered in delivery and it was just ok.... Nothing was bad, but not great either: - spicy tuna tataki- didn't love the seared tuna and ended up taking it off the top of the roll - vegetable gyoza- fine, standard fare, but the dipping sauce was rather tart - Japanese potato salad- large portion, flavor was ok, some of the potatoes were slightly undercooked - chocolate mousse - yeah this wasn't good (something I rarely say about chocolate) but it was overly sweet and the saving grace was small pieces of candy that were interesting  Probably won't order delivery again but based on reviews and menu, would consider checking out other items at the restaurant",0.7094,0.734,0.159,0.107,0.4727591036414567
2016-11-25,5.0,Great food and friendly service. Had a Groupon for this place and glad that it worked out. Can't wait to come back!,0.8908,0.63,0.37,0.0,0.5625
2016-11-22,1.0,"We heard good things so we gave it a shot. There were two people working for the entire restaurant (including the bar). After ten mins, nobody greeted us. Finally we flagged someone down and asked for a bottle opener for our beer. Ten more minute and he never came back. We got up and left. #service",0.6124,0.912,0.088,0.0,0.33487654320987653
