date,star,text,compound,neutral,positive,negative,subjectivity
2017-02-06,3.0,"The Italian sandwich I got was just ok... didn't love the quality of the meat.  However, the service was amazing... some of the nicest people I've met in a quick lunch place.",-0.0433,0.81,0.093,0.097,0.5
2017-01-03,1.0,"I'm so pissed right now.  I'd ordered a LARGE soup and all I'd received was broth, little veggies and I mean little, and maybe a very small piece of chicken.  I will not be returning. Hell I could have went to Walmart and purchased a LARGE soup for the amount that I'd paid.  In addition, the so called large soup is over $4, but it looks more like an extra small soup.  Man, what a rip off this place is.",0.5065,0.889,0.076,0.035,0.49824404761904767
2016-11-22,4.0,"Arturo's is the best of all immediate need worlds. If need a cappuccino RIGHT NOW, they're there for me. Skipped breakfast - egg and bacon sammies to- go. In need of quick, light nutrition - salad!  Good, fast, cheap. And nice people. There is a Starbucks just around the corner but there's no need.",0.4482,0.828,0.121,0.05,0.6169642857142857
2016-11-12,5.0,My favorite place for breakfast sandwiches.  They have three unique sandwiches and all of them are incredible. The service/staff is great as well.,0.8481,0.685,0.315,0.0,0.9125
2016-10-28,3.0,"Try the Tony Special for breakfast. It's egg, mozzarella, pepperoni and giardiniera served warm on toasted ciabatta. The egg might be the pre-prepared patty kind, but overall this savory sandwich is crunchy goodness.",0.8176,0.753,0.247,0.0,0.5178571428571428
2016-10-26,4.0,Great place to have quick lunch. I had some time between trains at Union Station. The woman that helped customers with the salad order was friendly and patient. I had the signature salad and it was fresh and delicious. The cashier seemed annoyed when I asked for a cup for water. Arturo Express for the win!,0.9412,0.697,0.264,0.039,0.6357142857142858
2016-04-25,4.0,"My supervisor brought me here for lunch because of a special she used to get every week when she worked in the area SEVEN YEARS AGO. Part of me wondered how a place can stay alive without changing literally anything but I guess if it aint broke... The place definitely gets super packed at noon. I definitely prefer the freshly made sandwiches over anything else, but the salads also look very tasty. I'd probably avoid the pastas they have sitting on the hot plates; while the portions are large, they're kind of meh. But this is 100% the kind of quick office person's lunch spot where you can have a fast grab and go routine without actually eating the same thing every day.",0.9083,0.842,0.122,0.036,0.5227777777777778
2015-11-18,1.0,Food is alright pretty decent for 6 dollars lunch... but the guy in the register is rude .. didn't even look at you and he doesn't even say thank you .. I don't know if he was the manager,-0.6206,0.763,0.083,0.154,0.7555555555555555
2015-09-01,5.0,I had turkey sandwich for lunch. It was super good.ingredients were fresh so I feel fresh,0.8176,0.564,0.436,0.0,0.5555555555555555
2015-07-27,5.0,"Great service, fast prep, & authentic Italian at less than $10/person. Can't beat it. Also check out the daily specials.",0.6249,0.814,0.186,0.0,0.36111111111111116
