date,star,text,compound,neutral,positive,negative,subjectivity
2009-08-31,5.0,I am so bummed that this place has closed. Maybe if we had gone and had the awesome wheat pasta carbonara more often they'd still be around.,0.6249,0.859,0.141,0.0,0.5333333333333333
2009-06-03,2.0,"I've been to La Donna before and thought it was good.  So when my friends were coming to dinner in my neck of the woods and wanted Italian, I took them here.  Sadly, I wasn't as impressed as my last visit.  There was a gross brown stain on the table cloth right were I was sitting.  The paper menu was dirty.  The bread was terribly stale.  I had the seafood risotto while my friends had linguine with seafood and we all agreed the mussels were terrible- chewy and fishy.  There was hardly any other seafood in our meals. I think my dish had a half of a tiny bay scallop, and the shrimp were tough.  Also, my dish was so bland I had to had a fair amount of salt, pepper and cheese. Our server was good, by sadly, I feel this place either went down in quality, or I just happen to get lucky last time I was there.  OH- and BTW- as of June 1st it is now BYOB.  Which I did not know beforehand.  Fortunately there is a liquor store across the street.  Also, there was no mention of the prix fixe that other Yelpers have mentioned, so it's either not available anymore or we were not told about it.  My lousy entree was $19 and came with nothing but stale bread.",-0.5666,0.856,0.059,0.084,0.5524544385655498
2009-04-26,2.0,"Oh man, how I wanted to enjoy this restaurant experience. I have to say that most of the time yelp does not steer me wrong, but this time it did. We were looking for a romantic dinner and some of the yelpers had very positive things to say about this place, but I just didn't see it.  My partner and I came in on an early Saturday evening. There was plenty of seating available on the first floor, near the street-side windows, yet for some reason we were seated on the second floor, side nook area. Now, this would be a romantic dream come true had there not been two other couples seated within this tiny space. I mean, with the lack of any ambient music, we heard every single detail of their conversations without even wanting to.  I think it was nearly 20 minutes before our server finally realized he had a table in this tiny, off room. The server was friendly when we saw him, but service was sporadic at best for the rest of the evening.  The food was somewhat blah to me. We tried the prosciutto and mozzarella stuffed in radicchio leaves - PASS! I had the pear salad with a honey vinagrette and that was my favorite part of the meal. I ordered the curry chicken pasta dish that several others recommended and it was just ok to me. My partner had the gnocchi. Both of us decided the flavors were just not there.  Due to these issues and the somewhat **substantial bill that accompanied the mediocre experience, I don't think we'll return. **Note: We were informed that bills are half off during weeknights and there is also a prix fixe special so that's probably going to be your best bet with this place.",0.994,0.829,0.159,0.013,0.5010768398268398
2009-04-23,4.0,"Listen up, I've found one of my favorite date spots and, lucky for me, it's right in my own neighborhood. First and foremost, the weeknight prix fixe is a deal!  For $22, you get three courses: an appetizer or salad: any entrée; and dessert.  Some of the entrées range on the higher side, so you could easily spend more than that on one course, especially paired with a glass or two of wine. The service reminds me of going to someone's home.  It's really friendly, just attentive enough, yet not 5 stars.  Don't get me wrong, I didn't feel neglected one bit.  ""Comfortable"" comes to mind.  What could be better than being asked if I'd like the lights dimmed down a bit in my cozy little corner?  Oh yes, honey, do slide a little bit closer, will you? My dining companion and I arranged our prix fixe meals so that we could share dishes.  For the first course it was the Calamari alla Griglia for me and the Insalata di Pere for her.  The calamari was cooked almost perfectly, served up with a very mildly spicy olive oil, and presented with some sautéed spinach.  Easily a dish that could lead to overindulging!  The salad was your average version of a standard pear salad.  The pears and honey balsamic dressing added just the right amount of sweet.  For the second course, I chose the Fussili con Pollo e Curry.  Chicken, mushrooms, sun-dried tomatoes, and a curry brandy sauce make an addictive combination.  Yes, that's right, I said curry and brandy.  Chef, I love you.   My super dining companion had the Ravioli di Zucca with Grassa sauce, a creamy balsamic sauce.  The combination is recommended right on the menu, with good reason! The wine list is fairly short and not many bottles fall below the $30 mark.  That's not shocking, just be prepared if you're looking to indulge.  The wine glasses are a bit small if you're like me and want to get a good swirl on.   You'll certainly see me back at La Donna again.  Look for me in the cozy corner with the dimmed lights and a date",0.9959,0.825,0.175,0.0,0.6043373938722777
2009-02-25,4.0,"We stumbled in here for Sunday brunch and were pleasantly surprised.  it was a little intimidating that no one else was in there by 12:00, but we sat down and had very attentive service.  We both went with the prix fixe menu, so we got huge portions of everything, and brunch drinks to boot. We definitely want to come back for their dinner deals, which are supposed to be great too!",0.9384,0.746,0.214,0.039,0.6048611111111111
2009-02-21,2.0,"This restaurant used to be huge portions of pasta at reasonable prices. Now sadly it is no longer the same. Expensive, bland and sad.  The bread was stale and not even the food was pretty to look at. I miss the old yummy LaDonna!",0.126,0.656,0.162,0.182,0.6858333333333333
2009-02-16,2.0,"This place was a bit disappointing. Maybe I just ordered the wrong food, I don't know. I had mozzarella with prosciutto as a starter and neither the mozzarella nor the prosciutto were of very good quality. I had better from Trader Joes in fact. The bread that was served with it was stale. The main dish was somewhat better. I had the saltimbocca in a sage sauce. It wasn't fantastic but it wasn't bad either. I would say that they used a bit too much sage though. I have been to Italy quite a few times and this wasn't anywhere near the quality of food I was served in Italy.  Maybe I should have had one of the pasta dishes instead. On top of that the service wasn't that great. We definitely weren't ignored. In fact we got our food - all from starter to dessert all within an hour. In case of Italian food which is supposed to be enjoyed slowly this is not a good thing though. I probably won't be back.",0.9446,0.794,0.147,0.058,0.4965
2009-02-04,2.0,"The food is great, it really is, but the service is terrible! I personally can't wait for these snooty owners and staff team to leave Andersonville. I don't ask a lot when I go out 5 out of the 7 nights a week, other than a good meal, nice atmosphere and someone who appreciates having my business. La Donna, if you can't handle filling my water glass or getting me a drink when I am at the bar, waiting for a table then you should not be in business. And secondly when my italian father comes to town looking for good food and treating our entire family to a large dinner, please treat him with some respect, after all he is footing part of your bill.",0.9774,0.749,0.211,0.039,0.48988095238095236
2009-01-25,4.0,"We were at Hopleaf next door and as usual is was supercrowded.  We were a group of 15 people looking to grab a bite so we went next door to La Donna.  I had never heard of this restaurant and didn't know what to expect.  We were seated promptly upstairs and I was pleasantly surprised with their warm and friendly service.  I know a large group of people can be a little overwhelming  for a server, but she handled everything well. I ordered the pumpkin ravioli with the sofia sauce and LOVED it.  I love pumpkin and they definitely did that vegetable justice. My friends ordered other combination pasta dishes and also seemed impressed with their meals.",0.9893,0.72,0.28,0.0,0.5323979591836735
2009-01-16,4.0,"La Donna is a great choice when you are in the mood for great Italian food with a little something extra.  It has long been a part of the Andersonville scene and (to me at least) the reason is obvious -- they know what they're doing and they do it well. To start with, the space is wonderful -- warm, cozy and inviting.  They skillfully manage to optimize the seating area without making their guests feel crowded. I have never had a disappointing meal there.  On my most recent visit, I had the Carpaccio and the Zuppa di Mare -- two dishes which I LOVE.  La Donna handles them both extremely well.  The carpaccio is fresh and succulent with the perfect amount of capers and fresh parmesan.  The Zuppa is a tresure trove of fresh seafood (they do not skimp) in a satisfying broth with the perfect amount of spice. Brunch at La Donna is also a good choice.  It's very relaxed, well-portioned and reasonably priced. The wine list is extensive and the servers are very experienced in wine pairings.  You can be assured of and exquisite variety to accompany your meal. Speaking of service, I have always found it to be perfect.  The servers are knowledgeable and seem to really take pride in the restaurant.  The services is always friendly, efficient and never in your face. La Donna also offers a lot of good specials including frequent prix fixe dinner and brunches.  They are good values and the quality of the food never suffers. La Donna is a great choice for a date or a quiet, relaxing meal with good friends.  I doubt you will be disappointed.",0.9976,0.698,0.277,0.025,0.5866666666666667
