date,star,text,compound,neutral,positive,negative,subjectivity
2017-05-23,2.0,"This used to be my reason to layover in Chicago on a 6am flight. Menu/Ingredients have changed. Used to come for a bacon, egg and cheese breakfast burrito (inside out - no tortilla) and they were basic but delicious. At breakfast I'm not looking for anything crazy. Today there's no lettuce. They have spring greens (No. just no.) and no pico de gallo? Weird combo for breakfast and just doesn't work. Still trying to figure out how $7.99 burrito and $4 water = $17 but my receipt wasn't itemized. Just. No. Bring back the pico and lettuce!",-0.504,0.811,0.07,0.119,0.605
2017-05-17,5.0,I love my layovers at Midway. These of the best nachos ever had. I always get them into the best.,0.9274,0.543,0.457,0.0,0.39999999999999997
2017-04-27,4.0,"I was rather surprised by how good this mexican food was. Lalos is a Mexican restaurant located within Midway airport. I ordered the chicken enchiladas with mexican rice and refried beans. The enchiladas had green mole sauce poured over the top with melted cheese. The refried beans were a bit runny and the rice had some pieces  that were undercooked and still hard. However,  the enchiladas were absolutely delicious. You should totally try them and just skip on the sides.",0.8479,0.855,0.128,0.017,0.5037878787878788
2017-03-26,1.0,Horrible old stale food.Smells good but tastes nasty. They are lucky they are located in an airport. I guarantee they never have repeat customers.,0.0,0.541,0.245,0.215,0.6888888888888888
2017-02-10,3.0,"The portions are very small in comparison. However, the food is good. It's not Tex-Mex nor Cal-Méx. The (tiny) chicken flautas are good. Tasty food for when I fly home.",0.7003,0.823,0.177,0.0,0.6783333333333333
2016-10-13,1.0,I get that you are trying to get food to people fast but that doesn't require you to be rude to your customers and treat them like garbage.  The food was bland and boring and the quesadillas were so small it was ridiculous.  Treat your customers right because there are many many options.,0.0387,0.691,0.156,0.153,0.6632275132275133
2016-09-23,1.0,"Bland, tasteless (even with tasteless salsa) no flavor. The guacamole has no decor and $3 for a little cup. Overpriced everything. Generic Mexican food at best. Oh yes, the staff could eek out a smile if their life depended on it and they just want to take your money like an assembly line. Meh... Never again.",0.8316,0.728,0.204,0.068,0.44166666666666665
2016-09-14,1.0,"Worst food in the midway airport. The only reason they make money is because people are flying through Midway and don't know any better. I work at Midway and have eaten here twice (2 too many times). The prices are unreasonable for what you get. My rice was burnt and both times the meat was over cooked and tough. Staff is unfriendly. Also, what Mexican restaurant doesn't carry onions or cilantro? SAVE YOURSELF! RUN AWAY!!",-0.7542,0.818,0.047,0.135,0.638888888888889
2016-09-11,1.0,"Absolute crap. If you are interested in paying $14 for a small ""burrito"" half-heartedly filled with the driest ground beef (maybe mouse? who knows...), Subway lettuce, dripping tomatoes and two teaspoons of over-jalapeño-ed guacamole valued at $3, then be my guest. Flew in hungry, flew out hungry.",0.5423,0.812,0.137,0.05,0.7
2016-08-28,1.0,"What's disappointing for me is the lack of vegetarian options. They use chicken stock in almost everything. Although I want to support mom & pop local businesses, this one is just resting on their laurels in a way. They have a captive audience and don't need to change. So, if you're looking for a vegetarian options at Midway, try the Chinese restaurant right next to Lalo's. Their people will know what's vegan and what's vegetarian, there are about four decent choices.",-0.4144,0.886,0.046,0.068,0.431547619047619
2016-08-25,4.0,Not cheap. But this is a favorite spot at Midway for a bite between flights. The quesadillas are really good.,0.7346,0.721,0.279,0.0,0.7666666666666666
2016-07-31,4.0,"Pretty darn solid for fast airport food, with freshly made guacamole, a good range of salsas including pico de gallo and a tasty tomatillo salsa verde, and some less common, authentic options like rajas (fried poblano peppers and cheese.)  Yes it could be cheaper but it could also be much worse.",0.2023,0.766,0.16,0.074,0.5240740740740741
2016-07-31,1.0,Way over priced. Not very good. I got a soggy burrito with barely any meat and a whole lot of peppers in a mushy tortilla. Meal with a drink cost $15.  Should have known- it was the place with the shortest line so it must not be the best choice. Use your time more wisely and wait in line for better food.,0.702,0.808,0.14,0.051,0.45164835164835165
