date,star,text,compound,neutral,positive,negative,subjectivity
2010-12-06,5.0,"Too bad, because Le Lan was Le Shit! Seriously one of my favorite high-end dining experiences in the entire city. Totally underrated. From what I understand, however, Chef Bill Kim has opened a new restaurant in Wicker Park called Urban Belly, which my friends tell me is more casual, but also exceptionally delicious. I would kill for a bowl of his coconut soup.",-0.4681,0.678,0.147,0.175,0.6663223140495866
2010-03-25,2.0,"This review is based on my trip there last year but I thought I'd add one last remembrance of this defunct restaurant.  I was not a fan of  this place, but heck, with out of town colleagues picking up the tab, who was I to say no to?  Usually, as a foodie, you remember what you've just ingested and the experience leaves you satiated like a great bucket of southern fried chicken.  Well, this wasn't it, and all I recall was a ridiculously high-priced tab, bland & unmemorable food, sitting in the booth facing the unsightly kitchen and getting bumped as waiters walked by.  If it wasn't for their food, it was their price and ambiance (think sardines) that drove the business down.  Let's hope the next restaurant does a better job and lasts longer than Le Lan's.",0.9171,0.813,0.13,0.057,0.4277777777777778
2009-06-01,4.0,So disappointed to hear Le Lan closed.  I've been out of Chicago for the past month but had hoped to write a review for the place.  My first experience was just average which I wrote about on another site so the manager invited us back.  The second time was so much better.  I had hoped to go back but I guess that chance will never come to be.,0.9076,0.789,0.181,0.029,0.25925925925925924
2009-05-12,5.0,"I hate to be the bearer of such bad news but today May 12, 2009 Le Lan had to close its' doors for the last time. Every experience I've had there has been great and while the prices are high the food is well worth it. I know I will not be the only person to miss this place. I think we should all take a moment of silence for some well deserved grief. *moment* SIGH.",0.6956,0.702,0.176,0.122,0.5248148148148148
2009-05-09,2.0,I'm trying to catch up on my past experiences and while I don't remember the details I remember being extremely unimpressed with Le Lan.,-0.4005,0.886,0.0,0.114,0.625
2009-05-08,1.0,"I have not sent an entree back to the kitchen in 35 years of restaurant dining-until my recent dinner at Le Lan. HEADS UP everyone, the fantastic Chef who opened the place has left the building, as has the GM- Except for the very pleasant service--I was terribly disappointed. Grapefruit salad with so many ingredients and toppings there was no sense of freshness or vibrancy to the dish--Duck dumplings with such a heavy doughy texture and -again, so many flavors added as ""toppings"" the flavor of the main ingredients in the dish were unclear--HOWEVER these were edible--, the arctic char with english peas sounded lovely, it was served 1/2 raw, not my request and not the way it was planned, the accompanying bean cakes were so fishy and sour-- one bite was all I could take, and the brown rice seemed stale and was tasteless. You can have a great conversation with the lovely serving staff, and get a drink and have a fine time-- but my experience would not support ordering dinner.",0.5203,0.87,0.074,0.056,0.49724358974358973
2009-05-01,5.0,"I had such a wonderful experience at Le Lan this past winter. This restaurant, by far, had the best vegetarian offering (daily preparation) I have ever had in Chicago in terms of the higher end restaurants. Usually I expect some kind of basic pasta dish or ordering a large salad+appetizer. Not at Le Lan. I stated with the seasonal butternut squash soup but I am still dreaming about their tofu steak marinated in truffle oil served with quinoa and seasonal vegetables. It's a dish even meatatarian would love- I mean who doesn't love anything in truffle oil! The cocktails were unique and very tasty. I wish every bar offered a blood orange side car! For dessert the carrot ginger plate was inventive and delicious.  Don't miss Le Lan, however I would definitely recommend reservations though, this restaurant seems like it can fill up quickly. Even if you go for just a drink and an appetizer, go!",0.9907,0.777,0.223,0.0,0.5720535714285715
2009-04-13,4.0,"Truth be told, I hadn't even heard of Le Lan before I got to Chicago. A person I'd never met before picked it out for our group. But being an adventerous eater, I was immediately excited to give it a try. From the minute we walked through the 24"" door I was not disappointed. The electic ambiance provided the perfect backdrop for what I can only describe now as a fantastic meal. Immediately we were treated to an appertif that I never did really get the right name of. I believe it had something to do with pork skin though...  Then we proceeded to order drinks and appetizers. It might be easier to just list the things we didn't order, but for sake of simplicity I'll list what we DID get.  I can attest to the superb quality of all of these dishes: Poached Duck Dumplings, Pork Belly & Pink Shrimp Spring Roll, Wild Mushroom & Chicken Dumplings, Elk Carpaccio, Bobwhite Quail w Foie Gras, Soy & Mirin Marinated Elk Loin, Asian Bouillabaisse, Pho Braised Painted Hills Farm Short Ribs, Wrinkled Green Beans, Le Lan Basmati Fried Rice, Marinated Eggplant...  And in case you manage to leave room, which shouldn't be too hard because this is a restaurant that strives for quality over quantity... we also ordered all the deserts - which were all fantastic.",0.9611,0.876,0.106,0.019,0.6142113095238096
2009-04-10,1.0,"I was not particularly impressed with the food.  I find this to be the kind of place that puts more emphasis on flowery description and overall presentation that mere taste...the taste was simply put, not up to standard or expectation.  For everything we ordered from appetizer down to dessert. Not only that but the service was awful.  My boyfriend and I are young professionals that go out to nice dinners a few times a month...certainly not a lot, but enough to expect decent service.  We weren't wearing business clothes or the Armani Spring Collection, but we were dressed appropriately and prepared to pay for a nice meal.  I don't know if the waiters were just more concerned with their better dressed or older patrons (we were the youngest people there), but we got no attention whatsoever.  Our food took about an hour to come out.  Although the waiter apologized and comped our appetizers, I couldn't help but feel like maybe they were just being snotty. Overall, I was not impressed in the least and will not be returning.",0.6087,0.81,0.103,0.087,0.5411318150448585
2009-04-09,2.0,"I brought my parents here when they were in town. I had decided to come here based on the menu they have posted on their website. It is NOT the menu they are currently serving. There were still some things I was definitely interested in, but I was dissapointed, for sure.  The service was great. Perfect amount of friendliness and not stuffy. Ambience of the place is a bit cold though. Maybe it's the brick walls and one square room? Not sure.  Our appetizers were awesome. Main course... meh. I got the pork special (pork three ways). On top of being miniscule, it was tough and cold.  We ended well with dessert - two dishes recommended by our server- some coffee extravaganza and something with almond cake. But no chocolate in sight. It was good, but meh all around. I wouldn't tell someone to go.",0.9905,0.698,0.258,0.043,0.7332766439909296
