date,star,text,compound,neutral,positive,negative,subjectivity
2008-07-08,3.0,"It's a bit ordinary...I expected maybe more.  The same address has housed some decent culinary history.  Il Fiasco is not lousy, by any means, but you won't dream of the dishes.  You get your basics; fried calamari, pastas, pizza.  The salmon entree was pretty good and they didn't charge a shared plate charge.  I've been 2X out of convenience, but wouldn't rush back.",0.6441,0.765,0.14,0.095,0.4212962962962963
2008-07-07,4.0,"The biggest dilemma I faced at Il Fiasco was trying to figure out what compliments $5 sangria and vodka lemonades (tough life, I know).  I finally decided that polenta cakes, mussels, and bacon-wrapped dates do.  (Didn't quite make it out of the appetizer section). The polenta cakes were mild with a tasty mushroom sauce.  The mussels were good, but I've had better-- to be fair though, I prefer mussels in a wine or beer broth rather than marinara.  And the bacon-wrapped dates were just excellent-- they were served in a red pepper sauce that complimented the dates perfectly.   I'll eventually make it past the appetizer section, but it might take awhile, there's a lot more I still want to try.",0.9395,0.827,0.145,0.028,0.643939393939394
2008-07-07,4.0,"Apparently, ""Il Fiasco"" means a certain type of wine bottle.  No matter -- ""Fiasco"" appropriately described me by the end of my evening.  That had very little to do with the establishment and very much to do with the fact that I have zero self control and cannot say no to that fourth $4 vodka lemonade.  But I digress . . .  My friend and I split appetizers.  We had the mussels, the bacon-wrapped dates, and the polenta cakes.  The mussels were very tasty, served in a white wine sauce and marinara.  I really liked the polenta cakes.  They were served with a very hearty and tasty mushroom sauce.  And bacon-wrapped dates.  They had bacon.  Need I say more? All in all, a great experience.",0.8394,0.833,0.123,0.044,0.41511904761904755
2008-06-22,4.0,"We've been here twice now, and will definitely keep returning. The first time we ordered the cavatappi and a pizza. Unfortunately, they brought us the wrong pizza, the one with prosciutto...it was pretty salty and the crust was a little tough. The cavatappi with chicken, sundried tomatoes, browned butter sauce, etc., on the other hand, was divine - wow. We could easily have split one or the other and been full (and we'll probably do that next time). We decided we were too full for dessert, but after seeing other people enjoying the zabaglione with fresh berries on our way out that was probably the wrong call. And yes, the bread guy is great.  The second time we went in to redeem our free drink tickets from Midsommarfest and have some appetizers at about 5:30 on Sunday. We actually almost left because the music was SO LOUD both in the bar and the dining room, which was empty except for us. Thankfully, the manager turned the music down upon request and so we stayed. The fried calamari were very tasty, as was the gorgonzola twice-baked souffle. The sangria was very sweet and very good, and the vodka lemonade was good as well.",0.9908,0.742,0.211,0.047,0.5754480286738354
2008-06-20,3.0,"First off, give a raise to the water and bread guy. He was way on top of his game.  This place confounded me a bit. The decor drives at candlelight, dimness, mellow buzz, but the very loud music screamed bar. Just a Friday night thing perhaps?  We started off with mushroom caps (decent) and the portobello mushroom salad (better) and $5 sangria specials in a very big glass (best) then went on to pasta dishes, all of which received decent to good reviews. We finished off with tiramisu for the table which was about average as far as tiramisu goes. We went on a Friday night at 7pm and had no problem getting a table. Perhaps the location - South of Foster hurts it a bit. But it was good for us because we got the run of the place when we got there. By 8 it was hopping though. Parking sucked so beware all you drivers.",-0.8672,0.839,0.055,0.107,0.5458974358974358
2008-06-03,4.0,"My husband and I came here for the first time for one of their wine dinners last week.  I'm never sure what to expect from these events as some I've been to have been good and others not so much.  But Il Fiasco was fantastic!  My husband emailed ahead of time to see if they could do a vegetarian dinner for me and they were more than happy to oblige.  They even emailed back the menu they created and asked if it would be okay. The food I had was fantastic, especially the Twice-Baked Souffle and Butternut Squash Ravioli (both on their regular menu.)  My husband also enjoyed all of his meal (each course was prepared as a special that night.)  The wine pours throughout the dinner were generous and service was attentive.  For $60 per person, which included an appertif plus five courses with five different wines, it was a great deal! We look forward to coming back on a ""normal"" night and can't wait for their next wine dinner.",0.981,0.795,0.177,0.028,0.5303447874876447
2008-05-18,3.0,"2 stars for the staff. 4 for the food. The best service we got was from the man who poured our water and brought bread.  The waitress on the other hand.... It took her ten minutes to introduce herself and ask us if we wanted anything to drink.  This was our first time here and we didn't know that the drink menu was printed on the underside of the placemat. In the first place, a menu on a placemat is pretty tacky when you spend $60 for two people, but hiding the drink menu on the underside is just crappy.  Lucky me, I chose quickly.  John didn't know immediately what he wanted so the waitress was quick to ask him if he'd like a minute to decide.  She gave us ten!  And then it was about another ten minutes before our drinks came, and John's beer was overly foamy because it was the last draw of the keg.  The waitress was kind enough to let him have it free but he had to order something else to go with the meal. As for the food, John had some kind of regular salad.  He said it was good.  I had the special salad - beets with goat cheese.  Wow, that was good!  I should have ordered two since they ran out of the special soup before it could be dished up for me.  The special was gone before 7:30??? Very disappointing.  I glumly chose the linguini.  It was ok even though I'm guessing the sauce came out of a can.   John did better with the orecchiette with baby shrimp, olives, tomatoes, and arugula in a light lemon herb sauce.  He let me steal a little bit, and it was very good!  When we left, we noticed that most everyone was eating personal pizzas.  Next time we come, if ever, I'll order myself a pizza.  We live a mile away and there's better Italian food closer to us.  Il Fiasco is the kind of place that's good for local people who don't want to travel far to have a nice-ish dinner.  I wouldn't recommend traveling more than a few blocks to get there.",0.9936,0.758,0.175,0.067,0.47911608233036806
2008-05-06,3.0,"my main complaint is that there is a TV in the bar/dining area... i am not a fan of that type thing. Enjoyed the anchovy pizza...just delicious...Service was nice, if alittle over the top. The octopus that they recommended was not really all that good. It was not hot, and tasted of gas, from the cooking. Desserts were fine.",0.8591,0.718,0.219,0.062,0.5425925925925926
2008-05-01,4.0,"Oh, my, pasta! I hit Il Fiasco on a Tuesday night with some Yelpers to wine and dine over the musings of Bill Buford, author of ""Heat"" -- a tale of a love affair with Italian cooking. I'd never been in this particular part of town before, but it was easily accessible and the walk was quite pleasant. Il Fiasco is a pretty large restaurant, and it's definitely not busy on a Tuesday night, despite the amazing 1/2 price bottle of wine deal. But I'm getting ahead of myself. I don't drink wine. I just don't. I've never liked wine, unless it was of the thick, sweet, syrupy Manischewitz variety. I blame it on my friend trying to get me to drink boxed wine in college, really. So I got there and a Yelper told me of the 1/2 price special. I wanted to be excited, but, you know, I don't do wine. So I explained this to the waitress, who quickly brought back three cups of wine for a mini-tasting. And then, with her immaculate choices, I found a wine I'd drink -- Riesling! It was thus that I purchased my first bottle of non-Manischewitz wine. It was a time to celebrate! The appetizers we got were outstanding, though I only took part in the margherita pizza (the other items were laced with pork!), and it was absolutely delicous. I ordered the cavatappi, which if I'm correct was a chicken and mushroom and sundried tomato concoction in a tomato cream sauce. I usually stray from cream sauces, but this sounded perfect. The plate arrived, well presented, and I downed half the plate of delicious curly pasta and tasty sauce. I still have the leftovers at home, though I think they'll go the way of waste, unfortunately.  Overall the experience was outstanding. The servers were friendly and helpful, not to mention patient. Il Fiasco found me a wine I would drink, and that, for me, is ACE in my book!",0.9948,0.736,0.197,0.067,0.5508064516129032
2008-04-30,5.0,"After months of wanting to do so, I finally checked out Il Fiasco last night with fellow Yelpers.  Amazing, amazing, AMAZING service from beginning to end.  Those cats really know how to take care of you!  My glass remained full until I was ready to stop.  Big time bonus stars for that.  Before I had time to wonder just how long the food would take, it almost magically appeared.  The pizzas were oven-hot and had just the right balance of sauce and toppings.  I'll be back again to check out the pasta dishes.     I love that this little gem of a place is in a growing part of Andersonville that will, I'm sure, merge with the rest of the hopping main drag of restaurants and shopping.  For now, it's nestled on the quieter outskirts.  I'm looking forward to summer so I can check out the newly installed windows on the bar side and watch the day go by.  Yes, I'll surely enjoy some cocktails, too.  On the next hot day, for the love of Frank Sinatra, run to Il Fiasco and join me.  What a whirl!",0.9878,0.741,0.21,0.05,0.5152166070644332
