date,star,text,compound,neutral,positive,negative,subjectivity
2011-03-01,1.0,CLOSED!!!!  GOOD!!! You ruined a good thing.  Shame on you.,0.3614,0.265,0.407,0.328,0.4333333333333334
2011-02-17,1.0,closed!! groupon thankfully refunded us the monies!,0.5684,0.62,0.38,0.0,0.1
2011-02-11,4.0,"Loved it-BYO, great charcuterie, tasty off the beaten path entrees, and deilcious desserts. Would definitely go back and highly recommend!",0.8997,0.475,0.436,0.089,0.5225
2011-02-01,2.0,"Dull and serviceable food with prices that ought to get you much more. Nobody's arguing that the ingredients aren't fresh or local, but everything the four of us got was bland.",-0.5377,0.837,0.0,0.163,0.4666666666666667
2010-12-25,1.0,"Made reservations for 2 a few weeks back for Friday night. When we arrived at the front door there was a sign that read-""we are closed tonight, sorry.""  No phone call/email warning us in advance. None offering an apology the next day. Totally lame.  Bite me, Mado. Fortunately, we were able to get a table for 2 at Ruxbin, which was amazing if you haven't been.",-0.4005,0.815,0.073,0.112,0.46388888888888885
2010-12-22,3.0,"Maybe I don't get this BYO-Bistro thing.  But this place is nothing special.  I love the move to use local, fresh ingredients; but how about you make the food taste good too? Service here was great, but I confess that my girl friend and I were frustrated at the flavors and uninspired dishes which at times were constructed poorly.  The food is fresh so no complaints there, but you did nothing special with anything. I'll go back because I feel when the food is handled with such care they may have something good going somewhere and we just missed it.  I just hope when we return they show me something better than what I can get anywhere else in their area... right now I'd rather walk to Hot Chocolate or The Bristol.",0.9369,0.66,0.207,0.132,0.5222689075630251
2010-12-14,1.0,"Well, I tried not to give any stars because, while I was excited to go there, the restaurant failed to serve me.  I was forced to give one star though. I made the reservation on a Monday for a Friday reservation.  I did it in person bc I live very close.  When I made the reservation, the manager (owner?) asked for my phone number and a credit card number in case of a ""no show, no call"" (his words).   When Friday arrived, I found out that my party had decreased in number.  I started calling around 3pm and continued all the way until 6 (I didn't have time to run over) but there was no answer.  At 7:30, my wife and I headed over there to meet our friends.  When we arrived at the front door there was a sign that read- ""we are closed tonight, sorry."" Now, we had to try to find a restaurant to serve 6 people on a Friday night at 7:45, awesome. Whatever the reason for their closing, my question remains: If I have to give a credit card and phone number so they can follow up with me for not showing up and failing to call.  What is their excuse for not calling me?  It's not the largest or busiest restaurant in town. Calling all of their reservations to excuse their closing would have taken 10 minutes tops.  Anyone could have done it. This shows a fundamental lack of respect for people, not just customers.  I would never be so rude and am appalled by their lack of conscience. Fortunately, we were able to get a table at Cafe Absinthe, located 1 block away.  I wont give a full review here but I will say that the service was friendly and welcoming (they didn't even blink when we showed up with all of our own wine) and the food was amazing.  If you're looking for a great meal in this area: that's the place to go.  I can say that because I actually was able to eat there.",0.9648,0.76,0.15,0.09,0.5590909090909091
2010-12-06,4.0,"FANTASTIC start to finish with the ""new"" Mado. Service was tops, food was fabulous - seasonal tastes with some clever twists thrown in (fennel braised in root beer, tobacco infused panna cotta etc.), executed perfectly - all this on a lowly Sunday night. The Parsnip soup was phenom - sweetbreads were the best I've had outside of Sepia - Duck Pot Pie was warm and homey and perfect for the cold - and the beef dish was simply delicious (and cooked perfectly to boot). We'd been dreading going back to Mado after really poor experiences under the old staff (severely overcooked meat, poorly reheated dishes with cold centers and blah desserts), but in an effort use up Groupons we went to try what the new chef could offer, and I'm happy to say they've won me over - Cannot wait to go back",0.9776,0.749,0.206,0.044,0.632972582972583
2010-11-23,4.0,"Before coming here, know that it is a completely different restaurant than it was before (new chef, new staff, etc as of about 2 weeks ago).  It is impossible to compare it to what it used to be because it is completey different.  So ... I went with my husband.  Most importantly, the food was delicious.  We felt that the food was creative, unique and contemporary. Our favorite dishes were the cornbread & okra small plate, pumpkin and beer appetizer (it was actually served out of a pumpkin .... soo good) and the pork and pear entree.  It was a slow night so we got a chance to take our time eating and talk with the chef.  The chef brought several of our dishes out to us and explained exactly what was in them.  Honestly, the service was a little slow, but we didnt mind b/c we had a bottle of wine and we were not in a hurry. The chef was brilliant ... extremely knowledgable and always looking to innovate.  He was eccentric and we loved it.   We were impressed ... we hope this restaurant succeeds!  He is young and looking to make the restaurant better and better each day.  We are definitely going back.  THe chef said they are going to be continually adding new dishes to the menu.   Also, it is BYOB (huge bonus!).",0.9942,0.799,0.201,0.0,0.5876559714795009
2010-11-22,1.0,"We ate at the new Mado (minus the Levitts and under new ownership) on Saturday night. My goodness, how things have changed- and not for the better. I must have been hiding under a rock, but I hadn't realized that Rob and Allison were gone. It was apparent from the time we walked in the door. When were seated, our waiter asked if we had eaten there before. We told him that we were something short of regulars, but had been big fans. The menu is still divided into soups, salads, small plates and large plates. When we tried to order soup, 2 salads and 2 small plates, the waiter told us that the chef wanted us to order everything at once so we needed to order our large plates too. Given how much we were already ordering, we told him no. We would assess our appetites after the first 3 courses. He was shocked but allowed that this was ""OK"". We were served an amuse bouche of a sweet panna cotta type disc topped with raw hiramasa and a citrus zest. It was bad. The fish had no acid component and the bite had no textural differences. It was a sweet, soft bite of food with the bitter zest leaving the aftertaste. I was disappointed but was hoping for better. It didn't get better. We had ordered soup(pozole), a couple of small plates (maple crisp lamb belly with apple and a duck pot pie with chocolate and caraway) and 2 salads(beet with beet greens and a winter mixed greens with white anchovies). We were not served anything for 45 minutes after the amuse. Nothing. Nada. Then, we were brought the 2 small plates and the soup together. At this point, we had finished a bottle of champagne and were opening as bottle of rose. Our waiter did not offer to open the bottle nor did he offer new wine glasses to replace the champagne flutes. We had to ask and he agreed to retrieve them. While awaiting the wine glasses, I tried the pozole. I should have known better. It was about 1/4 cup of brownish-red liquid with two clumps of chorizo in it sitting at the bottom of a deep soup bowl. After noting the modest portion and it's unappetizing presentation, I tasted it. It was cold and it tasted of chile, and nothing else-not a balanced spicy chile, more of a bitter (think guajillo) chile. Yuck. Room temperature bitter broth is not what I had envisaged when we ordered the soup. We sent it back when the waiter appeared with the wine glasses. We sent back a wine glass too. As the server set it in front of me, I noted that it was so dirty, the glass was opaque. This resulted from a very bad washing and no effort to wipe or inspect the glass. I had to point this out to the server and he left with my wine glass and the soup. The small plates were not bad, but they were not good. The duck pot pie was a muddle of flavors taken hostage by the chocolate and saved only by the inclusion of 2 crispy pumpernickel croutons. The lamb belly was properly gamey but tough, and stacked like a napoleon, it was difficult to eat.  Next, we received a visit from the chef. He apologized for the soup and asked about the amuse. I was honest and he explained that the (orange)zest provided the acid counter to the sweetness of the panna cotta. Our palates were clearly different. On to the salads. The beet salad was delicious and the best thing, by far, we ordered that night. It was little cubes of pickled beet, served with hot and cold greens and a balsamic based reduction. The salad of winter greens and white anchovies was inedible. The greens were dressed with lemon juice and the salad was so bitter that this bitter-greens-loving diner couldn't take a second bite. We sent it back, whereupon we were lectured by the chef about the concept of winter greens: they're supposed to be bitter. Yes, I replied but not inedibly so. I responded that the dressing or other flavor components should balance the bitterness, not add to it. I don't think the chef appreciated the comment. We should have known better and left then. We didn't. We shared a large plate: pork cheek served over a celery root puree. Not bad, not great. Stewed pork cheek is one of those foods that should be memorable. Luscious, fatty, flavorful and rich. This was not cooked properly; it was not tender enough. It also lacked the developed flavors of a properly braised piece of fatty pork. The puree was good. We were still hungry so we were willing to try dessert. The server didn't offer a dessert menu. We asked. The server said ""We're out of dessert"". Huh? Yes, they were out of every dessert. I can't tell you what there may or may not have been on the dessert menu. They were out of everything. We asked for the check. The bad news: prices are higher than the original Mado. The good news: they didn't charge us for the soup and the winter greens salad. My dining companion and I have rated this experience as a 2 on a scale of 1 to 10. We won't be back.",-0.9364,0.803,0.09,0.107,0.4898017701994975
