date,star,text,compound,neutral,positive,negative,subjectivity
2010-01-22,5.0,"I miss Mambo Grill! Are you ever going to open back up??? It's been a while and and I'm getting scared that this new location is just a rumor. This was hands down my favorite restaurant in Chicago. I mean, even with that tiny location you had where you were ALWAYS in somebody's way while waiting for a table or the leaky ceiling in that basement party room...I didn't care because the food was so good! The tilapia, coconut rice, empanadas, pulled pork, that breaded chicken...never had a bad meal here. Come back soon!",-0.3824,0.79,0.092,0.118,0.4697601010101011
2009-06-18,4.0,"This place was an unexpected delight.  As soon as you walk in, you feel just chilled and relaxed.  The plantain crusted halibut I ordered was to die for and I wished I had more room to finish it! The service was great - attentive to our needs, filled the water glass every time it neared the bottom, and made sure to keep an eye out for any requests we might have had.   Definitely going back for some more of that halibut!",0.9167,0.774,0.183,0.043,0.6598765432098764
2009-05-20,4.0,"I love this place. The appetizers themselves are enough to feed a small army. Okay, a REALLY small army. I've been here twice and the first time my friend and I ordered two appetizers and it more than fed us - they are huge portions! The second time 2 friends and I shared 3 appetizers. The ambiance is fun and easy to hold a conversation in. The waitstaff was very friendly and efficient both times. Yummy food. I'll be going back!",0.9859,0.643,0.357,0.0,0.4474358974358975
2009-04-22,4.0,"Mambo Grill is my go-to business lunch place for several reasons: 1) It is relatively convenient for me to get there. 2) The food is great and reasonably priced. 3) I like to dream about actually being able to have a margarita in the middle of the day, even though I never do, for fear that I would have to nap it off in the afternoon. I have always had good experience with the service here.  It can definitely get packed and a little slow, but the two times I've been for dinner, it's never been a huge problem.  Most of the time, I'm happy for a little wait because I know the serving sizes are so big that I'm going to be stuffed to the gills. They are moving to N. Wells ""this summer.""  I really hope they can open it back up in time for me to have a delicious margarita before August...",0.9793,0.797,0.188,0.015,0.43875000000000003
2009-04-08,3.0,"i went to mambo grill with a group of girls after the french restaurant we tried to go to down the street was closed. the restaurant serves latin american food. the menu is pretty extensive and perhaps would do well with a little more focus. i had the coconut-curried tilapia, based on a yelp recommendation. it was pretty tasty. the portions were huge. everything was pretty good... the guac, the margs, my fish, but nothing i'd have to go back for. the interior seemed sort of dark and depressing, not festive like you typically expect of a latin american restaurant with a funky sign out front, but perhaps it was just the snowy weather outside that made it seem less upbeat.  good to eat: coconut-curry tilapia",0.0123,0.821,0.097,0.082,0.4369444444444445
2009-03-29,2.0,"Meh, is right. First of all, I should have taken the train. It would have been a short walk, even in the rain. I drove around for nearly half an hour looking for parking before finally just deciding to valet it ($12 for 3 hours)... The atmosphere seemed lively enough. Music was a little loud so you had to shout a little bit if the person wasn't right next to you, the place was packed (but not overflowing) for a weekend night. The service was pleasant and friendly, but relatively slow. It seemed like they had enough staff and the place was small enough that it should have been more efficient. Our water glass was always filled, but it took forever to place our order, get our drinks, get extra glasses, get our food, get our bill, etc... I was a little iffy about the crispy roast pork because of the mixed reviews, but (alas!) fell victim to the hype. The crispy roast pork is NOT crispy. The meat was kinda dry. And rather bland. It's served as shredded pork on top of a mound of jalepeno mashed potatoes (jalepeno spice was VERY subtle, could hardly taste it), sitting in a pool of buttery, sweet corn cream. The panama style empanadas were cheesy and fluffy (my panamanian friend tells me they're supposed to be more chunky with filling, less cheesy, and flatter). The margaritas are decent. The mojitos are overpriced at $8 and weak in a small whiskey glass with ice. Shortly after finishing my meal, the ceiling above me started to leak (YES, leak!! NO WONDER they are moving! They should've closed just one day earlier). For that, the manager(?) came out and apologized and put a wet cloth where the leak was dripping to absorb the water and re-assured us it was not a bathroom above us, but rather the bar (yes, that makes me feel tons better- thank god it started after I'd finished eating, it would have dripped right into my food! ew!!!). Then they gave us complimentary desserts and a margarita pitcher (the pitcher being requested). It seemed to take a long time (10? 15 mins?) for the valet guy to return with my car... they only had one valet so another couple in our party had to wait even longer (after me).",0.9749,0.842,0.108,0.05,0.5021865889212828
2009-03-19,1.0,"Usually, when I have a horrible experience at a restaurant, I hold my judgment until I try them again... Not this time!  Despite some of the great reviews and a personal recommendation from a friend, I thought this place was HORRIBLE and I'm shocked they can stay in business!      I ordered the chicken empanadas and they were a joke!  The worst empanadas I've ever had period!  What made them so bad?  Well first of all, there was hardly chicken to be found, it was all pastry.  Second of all the shell was soft and flaky like an apple turnover, not to mention full of grease!  I didn't even have the motivation to finish it and I am an empanada fiend!  We also ordered the guacamole with chips, which were average supermarket chips and a pre made, salty and not fresh tasting guac.  I could have made better guac at home honestly, and I'm no Rick Bayless.  With the empanadas being 10 bucks and the the chips and guac being around 6, I was already feeling ripped off.    Now, on to the main culprit of my anger, the ""Roast, Crispy Pork"".  Sounds good right?  Sounds like it should be, hmm, CRISPY?  Well when it came out I was pleasantly surprised at the layout of the dish, it looked like a dessert and the corn creme sauce around it was decent.  But the pork itself?  Dried out, stale tasting, and NOT CRISPY AT ALL!  How can they call this ""Crispy"" roast pork?  Not to mention it had a strange sour lime flavor that I had to drown out with the corn creme sauce (hoping that it was lime and not rotten!) and there wasn't really much pork at all, it was just on top of a mound of mashed potatoes that were very pedestrian.  Add to that some obvious canned corn kennels and black beans and I present to you, the 15 dollar dish of dismay.  3 of my friends ordered this and none of us finished.  I took mine to go and contemplated giving it away to a homeless person, then decided that would be cruel and unusual and threw it out.      Anyhow, usually I'm very understanding and try to give an establishment a 2nd chance before I dish out the 1star, but these items were so HORRIBLE that I am inspired to rip them apart as I wonder why there are so many great reviews!?!  Obviously these prices seem like a good bargain but that's the point, at this price level if I'm complaining that shows how angry I was!  I'm sure the drinks are great, as something must be keeping them in business.  As for me I'm going to other cuban places that are less expensive, actually have some flavor and don't insult the empanada!",0.9767,0.789,0.135,0.076,0.5449920634920636
2009-03-13,4.0,"aaak!  mambo grill is moving soon - i just discovered this on my first visit there, so i guess i'll have to make sure to go back one more time in march to get my mambo fix! i met some of my best friends from college for dinner after work.  two of us had drinks at the bar while waiting for the third - the bartender was helpful when explaining what ingredients make mojitos turn into ciaprihanas, or whatever they are called.  does it rhyme with pirhana?   i noticed that there is a $3/95 appetizer menu served at the bar - quite a selection and such a deal!  maybe i'll have to come back for it. we sat in a nice booth towards the back of the place when our third arrived and ordered more drinks and some guac.  it came out right away in a huge bowl of tri-colored tortilla chips with good portions of guac, pico de gallo, and a spicy hot salsa.  delish!!! we ordered entrees and were very impressed.  i was really uncertain what mine was when it was put in front of me.  refer to the pics of the roast pork with jalepeno mashed potatoes.  it is pretty much a mini round cake of porky-potatoey goodness with a moat of creamed corn around it.  how medival. we each enjoyed our entrees - great flavor and huge portions for the price.  our server was attentive but not pushy/overbearing. a great evening with the girls for sure!  i also noticed that the basement seating would be perfect for a birthday or bachelorette party.  since i am bordering on pro-status for planning such events due to all my friends getting married, i'm on the lookout  for new venues.  looks good!",0.9932,0.822,0.173,0.006,0.5386779045869954
2009-03-12,4.0,"Mambo Grill...wow. As I write this, I am eating the other half of my leftover Guava Pork sandwich from yesterday's lunch at Mambo Grill. Let's just say I am ready to cry over this sandwich because it is so good and encompasses my favorite flavors: sweet + meat. Think of the Guava Pork sandwich as a BBQ pulled pork sandwich, but ""done right"": guava saucy sweet pulled pork on an onion roll, with a side of fries, and Mambo Grill's homemade guacamole and regular old ketchup for dipping sides. Even better, take some of the guacamole and smear it onto your sandwich. What a great mix of flavors and textures! And with tax and tip, only $10. Shoot, why bother with chains like Corner Bakery for the same price! I couldn't help but also observe other people's food while I ate at the restaurant yesterday. Someone ordered a salad with mangos (!!!) and avocados, and a cup of the black bean soup that was ornately surrounded with tri-colored tortilla chips. Wow, I know I'll have to try those next time! Someone's mambo burger also looked pretty thick and yummy for those beef eaters out there.  They also have $3.99 bar appetizers starting at 4 pm, and are reputed to have the best mojito in town. I've never had one before, let alone Mambo Grill offers a mango (!) one. Also note about lunch, it wasn't busy when I went! So you have no excuse if you work in the area not to try this place. I will definitely be back to try other items on their menu. AND...YOU HAVE TO COME HERE BEFORE THE END OF MARCH! Mambo Grill is closing its doors in preparation for their move to a location two blocks west of the restaurant (why oh why oh why, now that I've found you?) They'll open again in July so ACT FAST NOW. And finally, major props to bartender Frank. He's really nice!",0.9888,0.787,0.152,0.062,0.4730511675824176
2009-03-08,4.0,"How many people can you cram into a doorway? I don't know but this place surely tries to find out with their nonexistent waiting area. I was a little put off by the fact that my reservation seemed to have become lost but they got us in fast and in pretty comfy accommodations in the downstairs area. The floor manager seemed very stressed out at such an early hour in the evening but I must say the place gets packed so stress is understood.  Once seated, our waitress was pretty quick to stop by  and introduce herself and get us mojito-fied! I must say that I'm really not a huge fan of mojitos or at least I wasn't but the Mambo mojitos were pretty tasty.  For dinner I had the Dominican bombas de camarones, delicious croquettes of potato and shrimp with a side of the tastiest black beans I've had in a long time. I assumed the drinks would be good but figures the food would be mediocre. I was pleasantly surprised.  Overall a pretty good time, I think the upstairs is a bit too crowded and possibly a bit overwhelming, but if you're cool enough to get seated downstairs then you'll enjoy yourself.",0.9848,0.714,0.202,0.084,0.6475308641975309
