date,star,text,compound,neutral,positive,negative,subjectivity
2013-12-22,4.0,Amazing food! Pricey but worth it once and awhile.,0.6177,0.581,0.419,0.0,0.5
2013-08-18,4.0,Really great steak. Amazing dessert. The s'mores were incredible. Oh! Did I mention the great wine selection?,0.9342,0.497,0.503,0.0,0.825
2013-07-06,2.0,"I'm sorry that I have to use this word, but I would describe it as ""Ghetto"". From the patrons that are wearing sneakers, baggy pants and hoody's. The waiters that didn't bring us steak knives for our steaks until 5-10 mins after serving the steaks. The music was made me feel like I was at some hiphop club. The crab cake that I had, included a piece of shell...for $19 I would expect not. The filet mignon that my wife had was dry. My rib-eye could be described as bland. The lobster mash was good and the mushrooms they serve with the steaks were delicious. I would look elsewhere for a sophisticated downtown steakhouse",0.9578,0.847,0.143,0.01,0.8388888888888889
2013-06-21,5.0,"The ambiance is amazing. The drinks are the bar are strong and tasty. I had the scallops...PERFECT!!!!  They were simply divine. On top of the great food, drinks, and environment...the service blew me away.",0.9569,0.612,0.388,0.0,0.6480952380952381
2013-06-04,5.0,N9NE was Awesome! Service was exceptional and employees did everything to make my group of 7 feel welcomed and comfortable. Loved the atmosphere.,0.9324,0.563,0.437,0.0,0.8999999999999999
2013-05-06,3.0,"The hostesses were nice  but seemed shy which is strange for a position that is supposed to greet guests. We were waiting for a friend so we sat at the bar for a drink. I asked the bartender for a Scotch list but he said they didn't have one and suggested a couple - strangely the cheap blended varieties. I just went with the Cadillac Margarita. Our friend joined us so we sat for dinner. Our waiter was super nice and friendly. The decor is unique for a steakhouse - instead of all the wood fixtures etc. They've got the sleek surfaces and purple lights but those lights seemed outdated. The wine list is not huge like most steakhouses, which is fine, but it needs to be updated. We ordered a 2009 Tempranillo and were given a 2010. I caught that and asked the waiter before he opened it. He said that's all they had. No worries. I did find the prices to be very expensive for a restaurant that was 40% full on a Friday night (word is that business has been going down over the past few years). $59 for a bone-in ribeye which you can get at Gibson's for $49; Del Frisco's for $53; Joe's for $50. I got the lamb chops which tasted wonderful but were a bit too fatty. I tried my friend's roasted chicken which I enjoyed. We didn't order desert but looked at the menu, and voila! That's where the Scotch list was.",0.9741,0.785,0.144,0.071,0.6067676767676767
2013-05-01,2.0,"The experience here wasn't particularly bad, wasn't good, just really strange. The only table available was in the later part of the evening, and confusing as the place was practically empty.  After you go inside and ask around for valet service and pre-pay(?), you'll have a couple of confused waiters take your order repeatedly, and seem a little befuddled as to what you're ordering. Maybe they need to put numbers on the menu like chinese food joints. You'll get your drinks, but only after the server offers the other table's drinks to you first. Remember, there were three tables total in the restaurant. The server will also not know what you ordered, playing the role of a drink auctioneer that not only has no clue which of the two drinks go where, but what the drinks are. You will not understand anything your server says to you. Just smile and nod, and hope you end up with something you enjoy. Next you'll order appetizers, and you'll get them, but only after the server offers the other table's appetizers to you first. You're an old pro at this routine by now and will soon know more about the menu than the staff. You'll order mains. You will have to describe what you want repeatedly, because in addition to not knowing what drinks he's carrying, your server will not know what's on the menu. You'll also feel bad for the woman at the host stand whose boredom and lack of a stool has sent her into catwalk strut fits between the door and the mirror where she touches up her hair and adjusts herself. Mains will arrive, and will be set down in the wrong places and generally auctioned off, Applebee's-style. The food is quite good. Steaks cooked perfectly, burgers with tons of flavor, sides (mashed, garlic and lobster) plenty to share and enjoy. Desserts are a letdown. You can taste that they've been pre-staged and have sat in the cooler for a bit. The cotton candy is great, but the smores are poorly executed. You'll eventually notice staff going home. One by one, the bartender leaves, the kitchen packs up, the hostess stand goes unattended, and you start to feel like a mafia don at his Italian ""restaurant"" -- it's all yours, only, it's not and it's creepy. Mercifully, the server will stop by with your check. Likely the only thing not misdelivered, as well as some keys. He'll ask what kind of car you have, and hand you your keys accordingly. The valet went home, too.  Checking Yelp, I realized that the place closes at 10PM on a Thursday (really?) and it was 10:08. Even the staff can't wait to get the hell out of there.",0.9715,0.832,0.103,0.065,0.5306878306878307
2013-04-06,3.0,Took a client here for lunch. Good business atmosphere. I had the salmon salad which was decent. Not the best or freshest fish I have ever had but pretty good combination of flavors.,0.9136,0.672,0.328,0.0,0.6333333333333333
2013-03-25,2.0,"I would certainly not call this place the best steakhouse in Chicago. Our meal was good, but not as good as I expected it to be. If you are going to spend $50-$60 bucks on a steak, I would expect the best and it was just ok...Boyfriend ordered bone in rib eye, and I ordered the bone in fillet. Both cooked medium rare. Came out a little over-done and nothing impressive. The sides were also just okay- we had the mashed potatoes and the wedge salad. Decor did not impress me much at all. Very discoish. Music was moddern, but not what I want to hear at a steakhouse. I would not go back here, nor recommend anyone else go here. Way over-rated.",0.822,0.782,0.137,0.08,0.4747252747252747
2013-03-20,4.0,"We went there for chef's week. I should say the course is good, especially the lobster soup , and the steak is fresh. But I do not like the dessert much. And this place is big! The atmosphere is fine , and the attitude of staff made me feel comfortable.",0.8167,0.763,0.197,0.039,0.5285714285714286
2013-03-11,3.0,"This place is good but not the best steakhouse I've been to. Decor is cool. Service was good. TRY: lobster bisque, kobe burger (but $26 for a burger?! In what world?)",0.5927,0.651,0.235,0.114,0.5375000000000001
2013-03-05,4.0,"Went here for restaurant week = awesome deal. I had a steak for the main dish and it was extremely tender and flavorful, my brother in low absolutely loved it, but I thought it was great, but not the most amazing meat. Cooked exactly how I asked it to be.  You must try the cottoncandy drink, it is not only very tasty but it is also eye candy. They pour the liquor over the cotton candy in a martini glass, very cool! The service was impecable. The restaurant is beautiful. The lighting dim, the decor and colors seductive. Dress very nice here, men can go as far as a suit. If you would like to impress a date, I would defenitely recommend N9NE.",0.9839,0.719,0.239,0.042,0.7173958333333332
2013-02-18,4.0,"This place is really a 3.5 star establishment, but I gave them the benefit of the doubt and rounded up b/c the service was good.  I enjoyed my steak, the appetizer, and the drinks.  But I wasn't pleased with the sides (the corn and mash potatoes weren't the best.) Also the place was completely dead; and roughly 5 years ago this restaurant was filled to the brim with people.  The energy and music were great.  Now it seems like they've come down to Earth a bit...but they've kept the price tag high.  I'll be back at some point in the future.",0.9022,0.701,0.195,0.104,0.4772222222222222
2013-02-09,5.0,"Came  here during Restaurant Week, the food was delicious, started off with the ravioli appetizer and it was really good.  The wine was good too, we got wine pairings with our meal for $20.  I had the Amish chicken which was a lot of chicken and my boyfriend got the Caesar salad and filet mignon which was also good.  Our dessert was creme brulee and chocolate mousse.  The restaurant had a nice ambiance, the lighting was dim and the decor was very chic.  The overall menu was expensive for a normal night but it was nice to try it during restaurant week.",0.9175,0.851,0.149,0.0,0.6807692307692309
2013-02-02,3.0,"I have mixed feelings about N9NE.  The service is definetly great.  The menu has plenty to offer and everything we ordered was good.  The french cut special bone in ribeye and scallops with lobster risotto were both good entrees.  The sides are hearty.  The rock shrimp is good, but its fried and nothing that special.  The lobster bisque is ok.  The space is large and has some interesting finishes but the atmosphere is cold and lonely.  We went on a Friday night and there was a comfortable amount of people.  There is a completely awkward ""bar in the round"" in the center of the space, with no bartender and no patrons.  Its like a dead zone smack dab in the middle of everything. The lounge area has some sofa set ups- kind of clubby, dark and totally lacks warmth. Certainly for the prices, I might consider someplace else that leaves me feeling like I had more of an experience.",0.9642,0.689,0.213,0.098,0.537202380952381
2013-02-02,2.0,I went with a group of friends on Friday night.  The once hot spot couldn't even fill the restaurant during restaurant week. I couldn't help but notice the decor must have been impressive 10-15 years ago.  The food was unremarkable.  This is a third rate steak house in the city known for great steak houses.,0.9104,0.773,0.2,0.027,0.65
2013-01-14,4.0,"A steakhouse in Chicago should have three things. 1.  A great Wine List 2.  A great piece of red meat  3.  A sexy backdrop to serve more of #s 1 and 2 I took a client to N9NE recently for lunch and everything was spot on.  From the oysters to the blue cheese wedge to the Surf and Turf... to the bottle of Shafer ""Relentless"" (Wine Spectator's wine of the year)....the meal was worthy of a special occasion.  The landscape is crowded for Steakhouses in Chicago....and you have to be GREAT to be in the team picture.  N9Ne is certainly doing a lot of things right....and deserves consideration when you are craving some prime beef.",0.9762,0.8,0.2,0.0,0.5675324675324674
2013-01-01,5.0,I had the steak salad...WOW...that was good! Then had the steak dinner haha HUGE drink menu...great place!,0.8597,0.577,0.423,0.0,0.6000000000000001
2012-11-29,5.0,Phenomenal!!!! Calamari and caviar for appetizer's...amazing. Filet and crab legs for dinner.... epic! Favorite restaurant in chicago. Manager Chris W. is wonderful at his job and made us feel like VIP guests. Highly recommend!,0.9531,0.628,0.372,0.0,0.688
2012-11-20,4.0,Great place. I ate there with my GF around 7pm. It wasn't too busy which was good because around 9 is when it starts to get crowded. The side dishes were real good and they were served in reasonable time. I got the Filet Mignon and loved it. Could have been a little bigger but I'm OK with the size it was. It came with potatoes which was a plus. Waiters were accommodating and attentive. Be prepared to spend a pretty penny. There are some deals online for this. Not too many though.,0.9549,0.804,0.196,0.0,0.6541666666666667
2012-11-16,5.0,"N9NE for Thurs night b'day celebration, my first visit as well. Everyone talks of the Rock Shrimp, and its deserved (nice lil barstool treat) but the reason you are here is the Wet-Aged MEAT. The Bone-In Ribeye was delicious and made me feel less of a 6'4"" 250# man because I could not finish it! Then I realized it was because of the Rock Shrip, Calamari, Steamed Brocc., Lobster Mashed, as solidly poured Malbec that I'd had.  Tim came by a few times to make sure the meal and atmos was that it could be. It was. And the eclectic music mix made the time pass like drifting in and out of a nightclub, every now-and-again saying ""oh, wait, I remember that song!"" Wanna get out of the River North/D'town chaos? Stop by N9NE on your way to the Kennedy; like the old commercial used to say ""Its worth the trip!"" Oh yeah, BTW, wore my brand new Red Velvet Dinner Jacket; Tim and the wait staff independently complimented me on it. I am such a clothes-whore...",0.9511,0.825,0.134,0.041,0.34774531024531025
2012-11-06,5.0,"Very classy.  My husband took me there for our 9th Anniversary - fitting for the occasion.  There was a DJ, 2 bars, a lounge and elegant seating with suede topped high back booths.  Private rooms and an upper Ghost Bar.  The meals were pricy but worth the money.  Valet wasn't too costly, servers were very polite & gracious and food came promptly.  I would go there again...I WILL go there again.",0.8912,0.798,0.179,0.022,0.42388888888888887
2012-11-04,4.0,"We love coming here. The service is great. The atmosphere is a little clubby but not over-the-top. You can come here in a suit, dolled up or business casual and feel ok. The first time I was here was on an expense account which in looking around are what most people are doing if you're here early on a week night. I think they make a great sazerac and the wine list is great. The bread is always fresh and warm and delicious. This last time we tried the rock shrimp which are really good and plentiful. I also tried the lobster bisque which is good but Joe's does it better. We also had the Caesar salad which was over dressed and just eh. Also the avocado and tomato salad which was great. All of the steaks are great according to my boyfriend. They no longer have a porterhouse on the menu so if they have it as a special the def consider it. This time I had the whitefish which was well cooked but super garlicky. I also like the sea bass and scallops. Also get the lobster mashed potatoes.",0.9971,0.688,0.3,0.012,0.6067287784679088
2012-09-18,4.0,"I have been here before and liked It then and still like it a lot.  A bit on the pricier side, but a different type of experience from your standard Chicago steakhouse.  N9NE had a great atmosphere, awesome decor and the server we had knew about everything on the menu, even the wine to pair our steaks with.   We started with a drink, she had the Berry Smash with the recommendation from our server, I had a standard Scotch old fashioned, a little smaller than I am used to, but still they knew how to make it correctly.  We had the special Ahi tuna Shashimi followed by steaks.  We both got our steaks Medium rare, which they came out perfect, not to easy to do with mine being a Porterhouse.  We followed dinner up with the chocolate bread pudding. I recommend this place if you are looking to get away from your standard, loud steakhouse.   Unfortunately, I did remember this place having a club upstairs which would of been great for a night cap, but as the server mentioned, the upstairs lounge/nightclub Ghost Bar was closed and only used mostly these days for corporate events.",0.9783,0.802,0.154,0.043,0.5621315192743763
2012-09-05,5.0,"I have been to this place several times and am never disappointed! The service is tremendous, they are the perfect amount of attentive. On my last visit we decided to start out and split both the lobster bisque and the wedge salad. Both were excellent. We each received our own portions and didnt have to deal with the mess of splitting them up ourselves. The lobster bisque had the perfect amount of lobster in the bottom and the soup was creamy, but not heavy. I love a wedge and this one did not disappoint with the bacon and creamy dressing. YUM! For my entree I had the Scallops and it was out of this world. I thought my portion would be much smaller and it turned out I had a hard time finishing it. The truffle oil with the chunks of lobster were excellent paired with the scallops, which were perfectly cooked. My date had the halibut and loved it. I sometimes forget all about this place on the west side, but I will make a mental note the next time we want to go somewhere fancy because they didnt miss a mark!  Also, if you want something fun, be sure to order up the Cotton Candy! It will take you back to your childhood...",0.9846,0.785,0.172,0.043,0.5964646464646465
2012-09-03,5.0,"N9ne Steakhouse has a contemporary vibe instead of the traditional steakhouse atmosphere. For seafood lovers, I highly recommend the Two Cones appetizer (marinated lobster and ahi tuna tartare) and the Seared Scallops on Lobster Risotto - very, very good. For steak lovers, the Kobe Flat Iron was absolutely incredible!",0.924,0.759,0.241,0.0,0.5436111111111112
2012-08-27,4.0,"First time at N9NE for lunch.  Great atmosphere & bar area looks very trendy.  Nice big comfy booth tables.  Service was great, waiter was very attentive.   Both drinks and food were great.  HUGE drink menu!  :)   Get the steak salad - it doesn't disappoint!   Def will be back for lunch.  Dinner might be a bit on the pricey side...",0.9757,0.669,0.331,0.0,0.6893939393939394
2012-08-26,4.0,"Went in spontaneously, was of no problems though they talk about a dresscode on their homepage. Atmosphere is nice and relaxed (but not warm...), good service! I had a 8oz filet mignon with fries which was perfectly proportionated. We had the garlic fries as sides together and it was by far enough! Even if you are starving, share those fries... Recommended!",0.7158,0.661,0.203,0.136,0.7999999999999999
