date,star,text,compound,neutral,positive,negative,subjectivity
2009-12-04,4.0,"First time someone took me here saying we are going to a fancy restaurant, I thought it was a big joke as we were walking into a McDonald's!  Little did I know this gem of a place shared a cabin on the back porch of what used to be NBD, then First Bank, then BankOne, and now Chase.   I was enjoying a two for one lunch thing here for a while splitting the bill with whomever I took with.  And now what?  Now it's over and the downtown location is closed..... McDonald's still stands.",0.884,0.875,0.125,0.0,0.28095238095238095
2009-11-02,3.0,"Good food, but not a place I would pick if lunch were on my dime.  A former colleague invited me for a working lunch at Nick's. Even though I've been un/under-employed for a while, I don't think it was odd that I had some major sticker shock when checking out the menu online.  My friend ordered the lobster rolls on special and I went with the tuna melt. Her dish came out as three mini sliders with some fries on the side. It didn't look like a whole lot of food, especially for something I am sure was quite pricey. My meal seemed more generous, the tuna steak was huge, but worth the $19 price? Debatable. My fresh ahi tuna melt was more like a grilled tuna sandwich, which was fine, but for $19 I expected more. My tuna came out very rare, I wouldn't even call it seared since it wasn't browned; I was a little surprised I was never told how it's normally prepared and asked if that was ok, fortunately it was. The sandwich was good albeit messy, the oven roasted tomatoes were a bit too thick and kept shooting out from the bun no matter how much I wrestled with them. The wasabi aioli made the sandwich; without, it, the seemingly unseasoned piece of fish would have been quite bland.  Their dessert selection is impressive. I didn't get anything, but the cart they rolled out had at least 8 different options in addition to the ice cream and sorbet you can get.  Service was ok, I didn't really click with our server despite her politeness. We obviously weren't in a hurry to get through our meal and I felt like she was trying to rush us along; even dropping the check without asking if we wanted anything else (we did).  Bottom line: It's a safe choice, but after two visits I fail to be wowed by anything other than the prices.",0.9834,0.771,0.158,0.071,0.5345458553791888
2009-10-12,5.0,"By far the best service in Chicago.  The atmosphere is so romantic.  My husband proposed here and we sat in the love seat by the window, it was perfect.  They can dim your table lights, when you get up for a second they cover your food and fold you napkin.  I can't say enough good things.  The food is obviously good.  I would recommend this restaurant to anyone!",0.939,0.714,0.226,0.059,0.5599999999999999
2009-08-31,4.0,"Holy delicious lobster bisque. Amazing, fantastic...wow. Lobster bisque...I loved it, as did my four dining friends. The entrees were also great. We ate in the downstairs dining area and enjoyed every bit of our meal.  The fish wrapped in parchment paper was so moist. Melt in your mouth kind of fish. Yum. We ate in the downstairs dining room. We were somewhat early, so felt pretty empty.  I would like to try some apps and drinks in the upstairs bar area.",0.9795,0.703,0.276,0.02,0.7611111111111112
2009-08-13,2.0,"Tuesday night,  7:00pm, business dinner, 7 guests. There are a few disjointed things going on here and they don't connect to the price point of this place.   The upstairs bar area is great, clean lines, intimate seating areas, windows that open up to the street.  I wish there were more Loop after work drink places like this.  Of course you have the obligatory TV sets blasting the game in your face at every angle; but that's Chicago, I've gotten used to it and can't mark it against them. So after a drink we head downstairs to the dining area.  So bizarre.  You take an escalator to what looks like the entrance to a mall parking garage or subway.  I thought it was a joke and we were going the wrong way.  But then the entrance to the dining room is off to the right and you see it once you get down. The downstairs dining room has a cafeteria feel to it; way too bright, the tables are spaced out to fill up the room.  Another weird thing: the Banquets are raised higher than the main floor so they look over all the other tables.  Guests in the banquets are sitting side by side so I felt like we were at dinner theater and my party was the entertainment!   Another strange item: The restroom area. The restroom are outside the dining area and I guess they share them with the McDonalds next door and the Salvation Army???  They are totally gross, not clean, and when I went to the bathroom there were 2 homeless people and someone puking in one of the stalls.  Remember how much you're paying about $40 bucks for a piece of fish here.... D-   Bread...  They give you a dinner roll at the beginning. They should finish baking them before serving. B+  Oysters Rockefeller.  Not a big fan but they were tasty.  I scraped off the congealed yellow cheese sauce they had sitting on top. B-  Tuna Sashimi.  Nothing special here.  You're paying 14 bucks for a few slices of raw tuna.  You can get this at any sushi place in town. C+  Escargot.   A disappointment.  A giant puff pastry filled with a heavy cream sauce that had just a light garlic taste... snails interspersed within....  It reminded me of a chicken pot pie.  We called it the Swanson's Frozen Dinner Escargot. B  Filet Mignon.  A nice cut of meat.  Plenty of food here.  I asked for rare and got medium-well.  Great garlic mashed potatoes and crispy greens.  Not over salted!  Kudos. C   Deserts.   They bring a tray over with samples of all their deserts which is a nice touch but maybe they should forgo that because they all looked gross.  Sort of like the stuff you get at TGIF... All with a heavy hand and everything drizzled with chocolate or caramel sauce.  C  Service.  Like other reviewers have noted we had about 4 waiters but no clear idea of who was in charge of our service. My wine glass stayed empty for a long time even though there was a bottle of chardonnay chilling nearby.. I didn't feel like they were trained well.    The average entrée price is $40 and the average appetizer is $15.   Plus drinks and gratuity you're looking at $100 a head.  The service, dining area and other misses doesn't add up to the price.",0.9914,0.798,0.134,0.068,0.501025768213268
2009-08-05,5.0,"Had reservations here and just before leaving I lost my wallet, parents went ahead and since there were a few empty tables they held our table. So I show up an hour late and the staff came over right away and got us started on a belated dinner. They made sure our now very necessary appetizer came out right away. The food was excellent and service is great.",0.7906,0.806,0.138,0.056,0.6567019400352734
2009-06-23,2.0,"I think this place must be geared towards large scale business dinners because the service for my companion and I was the most bizarre I have ever experienced.  I think we went through at least 4 waiters before one actually took our order and it got weirder from there.  Gfs sea bass was good but my filet was mediocre, supposedly with a wine sauce that I think was just cheap red wine dumped on the plate.  And, yeah, that Andy guy-not sure where he got his waiter degree.",0.274,0.84,0.086,0.074,0.5514550264550264
2009-06-08,3.0,"I just went to Nick's for the first time for lunch and was a fan of the food (Ahi Tuna melt).  Service was very good, too.  However, the sandwich was way too pricey ($19).  There really was not anything on the menu substantially cheaper.  Not good value.",0.8775,0.787,0.213,0.0,0.4783333333333334
2009-06-01,4.0,"My bf and I went to dinner here tonight and it was pretty good.  We sat upstairs in the bar area, which had its ups and downs.  We were served our food pretty quickly, but there was also a loud obnoxious woman sitting in the booth next to us which was much too close. The food... we ordered the crab cake appetizer, which was pretty good.  Nice and crispy on the outside, with big flaky pieces of crab on the inside.  Only downside was... there was only one of them.  What's with that new trend?  One crab cake... sheesh...   My bf ordered the creme of bacon and onion soup at the utterance of the ""bac"" in bacon... it was good, but definitely needed the bread accompaniment.  I also had the lobster bisque, which was very tasty.  I didn't realize how salty it was until I had scarfed numerous spoonfuls, but it was nothing some water couldn't fix.  And it didn't deter me from eating more of it. The entrees were a big hit and a miss.  I ordered the big-eye tuna with the asian bbq preparation.  The tuna was cooked nicely but the sauce was sickly sweet.  It was too bad, the spots of tuna not smothered in brown goo were delicious.  Fortunately, the blackened grouper that my bf ordered was FANTASTIC.  Sometimes thick cuts of fish just get cooked to hell, but this dish was perfect.  The french fries were also good... the onion rings (too thickly breaded, I prefer the shoestring myself) and the potato croquettes were passable. The only other weird thing was that we had two waitresses... there was clearly some turf war going on that we caused.  It was awkward, but it didn't end up affecting our order at all.",0.9757,0.752,0.158,0.091,0.6060406698564594
2009-05-20,1.0,"they should learn how to take care of a table of 8 for heavens sake. terrible service. andy was our waiter, he sucked, he think's he good but he needs work. once we ordered, he was gone.  anyway, i can't really say much about the food because everyone was so dissapointed with the service.",0.2144,0.822,0.105,0.072,0.5
2009-04-19,4.0,"If you love seafood, then this is the place for you.  C'mon, the ambiance alone is worth the trip.  Great Vibe.  I was brought here for my birthday and it was a great culinary experience.  I had fresh fish soup, salad, and lobster.  All were amazing.  For dessert we did a sampler.  It was all freakin' awesome.  The service was good, but almost too imposing.  A little space is needed sometimes!  All-in-all, this place is tops.",0.9569,0.705,0.264,0.032,0.57
2009-04-16,3.0,"Good place for lunch, especially on a day with decent weather (rare though that might be).  No jumbo capers, but who am I to complain about small capers.",-0.4404,0.772,0.065,0.163,0.7133333333333333
2009-04-10,4.0,"Lunch was busy, I snagged a spot t the bar. I went for the tuna melt sammich with fries $16.00 I had thought it was going to be a little expensive until the thing arrived, a nice soft bread bun, light mayo and a huge fillet of grilled tuna! - side of fries were crispy and hand cut, awesome. This meal was very high quality, filling and a nice surprise, what more can you ask?",0.9381,0.747,0.226,0.027,0.6956363636363636
2009-03-31,3.0,"I wish I could give Nick's 3.5 stars, because it was better than average, but given the price, I expected more for it to earn that fourth star. I went on a Saturday night for a nice dinner out with my mom before the symphony.  We made reservations that morning and arrived at 6.15.  The dining room on the lower level was more than half-full, but not packed.  It was an elegant room -- white table cloths, a nice view of the plaza with the Chagall mural that would have been lovely on a nicer day, I'm sure. We both ordered from the special menu--Mom got a stuffed salmon and I chose grouper on a bed of couscous with shrimp and scallops, all wrapped in parchment paper.  Mom had a caesar salad and I had the lobster bisque.  I'm not usually a lobster fan, but I'm a soup fan, and I think the lobster bisque may have been the best bowl of soup I've ever had.  My mom loved her salmon, and I had a bite of it and agreed that it was very good.  My meal was also good, but I found the couscous, shrimp, and scallops more flavorful than the grouper.  I can't remember ever specifically ordering grouper before, so it might just be that I didn't realize that I wasn't a grouper fan, but I thought the fish was a bit bland and dry.  It was a large portion, though, which was nice, since I had hardly eaten all day.  Overall, I'd give the food four stars.  The lobster bisque gets five. However, I expected far better service from a restaurant this pricey.  It began well--right after we sat down, a young man came over to rearrange our table and asked if we wanted to order any drinks.  We only asked for water at that time, which was filled immediately by another young man.  Then we had to wait between 5 and 10 minutes for our waiter to arrive with the menus.  He did come back quickly after we set our menus down, though, and took our orders. The real issue began after the soups and salads were finished.  A young man rolled over a cart with my meal on it, cut open the parchment paper, and handed it to me.  He then asked if we wanted an extra plate, and we were a little confused, but accepted it.  He didn't have any other plates on his cart, so I figured that he just had to go back and get my mom's dish.  I wondered why he wheeled the cart over with only one dish, but didn't think too much of it, until the next cart came out--and went to another table.  We both stared at my plate for about 5 minutes, wondering if we were going to have to flag someone down to bring my mom's food to her.  Meanwhile, our waiter walked over to the table next to us and said something to them, but passed right by us.  Finally, another cart appeared, and the server handed my mom her dish.  No apology for the wait.  If our entrees had been in the $10-$15 range, I would have been less annoyed, but we were paying $35/plate, and I expected better. It took too long for our plates to get cleared after we finished, and our waiter only came over once after our food was served.  Mom was starting to get worried about getting to the symphony, so she mentioned to the man that cleared our plates that we had a performance to get to at 8, and we needed our check.  He said that he would let our waiter know.  After that, we were able to pay quickly, and made it to the symphony. My mom paid, but I believe that dinner for two was about $135--for two entrees, 1 soup, 1 salad, and 2 glasses of wine.  So while the service wasn't terrible overall, I did expect more.  There just seemed to be a lot of sitting and waiting (for menus, for my mom's entree, for the waiter to ask for our check) for this calibre of restaurant.",0.9947,0.86,0.104,0.036,0.501792642983119
2009-03-26,3.0,"I've dined at Nick's a number of times and always thought it was as good as it gets, but my last dinner there was quite disappointing.  The one thing you could always count on at Nick's was service, and it was just was non-existent.  It's as if they replaced senior wait staff with junior staff in an effort to cut costs.  Our dinners didn't match up to the price either.  The quality and creativity that you expect from a meal here didn't come through.  The same Asian slaw that garnished my tuna appetizer, was the same side dish they served with my entree.  Not once after serving our dinners did anyone come back to see if everything was OK.  We decided to take a few minutes after dinner to finish our bottle of wine before having coffee and desert, but once again no one ever came back to our table.  I finally gave up and flag someone down for the bill.  This was really disappointing, because Nick's was one of my favorite places to take people to.  I hope they can turn it around.",0.7558,0.818,0.109,0.073,0.37182539682539684
