date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-14,5.0,"I, along wth the groom's mother hosted a bridal shower for my daughter at Nonno's yesterday and it was spectacular. Delicious food and wonderful service. Our guests raved about everything. My husband and I dine there often when we crave excellent Italian food. It has been our favorite for years. Thanks Lou, Mike, and your wonderful staff.",0.9538,0.666,0.287,0.047,0.7625000000000001
2017-08-11,4.0,"Very good Italian food. Very classy and elegant, I really enjoyed the vibe that the waiters had. Pino puffs as an appetizer were perfect I would highly recommend and the sauce that comes with. Only problems that I have and the reasons for the 4/5 were the service was slow I felt like my party was forgot about waiting a long time for food, and I ordered the margahrita pizza and I was highly disappointed. If you know how a margahrita pizza is supposed to be made you'd agree. Other than that I had a little bit of meat loaf and the bow tie pasta and I was blown away. Would definitely recommend this spot if you have the time!",0.9782,0.709,0.246,0.045,0.6389285714285714
2017-08-05,3.0,"Entrees Were Hit or Miss and Wine List Needs Help We joined several friends here for dinner recently after not having been to the restaurant for many years.  I would give the restaurant two stars based on my meal, but because others enjoyed their meals more, I felt three stars were appropriate.  I had shrimp scampi and the linguine was very overcooked, there were no bread crumbs, and the sauce was very bland.  My husband had the cod and clam special and the clams all arrived closed, which is not a good sign.  After fighting to get two of the clam shells to open, he gave up on that.  The preparation of his entree was overly ""lemony"" which overwhelmed all other flavors. Our friends, who love red wine, ordered a bottle after checking the wine scores of what was on the menu and sampling a couple.  The wine in the bottle represented the best they could find and even then they did not finish it or take it home.  Service was spotty.  Bread basket was never re-filled nor were our water glasses.  Based on my experience I would not recommend.",0.9573,0.802,0.137,0.062,0.4247767857142856
2017-07-31,5.0,"We had a bridal shower with 65 guest, we were able to have the entire restaurant to ourselves for a sit down lunch at a very reasonable price. Valet was quick and included in our package. We opted for a cash bar and there was a friendly quick bar tender for just our party. Beautiful, modern environment delicious food extremely courteous service. We could not be happier with our experience .",0.9362,0.748,0.217,0.035,0.6471717171717172
2017-07-14,5.0,Our favorite! Lou and Mike have been updating their already flavorful menu. I have found a few new favs! The shrimp scampi is delicious! They have also made it very convenient to order any of the items that have been removed from their previous menu. All you have to do is ask! We love the ambience there and always have a good meal at a reasonable price with super friendly waitstaff. You can't go wrong here!,0.9767,0.725,0.275,0.0,0.5739898989898989
2017-07-11,2.0,"New to neighborhood we ventured to find some good replacements to our old Andersonville stomping ground. After a few misses, we found this across from pizza place and it looked fancier so we tried it. From walking in the place looked fantastic. The bar looked amazing, the ambiance was a delight. We couldn't wait to sit and order. Our salad looked amazing. Dressing too oily. The pasta dishes we all ordered looked delicious. No taste. We really, really wanted to like this place but the food was less than stellar, mediocre at best. Probably win't return. The search continues. The service was great I will add. Just wish the food had flavor.",0.9812,0.742,0.235,0.023,0.5443722943722944
2017-06-27,4.0,"I liked the food, but would not try the grilled calamari!! The bread was a little hard and it took FOREVER TO get the food. The meals ended up being good though!",0.7554,0.776,0.19,0.033,0.6104166666666667
2017-06-18,5.0,"We were there yesterday for a dual graduation party yesterday for both of my nieces. My sister did a great job in planning food. There were about 35 of us. 1st course was bruschett, platter of nicely crunchy bread rounds overflowing with nicely seasoned dices tomatoes. Next course was a nicely prepared fresh salad, crisp with red onion, shredded carrots and tomato pieces with a tasteful garlic dressing on the side. Then came the grilled asparagus spears, done perfect, al dente! The roasted potatoes were crispy and moist seasoned just right. The main entree was chicken parmesan, oh my! Huge chicken breasts moist and tender, with the perfect amount of cheese and tomatoes.  The waitress was spot on with all our orders and very attentive. Great service! Free valet parking as well! Wish we lived closer than Aurora, but definitely worth the trip. Thank you Cindy Salamone for  recommending to my sister.",0.9838,0.774,0.226,0.0,0.6242857142857143
2017-06-15,1.0,"The menu was updated, but not updated on the website. The only reason I came to the restaurant was conveniently taken off. The bread was old and the tiny salad was made up of old vegetables. Overall the expensive from start to finish was a let down.",0.0,1.0,0.0,0.0,0.4126984126984126
2017-06-09,5.0,WOW is what I can start with! Have driven past here several times and tonight we stopped in to eat. Well worth it! Food was excellent! Having several food allergies it is always worrisome eating out. Nonno's was very accommodating and even had gluten free pasta! Portions are large and prices are some of the best around. Salad was included with the meal - homemade dressing was delicious! All the staff was very courteous and nice. Bread and oil is also served at the table. I cannot wait to go back and try the pork chops!!,0.9811,0.696,0.265,0.039,0.5127551020408163
