date,star,text,compound,neutral,positive,negative,subjectivity
2009-11-17,4.0,"Very strange...they were only at their new location for a few months, and then closed.  Anyone know why?",0.0,1.0,0.0,0.0,0.390909090909091
2009-09-29,2.0,"And... they are out of business.  Wonderful, awesome 5-star pizza with horrible customer service.  Wins every time.  Sigh... they will be missed.",0.7783,0.497,0.336,0.167,0.8
2009-03-29,4.0,"We were going back and forth on what to order tonight and O'Fame came to mind.  We live close by, but they don't do a good job of advertising (hint, hint owners) - I can't tell you how many times I've driven by and had no idea that there was a pizza place on the corner. Anyway, let's get to the food.  Really really good.  We had a thin crust, sausage (homemade).  Excellent.  The pizza was cooked exactly right.  We usually go to Pete's and this was just as good if not better.  We also had the Antipasto plate - Wow!  Great value, really good stuff. We will definitely be ordering from here again, some of the best thin crust I've had in the city.",0.936,0.695,0.186,0.119,0.5844537815126051
2009-03-27,4.0,We had  Fettucini Alfredo with chicken and  Baked Manicotti.  It was so good!    We'll  try something else next time /thanks,0.6166,0.825,0.175,0.0,0.5166666666666667
2009-03-12,4.0,"I used to go to their Webster location because my roommate knew someone who worked their. I remember clearly, ordering their pizza and loving it.  Over the years, I'd go with other friends for half price pizza and was excited to find out they were moving up north and would deliver. Their pan pizza has some of the best crust I've ever had. It's thick, doughy and has a buttery flavor. The puffiness goes so well with the light tomato sauce, fresh ingredients and slightly browned cheese. They still do half price on Wednesday nights, which is a great deal. I think pan pizza is sort of a special division that can't be compared to thin or deep dish. And because of this, I believe O'Fame to be some of the best.",0.9849,0.782,0.218,0.0,0.48779761904761904
2009-02-20,1.0,"One word sum up?  Horrendous. Bad salad, bad sandwiches, sub-par desserts. On top of all that, the delivery driver was a complete prick.",-0.9081,0.531,0.056,0.413,0.5583333333333333
2009-01-11,5.0,"The man and I just ordered up some pizza to go as we were returning from our errands, as pizza is pretty much our go-to food. O'Fame is close-by (North Center-ish) and he was familiar with the original O'Fame, which opened in Lincoln Park 25 years ago (but closed this past March). Having just tried Apart Pizza and coming away unsatisfied, I really hoped O'Fame would pull through and deliver the goods. Ooooooh, they did. Our all pepperoni/half spinach and onion was deeeelish!  The crust was soooo crispy, the ingredients fresh, just the right amount of cheese, and not smothered with grease. Uhhhmazing. Also, found out that they do deliver to our place in Ravenswood Manor. Sweeeeet. I think we'll have them come to us next time. Not only will I be satisfying my pizza cravings with them, I'd love to try the salads and pasta entrees they have on the menu.  O'Fame is definitely a welcome addition to the area (sorry Lincoln Park!)",0.9688,0.839,0.146,0.015,0.5690476190476191
2009-01-01,5.0,"My favorite pizza is the Tomato, Garlic and Oil pizza. Like none other!  The O'Fame salad is my favorite as well. I'm so glad they've moved into my neighborhood. Love this place!",0.9564,0.582,0.418,0.0,0.795
2008-12-28,4.0,"Excellent homemade soups, fresh salds with quality vegetables, lettuce and cheeses and excellent thin crust pizza.   Everthing was fresh - for a delivery joint, and it is an excellent thin crust pizza. Try the chicken soup - especially on a cold winters day.",0.9403,0.684,0.316,0.0,0.85
2008-11-29,3.0,"Not too shabby.  We had the thin crust and I was pleased to find that it wasn't TOO thin... Sometimes, cracker crust is nice and others, thick, fat-ass crust is just what the cardiologist ordered. What seems to be missing from a lot of Chicago pizza menus, however, is a nice hand-tossed pizza... Not too thick, not too thin.  While O' Fame isn't quite hand-tossed, it is of a pleasurable thickness. It showed up piping hot and when they said it would. The mozzarella sticks requested for accompaniment  were decent-- pretty obviously frozen, but chewy and well-seasoned. A weird side-note about the mozzarella sticks: grubhub demanded that you choose a dipping sauce... BBQ, Marinara or Sour Cream. Huh? Really? Not being a retard, I went with the BBQ Sauce.  The chocolate cake-- ordered only for my girlfriend-- was richer than Teddy Roosevelt's banker, I'm told. If that's your bag, stuff yourself into a diabetic coma, I suppose.  Overall, I was pleased. Not surprised-- it was just about what I expected-- but pleased nonetheless. Along with Manzos and Apart, could become a regular part of my pizza rotation.",0.9129,0.819,0.125,0.056,0.6497435897435896
