date,star,text,compound,neutral,positive,negative,subjectivity
2010-04-07,1.0,"Saw on Craines Chicago Business today that Old Town Brasserie CLOSED after dinner service on Sunday, April 4, 2010 (Easter).......Seems like someone else bought the space and is going to re-open with a new concept.",0.3612,0.93,0.07,0.0,0.2515151515151515
2010-04-04,4.0,"I came here for brunch on Easter Sunday.  We were thrilled to be somewhere that was 1) not a buffet, and 2) not a crowded circus.   The portions were perfectly sized, perfectly priced, and the food was excellent.  I might have used a different bread other than a baguette for french toast, but it probably prevented me from eating entirely too much french toast.  The Easter brunch menu was a bit limited, but it might not be representative of the standard brunch menu.  Service was great, and the restaurant is cute.  I'd definitely go back for lunch or dinner.",0.9661,0.76,0.218,0.022,0.5137755102040816
2010-03-08,3.0,"I was here for restaurant week. My meal was enjoyable but it just didn't blow me away, and I feel like the prix fixe menu is the restaurant's chance to really showcase their best.  That said, the ravioli du jour was pretty cool (it had ground chickpeas or something in it) and the pommes frites that came with my chicken were really delicious.  I had some kind of chocolate cake for dessert, though, that I would definitely NOT recommend. It was covered with way too much cocoa powder, which kept making me cough, and the ice cream that was served with it had a really odd flavor.",0.9849,0.714,0.26,0.026,0.5954545454545456
2010-02-28,3.0,"I came here for Restaurant Week but otherwise probably never would have tried it.  The decor is a bit outdated and it reminds me of restaurants I used to hate going to with my parents when I was little... The bar area up front is nice with windows looking out onto Wells.   All the staff was great, very pleasant and professional if you will.  Whatever butter concoction comes with the bread is so yummy. I started with a beet salad which had goat cheese in it so obviously it was incredible.  I had steak frites for dinner -- tasty but not anything to write home about - and also tried their chicken which is their most popular menu item... it was great too.  I found their dessert portions a bit small, which required me to eat more dessert after my dessert - never a good thing. All in all, I think I enjoy other brasseries in the city more than this one, but I wouldn't NOT recommend it for a special occasion/night out with your parents.",0.9868,0.743,0.203,0.054,0.6414880952380952
2010-02-27,2.0,"We went here for my birthday dinner during Restaurant Week.  Everything was very tasty, but I would have left hungry if my boyfriend hadn't ordered a much heartier meal than me and let me eat off his plate.   1st course- he had the ravoli of the day and I ordered the beet and goat cheese salad.  Both appropriately portioned for the 1st course, but he could have used more than two ravoli.  The beet salad was par for the course. 2nd course- he ordered the casoulet and I ordered the fish special of the day (Alaskan cod with a few pieces of lobster).  The casoulet was heart with lamb belly, duck confit, and pork sausage, all on top of white beans.  The cod was maybe 3 medium bites and the lobster was tasty, but also hard to pick out of the leafy salad.  Tasty, but not enough to fill me up. 3rd course- Creme brulee and chocolate torte/cake of some sort.  Creme brulee was standard and the chocolate thingy I ate was tasty, but really heavy and seemed mismatched with the raspberry sorbet it was paired with. Another complaint I have is the fact that they never acknowledged that it was my birthday.  Picky, yes.  But for a restaurant of this caliber (aka price range), I expected to be greeted with a happy birthday by either the hostess or waiter (I noted it in my open table reservation).  Last year onesixty blue not only greeted me with a happy birthday, but they also sent out a dessert with Happy Birthday written on it. Also, when we went to get our coat at the coat check, the hostess was drinking a glass of wine at the bar and didn't even notice us standing there.  Seriously?   The verdict- I won't be back until next restaurant week, and even that is iffy.",0.9803,0.881,0.099,0.02,0.37579365079365074
2010-02-21,1.0,"Ate there last night and it was one of the WORST dining experiences ever. The bar tender was rude, the waiter lost our order and then lied and said the kitchen was backed up. The waiter made snide comments about everything , including us using too much silverware! Save your money. The management is no better...and the owner""does not talk to customers"" or ""come to tables"".I would give it negative stars!!",-0.9452,0.723,0.05,0.227,0.4533333333333333
2010-02-20,2.0,"Went here for dinner last night and was disappointed in the experience.  The gory details... Food: Sub-par, especially for a restaurant in the price range.  The first course was good, but not exceptional.  The beat salad was on the small side but tasty.  They wrapped the goat cheese that topped the salad was rolled in nuts and a bit sweet (cinnamon?) -- an unnecessary flourish that detracted from an otherwise solid dish.  Friend had the white shrimp and they were also a good starter. The mains disappointed.  Steak frites is a classic dish.  How on earth did OTB get this so wrong?  The steak came sliced on the plate (this should have been in the description of the dish) and the temp was tepid.  Moreover, the portion of steak was small and the steak was a bit tough; luckily the sauce added a bit of flavor.  Frites were adequately crispy but oversalted. Friends had cassoulet (best main of the night) and salmon (solid but unexceptional). Desserts were hit or miss too.  The chocolate dessert was quite tasty, the souffle, eggy but not terribly interesting. Drink: Red wine should NOT be served room temperature; it should be cellar temperature.  Any self-respecting French restaurant should know the difference. Service: the waiters were pleasant, but they lacked polish.  Two waiters struggled with English, by no means a sin but hardly ideal. Ambience: Very pleasant vibe, the place catered to a mostly older (50+) crowd.  The lounge singer was good and thankfully, was not so loud that it interrupted conversation.     For french in the area I prefer Bistrot Margot for better food/wine at a cheaper price point.",0.9703,0.73,0.163,0.107,0.5157142857142858
2010-01-18,5.0,"i LOVE this place. i've been here multiple times and have had a great experience every single time. the food is fantastic, the wine list is great, the bartenders do an excellent job of mixing cocktails, and the atmosphere is wonderful. it's a great date restaurant and once you're finished eating, you can move to the bar where they feature live (piano) music after 9 (i think) on fridays and saturdays. it's got a classic, almost retro feel and the entire experience makes for a great night out.",0.9876,0.696,0.304,0.0,0.6158424908424909
2009-12-21,4.0,"I had dinner here with my family this past Saturday night and the food and service were fantastic!   We started off with cocktails, my mom ordered a martini which was quite good.  We ordered a couple of appetizers, the scallops were delicious and had a fabulous sauce to accompany them.  The escargot was nothing to really write home about, it was traditional with garlic and bread crumbs.   We all shared the beet salad which was very yummy and had a pomegranite puree and goat cheese, I would highly recommend this.   All of our entrees were also good, my brother had the evening special which waslobster (good but definitely not the best entree of the night.)  My mom had the duck breast which was delicous, my dad had the ancho chile pork...also very tasty and cooked perfectly!  I had the duo of lamb which was awesome.  Definitely order this if you are a red meat lover! We finished the evening with creme brulee which was also delightful!",0.992,0.726,0.25,0.023,0.5955714285714286
2009-12-20,4.0,"I've never actually had dinner here, but I have been here several times later in the evening for drinks, dessert and music. We first stopped in when walking by on a random evening because we heard live piano music playing.  We decided to walk on in and check things out. As it was already past 10:00, the greater portion of the restaurant was already closed up with really only the bar area opened. We got a seat near the piano and the guy singing, and we were just floored and how good the live music was.  These guys are amazing. Joe Ferrar is the singer and the piano player's name is Jeff.  Joe has an amazing voice and Jeff is a spectacular piano player.  We now come in here every few weeks on Friday and Saturday nights just to listen and have some drinks. Joe and Jeff will learn songs for you if they don't know them, so you can ask and come back next week and they will sing them for you.  They will also take requests and are happy to sit down and chat with you in between sets. Just two incredibly friendly guys that really make this place a good one. We've also tasted several of their desserts, my favorite being the carrot cake.  Although I typically just dislike creme bruelee, I've got to say they must put something special in it at OTB because it's great! As I said, I'm not sure on the dinner itself, but the late night is fun and well worth stopping by.",0.9943,0.78,0.186,0.033,0.44795574795574794
