date,star,text,compound,neutral,positive,negative,subjectivity
2011-08-08,5.0,"Thought it was really nice... A little odd on atmosphere -- but food was great.  Service was good, prices were good. I used a Groupon and would go back for sure without one because food & prices were good.",0.9662,0.571,0.397,0.032,0.5765432098765432
2011-08-05,3.0,"My friend and I came here a few weeks ago on a Friday night for dinner at 7 pm. Shockingly, there was only one table that had people on it. I had made a reservation, which clearly wasn't necessary. The atmosphere was strange. I was sitting so that I was facing the kitchen area and I continuously saw the waitresses peep their heads out to check on the two tables that actually had people at them (one was ours). Made it a little awkward because I felt like they were just watching us. There's also a screen set up that was playing pictures on it. Made the restaurant seem confused about what kind of place it was trying to be.  I had a groupon so we had to spend $40 and given the menu, that was a struggle for us. We ordered two little pizzas as an appetizer and once the waitress found out I had a nut allergy, determined that it applied to the pesto and left the pesto off the pizzas. I'm not sure how pine nuts are the same as peanuts, but to her, apparently they are. It didn't taste right that way and once we asked for the pesto, she brought us cold pesto on the side. That didn't help much. We then both ordered the napoleons. The napoleon itself was exactly what I had expected, but lacked any interesting flavor beyond that of the grilled vegetables. The portion size was gigantic and neither one of us finished our plates. We then ordered the bread pudding for dessert since none of the other desserts were available (a little strange). I had never had bread pudding before and my friend reassured me that I would like it. It was pretty decent, but definitely nothing spectacular.  Definitely would not come back. Like other reviews have stated, it wasn't bad food, but it wasn't anything fantastic that I would want to have again. And considering the strange atmosphere and price point, I know I could find a better experience elsewhere.",0.9613,0.817,0.113,0.07,0.518007293007293
2011-07-02,1.0,"I purchased a LivingSocial deal for here and my boyfriend/I redeemed it back in the winter.  Everything about the place was just simply odd.  We walked into an akwardly set-up restaurant and were greeted by a non-experienced waitress.  This is not the reason for the 1-star review though, the 1-star is for the food. Everything we ordered from appetizer to salad to main dish was disgusting.  I cut into my chicken and it was completely pink/appearing uncooked inside! After that, I couldn't stomach another thing - but we did order dessert - which was simple but actually the best thing there.  I would not come back to this establishment and definitely not recommend visiting.  I do not ever write poor reviews, but unfortunately I could not find anything positive to say about this place : (",0.4805,0.784,0.112,0.104,0.464745670995671
2011-06-27,1.0,"Like @Agnes M.  I don't think I have been actively angry at a restaurant in a long time either.  I got a notice that my Groupon was expiring soon so I went to use it last night before it expired.  I made a reservation on Thursday for a 7:30 dinner on Sunday at One Six One.   Surprise! ""Closed for a Private Party"""" sign on the outside.  I understand this happens sometimes, except the windows of One Six One are plate glass, and there was not a soul inside and the doors were locked.  A restaurant closed the weekend before their Groupon is set to expire?  What an easy way to make some cash off people who forget to call Groupon's excellent customer service people for a refund.  I read some of the other yelp reviews, that the restaurant is in foreclosure, and I understand they need to recoup some of their losses...theft is not a sound way for them to do so. I was very disappointed that this happened, but some good comes out of every bad, we went to Davanti Enoteca and had one of the best meals of our lives. Thank you Davanti for saving the day!",0.8958,0.828,0.113,0.059,0.4827777777777778
2011-06-26,1.0,"I don't think I've ever been actively angry at a restaurant before but I am pretty ticked at these people. I bought a Groupon a few months back and finally got around to making a reservation for a Saturday night. I made it online, received confirmation and then received a reminder email, which asked me to please call if my plans changed. We made the hour and 15 minute trek down to the restaurant... Only to find that it was closed for a private party. What the hell? Why are you taking reservations if you're closed for a private party?  Thankfully we found a decent place nearby but I would not have spent almost 3 hours on trains and buses if I'd known they were closed for a private party. Thankfully Groupon is awesome and refunded my money, because I will not be giving these people another shot.",0.9593,0.712,0.199,0.089,0.4737847222222222
2011-06-24,1.0,"I hate to write negative reviews but wow!. The bad experience started when I walked in the door. I made a reservation through open table. there were only six people in the place but i still told the server I had a reservation through open table and wanted to make sure she checked me in so I could get my points. She tells me the ""machine"" is down and she thinks the restaurant is dropping out of the program soon anyway... OK but you did not drop out of the program yet....  So no dining points. OK, fine. Moving on, if you look at the website this place looks like a nice, almost elegant spot. In reality it is a large, wide open space with a bunch of empty tables. The menu is pretty limited with mostly burgers and wraps. We're told they just changed their menu a couple weeks ago. So, instead of a nice dinner, we'll be eating bar food.  We ordered 2 chicken skewers for an appetizer. I am not exaggerating when I tell you we waited one hour and 15 minutes for our appetizer! Are you kidding? The server kept telling us it's almost ready but the kitchen is backed up from people ordering from the bar (which seems to be a separate business in a connected building). 75 minutes?? You would think at some point the manager would show his or her face and do a little apologizing. Especially since there were only six people in the entire restaurant.  So we get our appetizer 75 minutes after ordering, then our burgers show up 5 minutes after the appetizer. I guess they don't understand pacing but i guess I should not complain. it's better than waiting another hour for the burgers.  on the good note, the burgers were pretty good.. but it's hard to screw up a burger. This place will never see me again.",0.9842,0.775,0.154,0.071,0.6646224146224148
2011-06-23,1.0,"For someone who has lived in the Taylor Street area when all we had was Pepe's, Al's Beef and RoSal's any new dining option is a welcome addition.  That being said I can't understate what a disappointment this place is.  The only thing I can say about the food is that it was edible. We tried a number of different things on the menu and there was nothing good about any of it. Writing a review of each dish is a waste of my time, Applebee's has better food. And the décor? Very strange and results in an awkward ambiance. For a neighborhood in need of dining options this was a big swing and miss.",0.1035,0.826,0.084,0.089,0.5226859504132232
2011-06-12,3.0,"This restaurant was not exactly what I expected and that's a good thing. I was all prepared for typical bar food but what I got instead was jazzed up bar food but it was a treat. When we 1st arrived we noticed they have a nice patio area. The view is rather blah but it was a nice touch. The restaurant is set up with a bar side and casual dining side so we sat in the casual dining area. They were having a private party on the other side so that worked out as well.  Dinner consisted of Samosa's and a spicy chicken sandwich. The Samosas were very flavorful and the fries were definitely worth the extra calories, LOL.Although I wouldn't rate this as a 3 or even 4 star restaurant I would definitely rate it slightly above average in terms of the food. I would definitely return to try more items on the menu and would advise others to do the same.",0.9876,0.772,0.219,0.009,0.49041666666666667
2011-05-29,3.0,"I had gone to this restaurant for my birthday in March and the ambiance was nice and I thoroughly enjoyed my meal. (lamb chops, artichokes, and the chocolate/vanilla bread pudding.) After the nice experience and good food on my birthday I decided to recommend it to a professional organization that I serve on as one of the Board of Directors for our monthly dinner meeting in April. Upon my arrival I noticed that two of the board members were already inside. Low and behold when I entered I was shocked! The entire atmosphere had changed, the decor was different and I was confused after being here just one month ago.  The waitress came over and we inquired on the change; she went on to tell us that the restaurant had literally gone into foreclosure a week or so ago and this was the reasoning why the decor had changed and not to mention the menu was more of appetizers and reflected a bar menu. I was disappointed!! The other board members arrived and we decided to stay because we were all so hungry.  The appetizers were not that bad but I was ragged on the entire 3 hours we were there because I suggested the place and raved about how good the lamb chops were.   So much for the lamb chops and artichokes with red peppers... Overall, I give it 3 stars because after the disappointment the waitresses were very nice and went out of their way to make certain that we were comfortable, food was timely and that we were pleased with the appetizers.",0.9612,0.841,0.113,0.046,0.5797123015873016
2011-05-23,5.0,"WONDERFUL new summer menu.  While the concept seems to have changed quite a bit, I'm excited with the thoughtfulness and effort and thus welcome the changes.  I couldn't get enough of the chicken tikka!!  Lauren (my name, too!), our server, was timely, friendly, and helpful with suggestions.   Worth a second chance for all you haters!",0.9631,0.612,0.342,0.046,0.5727272727272728
