date,star,text,compound,neutral,positive,negative,subjectivity
2013-12-06,4.0,"Serendipity. It means both luck and a desirable discovery by accident. Yes, it is also a movie, but with OON, for me, it was the full translation.  My friends and I happened here by happenstance. We originally were at Maude's, but found out that they had changed their corkage policy to 1 bottle per 2 people. See, that just doesn't work with us as we like to open a lot of bottles and enjoy said bottles. So, we did have 2 bottles at Maude's, but we still had to find a place for more eating as we did have a specific dinner planned. And, out of that, we came upon OON. While our group of 4 had devoured a seafood tower at Maude's, we were still in need of food. So, we started off with the spring rolls, potstickers, and octopus. I really really liked the spring rolls. The spice was perfect and the spring rolls were pretty damn big too. The potstickers were also very good. They had a good amount of meat in them and the dumpling itself was excellent. The octopus was a bit chewier than I'd like it, but I will also say that I'm not normally a fan of octopus. The two main meat dishes our group munched on were excellent. The Kalbi short rib was a personal favorite for me. I absolutely loved the sauce with this and the ribs were really tender. My excitement for the short ribs shouldn't downplay how damn good the lamb loin was. The lamb was done perfectly and I loved the complexity of the flavors.  The service here was fantastic as well. Sure, it was a tuesday night, but our waitress rocked it. She was always there when we needed something and was great to deal with on the whole.  OON was a great find for us. We didn't expect to come here, and that's usually when the best things happen. On top of it, they were only $10 per bottle and that is a fantastic corkage price on the whole, much less on Randolph. I can't for my next return visit.",0.9989,0.694,0.279,0.027,0.5945760233918128
2013-11-20,5.0,"We ate at the bar and loved it. The service was wonderful and the food was loaded with such interesting flavors that OON will be part of our regular routine. My wife and I split the Scallops, Short Ribs and Pot Stickers and found all of them to be well prepared and brimming with flavor. The desserts were probably our favorite part. We ordered the donuts and the Pana Cotta and both were delightful without being overbearing. The Chef/owner, Matt, came out and asked us to try something he was thinking about adding to the menu, a Bread Pudding. While typically not something I would ever order, it was the highlight of the night. Fantastic flavors were everywhere. All in all, this was a great dining experience and someplace you should put on your list.",0.9837,0.795,0.205,0.0,0.666083916083916
2013-11-18,4.0,"Oon was a nice treat on a Friday night. Service was great and starting off with the ""Storm Front"" - a dark and stormy with a twist mad me a happy gal.  The standout dishes of the evening were the green papaya salad and the grilled octopus, definitely check those out. The mussels were also very good.  The atmosphere was was very modern - not my personal preference - but there's an incredible chandelier when you walk in that almost makes up for it.  Definitely worth a try!",0.9151,0.778,0.199,0.023,0.5784615384615385
2013-11-10,5.0,"We loved our Sat night dinner at OON- wonderfully creative ingredients and imaginative combinations. The atmosphere was serene and soothing but also energetic- hard to pull off. Our servers were highly informative & helpful & professional, the chef was everywhere- kitchen, front of house, conversing with guests. He is very personable and genuinely excited about his 'team'. OON feels very special to us & we're hard to impress, as we are Berkeley foodies, always looking for the 'real deal' when it comes to food that is created & prepared with passion. OON is a winner. We will be back!",0.9903,0.629,0.345,0.026,0.5243223443223443
2013-11-08,4.0,"I was impressed with Oon.  I am usually a little nervous about asian fusion places.  I find that most places that themselves asian fusion places are a little too in your face asian or they take chinese dishes and dress them up and just charge more.  Oon infuses asian influences in their dishes, but without being too overpowering and without just enough asian touches to keep you intrigued.  I went to Oon with two my girlfriends after work on a Thursday night.  There were only a few tables dining there when we arrived but I was pleased to see what a cozy and warm place it was, while also being a pretty modern and neat space. We ordered the eggplant, papaya salad, trout, octopus, lamb, and steak dishes.  The octopus was a little overcooked than I would have preferred but I love the juxtaposition of the roasted strawberry wheatberries and deep fried little balls of chorizo that came with the octopus.  The papaya salad was refreshing with a hint of fish sauce and mint.  We all were glad we had gotten that over the green beans.  The eggplant was nicely braised with a little drizzle of coconut sauce.  It was a little on the sweet side, but since I had a sweet tooth, I really like it.  Just be warned that if you don't like sweet dishes..this may not be the dish for you.  The trout, lamb, and steak dishes all were cooked beautifully.  The lamb was medium rare and not gamey at all.  I love the caramel butter sauce that came with the lamb.  All of the flavors really just came together.  Our waiter was really nice and came back and checked on us regularly.  (Not sure if that would have been the same if it would have been more crowded but I hope not!)  We ended our meal with the banana chocolate cake.  The cake was ok, but I really like the combination of peanut butter sauce and passion fruit drizzle that came with our cake.  All in all, we were pretty pleased with our dishes and we were just surprised that the place was not more packed given the great service and food that we just had!",0.9985,0.759,0.232,0.01,0.5462018140589568
2013-11-07,5.0,"This is a newish restaurant on Randolph restaurant row featuring asian fusion cuisine.  It has a very sleek, minimalist design  with dark wood two tops that are reconfigured to accommodate different sized groups.  Bright modernist paintings are the only splash of color and are hung on what appears to be acoustic panels on the walls.  I am guessing these are acoustic panels because you can actually talk to those you are dining with, probably a first in this neighborhood.  The tables weren't squashed together either, something else that is a welcome change from many of the new restaurants around.  The menu is small, I would guess a maximum of about twenty items, evenly divided between small and large plates.  We each had a small plate as an appetizer and a large plate as an entree.  Others around were making a meal of the small plates so you can do whatever appeals to you.  There is also a large beverage menu that includes cocktails, wine, beer, sodas, specialty teas and coffee.   The food is described as asian fusion.  I have seen several waves of fusion food, most of them an unfortunate experience.  The food here really does manage to fuse western classic cuisine with asian presentation and spicing.  Neither of the elements dominate finished dishes, which is not easy to do. I ate the octopus small plate as an appetizer; it was charred on a bed of wheat-berries with strawberry sauce.  This sounds like a weird combo but was beautifully balanced, and no the strawberry sauce wasn't sweet.  I then had loin of lamb with vanilla mashed potatoes, cherry sauce, rapini and picked onions (the onions were a fresh pickle, very finely sliced).  This was delicious.  My friend loved her scallops.  We ended with desert and I had yuzu panna cotta which I loved; this is a very tart citrus flavoring but if you like that sort of thing you will love this.  My friend ended with a chocolate layer cake which she eat every last crumb.  We finished with a pot of french press coffee. My panna cotta came decorated with a candle, as this was a birthday outing for me.  As we were drinking our coffee we were handed little parcels of spicy peanut brittle because it was ""someone's birthday"".  I was surprised to see it was the Chef/Owner himself handing it out.  I recommend that everyone support this restaurant; it is run by a very young, local chef who is turning out beautifully done food!",0.9955,0.826,0.146,0.028,0.4813391053391054
2013-11-05,5.0,"We planned to go to Au Cheval but, after realizing that there was a substantial wait, we decided to go to OON after walking up Randolph and checking out the menu.  The food is incredibly unique, with no other restaurant I've been to being able to successfully deliver the type of subtle Asian influence that OON incorporates in its dishes.  The octopus was absolutely the most tender octopus I have ever had, I'd come back for that alone.  I got the quail, which was by far the favorite dish at the table.  The drinks were excellent and the wine list was sizable.  Overall, a great concept with flawless execution.",0.9718,0.756,0.2,0.044,0.6400000000000001
2013-10-26,4.0,"Another great new restaurant in the west loop. Ambiance is very simple, but the flavors are anything but simple. All the dishes had flavor that ""popped"" and our server was wonderful. The scallops were fantastic and may be some of the best I have had recently; they are a ""must have"" on the menu. The Udon and the potstickers were also wonderful.",0.9784,0.702,0.298,0.0,0.6084415584415584
2013-10-25,4.0,Really enjoyed the food here--ordered the tempura asparagus and the BBQ tofu. Both were delicous. The corn bao thing with it was the bomb. Hope they will add another veggie dish or occasionally change up the veg options down the road.,0.9117,0.766,0.234,0.0,0.3712962962962963
2013-10-24,3.0,"We ordered 4 appetizers and 3 entrees, which were more than enough food for a party of 4. Some of the food were great, such as the mussels and the octopus. But we found most of everything else a bit too salty, including the udon, the short rib, and the fried rice. The setting itself however is very nice, and the waiters are extremely friendly. When we did complain about the salty and overcooked short rib, they did remove it off of our bill. The food here has a mixed fusion style of Asian flavors. The free fried bao that acts as bread is especially tasty with the lemon mayonnaise.",0.9347,0.838,0.141,0.021,0.5307692307692308
