date,star,text,compound,neutral,positive,negative,subjectivity
2009-04-02,4.0,"Ballo is amazing! Excellent food (You should share dishes b/c the portions are to large), great wine selection. We did pick a bottle that they didn't have in and they gave us an upgraded bottle for the same price as the bottle we had chosen. The prices are reasonable. Overall it's a great place!",0.9611,0.718,0.282,0.0,0.5691964285714286
2009-03-17,3.0,"Straight outta the gate I gotta tell you: this place is loud. And I don't mean loud like there are many people talking, or loud like tables are close together, or loud like music pumping.  I mean all three.  Please hear me (pun intended) when I say the volume of this restaurant is LOUD! Onto the food...it's good Italian.  The menu is nice and thoughtful and the servers are slick and try to flirt.  The bar serves great drinks and you'll feel a little like old-school Chicago in this retro restaurants.   But unfortunately, right after you leave the restaurant your ears will start ringing....",0.7815,0.75,0.146,0.104,0.6197478991596639
2009-02-15,2.0,"It's more like a 2 and a half but i'm not bumping them up to 3 because of my experience with their Valet.  I parked my car at the corner of Illinois and Dearborn, right at the front door.  My boyfriend gets out of the car and goes to the valet, who was standing no more than 10 feet away.  They refused to take my car because I hadn't parked on Dearborn for them.  They made me drive around the block, in heavy traffic, to park it 10 feet from where I originally was.  When they took my car, they drove right back onto Illinois, which is where I was in the first-place!   We get inside and are met with a snooty blonde-chick with an attitude.  I'm assuming she was a little high-strung from the V-day rush, but that's not my fault.  She asks us to wait at the bar, and we declined since we're not heavy drinkers.  We just waited by the hostess stand and 5 minutes later she informs us that there are plenty of seats at the bar.  Again, we decline. They were good about getting us to our table by our reservation time, but everyone was so cramped together...even tighter than just elbow-to-elbow.  This shows me that they are more concerned with squeezing out that extra dollar than they are about the customers' comfort.   Our waiter was nice, but really tried to rush us...thereby only reinforcing the above paragraph.  I mean, I get that it's busy, but it's Valentine's Day; I want to have a nice dinner with the bf, not ""fast"" food.   The soup I had was decent but very watery.  My boyfriend had the same complaint.  The pasta dishes offered were basically the exact same thing, just different variations; most were just some form of pasta with a cheese and a red sauce.  yawn.  What about other delicious pasta dishes that have alfredo sauce, or a garlic & butter sauce?  Of course, the entrees that cost twice as much had some more flair...make of that what you will. Dessert was surprisingly very good; it was a Godiva Chocolate Mousse cake.  Yum!   I'm sure this place is great on a normal day, but it's clear that special days are not their forte.  I don't think we'll be back.",0.9893,0.849,0.121,0.03,0.46287887377173087
2009-01-16,4.0,"I came here with a large group (about 15-20) of us and we were seated in the back area of the restaurant (the wine room). The menu was already set and was served to us family style. Both the service and the food were excellent. Some of the food we had that I would recommend include: Calamari: You can never go wrong with fried calamari as an appetizer. Typically when you order calamari at a restaurant, you end up with an oily or soggy dish, but I was quite impressed with the crispness and the flavor of the calamari served here, along with the artichokes. Rigatoni alla Vodka: Again, another dish prepared well, with the pasta cooked ""al dente"" and in a creamy sauce. Desserts: Tiramisu and the carrot cake were both delicious.",0.9613,0.854,0.146,0.0,0.689795918367347
2009-01-15,4.0,"Went there for dinner on New Year's Eve.  It's a Rosebud restaurant, so you know you're going to get good Italian.  As with other Rosebuds, I can say nothing but ""yummy!"" about the food.  It's perfect old-school Italian.  The atmosphere was just what we needed to start out a night of partying.  The place is fun - it's young, vibrant, and energetic.  I wouldn't come here for a business dinner or on a date, but I'd bring the girls before a night out in a flash.  I loved it.",0.9848,0.713,0.287,0.0,0.4238980716253444
2008-11-11,5.0,"Ballo has a special place in my heart. My now boyfriend (of dangerously close to a year) took me here for Valentine's Day 2008...and it was one of our first real dates. The food was great, the atmosphere was romantic and fun, and we had great service. We met at the Grand stop and he had three flowers for me and when we got to Ballo our server brought an extra glass of water for my flowers!  I do remember that the creme brulee wasn't crunchy on top (which is bad, Ballo) but if that's my only complaint, so be it!  Note: to everyone who complains about too many tourists...try going out when it's not tourist season. I mean, come on. It's downtown and if you go out during tourist times you have to expect that. It's hardly Ballo's fault. And no, I wouldn't recommend this spot for large groups. But again, do your research and go to a place that is set up to accommodate you.",-0.8617,0.805,0.071,0.124,0.5516203703703704
2008-10-26,3.0,"I thought this place was okay. I was there with a large party and I thought the food was good, the service was good, but I had...probably a bottle of wine so I don't think anything would have bothered me. After the appetizers I was content just to skip dinner and have the rest of my wine. All the food presented was delicious. I also thought it was extremely loud in the restaurant; the waiter had to scream at us to be heard. The only thing that I thought  was crappy was that the waiter said his name was Tom  and that he would be taking care of me, but he only served my dinner and then left. No numbers exchanged, no making out at work...completely worthless...",-0.3506,0.76,0.119,0.122,0.6828571428571429
2008-10-21,3.0,"Ballo is a great place to go and get drinks. The bar was very nice and kind of retro looking. However, their food was um SUCKS. Best word to describe it. My pizza margarita lacked many key ingredients that make stuff taste good. I can say the same for the chicken parmesan as well. Plus this place is expensive for low quality food.",0.9013,0.713,0.216,0.07,0.61875
2008-10-19,3.0,"I came here with a group of friends for a birthday dinner.  We had reservations, we arrived on time and checked in.  I realize that place won't always have your table right away but waiting for 30 minutes and having our table given to a group of men that checked in after us didn't really make one of my friends too happy or really the rest of us.  My friend whose birthday we were celebrating raised an issue with the hostess (and she had every right to.)  The hostess quickly found us a table but then we stood there waiting for them to set the table so that was a bit awkward.   Once we were seated our waiter came over and greeted us.  He was full of energy.  We ordered our drinks and then the waiter gave us suggestions about what we should eat.  We ordered a large Caesar salad and the Mama's Meatballs.  Those two items would have fed all 5 of us.  Then we sadly ordered 5 meals.  We all kept eating our meals and barely made a dent.  I'll be having left overs for days.  If you go with one person or a few people definitely get something you can split because there is so much food.  For dessert we got the Godiva Chocolate Mousse cake.  Holy crap was that delicious.  We were all afraid it was going to be really rich, but it wasn't it was AMAZING!!!! So overall this place was good.  The wait was stupid since we had a reservation.  The dining room was crowded and loud.  The food was good and large enough to share.  I'll probably go back but I won't rush to do so.",0.9911,0.795,0.162,0.043,0.5403061224489796
2008-10-12,2.0,"Went here last night with some out of town friends who were running in the marathon.  Now, I realize that an italian place downtown is going to be busy the night before the marathon, so we made reservations for 6pm.  We didn't get seated until about 7:45, and didn't get our meals until after 9pm.  What the hell is the point of taking reservations if we still have to wait 3 hours to eat?  And while the food was good, it wasn't good enough to cost $250 for a party of 4 with a 3 hour wait.",0.7184,0.841,0.114,0.045,0.3444444444444445
