date,star,text,compound,neutral,positive,negative,subjectivity
2011-09-27,4.0,Such friendly service for a great dining experience.  My favorite was the well executed dessert:  a coconut semifreddo.   The sake wine pairings went really well with the light and creative cuisine.  Where else do you eat a split pea baby pancake?!  Where else?,0.952,0.653,0.347,0.0,0.6642857142857144
2011-02-28,3.0,"There's alot of hype about otom, being moto's sister restaurant. But it was a big disappointment. There was no unique dishes on the menu, and the basic steak entree was not impressive, especially at the price we paid. The texture was much too chewy, and lacked flavor. Although everything was still good, you can get much better for those prices.  Perhaps because of the hype, I have always had high expectations. And perhaps because of that, I was disappointed when we visited. On the pro, however, the restaurant itself is very roomy with a posh feel. The waiter was very friendly and funny, and extremely helpful. Very attentive service! However, I wouldn't be returning any time soon.",0.6746,0.791,0.122,0.087,0.6353125000000001
2011-02-22,3.0,"They are clearly getting unfairly knocked for the decor not being my taste and the fact we were there early so restaurant was empty. Can see what people enjoy as several components of my meal were terrific lime the pork belly and seafood salad.  My fish was alarmingly salty and I love salt.  Howeever, once blended with all else on plate, it worked. Just completely not my taste.",0.8194,0.764,0.165,0.071,0.5283333333333333
2011-01-07,2.0,"Disappointing.  That's the one word I'm using to describe my experience.  Let's break this down dear readers so I can give you the quick highlights and lowlights: Pros:   Nice atmosphere Delicious starter (pork belly w/ fried oysters) Nice cocktail menu Ability to order 1/2 glass of wine Cons: Main courses were poor: -Server said they were out of the Dorade, and the replacement was a whitefish with fig sauce, served with a savory bread pudding of shrimp and pomegranate.   -Fish was seasoned well, but the combination of sweet fig with fish was horrible.  Pomegranate seeds?  I'm all for creative if it works - this didn't. -Service was slow    -had to ask for bread    -had to ask for water refills I wouldn't go back.  Dissapointed.",0.7876,0.786,0.14,0.074,0.6230158730158731
2011-01-05,5.0,Ah well... I liked it.  I should have finished my review while they were still open.  Looking forward to their next restaurant.,0.4215,0.872,0.128,0.0,0.43333333333333335
2010-11-23,5.0,"Everytime I walk in this place, I'm greeted like family..I love it here..The food and the environment and the people are just plain awesome..I'll keep goin as long as they keep pourin the drinks!",0.8439,0.767,0.233,0.0,0.4523809523809524
2010-11-23,3.0,Some friends and I had dinner at Otom on Saturday. Don't blink or you will miss it as your cab zips by the small dark storefront with no visible signage. Its in the Fulton Market area next to its sister Moto and just west of Publican.  The space is mimimalist with low lighting and general mod style. But we were there for the food which succeded at being both delicious and reasonable. To start we loved the oyster appetizer with pork belly accents. Definitely try the sweatbreads in the thick soup which was tender and rich. For dinner the lamb T-bone pleased our ladies (who both had it) and I really enjoyed the pork cheek main course. For sides definitely order the mac n cheese which was mixed with fall apples that really put it on the map. Summary- Otom is a good spot for hi quality casual dining in a cool urban setting.,0.9804,0.775,0.191,0.034,0.5102272727272728
2010-11-15,3.0,"I have incredibly mixed reviews on Otom. There were some highlights and some low points. For example, the ambiance is comfortably modern but it exudes no warmth. The service was impecable, but it could have been due to the fact that there were only 7 tables being served. It was not a typical Chicago dining experience.  The bread and butter was phenomenal! So we were off to a good start. We ordered the oyster and pork belly appetizer. This was moderately delicious; the baked oyster worked perfectly with the unctuous belly. It was a very satisfying way to start the meal.  I ordered the special, Skate, and it was accompanied with barley risotto, and some other forgettable sides. The fish was perfectly cooked, and had a lingenberry sauce that accentuated the sweetness from the fish. The barley and other sides were borderline gross (my apologies to the chef for being so curt). The risotto was over salted and had a gummy texture.  My boyfriend ordered the chicken and waffles. The chicken was mediocre, even though it was poached in butter, and the portion was questionable. However, the waffles were a highlight from the evening. Made with ritz crackers, this was the most perfectly buttery waffle I have ever had.  We ordered the graham cracker grits for dessert which was basically crushed graham crackers, chocolate drizzle and marshmallows. This dessert was almost good, I really tried to like it, but the texture was meh. It needed something more most than the chocolate. I suggest caramel while my boyfriend suggests a raspberry sauce, which I happen to agree with upon further review!  Anyway, if you bought the Groupon, it's worth trying this restaurant. However, I am not rushing back anytime soon.",0.9939,0.767,0.183,0.05,0.5660138248847926
2010-11-15,1.0,"Eek! I will not be going here again! The second I sat down I was shooing away fruit flies. One even landed in my friends wine and she had to get a new glass! The whole time I was eating, I was shooing the flies away. Flies in the dining room is never a good sign b/c the kitchen is always 10 times worse. I tried to enjoy my steak, as it melted in my mouth, yet I wondered if I was eating flies, fly eggs, or who knows what else. I would have walked out, but I was there for a friends birthday with others I didn't know. One girl tried to say it was fruit fly season?! I don't think so... the other 2 resturants I ate at days before had no flies flying around!  I will not be eating here ever again.",0.6014,0.883,0.069,0.048,0.5018434343434344
2010-10-30,2.0,"UGH. Due to its association with Moto, I really had high hopes for this place. I daydreamed about trying this place out all week.....only to walk out disappointed tonight.  The butter that accompanies the complimentary bread was very interesting -- it had a subtle hint of sweet maple syrup which kind of reminded me of a McGriddle bun. The umami burger was......tasteless. Absolutely lackluster. It lacked basic seasoning (i.e. salt & pepper) which ultimately resulted in its downfall. The sunchoke soup, pork entree, and side of russian potatoes were okay, yet uninspiring. The mac and cheese was the highlight of the meal -- thus the extra star rating. It's admixed with thinly sliced apples which gave it just the right kick of acidity. Extremely well done. Too bad none of the other food could measure up.  Not sure what all the hype is about. No more Otom for me.",0.7661,0.799,0.127,0.075,0.5684668109668111
2010-10-27,4.0,"The atmosphere was high-end cool. The gnochhi was exceptional, we practically inhaled it. So was the summer squash. But most impressive was the service. Here we were, on a Saturday night, with a Groupon, and yet our waiter went the extra mile to make sure we were satisifed. (I Groupon a lot, and trust me, this is not always the case.) I will be back. This time to try the pork tenderloin because (only dark spot on my Otom horizon), the chicken was a teeny bit bland.",0.8832,0.858,0.128,0.013,0.6656565656565657
