date,star,text,compound,neutral,positive,negative,subjectivity
2016-07-01,1.0,"Very rude waitresses and hostess. I guess not many black people dine here so we were literally stared at during our entire dinner. I even noticed a few smirks. It was kind of ridiculous. About a year ago, I brought my boyfriend here for his birthday and we both couldn't wait to leave this place. Next time just put a NO BLACKS ALLOWED sign on the door. I hated that my colleagues at the Chicago Convention and Tourism Bureau suggested this place for dinner. I tell everyone not to dine there after our experience. Hopefully this place will close down soon like many of the other restaurants on Hubbard St. Oh great I just read that it did close!! I wonder why lol.",-0.3726,0.794,0.106,0.101,0.5465873015873016
2016-04-30,4.0,"Came here for French Restaurant Week and really enjoyed the dining experience here. This is cozy, intimate French bistro and I really liked the ambiance. Food and wine were really good. The onion soup and escargot were really flavorful, and the duck and sauce were very delicious as well.",0.9454,0.726,0.274,0.0,0.5166666666666667
2016-01-25,4.0,"I do not know if it's true that this place is already closed. But I choose to write still late review for them and live some small opinions. We visited this place with my friend because in uper floor was Deep House Party. So before the burning of calories in dance  is good to eat something.  The price and quality you get what you're driving on the plate speaks for itself, it is not Chinese buffet, not that I have anything against Chinese buffet , but here you get small portions but the taste .... oh my God I have not eaten such tasty food for long time. It was fish, french fries, garlic sauce, pork chops, mushroom sauce, and it all tasted like never before. service was helpful so we was not lost in menu big thank you for that , atmosphere is specific  little bit of dark but this give nice warm and excited feeling to be hear ! And that huge Bar Nice :) I hope see you next time",0.9917,0.76,0.24,0.0,0.4552083333333334
2016-01-02,4.0,"Enjoyed our dining experience at PCB&B. We opted to go for Christmas Eve dinner. The Prix Fixe was a good value for Christmas Eve and offered a lot of variety. As an added bonus, you could still order al a carte if that's your thing. My wife and I opted for the escargot and tartare for our starters. She had the dover sole and I had the duck. We ended with the cheese plate and the buche de noel (chocolate cake).  The starters were great, although I personally like my escargot in the shells still. That way, you have a better sense that they are fresh (yes, I know they remove them from the shells and then put the shells back in with the meat), and there is usually less butter/garlic mixture. The result of no shells made it much to ""oily"" for my taste. The tartare was excellent. Her fish was lovely, but my duck lacked a bit. It was a bit to ""ducky"" (I know, best word I could come up with). We were given a side of Brussel sprouts as well. We were split (1 yay, and 1 nay) on these. Deserts were great. The table service was great.",0.9915,0.788,0.205,0.007,0.49444444444444446
2015-12-05,3.0,"On one hand, I'm a fan of Lettuce Entertain You restaurants; on the other hand, I think they've expanded way too much and their talent is blurred across the lines of their sister restaurants. Other than the air of snobbishness at Paris Club, many of their dishes are so similar to that of Mon Ami Gabi (LEY) and Reel Club (LEY), I can easily forget where I'm dining if it weren't for a different location and a higher price. Having last been to Paris Club about 4 years ago, I was shocked by the changes. While it's rumored that Blackhawks players party at Sub 51 and date the bottle girls, that's certainly not a valid reason to snub diners, which is precisely what they do. The snob quotient is sky high here. If they think Chicago people enjoy obnoxious servers and waitstaff, they're wrong. If Paris Club assumes Parisian bistros are pretentious and cold, they've obviously never traveled beyond the States.  We went with another couple to celebrate the girlfriend's birthday. I was the only one who had been to Paris Club previously, albeit, 4 years ago, so we were all somewhat new to the bistro. Servers was generally friendly until we didn't order alcohol. The couple we were with doesn't drink, thus, we didn't on this occasion, either. We must have been asked 6 times if we were going to order a cocktail, and each time we said NO. Annoying is an understatement. It's not like we stopped in for dinner and shared the burger amongst the 4 of us. The bad attitude and overall negativity is what brings down the stars at Paris Club. We weren't the only table visibly being annoyed by a waitperson thinking they were above the patrons on the food chain. What someone in LEY management should do is remind the waitstaff that they won't have their jobs if people don't dine at the restaurant.   The food part of Paris Club is very good.  Except for the Onion Soup, which we each had, we shared everything. We also ordered grilled oysters, Burgundy Escargots, butter lettuce salad with Roquefort and herbs, Brussels sprouts, trout amandine, 2 orders of steak frites, pumpkin risotto. dark chocolate mousse and apple tarte tatin for dessert. Flavors are distinct, entrees are well plated, everything is pretty and just as tasty. For the price, it should be, but it's not the high prices that will keep us from coming back, it's the super bad attitude of the staff, which is a shame in the restaurant industry.",0.2401,0.843,0.083,0.074,0.5511224211224213
2015-11-30,5.0,"Authentic French food and wine!, this place has the perfect combination of ambience; French music, deemed lights, great deco. If you want to spend quality time with a special someone, or simply have a nice conversation while enjoying the exquisite food, this is the place!  I will be back next year!",0.9576,0.69,0.31,0.0,0.5023809523809524
2015-11-29,4.0,"I went for dinner with a friend recently and really liked this place! There service was excellent and the food was good... though perhaps a little too good. I don't eat right food very often and didn't feel so well after, though only because I was so stuffed. Definitely ask the server if certain items are shareable. We got a pumpkin risotto which was phenomenal, but even between the two of us was a lot. The escargot were delicious, and the ONION SOUP... you have to get it! In all, I'd go back, but I might eat a bit lighter next time.",0.9464,0.815,0.185,0.0,0.5438095238095237
2015-11-20,2.0,"Out of all the French restaurants I've been to in Chicago, this one remains the worst in my memory.  It's been a few months since I went and can still recall the experience well.  It's right next to a club=noisy.  The hostess acted awkward towards us, as did the waiter.  The food was very disappointing and the atmosphere was not enjoyable.  Cannot recommend.",-0.8912,0.774,0.03,0.196,0.5182142857142856
2015-11-08,5.0,"Great French cuisine, cocktails and wines. The duck, pumpkin risotto were excellent.  Escargot and baguette appetizer were very traditional and very good.  Lettuce wedge with with a spicy pepper dressing was very well presented and prepared.",0.9359,0.662,0.338,0.0,0.6341666666666667
2015-11-07,2.0,"We so wanted to like this place when our local friends asked us to meet us there. They remembered it from way-back-when and clearly it's changed a lot and not for the better.  The hostess at the door greeted us with less than a smile when we said we had reservations. Bear in mind, it wasn't busy at all.  Once seated, the service was curt at best. They may have been understaffed but if I am spending several hundred dollars on a meal and drinks with friends I'd like a little service. Courses were slow to come out and overall the service quality was very poor.  The food was pretty good though. The steak frites was solid. As was the duck. The fried oysters were ok. However, as sometimes is the case, this restaurant has fallen into the ""truffle trap"". They have it on everything and it's so over done. Pro-tip: if you are going to do truffle on a dish, pick just ONE and do it really well. This place did not.",0.971,0.771,0.18,0.049,0.33705882352941174
