date,star,text,compound,neutral,positive,negative,subjectivity
2016-09-07,1.0,This place is disgusting!!! I work for a delivery company and pick up food from there and one of the main and one of the main cook in the back touches everything with his hands. He will go touch raw chicken and then wipe his hands on his apron and go and touch other food. I have witnessed this at least 10 times and so have several other drivers. People have to be getting sick and not saying anything or they're covering it up. This restaurant is absolutely disgusting in the back and I'm shocked it was not shut down sooner.,-0.9228,0.876,0.0,0.124,0.4782824582824582
2016-09-06,3.0,"This large restaurant in the heart of the West Loop in Greek-town has everything one would except on its menu. We came here for dinner. We started with an assorted appetizer that included some marinated chicken, spanakopita and another piece of meat--no one was sure as to its name. The chicken was somewhat dry and the rest mediocre. We also ordered saganaki, the fried Kasseri cheese that is doused with alcohol and flambeed at the table with a shout of OPA! It was great and lemony. I ordered the mousska as my main dish. It came to the table somewhat cold (assume it is prepared ahead of time and placed in the refrigerator). It was not a very flavorful dish on many levels, but the lack of heat and a very busy waiter sort of sunk the dish. There were many regulars, so perhaps we ordered the wrong items but doubt we will return again.",-0.7901,0.899,0.035,0.066,0.6779138321995466
2016-09-05,5.0,We love this restaurant. We stop here anytime we are nearby and are always happy with the service and the food is exceptional. Salvador was an exceptional waiter!,0.7901,0.706,0.231,0.062,0.9
2016-09-03,2.0,The food was good.. Great mousaka! However the service was less than great... He took his time coming back.. Rude... Never said thank you! Just threw the check on the table... What's with the hookers coming in and going to back dining room?? Very entertaining!,0.9007,0.792,0.208,0.0,0.45958333333333334
2016-08-30,2.0,"Staff seemed as if they were doing me a favor. Very impatient. My wife and I went in during the Greek festival they were having. Right away we felt uncomfortable. It seemed as though the waiter had other things he had to do besides take our orders and serve our food. I was kind of disappointed with the food it wasn't terrible,but it wasn't great either. It was average. I will not go there again. And judging by the attitude we got from the staff I think they would like that.",-0.5236,0.797,0.085,0.119,0.6345238095238095
2016-08-29,5.0,"This place is wonderful. The staff is always so friendly and the food is delicious!  Large portions abound. We sampled a lot of the menu with 4 of us at dinner and no one had a complaint!  From gyros, moussaka, pastitsio and dolmades we were all stuffed!  Check out the Greek rose wine of Roditos!",0.883,0.733,0.198,0.069,0.5826530612244898
2016-08-22,1.0,"Went to dinner here with friends.  The entrees were ""meh""- rather disappointing.    Mike was our server and was awful and, needless to say, extremely rude.    Apparently  we were his last table and he wanted to get out of there fast (except that when we did leave, he was sitting at the bar.)  He pushed us through the meal and barely let us finish each course.  Forgot my drink.  We asked for coffee with dessert and he forgot that.  The desserts were tiramasu and a custard that tasted like old cheesecake) .Only ate a couple bites.  When  Mike realized he'd forgotten the coffee (couldn't remind him cuz he wasn't to be found), he asked if we still wanted it.  When I replied ""Too late,"" he replied - it's never too late ~ you're crazy.""  We did have a Groupon for this dinner, and when it came time to pay the bill, he pointed out the Groupon price and what it would've cost without the Groupon and told us - You must tip me on this amount (the amount without the Groupon.)  and kept pointing it out. Very glad we got a Groupon because the meal wasn't even worth that amount.",-0.5812,0.881,0.043,0.076,0.5583333333333333
2016-08-19,1.0,"This was one of the worst dining experiences I have ever had. It was so bad, that it was almost amusing to see how bad it would get--  FOOD POISONING BAD.  We purchased a groupon for this establishment.  We even made a reservation.  We were seated, waiter showed up, asked if we wanted any drinks, we said give us a min.  We explored the menu, 20 min passed. Our waiter returned and we asked if there are any limitations with the groupon.  The waiter said ""oh"" quickly took away our menus and ran away. 15 min passed.  We have no drinks, no waters, no menus, we have no idea what is going on.  We asked a bus boy to check on our waiter.  The bus boy, whose name I do not know, was nicer and more accommodating and brought us water and checked on our waiter.  In about 10 min or around 8pm, 40 min after we have arrived we got the ""groupon"" menus.  It was pretty predetermined as to what we were getting, but at that time we were all hungry and didn't care much.  Appetizers- #1 famous flaming cheese (saganaki), our waiter brought it to us, fired it up and opa or actually more like oh...greasy tasteless stuff. Considering the fact that all six of us were hungry, the cheese was eatable. But nobody wanted seconds.  Overall, that was the only appetizer out of 4 that we finished.  The next appetizer was spinakopita. Lets say nobody took more then one bite.  It was absolutely disgusting.  The premade microwaved stuff you get at the local supermarket would've tasted better then what we got.  The next two appetizers, were the fish spread next to the mashed potatoes with ""intense garlic""  were presented to us on the same plate garnished with a slice of a warm cucumber (health dept. take note)  and slices of pita.  Lets say 90% of that appetizer went to the trash.  It was simply tasteless and uneatable.  Then our waiter went missing for about 20-30 more min.  When he came back, we tried to order some drinks in anticipation of the continued feasting (and to make things more bearable).  The waiter perked up and brought us our drinks within a reasonable time.  Then he took our orders for soup and salad.  The soup I had was some barley beef version and the husband had the egglemon soup, which he did not finish.  The beef soup was pretty much your standard over salted progresso for $0.89 cents per can.    Then came the salad.  The salad consisted of some very old lettuce, covered with some dressing and feta crumbs and garnished with two huge pieces of tomato.  I have to admit I did eat the tomato slices because I was hungry and luckily they were not covered in dressing.   Then we sat there for about 20 more min... Our waters were refilled by the bus boy, who I think is the only person who acknowledged the fact that we were customers and were paying for this ""experience.""  Main course. Considering the appetizers, we were being careful.  4 of us ordered gyros (how can you screw up gyros), it seemed like the safe choice when we were making it.  The other two got the flaming shrimp and the combination plate (which was the better choice,as the it was the most eatable of all).  The waiter brought out the shrimp plate and lit it on fire, then the combination plate.  Then the 4 of us got a plate with 2 pitas a small plate of tzatziki sauce and three slices of tomatoes.  Then the waiter left. We were quite confused because we thought that gyros have meat.  We sat there for good five minutes before the waiter came back and brought the meat.   The meat....or the rubber ...old tires.....was dry, old, and did not resemble the usual taste and texture of gyros.  My husband took one look and said ""this is not gyros, gyros glisten""  This was a pile of rubber with a few onions that was a least two days old.   According to my friends testimony the shrimp was old and not yummy at all, she did eat a few but left much to be desired.  The shrimp came with a side of rice in a small dish covered in some brownish liquid.  ( It did look like carefully put together puke, Im sorry it was not appetizing at all).  Nobody touched that. The person who ate the shrimp got FOOD POISONING.  The desserts - baklava and sokoladina (chocolate cake) was a little less tasty then the stuff you get a jewel.  THEN, if you think this is over, its not.  Our bill was $102 dollars after groupon.  $30 was our drinks, $22 was the tax and the rest was a mandatory tip.  Our waiter filled in our receipts with a tip amount(!!!!!).  I have never experienced that before.  I understand that I cannot blame the waiter for the food...well, but MANDATORY TIP on such horrible dinner.  Maybe it was the groupon experience, Idk, but I will never return there.  Lets tally it up  Food, mostly uneatable, disgusting not restaurant quality. and resulted in at least one case of FOOD POISONING Service, poor at best, no communication skills, and a MANDATORY TIP  Price - RIPOFF  Also they have failed a number health inspections.  See photos.  AVOID.",-0.98,0.817,0.08,0.103,0.5025777777777776
2016-08-19,1.0,"This was, by far, one of the worst experiences I have had at a restaurant.  Admittedly, my view is from having a ""Groupon"" experience. Our party was seated, and the waiter showed up, asked if we wanted any drinks. We asked for a minute to review the menu. 20+ minutes passed and there was no sign of a waiter. When the waiter finally returned, we let him know that we have a Groupon. The waiter took our menus away and ran off. 15 minutes later -- we have no drinks, no water refilled, no menus, no food. We asked the busboy to help us find our waiter. Another 10 minutes passed and we received the Groupon menus. It was pretty predetermined as to what we were getting -- their ""variety"" was all but an actual choice. We were told there's four appetizers (and you have to get all 4, you can't double up on any of the items, and reject other ones). But at that time we were all hungry and didn't care much.  Drinks were ordered. And when the waiter poured the beers for the guys, he plopped them into the glasses with too much foam/head. The appetizers were saganaki (I've had better from a microwave), spanakopita (awful, disgusting, and way too juicy), some cold potato salad (which tasted like boxed mashed potatoes with garlic), and one other appetizer that smelled too fishy.  The waiter took the orders for soup. My husband and I ordered the egglemon - it was tolerable. Nothing to write home about. Then came the salad.  The salad consisted of greens which were doused in dressing, and old feta. The tomato pieces were the best tasting part of the entire dinner. Uncooked, plain as day, 2 pieces of tomato.  25 minutes later, with water at the table, and dirty dishes piling up, the main course arrived. In our group, 4 people ordered the gyros (to quote my husband, ""You can't mess up a gyros.""), I ordered the Shrimp Flambe, and another girl ordered the combo plate (this turned out to be the best option). The Shrimp Flambe tasted like overcooked shrimp, warmed up in the microwave and doused in oil. The rice smelled like old socks. The combo plate looked delicious, but that's also relative. The 4 that ordered gyros received a plate in front of them with 2 pitas, tzatziki sauce, and 3 pieces of tomato. Nothing else was said to them, then the waiter left. 7 minutes later, gyros meat was brought, and the waiter said, ""oh it's special just for you, it doesn't have fat."" The meat looked like something I wouldn't even feed my dog. The desserts - baklava and sokoladina (chocolate cake) was a little less tasty then the stuff you get at a local grocery store. The best part was when the bill arrived. There was a tax added, which is expected, and there was the cost of our drinks, again expected. But the waiter had the audacity to tell me how much to tip him -- he decided what his service was worth.  TL:DR, Don't go here if you expect any kind of nice service, or tasty food. The food: inedible, not restaurant quality Service: the busboy was the best part of the entire restaurant.  The price: definitely NOT worth it",0.9936,0.839,0.118,0.044,0.4228084415584416
2016-08-05,2.0,"Service was slow, male waiter a little rough around the edges. The Greek  bread  was the best part of my dinner. My Gyro meat lack flavor and the tzatziki sauce was bitter . 2 stars for the ambiance.",0.0258,0.775,0.102,0.123,0.31428571428571433
