date,star,text,compound,neutral,positive,negative,subjectivity
2008-03-25,5.0,"So sad about this place.  My boyfriend and I pretty much ate here all last summer when he lived in Lakeview.  I loved the pierogi sampler...each piece was like a yummy little surprise.  I had never had deep fried pierogies until I came here...I was actually hesitant to try them but once I did, I never went back.  Mmm...And the best part was the onions and bacon that they topped them with! Pierogi Factory, I MISS YOU!   Come back!",0.8715,0.727,0.194,0.079,0.39696969696969703
2007-10-04,4.0,sorry PF...you're the closest eating establishment after subway and you added some character to my block.  i feel like i saw it coming...you blonde ladies were always out on the stoop this last month chain smokin' up a storm..you probably knew what was coming.....oh well...maybe we'll get a new dry cleaners that can battle the dry cleaner on the other side of kenmore....that would be interesting...maybe...or dumb....hm.... i bet you just become a quiznos... i am sad tonight.,-0.6908,0.822,0.053,0.125,0.5120265151515151
2007-09-24,4.0,"This was the first place that I ever tried Pierogis.... In fact the only place that I have ever had Pierogis, so I don't have much to compare them to, but they were pretty tasty.... With that said, They are _CLOSED_.  I don't really know what happened, but  a few months ago, there was a sign into the window advertising the space for rent (while the resturant was still open).  The sign went down for a few months, but now it is back with a few smaller notices that by order of the courts, the landlord has taken over possession of the business.....",0.6486,0.956,0.044,0.0,0.3401709401709402
2007-09-02,4.0,"I can't believe it took me so long to find this place, its practically right across the street. They have great pierogis among many other items. My friend and I split their Pierogi special which was a mix of 12 of their wide variety of  ""flavors"". My favorites were the potato and cheese and the spinach. I wasn't a fan of the sauerkraut and mushroom but other than that, everything was good. We also received a bowl of their tomato soup. Don't forget to try their dessert pierogis when you go!",0.9013,0.83,0.155,0.016,0.5007936507936508
2007-08-23,3.0,"I'm so torn on how many stars to give this place. My taste buds say YES! but my insides say NO!  On one hand the boiled pierogis I had here tasted wonderful and were full of flavor. On the other hand even though they were boiled, they were so greasy I left with some serious stomach pain. Pain that lasted me the rest of the evening. Let's just leave it at that.",0.3081,0.641,0.169,0.19,0.5152777777777777
2007-08-21,5.0,"I love the Pierogi Factory!  The staff is great, very accommodating, and they always have great specials.  As Jean A. mentioned, it is surprising to see so many reviews on here, because this place is rarely packed!     I definitely recommend the mushroom soup, any of the pieorgis (get them with bacon and onions on top - YUM!), and their polish sausage. Awesome food, great service, and reasonable prices.  Be sure to check this out next time you are in the Belmont area.",0.9759,0.683,0.274,0.043,0.609920634920635
2007-08-17,4.0,"Oooh, I will be back to this  place!!   I am surprised to see so many reviews...the day I was there, it was totally empty...wasn't there during the height of dinner or lunch hour, but still.... I was pleased....my grandma was 100% Lithuanian, and they must have swapped recipes with the Poles, because she did this whole ""genre"" of food.  Kasia's does a good one in the Jewel freezer, but these are waaaaayyy better.  I ordered the sauerkraut ones, after discovering they could be made for me even though they are not on the menu (huh?).  The girl at the counter was very nice in all respects.  I got them to go, since I wasn't going to sit in an empty place and eat them.  Half of them didn't make it to the Belmont L a block or so away!  They were hot (made after I ordered them), just crispy enough (I had 'em fried...there's also a boiling option) and tasty, with not too much oil.  I do feel they could be a little less expensive, at about $5 for six of them.  $8 for 12 is a bit better deal.  I look forward to the next time I go!!",0.961,0.85,0.12,0.03,0.4796296296296297
2007-08-04,5.0,"This restaurant is very clean and well designed, cleanliness extending into the bathroom. I had fantastic pierogis (my first). My friend and I ordered the Mix n Match, 12 pierogis (6 types) for $9.99. I have to say, I loved the mushroom and sauerkraut ones the most. The sauerkraut is not pungent at all, so if you don't like it normally (I don't), it is still very edible in this dish. My second favorite had to be the potato and cheese. Note- there were 'potato and cheese' types as well as 'potato and cheddar'. One was creamier and one had chunkier bits. You can ask the cashier which is which. They were both absolutely delicious, I was too busy enjoying them to decide their names. My third favorite was the meat and spinach type. It was a very unique taste and I think this pierogi and the sauerkraut one are the choice if you would like to have a new experience. They are very good so even if you are picky or not adventurous, it won't hurt to try one. The last two types were 'spinach' and 'meat'. What can I say, they were spinach, and they were meat. If you don't like spinach, try it anyway, it doesn't have the normal tangy taste. Both were very well seasoned. For all of these I had to decline bacon because I do not eat it and the onions I passed up on because I was going to be out talking to people all day (hah). Lastly the Mix N Match came with Sorra soup. It was good and nothing to be afraid of. Despite its broth look it has lots of flavor. I found part of an egg, some rice, carrot, and a peppercorn in it. Again, don't be scared. I AM SO SAD TO SEE THAT THIS PLACE IS CLOSED!!!!",0.9869,0.819,0.141,0.04,0.5689337822671156
2007-07-26,4.0,Give me sum more!!  I'm so happy I finally came here. They have a huge selection to choose from (compared to the taste) and their so good!! The mushrooms with Spinach are my fav and the meats ones are really good 2!! The potato were OK and the sweet cabbage I did not like at all! I didn't get to try the soup but if u buy a dozen u get a pea and barley soup!! Def. worth the trip!!,0.9366,0.755,0.227,0.019,0.6499999999999999
2007-07-24,3.0,"Hmm. I was here about 6 months ago and I just came here to write how the pierogis I brought home for takeout were soggy and underflavored. I was disappointed and expecting more, since everyone in the place was Eastern European and no one was speaking English. That's usually my sign that the ethnic food I'm about to eat is going to be badass. After reading the reviews here though, I'm inclined to go back and sit down for another shot. Why not? Pierogis are awesome, and it's super cheap. How could that NOT be worth another shot.",-0.5258,0.845,0.056,0.099,0.3868686868686868
