date,star,text,compound,neutral,positive,negative,subjectivity
2016-01-03,2.0,"This was the most forgettable meal that we had in Chicago. While we felt that the establishment's surroundings were pleasant, the food was not in keeping with the price, nor with the other meals we had in such a terrific city.  To start, we ordered chips and guacamole. The guacamole, while house made, was bland, and had a quarter of an avocado that wasn't even mashed up.  I ordered the Chicken sandwich. The chicken was anorexic to the point that I tasted more of the bun than I did of the chicken. The cutlet was dry, and thin. If the piece of meat had been 3 times thicker, it may have been an adequate serving. My girlfriend ordered a burger. The bun was rock hard, the meat was not seasoned and was flavorless. It could have been soy protein, as there was no way to tell it was beef by the flavor and lack of juices. It was a shame that the fare was so poor. We wanted to like this place, especially with the history attached to the name, but we won't return next time.",-0.152,0.912,0.04,0.049,0.6421052631578947
2016-01-03,5.0,"One of my favorite brunch spots. Unfortunately, it is closed without explanation and all the booze has been removed from the bar. Sad.",-0.3612,0.702,0.105,0.193,0.7000000000000001
2015-11-13,1.0,"First time back since they reopened and I used to be a regular. I only live 3 blocks away. Was told that Rosebud bought the place. All I can see is...W...T....F?!  The food was absolutely horrific ( we had the fish-'n-chips Friday special which was nothing like the old), the service sucked (waiter was a complete newbie), the menu lacks most of the goodies they used to serve, only two sucky desserts (cake, ice cream), and the interior has only modestly been changed....and in a bad way (they took down all the photos and left the white brick). Seriously, we thought a joke had been played on us. Rosebud runs a top notch operation, so I'm completely baffled...especially by some of the reviews here. Don't believe me?....I BEG YOU to go in there and try for yourself, but don't say I didn't warn you.",-0.7803,0.847,0.046,0.108,0.5001953601953603
2015-11-12,5.0,"SO GOOD! We are out if town and they were so friendly, they even suggested places to visit. The food was also aaaaammmmmaaaazzziiinnngggg! The atmosphere was also very cozy and friendly.  We also got a sample beer!",0.941,0.706,0.294,0.0,0.64375
2015-11-09,4.0,"Okay, I went back for one day I saw the new menu and they had my very favorite omelet, so knowing this omelet like the back of my hand, I thought I would give it a try and WOW, what a delightful surprise, it was fabulous, just the way I remembered it from before they closed.  I have to say, with the new updates on the menu, it will keep me coming back.  Service was so improved and outstanding........can't believe what a change from earlier when they reopened.  Someone must of put a bee in their bonnet for the changes are great...........and I never give 5 stars for nothing is perfect in life.........but that omelet sure was close.",0.9799,0.736,0.24,0.023,0.564141414141414
2015-10-20,2.0,"I was a fan before they closed up shop to revamp everything.  Know that things change, I was skeptical of what was to come with the ""new and improved"" everything.  After waiting close to a year for them to reopen, I was disappointed to see that they made a few changes to the decor, but essentially kept everything the same.   The first visit in was just for a quick drink and snack.  The snack ended up being their guac and chips.  The guac was overloaded with onion and just not good.  So a few weeks later we decided to try the wingettes and soup.  The wingettes were decent, but the BBQ sauce was like Open Pit w/a dash of honey.  The chicken noodle soup has a distinct grease slick on it and couldn't be eaten. Now for the service.  It was a pretty slow night when we came in.  We sat at the end of the bar near the service bar where our bartender (nice-ish gal) served us just one drink and never came back to ask if we wanted another.  She walked by plenty of times while chatting away with the waitresses who were also kind of a distraction as they were busy texting on their cell phones. It's just a let down to have a place that looks so promising on the outside, but run like no one has ever been in the business before.",0.7775,0.867,0.078,0.055,0.4035936285936287
2015-10-17,5.0,Great food and great bartenders here. Literally the best old fashion I've had in town. Mike was very friendly with us and made us feel at home. Will be back! I  Chicago!,0.955,0.621,0.379,0.0,0.44166666666666665
2015-10-15,4.0,"My boyfriend and I  moved here in June and have been trying to find a place where we can go to grab a drink and a bite without being too overwhelmed by people. This is a great place that is comfortable, quiet, and welcoming. The bartender Marty is very kind and seems very nice. We plan on continuing to frequent PJs weekly!",0.9533,0.734,0.25,0.017,0.6972222222222223
2015-10-11,5.0,"Came in from Texas with a work group. The place was awesome. Stayed about 5 hours. We had some things off the menu, which were incredible, fresh, beautifully presented and yummy. Our boss decided that he wanted a couple of pizzas which were not on the menu so the GM Lafayette and our server Magan, who was taking care of us, had the chefs make a few for us custom. TALK ABOUT CUSTOMER SERVICE. It was a great experience. This is a GREAT Chicago Bar!!! What's more refreshing is that we received High End service with FRIENDLY professional attitudes that we only would have expected from a High End Steakhouse etc.. that we were regulars at. This is the standard that I think most people would appreciate from a High End local bar/restaurant. Thank you Magan and Lafayette for the most memorable time on our Chicago trip.",0.989,0.781,0.219,0.0,0.5771428571428571
2015-09-17,4.0,"stopped in for dinner.  Had a perfectl burger...my companion had the patty melt.  Both loved our meal.  Substituted onion strings for fries- yeah.  Good, friendly service.  So happy to have them back in the hood!",0.9391,0.604,0.355,0.041,0.5800000000000001
2015-09-08,3.0,"Well it's open again, and it's still pretty mediocre compared to the many years it was a popular restaurant/bar here in Chicago and had the same menu/quality as the New York City locations. Similar to what happened in the year or so before it closed. The interior was stripped down to very little...a lot of the wall decor is gone. Also gone is much of the menu. It's pretty stripped down version of what it was before, and does not match the website. Food was OK but nothing special and in an eating town like Chicago they'll need to step it up before it gets up and running again. Good burger at least. I understand they'll keep adding menu items and decor as the weeks pass so I'll withhold too much judgment until they've had a chance to get up and running. For now I have to give a middling review but will be back to update sometime in the next couple months.",0.9236,0.871,0.112,0.017,0.4442262763691335
2015-09-01,5.0,PJ Clark's reopened!!!! I am so happy I love this place!!!! I had the outstanding mini burgers that I missed so much!!!!!,0.9347,0.458,0.47,0.072,0.6687500000000001
2015-08-30,2.0,It re opened a couple days ago.  Smaller menu than before and without the old classics.  The server said they would slowly re introduce them. Service and food was shaky.  Tables on both sides of us returned some entrees. Ours were borderline but we didn't expect much so soon after re opening. I hope they do well since we enjoyed it before they closed.,0.8885,0.824,0.156,0.021,0.37142857142857144
2015-01-07,4.0,"The first time I've ever gone here was over the holidays and it wasn't that bad! Although it's an open space it still feels cozy. The bartender and manager working that night were amazing. Very friendly and personable! If I'm ever in the area again, I'll definitely be back!",0.9461,0.729,0.271,0.0,0.5428571428571428
2015-01-02,1.0,"This place has really gone down hill and is in need of new management.  Chicago has carloads of great bars and restaurants, don't waste your money here.",0.753,0.795,0.205,0.0,0.3386868686868687
2014-12-28,1.0,"We have been going to PJ Clarke's on State for the last 8 years. Ever since it changed owners, the service has suffered and the prices have increased.  Tonight, we were promptly seated but the service was terrible.  We waited a long time to place our drink order. And then waited a long time to be served.  Dinner was okay and we ordered dessert to go.  The specials menu included triple layer chocolate cake.  I asked for the chocolate cake but when we got it home, discovered it was lava cake.  The server couldn't have asked which cake we wanted?  Based on our last several visits since the ownership change, we may not be visiting again.  Too bad since it was a great neighborhood dining spot.",-0.3506,0.848,0.07,0.081,0.4277777777777778
2014-12-24,3.0,"So I am really torn updating this review as the image I hold of P J's was such a positive one and yet the experience I have had the past two times I have come here have not been so good. The positives?  There was live music on both occasions and the bands were very good.  Also- this places pulls a good crowd no matter what night you pop in. But on the last two visits, the food and the service suffered.  We came with a larger sized group and got great seats in the bar area.  But our glasses were empty more than they were full and we had to keep running up to the bar to get them re filled. And the food?  Eh.  Bar food.  I remember the burgers and fries as being much better but the pot pie still fared pretty well. All in all, it's okay.  But I think I wanted it to be so much more . . . like it used to be!",0.9734,0.786,0.176,0.039,0.5390590111642743
2014-11-29,2.0,"The PJ Clarke's that closed down next to the AMC 21 was MUCH better than this.  It's unfortunate that I can no longer go there.  Every time I've given this location a chance, they've only disappointed.  Last year, when I took my wife for the first time, the table clothes had crusty food stains, the table was extremely wobbly, and there was a pungent rotting odor coming from their heating vents next to the window.  It was so bad that we had to move to another table.  The food was fine then, for the most part.  The waitress was talking a lot at the other end of the bar and wasn't interested in filling my beer glass.  I've been here at least 6 times and every time, I've had to grab someone else to fetch her.  Tonight our server was a little more friendly but took a little long to come check on us.  And again, we were not asked if we wanted more beer or needed anything else.  Another night of empty glasses and slow service.  The Holiday decor was nice, but again, a fat chunk of dried pasta from the previous visitors greeted me on the table cloth.  The food has always been pleasant, but this time was a disaster.  We both ordered skirt steaks and shared calamari.  We expected fried calamari and requested it to be crispy, but received a basket of rubbery blandness.  I ordered my steak to be medium rare.  One was, but the other was well done.  My wife ordered hers medium well.  She was given overly well done.  Our potatoes were dry and some were even difficult to chew.  Some weren't even cooked thoroughly and many had dark black spots.  She couldn't even dent her meal.  Luckily, the manager was nice enough to give us the option of taking it back or taking it off the check altogether.   I enjoy music and atmosphere, so when I see a jukebox, I immediately find something to play to interrupt the horrible pop music or random Led Zeppelin song.  I spent some money on it only to realize that they had another loud speaker playing obnoxious music over it.  We couldn't even hear the music we selected.  Pointless having that don't you think?  Sorry PJ Clarke's, but your other location downtown was SO much better.  I have to say goodbye.",0.9653,0.797,0.127,0.076,0.5437363834422658
2014-11-22,5.0,"PJ's is a delicious spot for brunch and burgers. They   Are located right in the Gold Coast, and you can't beat the price! Great music  Great service Great location  Will definitely be back!",0.9652,0.583,0.417,0.0,0.6309523809523809
2014-11-02,5.0,"My friends have been bragging about PJ Clarke's on State.  I had not been here in years and can honestly say only have fond memories.  New ownership sparked my interest and I'm in need of a good local ""American Food"" stand by.  The menu was big with plenty of choices and all of our entrees were fabulous.  I did read the reviews before and got a chuckle out of Robert H.  I found the Chips and Salsa to be quite tasty, but perhaps if Robert H. was looking for some authentic Salsa, go to Pilsen.  Loved the Juke Box and the service was great.   ...excited to make PJ Clarke's a hang out again!",0.9729,0.795,0.205,0.0,0.5776859504132231
2014-11-01,2.0,"Inattentive service even though bar was not busy.  Guacamole and chips were terrible.  We inquired if they accidentally substituted marinara for salsa.  Bartender tastes and agreed .  He went to the kitchen and came back with same bowl and then proceeded to cut up jalapeño, add it and then salted and peppered the sauce and gave it to us.  If the bartender has to doctor up the food, what a disaster!  Still sucked.  I would fire most of the staff here.",-0.9359,0.785,0.023,0.192,0.385
2014-10-23,3.0,"I was visiting friends in Chicago and we decided to go here to meet up with other friends. It was not our first stop of the night, so we had already had a couple drinks, but I enjoyed the atmosphere on a Sunday night. We did try some of the food and it hit the spot. Our bartender, Brandon, was great! He took care of us and we all ended up having a great time. Would definitely check it out again and after reading other reviews, I'd want to check out the brunch.",0.9847,0.719,0.281,0.0,0.5404761904761904
2014-10-03,3.0,"It's nearby so I love it! Actually a lot better than some of the college bars nearby and I think the street is quieter. The menu is big, to and I've always had good service. Definitely check it out if you're looking for a more chill bar than the others on Division st.",0.9344,0.761,0.239,0.0,0.4142857142857143
2014-09-03,5.0,The food here never disappoints.  I had the Pork Chops Calabrese special which was one of the best pork chop dishes I've ever had.  Keep up the good work PJ's.,0.8997,0.676,0.324,0.0,0.4904761904761905
2014-07-29,5.0,"LOVE. Lived in this area for 2 years and bummed I've never tried this place out. It competes against some pretty big names close by but this place definitely shines! My friends/family and I had brunch on a Saturday and it wasn't too busy. We wanted a seat outside but the giant window in the front opened up so we were able to sit inside and still enjoy the nice weather.  The portions were HUGE and everyone really enjoyed their food. The wait staff was marvelous, always refilling water and taking things off the table that we were done with (extra plates and silverware). Our waitress was one of a kind - left us alone until she saw one of us look up for her... then she was right at our table. Also, I loved the restored look of the restaurant; the atmosphere was great and the music was perfect. Can't wait to go back.",0.9954,0.7,0.287,0.013,0.5886054421768708
2014-07-28,5.0,SO good! Picture perfect food! OUTSTANDING SERVICE! The manager was so nice to our group. We actually were in here because we were waiting to get into hash house a go go next store and we were going to have a drink. After chatting with the bartender(who was so friendly)  we decided just to order breakfast there! GLAD WE DID! Would definately go back! Yum!,0.9744,0.727,0.273,0.0,0.5638888888888889
2014-07-27,2.0,"I don't drink here often, I mostly go here for brunch and the food is always pretty good. My boyfriend gets the breakfast sampler and if it's summer I do a grilled cheese if it's winter I get soup. My BIGGEST complaint is the below average Bloody Mary. It's just spice no flavor or anything to make it special. FYI it's a big part of brunch.",0.6166,0.74,0.158,0.102,0.5339285714285714
2014-07-15,1.0,i ordered the skirt steak ..thinking this was an all american restaurant..dried flavourless steak...$ 18 for that burnt dry carcass..my fiends who ordered the burgers were happy though..,0.5719,0.875,0.125,0.0,0.5333333333333333
2014-06-14,4.0,"If you are going to in the Rush/State Street area, this is a must bar to go to. Great spot for a beer or scotch.  Very casual and not too loud.",0.7346,0.813,0.187,0.0,0.85
2014-05-17,5.0,"Perfect ... cocktails at the bar, great crowd. Dinner downstairs surrounding by music and happenin' crowd or go upstairs for quieter more romantic setting and then back to the bar, of course",0.8955,0.729,0.271,0.0,0.55
2014-04-25,5.0,"Excellent food for a bar. And they let us sit outside with our french bulldog at the table. Salmon of the day was super tasty, so was the Reuben.",0.8225,0.774,0.226,0.0,0.4291666666666667
2014-04-05,3.0,"Honestly I really do like the food here. I could eat the chili everyday all the time, it's definitely worth a try. Its nothing super special but I do enjoy coming here to just chill out after work.",0.7774,0.64,0.272,0.088,0.4396825396825397
2014-03-12,3.0,Easy place to just grab a drink with friends or even a meal with family. The staff is courteous and they don't rush you. Can't go wrong here.,0.8969,0.65,0.35,0.0,0.9111111111111111
2014-03-09,3.0,"The first time I was here we sat at the bar and had super delightful service from the bartender/barbacks and Hoeegarden that was served in a massive freakin' bucket-glass that I needed to drink with two hands like a kid with a sippy cup. Also chowed down on a large, delectable veggie burger. Awesome. No complaints here.   I was raving about it and brought one of my gal pal's in for a late lunch. I knew we were coming right around the swing from lunch to dinner so we weren't going to stay long and planned to close out right away so our waitress could do her side work or leave.  She greeted us and was friendly. She got us our drinks and we placed our orders. Food took really long to come out. I had just ordered a salad so I wasn't planning on waiting for quite as long as it took. I didn't say anything though because, who knows, maybe something went wrong, and the salad was really yummy when I got it.  My friend wanted to place an order for some sliders and I wanted a refill but our waitress was nowhere to be found. When the busser got her for us she didn't ask how anything was, took the order, and disappeared again. Eventually after another crazy wait, she came back to ask if we were done or needed anything else. I had finished my salad at this point but we let her know that the burgers still weren't out. She was surprised by this and went to check it, but that probably could have been avoided if she wasn't missing in action during the meal. So I don't know. Maybe it was an off day. I get that being the swing is exhausting-- especially after a Sunday brunch, but still not a good experience. I'll be back, I'm sure. The food is great and the atmosphere is pretty awesome. Maybe I'll stick to sitting at the bar.",0.9768,0.825,0.123,0.052,0.5819923371647511
2014-02-11,3.0,"This is just your typical bar/restaurant, right next to all the other bars on clark and division. Was here to watch the Blackhawks in the Stanley cup finals and it sure was a great place to be. Food and drinks are your basics. If you're looking for a crowd to cheer with though, all of these places at clark and division have got you set.",0.8658,0.861,0.139,0.0,0.5082671957671957
2014-02-08,2.0,It was a normal Irish pub. The food was way too salty. I had the meatloaf which was covered in a lot of sauce. Not my style but the taste was ok.,0.4215,0.909,0.091,0.0,0.3833333333333333
2014-01-08,4.0,"Stopped in on a bar crawl and they took good care of us. Drinks were very good heavy on the booze which was okay with me. I did need to eat something and ordered the wings and they were very good. Many choices in the area but you get good service, good drinks and good food. try it.",0.9552,0.677,0.302,0.021,0.6066666666666668
2013-12-14,4.0,"I have been here quite a few times over the years. The food is always excellent for a bar. The service has been on the money every time as well. It looks a bit dated, but try going to the lodge and then complain about this place. The drinks are tasty and the pour is generous. Great place to hang out with friends.",0.9423,0.712,0.244,0.044,0.6166666666666667
2013-12-09,3.0,"I like this place.  I think the look is amazing. I really love the old feel. There are times you could look up at the bar, bartender in a white button up, and you could be in 2013 or 1950.  I can't speak about much because I've only had a light lunch and drinks there. I will say that the mac and cheese is delicious and they have quite a few beers to pick from. The service wasn't extremely on point. They were very very nice, but kind of slow and forgot our beers twice.  I'll definitely go back if I'm ever in the area, but I don't think I'll seek it out.",0.9183,0.867,0.133,0.0,0.5714285714285714
2013-11-26,2.0,"A friend of mine lives nearby and suggested we meet here for lunch. The bar area itself has an old school vibe to it that is really nice and exactly the type of bar atwhich I'd like to hang out over beers. Our server was really friendly and all the staff we encountered were nice. My friend raved about the spaghetti and had to have it again. I had the turkey burger and fries. I also ordered a Lagunitas IPA on tap, which was nice to see them carry. The food was pretty good. I'd give it about 3.5 stars overall. Where the place totally fell down for me was the cleanliness. While I was in the middle of my meal, I watched as a cockroach crawled up the back wall behind my friend's head and disappeared behind a picture frame. I didn't want to say anything since my friend recommended the place, so I kept quiet. Later, I stopped into the men's room and it smelled so horrible, it almost made me throw-up my lunch. It's one thing if you are running a dive bar, but quite another if you are serving food.",0.9028,0.854,0.112,0.035,0.5179012345679013
2013-10-23,3.0,"We were here the second day of our trip in Chicago, we were starving but weren't in the mood for pizzas or anything like it. So once again, we were lucky to actually stumble upon PJ Clarke's. We thought about sitting outside and drinking our beer before we were to order our food, but heck who were we kidding. It was Chicago and yes, it was windy. So shortly after we ordered our food we asked the waitress if we could move inside, and she moved us to a booth close to the corner of the restaurant. It seemed like a pretty popular place in my tourist eyes since the place was a bit crowded.  The food came out about twenty-thirty minutes later. I ordered clam chowder and my boyfriend a plate of chicken and mashed sweet potato. His chicken came out just as promised, with a bit of spiciness to it that matches the sweet potato perfectly. My clam chowder was creamy and delicious. It came with crackers on the side. The waitress came to check up on us once during the whole meal, which we thought was fine. The only thing though, we thought that we could use a bit more lighting. Now I'm not sure if it was the kind of atmosphere they were striving for, but I would like to see my food more than I did. I also thought that the booth and everything looked a bit old, but maybe it's because it's an old bar. (I actually got no clue, tourist, you know..) For just that visit alone, I would say that it was worth the money.",0.993,0.794,0.175,0.032,0.5468888888888889
2013-10-18,1.0,"With all the options in the area, don't waste your time or money. The food was subpar. My smoked turkey club had a nasty American cheese on it that was slimy. Paid $13 for 10 rings of fried calamari. Others' blue cheese smothered steaks were so rich they were practically inedible. Service was also subpar. There was a serious communication barrier. Had my silverware, glass, and plates taken from me in middle of my meal TWICE despite my attempts to explain we were sharing. Weird.",0.4114,0.792,0.103,0.106,0.4395833333333333
2013-09-01,4.0,I sat at the bar and service was very slow even though there were only about 6 people total while I was there. Fortunately the food made up for it. I got the Mile High BBQ Meatloaf and it was more than satisfying. Give it a try if you're looking for a chill place to eat.,0.507,0.937,0.063,0.0,0.7157142857142856
2013-07-02,2.0,"I really wanted to like you PJ Clark's. I tried...even when my chili was served with burnt bits of char, likely scraped up from the bottom of the pan. When I politely complained,  you bitterly took the chili back and asked me if I wanted something else. I requested the soup and you delivered it...in a gruff manner. I should not have been surprised when we got the bill and we found that we were charged for the chili that I returned. There was no apology...No customer service...I won't return.",-0.7651,0.843,0.031,0.126,0.4666666666666666
2013-06-09,2.0,"Went there for breakfast.  My husband got a combo with pancakes, eggs, bacon, sausage and potatoes.  He had to ask for the potatoes on a separate plate because once before they were extremely greasy.  The waiter had trouble understanding what he meant.   I got a house favorite scramble.  The waiter didn't ask me how I wanted my eggs.  Yeah, they're scrambled, but I had to tell him I wanted them creamy.  When they brought our meals, my husband's was just OK.  Mine was also just OK.  It really wasn't too bad of a meal, but the potatoes were...meh.  They take a whole potato and slice it and fry it up.  Some of it.  I think the potato is previously baked.  The slices that were fried crisp were good, but some were just limp and greasy.  Did not make the meal appetizing.  We might give this place three strikes before the out, but right now it's not looking too good........",0.9362,0.852,0.117,0.031,0.5257142857142859
2013-05-20,5.0,Service is great.  The chili is second-to-none; arguably the best chili I have had in Chicago.  I have nothing bad to say about this place.,0.8793,0.591,0.347,0.062,0.5722222222222223
2013-04-07,1.0,"Found a hair on my food, when I let them know they just brought me a new one, nothing was comped and no apology from the manager. Simple customer service is all I ask for.",-0.25,0.895,0.037,0.068,0.40584415584415584
2013-04-04,5.0,"When I need a mellow bar I come here.Chill ambience,great staff and even better music.The food is some of the best for a bar and grill.The bartenders are quite knowledgeable as well.No fights,no puking.Just people having a good time over a glass or two.",0.875,0.778,0.222,0.0,0.46666666666666673
