date,star,text,compound,neutral,positive,negative,subjectivity
2008-05-31,5.0,"How sad I was to discover that my favorite Mexican restaurant had closed.  I moved to DC in August 2006 and from reading the reviews on Yelp I see that is when Platiyo took a turn for the worst. Like another reviewer, we always received such wonderful, personal service from the waiter/host with the thick black glasses.  The food was always great...especially the daily specials (mole) and brunch. I was always surprised how many people eat at El Jardin down the street (such bland, second-rate food).  I find Caesar's (at Belmont) food to be quite boring as well, but I understand the allure because of the monstrous margaritas. I will always remember Platiyo in their heyday -- around 2005!!",0.3441,0.864,0.082,0.054,0.5782679738562092
2008-02-07,2.0,"Platiyo, I'm glad theyre closed: I was reading the other reviews and thought perhaps that I had the wrong place. I did not find the service great. They were very slow and forgetful. The pop had a funny taste and the food was bland. I will give them credit for having different Mexican fare on the menu as opposed to the usual tacos and enchiladas that every other one of the hundreds of Mexican restaurants in the Chicago area has. I enjoyed seeing different items with interesting ingredients. The ambiance and decor was wonderful - artsy and more upscale than the typical decor in the other Mexican eateries.",0.9504,0.768,0.186,0.046,0.5126515151515151
2007-09-23,1.0,"It should disappoint no one who has written recent reviews of Platiyo that the restaurant appears to be closed. I passed by there today and the windows were all papered over. The website is down and the phone number is ""temporarily"" disconnected. I don't know if that means it will be back in a new incarnation or what. But for now, Platiyo is no mas.",-0.7003,0.873,0.02,0.107,0.21868686868686868
2007-08-27,1.0,"I thought the waitstaff here was just odd.  They paid way more attention to the tables full of girls - sitting down with them, taking shots with them, rather than paying attention to their other tables.  That's just unprofessional.",-0.6808,0.862,0.0,0.138,0.3927777777777778
2007-08-22,1.0,"This place tanked so bad in the past year!  I used to love the margaritas and the guac was to die for.  Now, the margaritas are 1/2 water, made with cheap tequila and served about 20 minutes after ordering!  Food sucks, service is worse...everything about this place has seriously gone down hill...i'lll be very surprised if it's around much longer.",-0.7771,0.73,0.088,0.182,0.5191358024691357
2007-07-28,3.0,"Nice patio.  Great guac.  Weak margaritas with cheap tequila.  Not so good fajitas (chicken dry and steak drippy).  Even though I live around the corner, I will not be going back any time soon.",0.829,0.674,0.256,0.07,0.6361111111111111
2007-06-25,1.0,"Well I am tempted to give this establishment more stars because (a) I was DRUNK off mucho tequila, (b) my party of 8 didn't pay for anything and (c) it was actually damn amusing.  Well I made the reservation for 8 the week before for 9PM; we waited 45 minutes to be seated yet had margaritas in the process so it wasn't that bad. I have had 5 birthdays here collectively between my sister, myself (2 birthdays) and a friend and the experience was never this BAD. Hugo, the Manager did present 2 bottles of tequila as he always does. But looking around I am noticing more tables w/ bottles of tequila decorating their dinner-less tables; that's their trick. Not that I am complaining -- doing rounds of tequila shots helps get your mind off things but waiting 45 minutes for  a glass of wine then the waitress forgot to put our order in so they kept giving us things we didn't ordered but said to take them anyways since the table they were intended for had walked out due to the LONG WAIT.   We waited over two hours for appetizers which were awful and not done well but they did comp the entire bill and got me drunk on my birthday -- and isn't that the point of birthdays though.  As for a restaurant it's awful, for a bar -- not bad.. I think I have celebrated my last birthday here and I would recommend having no prior engagements if you choose to frequent Platiyos and planning on cabbing it or having a designated driver isn't a bad idea either.",0.3869,0.799,0.109,0.093,0.5641666666666667
2007-05-15,2.0,"I used to love this place.  When it first opened, we were so excited to go here and did so pretty regularly.  The food was always awesome with service to match, but in the last year it has just started to suck.   My last two experiences were unbearably miserable.  And that's coming from a overly-patient former server type.  The food and drink were fine, when we could get it.  The service however was some of the worst I've ever witnessed.  Likely won't be back.",-0.7035,0.742,0.12,0.138,0.5281135531135532
2007-05-15,2.0,"The 2nd star is because after the ridiculously long wait, the manager gave my friend and I each a $25 gift card.  But sadly, I really wasn't that excited to go back for my free dinner--and I'm ALWAYS excited for a free dinner!!!",0.6981,0.57,0.25,0.18,0.4625
2007-04-29,3.0,"Went here once in the summer, ate outside on the patio, food was fair, not great but not bad at all. Second time, we came during winter and they had a mariachi group playing songs for people. I felt bad for the couple behind us - because they must have played eight songs for them, and when they're playing so close, you can't even hold a conversation over them. They came and played two songs for us, and then left, fortunately. The service was fast to the point of annoyance, I would take a drink of water, put it down, and it would be refilled ten seconds later.  All in all, there are way better options for Mexican in this city.",0.9556,0.785,0.177,0.038,0.38814814814814813
2007-04-14,1.0,"waited 20 minutes even though we had a reservation. margaritas sucked.  i told the bartender my frozen margarita was bland, could he put more tequila and/or more mix in it?  He says, no joke, it's bland ""because it's frozen.""  HOLY HELL what a load of crap.  he gave me a regular one, which was better but not good at all. food was marginal.  a step up from regular Mexican, but not many choices. The server asked if it was my birthday, since i was wearing this stupid crown thing.  we said yes.  they brought out desserts and sang ""happy birthday"" to another table while we were sitting there.  they did nothing for me.  thanks a lot, Platiyo.",-0.7983,0.753,0.092,0.154,0.53003663003663
2007-04-14,3.0,Not a bad option for upscale Mexican in the Lakeview area.,-0.5423,0.72,0.0,0.28,0.3333333333333333
2007-02-13,3.0,"I can't say that this place is horrible,but it didn't win me over either.  Just status quo.  To preface, I grew up in South Texas and as a Homesick Texan I am always looking for the best enchiladas, corn chips, salsa, and flour tortillas....not the thick rubber kind you get in the midwest! Don't get me wrong I love Chicago, but they seriously lack in good TEX MEX which is different from regular Mexican Food.  Can't explain it-it just is.   I went with one of my girlfriends to catch up on the day's Hot Gossip of the death of Anna Nicole Smith.  The margaritas were good.  The chips were a tad stale, but still went well with my rita.  The service was nice and prompt and we did not have to wait forever for our food.  I got the vegetarian tostados which were just good.  None of the food blew me out of the water, but I wouldn't shy away from going again.",0.9286,0.753,0.161,0.086,0.5628582202111613
