date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-02,1.0,"RUN AWAY from this place! The service here is dismal. I came here with a party of three. Our server ignored us, we waited at least 20 minutes before our server took our order and that was only after we flagged her down. I ordered pad see ew with beef, my friends ordered 2 soups and chicken wings. After waiting another 30 minutes their soups came out cold but the order of chicken wings and noodles didn't come out at all with no explanation. My friend sent back the cold soup to get warmed and it was never seen again. I assumed my food would be coming out soon and waited again for another 15 minutes. Then I saw the table that came at least 45 minutes after us get 3 appetizers including chicken wings that we never received. At this point, it was clear my food wasn't coming. We went to the counter and paid for our food never to return again.",0.8221,0.873,0.086,0.041,0.6656565656565657
2017-06-17,4.0,"Good food, and it was easy to order from the Yelp app... thanks!  The menu listed what I thought was a vegetable potsticker (which would have made me so happy, those are hard to find!), but they called to let me know that wasn't available, and offered to either exchange the item or remove it from the order.  Delivery was on time too, I'll definitely order from them again.",0.8923,0.813,0.171,0.016,0.5821428571428572
2017-06-16,5.0,"I ordered on Yelp24. My order was ready exactly when it was supposed to be, and the service was friendly. The food was hot, delicious, and the vegetables were obviously very fresh. Exactly what I was looking for tonight! As a bonus, everything in the to-go bag was arranged meticulously; even my spring rolls were arranged attractively in the box. Super cute!",0.978,0.661,0.339,0.0,0.6666666666666667
2017-06-15,1.0,Horrible service. I ordered online with yelp. They were 45 MINUTES late... food delivered ice cold. I called after 20 minutes being late and was told they were busy so they were running behind. You should inform your customers.... ALSO small portions for their prices. Won't be ordering from here again!,-0.5848,0.927,0.0,0.073,0.6571428571428573
2017-05-28,2.0,"Ordered from This place last night. While the food was actually quite tasty, the amount you receive is very lack luster.  Ordered the pepper steak, and just like another reviewer wrote, i was charged an extra dollar for choosing beef. This was not the lunch special btw, this was the full order. When the pepper steak came, there was about 6-7 small bite size pieces of the beef in there for $11.50. i think this was quite unreasonable. Just so you don't think it was just this one dish. My fiance and i also ordered two other dishes, the chicken curry and drunken noodle with chicken. Both once again were very flavorful and tasted wonderful. BUT, both only had about 6-7 pieces of small chicken.  So if you want a small meal that tastes great, then this place is great. If you want anything more than a small meal though, i suggest you go elsewhere.",0.9457,0.854,0.116,0.029,0.5406547619047619
2017-05-08,1.0,"Had the lunch special, Pepper Steak. When it came I literally counted 4 pieces of ""steak"". I asked the waitress about the amount of steak, but she simply smiled and said ""I don't know, that's how it comes.""  When the check comes I was charged an additional dollar for a beef add on to the ""Pepper Steak"". I again asked the waitress, and she said it's because I wanted beef. She got the menu and pointed to the part where it said chicken is free with the lunch menu, but beef is $1 more. Still confused I asked why do you call it pepper steak and not pepper chicken?  It really only comes as pepper steak. She must be confusing getting beef with a dish such as pad Thai rather than chicken, right?  Again, she smiled very nicely and said beef is extra. I just have up.  Overall, portions are small and menu confusing.",0.9214,0.815,0.123,0.062,0.5642857142857144
2017-04-29,5.0,"I'm so glad I found this hidden gem.  We had planned on getting some Vietnamese food at Hoanh Long but when we saw Bangkok Thai, we decided to try some place new.  This was a delicious surprise.  Everything we called for were delicious.  Whenever we try a new Thai restaurant, we always call for the same dishes.  Bangkok certainly didn't disappoint.  We called for the Tom Yum Soup with Shrimp, Pad See Ew, Tiger Cry (beef salad), Papaya Salad.  We asked for spicy.  The spice level was right on.  The Tom Yum soup was fragrant and flavorful.  I normally prefer the use of chinese broccoli versus american broccoli in pad see ew so I'm happy when the dish came out.  The beef salad was my absolute favorite dish of all.  It was smoky, spicy, sour, sweet, and just perfect.  The papaya salad was fresh and tasty as well.  I am looking forward to my next trip there and hopefully I have room to order dessert.",0.9929,0.733,0.246,0.021,0.5559317666460524
2017-04-17,4.0,"Super fast delivery, perfect for busy hard working parents. We ordered spring rolls, basil fried rice and pad see ewe. Everything was delicious. Spring rolls were very fresh and full of flavor. Pad see ewe hit the spot and the rice was great too. Glad to have found this place.",0.9665,0.658,0.321,0.021,0.7058333333333333
2017-04-03,4.0,The food was great. The food was so hot that when taking it out of the bag it nearly burnt my hand. That's a sign of great delivery in my opinion. I can't wait to try this place again. Jefferson Park finally has delivery of great Thai Cuisine. Hooray,0.9628,0.691,0.309,0.0,0.75
2017-01-29,3.0,"My favorite Thai dish is the panang chicken curry. I picked up this dish from Bangkok Thai Cuisine and wasn't exactly impressed. Still tasted good, but I would have like the curry to be thicker and more chicken. For those dining in, street parking seems available in the front.",0.6622,0.827,0.139,0.034,0.7714285714285716
2017-01-28,5.0,"This place has very delicious Thai food. I ordered their Tiger Cry Salad and it was absolutely phenomenal! It was heartier and flavorful than other salads. Also, the staff was super courteous. Bangkok Thai deserves all the stars.",0.855,0.693,0.241,0.065,0.7083333333333333
2017-01-15,4.0,"Looking at the pictures here, I wasn't expecting much when I ordered delivery.  However, the green curry (75% with chicken) was one of the better iterations I've had.  Good slow spice to it, good sweet flavor, and the vegetables were very nice.  Big round pieces of eggplant- mushy and full of flavor- peppers, something hard-ish and delicious, all the vegetables were very good.  Chicken seemed good quality. Thai coffee was good- even better watered down with extra milk. Bangkok spring rolls had a very good flavor-  I don't generally like tofu, but it was good in these.",0.9601,0.745,0.241,0.014,0.5629951690821254
2017-01-11,5.0,I wanted Thai for lunch and was pleased to find this place next to Hoanh Long. The restaurant is very clean and neat inside. The lunch special includes crab rangoons or a salad with an entree for 7.95. I opted for rangoons with pineapple curry. The rangoons were some of the best I have enjoyed and my pineapple curry was great as well--very flavorful with fresh vegetables. Service was prompt and friendly. I left full and happy. Thanks!,0.9881,0.634,0.366,0.0,0.5272448979591837
2017-01-09,5.0,"The area has been absent a decent Asian option since Kam Kong Cafe expired over a year ago. It was a local gem which went kaput! Some people might disagree with my estimation since there are a few decent and a couple crappy alternatives. Restaurants like; a newer Vietnamese offering (which I'm not familiar with), as well as the famed Hoanh Long, a decent Filipino restaurant, Panda Express (dare I call it Asian) and the disgusting Chinese buffet around the corner.  In the space that Bangkok resides used to be a ""homestyle"" themed diner that had existed for what seemed to be a short while. It had some popularity but didn't seem to drum up the kind of foot traffic a thriving business needs to continue operating. This area of Lincoln ave gets a ton of traffic. But giving people ample reason to stop is what's key. Many businesses cannot afford putting up a large (street-facing) sign like the Wingstop next door. That detail aside, if people were willing to take a look indoors, they'd find a new gem to fawn over. Inside you'll find a quaint interior. Adequately decorated and shielded from the noisy street outside. Their double door system at the front helps shield the indoors from the cold outside.  Helps to forget where you are and enjoy the surroundings. Find Thai inspired decor pieces on glass shelving and dark mahogany looking tables and chairs. If only the inside temperature were warmer (during the current winter season), I might have opted to dine in. I loathe being cold when eating. Maybe the heat is increased when a diner sits in, but I have yet to figure that out.  I checked them out for the first time about a week ago. Did not realize a new Thai place had opened up on Lincoln. It's a thoroughfare often used to get around this area of the city  quickly. Searching lunch specials in the area (on Yelp), a popup suggested this spot. Reviews, photos and price points met my needs so I decided to give it a go. Got the pepper steak in garlic sauce w/ jasmine rice and it can come with 2 pieces of Crab rangoon or a Thai salad. I opted for the Rangoons. I also ordered a Golden curry puff appetizer. (Based on photos and price, I thought these would be bigger. Not the case.) I requested they make my food moderately spicy and they obliged. The food was fresh, ingredients were tasty and tossed in a garlic sauce that they gave a good kick of spice too. Enough that it left constant indication of sweat beads rolling down my nose. Usually I'd try to save half the portion for a second meal but the food was so good I devoured everything. My only gripe is the amount of rice. A bigger helping would have complimented the meal but like most Thai restaurants, this is typical. In any case, food was superb. The appetizer was minuscule and hardly dented my appetite. My best description of them would be; tiny pockets of curried samosa filling. The filling is slightly sweetened and served with a very light, sweet based dip. Top them in sriracha for a tasty kick. If sharing this appetizer, two would be necessary though hardly cost effective, as there are tastier ways to spend $13 dollars. Some days later.. I was jones'ing for another tasty lunch special. This time I went with the Ginger chicken in ginger sauce with a Thai salad on the side. Requested it light spicy and also got an order of the Bangkok Wings as an appetizer. Looking over their website a photo of the wings was displayed and looking mighty appealing. This instigated an immediate reaction of a purchase.  Thoughts? The wings were merely alright. Fried from frozen and well done. Meat stuck to the bone. Maybe the chicken was a witch and to dispel its evils it had to be burned to death. It was covered in Thai herbs which could be seen on each piece and served with a side dipping sauce. The winner was the ginger chicken special. Same great flavors from before, fresh ingredients and a decent kick to keep me enthusiastic about my meal till the last piece of rice was spooned into my mouth. The Thai salad is a tiny portion of light mixed greens with a sweet sorta vinaigrette. So far, so very good. Looking forward to the next time.",0.9983,0.808,0.151,0.041,0.5082458839687758
2016-12-30,2.0,"We ordered from from Eat24. Immediately, we received notice that the restaurant was busy and that they needed more time. Fine, we get that. As background, we live maybe 5-10 min from the restaurant and there was no weather to contend with. The proscribed time came and went with no food. They showed up 15 min after they said with cold food and an incomplete order. We were very disappointed. If we got the food hot (or even warm), we could see how it would be good. Instead, we're left eating cold Thai food. If I had know that they were flying the food in from Bangkok, I would have ordered from some place else.",-0.3848,0.885,0.051,0.064,0.6204545454545454
2016-12-02,5.0,"Fantastic ! Superb food & service, reasonable prices. Love it, I've come back here numerous times, without disappointment.",0.9422,0.446,0.554,0.0,0.5714285714285714
2016-12-02,4.0,"The place is nice and clean. Well arranged and well reflective of country Thailand. Smells like rice when you come in, always love the smell of kitchen.  Lunch special is good....",0.9524,0.557,0.443,0.0,0.6942857142857144
2016-11-22,4.0,"For the most part, their food is good. I just didn't like the mixed vegetable pad being over salted.....but for delivery it's decent and I just need to modify some things when I order from them.  I have ordered from here twice....I probably will again. The pineapple fried rice is one of my favorites.",0.5559,0.858,0.104,0.038,0.5041666666666667
2016-11-18,5.0,"Excellent dinner once again at Bangkok Thai.  We had the Bangkok noodles that were exceptional, along with the cashew chicken, Panang Curry and another yellow curry.  My kids (11 and 12) woke up this morning asking to go back again tonight....after ordering second full dinners.  Yes, growing boys.  The service was attentive but respectful of our privacy and conversation.  Very great value, too.  We will definitley be back....again!",0.9609,0.761,0.239,0.0,0.6075000000000002
2016-10-31,4.0,"I ordered delivery.  They were great.  Why were they great? 1. Accurate estimated delivery time 2. Food still arrived hot and as fresh as can be for delivery 3. I got the pad thai and it was still deliciously warm, well sauced, balanced and not mushy or like it had been traveling in the back of a car.  The peanuts tasted freshly crushed and were still crunchy!",0.915,0.712,0.225,0.062,0.5229166666666666
2016-10-28,2.0,"Having had Thai from several places in Chicago (Thai Pastry, Sushi Thai III, Pride, Indie, Joy Yee's, etc.) I figured I'd try something new. Unfortunately, this place had the strangest tasting Pad See Ewe I have ever had. It was somehow too salty and too sweet at the same time. Very odd taste. The prices were a bit more than other places, but you definitely got less than you would at Pride or other Thai restaurants. The only dish I did like from them was the pineapple fried rice. But even that was overpriced for how much you got. A decent option for Thai (avoid the Pad See Ewe), but not the best choice and there are much better choices for even cheaper. Right now my favorites are Pride but if Polygon would deliver to me, I'd order Polygon. Bangkok Thai Cuisine just didn't deliver: more expensive and not as good as many other places available.",0.92,0.791,0.145,0.064,0.4339437229437229
