date,star,text,compound,neutral,positive,negative,subjectivity
2016-07-15,5.0,"This is my go-to Sunday lunch spot, it's the best BBQ deal in town. $9 for a pulled pork sandwich, fries, and chili, where else can you get that amount of (quality) food for that price? I've been here about 25 times and each time it's been delicious, and more than enough food for one meal. Additionally, the staff rules, they're always nice and helpful. Quite possibly my favorite restaurant in town. EDIT: I went to this place the day I wrote this Yelp review and noticed it was closed and now I am still crying",0.9282,0.812,0.158,0.029,0.6249999999999999
2016-07-14,4.0,"Love the food.  Walked over there today, and this location is now permanently closed.  So disappointing for the neighborhood.  Imagine my surprise when I then walked over to L'Patron on Diversey and that location is now permanently closed as well.  Sad day for the neighborhood!",0.273,0.718,0.16,0.121,0.5
2016-07-08,5.0,Doesn't get much better than this!  Go for the pork belly pastrami with a side of coleslaw.   Heaven.,0.2928,0.714,0.171,0.115,0.5
2016-07-03,5.0,"Pork Shoppe knows what's up. The pulled chicken Sammy is amazing & tastes as good as pulled pork but it's healthier. The Mac n cheese is delicious. The jalapeño cornbread is inspiring, might try to make that one day. The fries are crunchy perfection. The lunch specials saved me money. The staff is welcoming. The service is fast & efficient. The ambiance is chill. The roadhouse chili is spicy & good. Every time I get the chance to go, I always recognize how much better they are then other BBQ restaurants. Good job pork Shoppe!!!",0.9929,0.635,0.365,0.0,0.7125
2016-06-22,2.0,"I reviewed Pork Shoppe before and am revisiting after another meal there.   The brisket and beans were really very good. The brisket is flavorful, well seasoned, and tender.  The beans were tangy, savoury, and all around a win. Their cole slaw is still strange, but tastes good. It definitely has raisins in it and I think pineapple also, but the color isn't right.  Whatever it is is pinky-orange.  I think I'd actually really enjoy the cole slaw if a) I knew WTF the mystery fruit was and b) the cabbage wasn't cut so terribly.  The pieces aren't large enough to be easily stabbed with a fork, aren't small enough that a bunch can fit between between fork tines, and are large enough that they don't easily stay on the fork en route to your mouth.  Basically it's really awkward to eat.   .lww The potato salad actually tastes good, but the potatoes were underdone.  Not quite raw, but DEFINITELY more al dente than most would be used to in potato salad  We got two sections of ribs in our order.  One was delicious, the other was burned (and I enjoy char, so I don't knowsay things are burned lightly) and extremely dry. I think that this place suffers from a lack of consistency maybe?  If the owners want to reach out, I'm more than happy to provide more feedback and would be happy to revisit if they revise anything.",0.9908,0.675,0.232,0.093,0.5878874934589221
2016-06-07,4.0,"Hachi Machi Bang-Bang! This place is one of the few I've found on the north side that has actual BBQ instead of liquid-smoke drenched slabs of cardboard found at other ""Bar-B-Que"" establishments in the area. It's cheaper than a extra large value meal at Wendy's and they've got cheap cans of AMERICAN beer for sale. Doesn't get any better. Would have given 5/5 stars but they wouldn't put on the Nascar game last time I was there.",-0.0759,0.952,0.022,0.026,0.2770238095238095
2016-05-24,3.0,"BBQ was good, but make sure to load up on the sauces for some serious flavor customization.  Was not impressed with the fries or Mac n cheese but the jalapeño cornbread, YES!  I could not stop eating it with the tangy honey butter it came with.  So addicted that it was almost embarrassing.",0.6632,0.688,0.19,0.121,0.7511111111111111
2016-05-17,4.0,"So funny that while Chicago was the meat source for so many of the more popular BBQ states it just really hast gotten a foothold here.  Sure there are places like Fat Willy's, Smoque and Honky Tonk but Chicago has just never been the BBQ mecca one may have expected.  I mean with all the meat and all.  But anyway, Pork Shoppe is a pretty good place.  The place is down right simple clean and unimposing.  The service is attentive and the menu is simple and straight to the point.  The pork belly pastrami sounded great and really was great bacon..  Not quite pastrami but still a really nice sandwich nonetheless.  Nice, but small beer selection and really reasonable pricing makes this a damn good place.  Definitely worth dropping in for lunch!",0.993,0.669,0.306,0.025,0.6005876068376068
2016-05-15,5.0,Seriously grand BBQ on the north side.  Grub hub it if you want delivery.  The Mac and cheese and potatoes salad are great sides.  You get two sides with a meal!!  The chicken and pork are excellent!  Sweet and tangy for me! Highly recommended!,0.949,0.642,0.328,0.03,0.8150000000000001
2016-05-06,5.0,Great food. Great crew. Best fries in Chicago.  Just wish they made their own sweet tea!,0.9606,0.374,0.626,0.0,0.69
2016-05-01,5.0,Hands down the best bbq in town. Their spicy sauce is amazing! If they sold it in two liters I would drink it straight from the bottle.,0.8805,0.693,0.307,0.0,0.4722222222222222
2016-04-18,4.0,"This review is 3.5 stars, rounded up.  Pork Shoppe makes some good BBQ, but also has had a few misfires. The best is the pulled pork, pork belly pastrami, and brisket taco. The smoked chicken has been inedible twice. Ribs were burnt once, but good another time. Not a big fan of the chili powder heavy BBQ sauce, or the sweet version.  Service has always been excellent. It makes a nice 1-2 option with Beer Temple next door.   Overall they have a 75% success rate, so i'll keep going back.",0.9876,0.707,0.293,0.0,0.41428571428571426
2016-04-14,4.0,"had one of their lunch specials Ribs, Mac and Cheese can of soda (THEY DO SELL BEER, BUT IT WAS JUST LUNCH ON A TUESDAY! I'm not judging, but it was Tuesday just lunch, so no alcohol. Lunch special for my selection was just $11.00 PRICE WAS FAIR, FOOD WAS GOOD, must admit I expected more, NOT for the 11 bucks, price was fair, but expected more taste wise, was hoping to be more like ""DAMN!"" It was more like ""OK!""  But it was good. I would go again. And maybe even have a beer next time, as long as its not on a Tuesday during lunch.",0.9885,0.685,0.287,0.029,0.5447619047619049
2016-04-05,4.0,"This restaurant is good stuff, not the best I've tried but very decent for the price make sure to get the fries and the mac and cheese with the chopped brisket I definitely give it four stars and definitely will go there again.",0.8694,0.723,0.234,0.043,0.6092592592592593
2016-03-31,5.0,If I could eat here everyday I would.  The steak sandwich is heaven and then some.  Prefer this location over Andersonville.,0.5106,0.845,0.155,0.0,0.6
2016-03-26,5.0,"Fantastic smoked meats! I've gotten their brisket, pulled pork, pork belly pastrami, and ribs. The st.louis ribs are King. The Mac and cheese is pretty fire too. Pleasant group of guys running the place. Keep the best sports games and underground hip hop music on. Plus their whiskey selection, although cozy, has all of my favorites - Buffalo Trace, Bulleit, templeton rye. Love this place!",0.9661,0.701,0.269,0.03,0.7527777777777778
2016-03-25,4.0,Mmmm.  Juices flowing. As you walk in you are punched in the nose by the scent of tender pork slow roasting.  The sauces are great.  The fries were nice and crispy.  You can get a meal for a reasonable price and the setting is welcoming. Service was a 7/10 but that would be the only thing I feel the place could improve upon....from what I saw. The coleslaw was fresh and light.  NICE.,0.9517,0.775,0.225,0.0,0.74375
2016-03-20,4.0,"Last night the hubby and I wanted to order in from some place new. We found Pork Shoppe, which I have passed almost everyday on my way to work. We called and they said the wait was 1 hour and 20 minutes. Sucks that ei would be that long but hoped it was a good sign and it was! The food came in just over an hour. We ordered Texas brisket tacos with tangy sauce and I really liked them. I would like to try the other sauces at some point as well. We also order a side of mac n cheese, it was perfectly creamy and tasty, my only complaint would be that it was loaded with breadcrumbs. Just too many. We also got the brisket sandwich which was also really good (the bread got a little soggy in travel), so we can officially confirm that they make darn good brisket.  On the side we got baked beans and creamy cole slaw. The baked beans were sweet and delicious. The creamy cole slaw was super bland though and I won't be ordering that again.  I was really pleased with everything but the cole slaw so I would definitely order again or stop by. I want to try the pulled pork next!",0.9966,0.704,0.267,0.029,0.57482782369146
2016-03-01,5.0,"Great food, great atmosphere, and good prices. What more can I say? As big fans of barbecue, we seek out smoked meat high and low, near and far. The Pork Shoppe did not disappoint, with it fantastically rich baby back ribs, smoked brisket, and pulled pork. The sides of mac and cheese and greens perfectly complemented the meats, and we were in bbq heaven, sitting in a booth in the window, watching the world go by as we wolfed down our smokey tender meats. Totally worth checking out.",0.9765,0.728,0.252,0.02,0.5056349206349205
2016-02-26,5.0,We order take out here every couple weeks. Always consistent. The meats are great and the sides are tasty.,0.6249,0.814,0.186,0.0,0.5
2016-02-25,2.0,"I tried both the spare ribs and the baby back ribs. They were dry, tough, and lacked flavor. Not worth it. Recommendations for ribs in Chicago: Chicago Q for higher end BBQ or Q BBQ for a cheaper, but still great experience.",0.7814,0.807,0.164,0.029,0.46388888888888885
2016-02-19,2.0,"Baby back ribs looked very promising. The rub on it was burnt as hell. But I was really disappointed in how dry it was, in no way tender like how the guy at the counter describe it to be. The sauce almost non-existent in flavour. And why was there soooooo little meat on the bones. The mac not chess was alright. $13 for a very disappointing BBQ experience.",-0.873,0.738,0.069,0.193,0.5683333333333334
2016-02-12,5.0,"Delicious, went on Superbowl night with my family and had a great dinner.  Stuffed my face with a brisket sandwich while hubby had the pulled pork.  My 7 year old loved the mac n cheese and the brisket sandwich.  The staff is super friendly and it was a short wait time.  Food was excellent and highly recommend it.",0.9783,0.645,0.355,0.0,0.6396296296296297
2016-02-09,5.0,Really enjoyed our lunch here. Nice smokey flavor in the pulled pork and great value at $7.95 with fries and drink. Also like that fact that they have cheap beer - $3 Shiner bocks remind me of bbq joints back on Texas.  Would love to get back for dinner and have a couple of those with some ribs!,0.9632,0.715,0.285,0.0,0.5357142857142858
2016-02-05,5.0,"Everything is great here! The food, the staff, the location, the space. Everything. The pulled pork sandwich with a side of fries and a side of coleslaw are my go-to now. I like the sweet sauce.   This food does not disappoint!",0.9089,0.732,0.268,0.0,0.7
2016-02-04,5.0,Five stars all the way!!! Love coming her and getting carry out. Both are always perfect!!,0.877,0.607,0.393,0.0,0.8
2016-01-24,1.0,"Friday, 2:15PM. Quickie: - Food quality + Hygiene - Customer service - Turnaround + Variety of sides And then...? We want to give Pork Shoppe's menu another shot.  ********** Stuffed my face in: 1. Pulled pork BBQ sandwich      - The sauce prevented the moisture problem but it overwhelmed the entire dish.  2. Mac n' cheese      - Mundane, missing character.  3. Elotes      - Sparse cheese rub.  Constructive comments: *Do you compost? *Source ingredients",-0.5439,0.874,0.052,0.074,0.28055555555555556
2016-01-22,5.0,"Fabulous!   Haven't been here in years but was in the area and grabbed some lunch.  A rarity to find creamed corn, and it was excellent!!",0.8452,0.73,0.27,0.0,1.0
2016-01-10,5.0,Had the brisket  taco  it was awesome . I know i will be back. Hopefully there won't  be so many hipsters  this time.,0.7783,0.726,0.274,0.0,0.5
2016-01-01,5.0,Beef brisket tacos will change your life. One of the best BBQ places in chicago. Highly recommended for good BBQ for a good price.,0.9122,0.601,0.399,0.0,0.51
2015-12-30,4.0,"I came here with a group of friends originally going to Kuma's Korner, but since it was packed, we stumbled upon this place while looking for an alternative.  I was initially skeptical because after living in Austin TX for a few months and still visiting often, I am curious to see how Chicago does BBQ.  I ordered the pork belly sandwich, which was sadly just bacon, but I cannot deny that a bacon sandwich was really good at an incredible price.  I liked how they had the different types of BBQ sauces to choose from, so you can season your meat as you like it.  One of my friends ordered the chili as a side, and even though I am not a chili person, they had some damn good chili (and eating it with the cornbread was even better!).  I am glad to have stumbled upon this place as an alternative to fill out meat-craving evening.  The place is mostly self-serve (you get your own napkins, utensils, etc.) but the staff was very friendly and gave us recommendations on what to order.  I hope to return soon, and try some of the other meats!",0.9887,0.75,0.203,0.046,0.6796875
2015-12-29,2.0,Ribs were super dry..are these reheated?! Cole slaw was soggy and brown...how old is this?! Sauces have no flavor...Totally not palatable!! If you come for the pork belly pastrami then you're ok. Other than that skip out on this Barbecue joint.,0.8097,0.704,0.21,0.086,0.4354166666666667
2015-12-25,1.0,I had a bad experience the first time i had so some months later i gave them a second try. Absolutely terrible. BBQ sauces tasted like ketchup with crushed pepper in it. Meat was tough. I gave them another try based on all of these good reviews.  I'm from K.C. originally so maybe my expectations are too high. But c'mon this BBQ is really bad. If you think this is good i feel bad you haven't had real BBQ,-0.8718,0.704,0.093,0.203,0.5040476190476191
2015-12-23,5.0,"Ten stars This place is frickin awesome! Great BBQ at such an affordable price! Came here on a Tuesday for lunch. The guys working were really friendly and down to earth. Got a pulled pork sandwich with 2 sides for less than $10! All of your silverware, water cups and most importantly sauces are self served in the back. There's a big pig meat map on one wall and a bunch of mirrors on another. It just ""feels"" like a BBQ place.  Food came out quickly. The sandwich looked great. Good size, nice toasted bun, soft well cooked pork with great natural taste. The cornbread was huge and almost like a casserole while the Mac was delicious and nice and crispy on top. Everything was so damn good!! I can't wait to come back again and again! Such good food for an incredible price. You rock, Pork Shoppe",0.9943,0.669,0.312,0.019,0.5576131687242798
2015-12-10,4.0,Great BBQ place with gluten free options. Our favorites were the corn tacos on special and the pulled pork. We weren't fans of the steak or the sauce selection but everything else was great. The place is small and cozy with a neighborhood feel. The staff were very nice and helpful when making recommendations. There are 3 selections for sauces but each one was mediocre at best. An upgrade to the sauce selection would make this place fantastic.,0.9873,0.67,0.33,0.0,0.7221428571428572
2015-12-10,5.0,amazing! I love the Brisket - beats moms everytime and that is saying something,0.8516,0.547,0.453,0.0,0.75
2015-11-13,5.0,"Stopped by after a BBQ craving and was so happy we went! I got the baby back ribs and they were everything I wanted - especially with the zesty BBQ sauce on them. The half rack was plenty of meat, because we got alot of sides, too. The mac-n-cheese was creamy, the fries were seasoned perfectly, and I couldn't get enough of the sweet & spicy cornbread!! The coleslaw was a little untraditional - with raisins and pears in it- Unusual but good. The pickle was a must! I will be back to this gem again!",0.9009,0.853,0.132,0.015,0.5555555555555555
2015-11-01,4.0,Great place for BBQ without a wait..pork belly sandwich is awesome when available. ..,0.8481,0.573,0.427,0.0,0.7166666666666667
2015-10-16,5.0,The brisket tacos are delicious and a fantastic price! The lunch specials are also very reasonably priced. I've tried all the sides and sandwiches. The fries are sooo good! So are the beans and the mac n cheese. My favorite is potato salad. The brisket sandwich is absolutely great and the tangy sauce is perfect. Everyone that works there is really personable and nice and the service is fast and efficient.,0.9813,0.687,0.313,0.0,0.7829999999999999
2015-10-12,5.0,"Ribs were delicious, Baby Back or St Louis.  Brisket and pulled chicken were so moist!  Sweet and spicy cornbread was fantastic and the mac and cheese could not have been more flavorful and cheesy!  And don't let me forget to mention the Texas brisket taco - amazing. Place your order, grab some water and utensils and come hungry.  The 1/4lb a la carte options are awesome and more it was meat than I anticipated. YUM!",0.9683,0.758,0.242,0.0,0.74
2015-10-03,4.0,"Great BBQ, nice casual atmosphere. Definitely try the pork belly pastrami!   Ribs could have used a little more flavor - more on the heavily smoked/charred side - but still good, fall off the bone tender meat. Small bu nice selection of craft beer and burbon.",0.9266,0.698,0.302,0.0,0.646969696969697
