date,star,text,compound,neutral,positive,negative,subjectivity
2012-09-05,3.0,"Came here for Restaurant Week and found the lunch to be good. I was happy that most of the menu/dishes were featured and you really could select among many dishes. The lamb was tasty but not memorable. However, for a business lunch, this is a good choice. * From my visit on 2/23/11",0.7992,0.849,0.151,0.0,0.6285714285714287
2012-07-20,4.0,"Great ravioli!! great atmosphere as well even though youre nestled in the heart of the south loop.  Really enjoyed my meal! The service was great too. I wouldnt say this place is trendy by all means, but its definitely classic if youre in the area and want a nice fancy place to go for dinner.",0.9588,0.681,0.319,0.0,0.7166666666666667
2012-06-28,3.0,"I met two people for a business lunch here and found it to be just OK. I liked the fact that it wasn't noisy and could hear the conversation. But the food was ""meh."" I had grilled salmon with some beans and a smidgen of green sauce. I don't know but I was expecting more. The restaurant needs to put in new chairs. I sat down and sank way into the chair (note: I am not obese.) The webbing of the chair had given out and I could feel the wood frame of the chair. I had a post-lunch latte, which was in a tall cylindrical glass mug, about 1.5 inches across. Every time I took a sip I got foam on my nose. I would have appreciated a regular cup. The service was perfect. Lunch for 3 was $110 without alcohol or dessert.",0.9277,0.891,0.109,0.0,0.4467063800397134
2012-06-27,5.0,"It has a beautiful garden and the food is wonderful.  The server allowed us to sample the wine before serving it to us.  Lovely.  I had the filet mignon which was served on a potato puff and steamed spinach.  My husband had chicken under a brick which he loved.  The appetizer of fried shrimp, calamari, and squash was light and tasty. We ate every bite. Everything was cooked perfectly.  Great martinis, too.  It is pricey, but worth every penny.",0.9343,0.799,0.201,0.0,0.75625
2012-04-01,4.0,"Came here with a larger group before the symphony. We had a good three hours of time before needing to be in our seats and we took full advantage of it.  The food was not the most amazing I've had in similar caliber restaurants, but it was still delicious. The standouts in appetizers were the spinach gnocchi and truffle fries. I got the skatefish (partly for the name) which was well prepared and melted in the mouth (always a good sign). The other entrees that I tasted were equally delightful. No items were overseasoned, as is apparently occasionally the case according to other reviews. Service was excellent, both before the symphony and after when we returned for dessert and digestifs. While my dessert (marscapone) was scrumptious, I regretted not getting something a little more chocolaty, especially after seeing my companions chocolate items. Lesson learned. I don't live in the income bracket that allows for meals here for which I pay, however I would be more than happy to come back in similar circumstances. Especially with the same group of people. Nothing beats good company, after all.",0.9874,0.759,0.194,0.047,0.5854166666666667
2012-03-11,3.0,"I ordered the veal meatball rigatoni. It was fairly delicious, but unfortunately I was still full from my two Hot Doug's dogs.",-0.1901,0.768,0.1,0.132,0.85
2012-02-25,4.0,"This review is for my experience at the wine bar. I'm yet to experience any of their culinary offerings. I'd never heard of this place prior to stopping by about an hour before a CSO concert featuring renowned guest conductor Alain Altinoglu. There's actually a door in this joint that's adjacent to a hallway which leads directly to the CSO. ""A neat discovery"" I thought to myself."" The ambiance is warm and a tad homely, what with the well laid out furniture and minimalist interior decor. I was a little taken aback to discover that the clientele is skewed towards an older demographic. As a matter of fact, with the exception of another couple, I got the impression that i was the only soul under 55 years of age in the joint, which was fine by me because I was in my pre-symphony mode if you know what I mean, and hence the last thing I needed was a rowdy gathering of rambunctious, hormone-ladden youngsters killing my buzz.    Anyways, I made a bee line for the bar, plonked my merry ass into a comfortable stool, and with much gusto, and against my better judgement -- I was initially inclined towards pinot -- I proceeded to order my first drink of the evening, a properly shaken vodka martini. The bartender had the good sense to ask me whether I would like any particular brand of vodka with that, and whether I'd like olives with that, to which i nodded in the affirmative. Suffice it to say that this guy actually did a good job of lacing my vodka with the perfect proportion of vermouth, and garnished the said drink with 2 spherically impeccable, and quite palatable olives. I took one sip of this exquisite delight, and I was ready for Bizet's Symphony in C. The drink was so good that I didn't bat an eyelash when my tab arrived, and I had to fork out a double digit pay for the experience.  The wine list was extensive and well-priced.  Now if you are wondering why I have dwelt so emphatically on the quality of this singular drink, I will say that while such drinks as the martini are rather common and easy to make, I have been disappointed by many mixologists in some of Chicago's upscale establishments. cheers!",0.9884,0.825,0.137,0.038,0.46825980392156863
2012-02-24,4.0,"So I never even heard of this place before and it took Restaurant Week to get me here. Daddy liked. We came here for a group celebration and it was great. I wasn't really fired up to eat here until i tried the first course, the Pork Testa. It was freaking serious. The pork  was cooked to perfection and the sauce and green leaves and stuff on top were the perfect extras.  2nd course: Balsamic Glazed Short Rib Panini. If you've never had it....get it. The peppers and sweet onions were perfect with the tender short ribs. I mean it was slamming. I would say it was the best thing on the menu, but a couple people got the Amber fish (not sure that's what it was actually called) said it was insanely good.  3rd course (Dessert): Tartufo (I think it's German). It was a chocolate cake (without flour apparently, but who cares) with cherries on top and the smallest sorbet ever. I love sweets and I was still blown away by how good this was. Overall, this is a great place and I would definitely recommend it for an upscale lunch/dinner. BOOOOM Rhapsody!",0.9943,0.735,0.251,0.014,0.4694958847736625
2012-02-23,3.0,"Went here for lunch during Restaurant Week. The food was decent, although I snuck a peek at the regular menu and was sort of sticker shocked. My flat iron steak would be $18 a la carte. It was not worth $18. My two shrimp appetizer was $12. $6 a shrimp? Really?  I'm glad it was all part of the $22 prix fixe menu. I'm not sure what my tartufo dessert would've been but clearly I was already ahead. The ambience is nice but the service, despite our showing up at 11:30, was painfully slow. If I want to pay $25 for lunch in the loop for equally slow service, I'd much rather go to Mercat. Their food is heads and tails above Rhapsody's!",0.3981,0.829,0.088,0.083,0.4723701512163051
2012-02-21,2.0,"The good: The braised rabbit first course was fantastic. Service was courteous, attentive and reasonably knowledgeable. The mediocre: both our entrees were ok. I had stuffed capon, which goes against my usual don't order chicken at a restaurant rule. The polenta was nice, but the chicken itself was a little dry and the mushrooms stuffed inside were sparse. She had the pork chop and it was ok, but excessively fatty. Where there was meat, it was tough. Tasted ok, but nothing special. The bad: We went to Rhapsody for restaurant week, and given the vast amount of choices for restaurant week, I really wish we had gone elsewhere. You see, Rhapsody chooses to do the $44 option for the 3-course prix fixe. This was included in restaurant week last year in order to attract more higher-end restaurants. However, in almost every case, it is break-even or cheaper to order the exact same dishes off the regular menu. As an example, lets say you got the roasted beets, the pork chop and a dessert. On the menu, that's $10, $24 and $8, bringing us in at $42. If you had ordered that via the special Restaurant Week prix fixe, you'd pay an extra $2. In fact, assuming you don't want a 10 oz. sirloin ($34 on the menu), you'd be hard-pressed to come up with a $44 order, and it would be easy to save yourself at least 10 bucks ordering off the regular menu. Very disappointing. I mentioned this to the server at the end of the night, and she hadn't realized it, though did promise to take it up with the manager. I haven't seen any amendments to their menu, though. All in all, the food was good, but not great. Definitely not worth blowing a restaurant week visit, considering the price issues. Had they participated in the normal restaurant week $33 price point, it'd be worth it. At $44, I couldn't help but feel they got me in the door with the intention of taking advantage of me.",0.9225,0.808,0.114,0.078,0.5490799113167535
2012-02-19,3.0,"I made a dinner reservation here on short notice while trying to plan a night with friends. Rhapsody had an opening around 8:00, which is what I was looking for...so I booked it.  Sadly, my friends were not fans, but I enjoyed my meal. We started with a Blange wine recommended by the server, who was very helpful and knew the wine list very well.  This was a perfect fit for us.  My friends ordered the gnocchi (spinach and cheese I believe).  I hate gnocchi, but they said it was some of the worst they have had and was undercooked and raw.  Our server was great. He noticed one of the girls was not eating it at all and offered to take it back.  VERY attentive.  I had the skate wing and it was amazing. It was like a mild chicken-fish taste and texture. And it came with capers, green beans, and potatoes.  The potatoes were a little undercooked, but the capers with the fish was just an awesome combination.   Overall, great service and a tad pricey---but some great menu items.",0.9922,0.671,0.257,0.073,0.6100732600732601
2012-01-22,1.0,"Friday evening was maybe the 10th time I've had dinner at Rhapsody, and it will be the last. The waiter was fine, but don't waiters pour the wine any more? That aside, service was good, except he asked ""How is everything"" AS THE FOOD WAS BEING SERVED, so how would we know? He quickly disappeared and we had to flag down the bus boy to get the waiter to come back: my sea bass was raw in the middle. It was presented on a lovely plate surrounded by giardiniera, but when I got maybe 2 inches into it I hit a pink, hard center. Couldn't cut it with the knife - it hadn't cooked through. Now, sea bass is a very thick fish, but it can be done - and to have a kitchen with the reputation (and prices) of Rhapsody send it out wrong is, well, wrong.  The manager came over, apologizing, but very chilly. The waiter later told us that HE had to fight to get her to comp that dish - all she wanted to do was send over a lousy dessert. Really? For four people? Seems like she had a busy night, having TWO TABLES send back underdone sea bass, and she was cranky about it. So when management tries to placate a dissatisfied customer by turning rude, condescending, thoughtless and unfriendly, it's time to make a change.  You guys ARE trying to partner with Symphony Center guests, right? Or to make enemies of them?  And serving the sea bass the second time after slicing it in half and broiling it was just plain stupid. No self-respecting chef at a fine dining establishment would ever dare present something so shameful. It was as though they were saying,""See what you get for sending it back?""  The rabbit gnocchi was good. Wine was good. Front of house, not so good. General vibe for Symphony Center subscribers - we're tired of having you here!",-0.9829,0.756,0.086,0.158,0.4136228951926627
