date,star,text,compound,neutral,positive,negative,subjectivity
2013-12-08,5.0,"On a visit to Chicago I had the good fortune of visiting both RIA and Charlie Trotters (at the time the reigning Chicago restaurants boasting 2 Michelin stars).  And although Trotters was expected to be the highlight, in light of it being a chance to visit the venerable institution of fine dining before it shuttered its doors, I was surprised to find that RIA was the true stand out.  In fact, from the standpoint of food quality, presentation, and service ... RIA blew Trotters out of the water on all points. I am sad that RIA is now closed as well, because I certainly would have made a point to return to this (once) wonderful restaurant.",0.9423,0.796,0.179,0.025,0.6421428571428571
2013-10-16,5.0,"One of the best meals we have ever had!! So sad that it has closed.  Wonderful dinner in a beautiful environment!!  I still remember our server a year later, John David truly made the meal special!!!",0.9449,0.551,0.379,0.069,0.5673469387755102
2012-09-09,5.0,"We absolutely loved RIA. My then-boyfriend too me there for my birthday, and it has been our greatest fine dining experience yet. Service: Even long before we walked into RIA, we had great service. My husband talked to multiple people about what we would be eating as vegetarians. We have learned from past dinners :) A chef even called him to talk about what ingredients we would like to see, and suggested they customize a menu for us. Great service! The day-of, all of the staff spent ample time with us. The sommelier did not push us to do a wine tasting, and really understood that we only wanted to get 1 or 2 glasses for the night. So he chose inexpensive wines that really paired beautifully with most of our courses. It was great. Food: You rarely walk out of these tasting menus bursting at the seams. I remember being suprised by how very full I was getting up after the meal. Although value for the money isn't the priority when going into a place like RIA, it's certainly nice when it happens :) More importantly, the food was simply a pleasure to see and taste. Everything we ate was seasonal (it was early December, so imagine the challenge). At that time of year, it is VERY difficult to put together 5 vegetarian courses without duplicating feature ingredients, color palettes, or concepts. You don't have the luxury of simply featuring a cut of meat and really only needing to change up the garnish. They achieved it flawlessly. In addition to the seasonal concepts, the three best parts of the meal were the plating concepts and the textures. For example, we were served a deconstructed salad. They took several kinds of greens, and served them in different ways, angled across each other over the plate, with drizzles here and there of interesting reductions, foams, and oils. Some were braised, some broiled, some grilled etc. Making bites from this plate was exciting not only for the visual, but because of the variety of textures and flavor palletes you could make for yourself. The different textures I experienced was as much fun as the different flavors. Similarly, we had one course where across the plate, they put down what looked like a whole series of polka dots. That was it. Each one was a dollop of a different kind of puree, piece of a vegetable, or something else. There were different textures, colors, and flavors, but it just looked like a sea of polka dots. Dessert was like that too - lots of interest created with unusual flavors together, plus a nice crunch here and there. Dessert featured squashes, which is a very unusual and refreshing way to incorporate squash. You can't avoid it in December, but to do it in a new way is great. One note, if you are going early for drinks at the Elysian (which I think might now be the Waldorf Astoria). The bar down there serves chips with drinks that are cooked in beef fat. So don't eat them if you're a vegetarian! All in all a pleasure to eat at RIA. We don't grudge a single dollar. We'll be back as soon as we can afford it.",0.9966,0.854,0.139,0.007,0.596444547515976
2012-08-25,3.0,"2.5 star.  We like to go to Spiaggia for special dinner, but this time decided to try a new place.  Loved Ria's elegant setting with nice service.  Every staff greeted and congratulated us with smile, and there was a thoughtful gift for our anniversary waiting after dinner.   Conclusion: This restaurant may be nice for many, but I didn't feel good chemistry with the chef's work.  Rather than any fault, I simply found myself not a big fan of the chef's vision through his dishes... In addition, we made a mistake of choosing this restaurant at this particular time, because the menu really did not appeal to me. Most dish had meat I didn't like, or was cooked in a way I couldn't eat (i.e., I like raw or seared scallop, but never steamed)  I felt really embarrassed, as the menu almost looked like a collection of my no-no food. Ugh.  I ordered the tasting menu anyways. The presentation was beautiful, a bit too much played...  I couldn't really eat, and left hungry and disappointed.  I wasn't happy (felt almost guilty!) to see my hubby and staff concerned.  I tried my best, but my skin seems extremly thin when it comes to food.",0.9843,0.654,0.233,0.113,0.5376149491534107
2012-07-31,4.0,"Although I certainly did enjoy my time at Ria, I do think that there are additional parts of the culinary experience that are way overpriced (but not necessarily worthwhile).  For example: we started with a glass of champagne that was pretty good, but not really something I would do again for $60. We added the additional truffle course which was good, but again not really worth the benefit (although I do like to try everything at least once). However the main dishes themselves (we did the tasting menu) were fantastic.  Exquisitely prepared and professionally served. If I went back and simply steered towards the traditional food items and a couple of cocktails (also fantastic), I would probably have given a 5 star review.  Ria is an exceptional restaurant, and another great reason why dining in Chicago is one of the best culinary destinations on the planet.",0.9893,0.746,0.24,0.014,0.49372294372294373
2012-07-18,3.0,Just got a call that Ria is closing and my reservation is cancelled. Anyone out there know what's going on?,-0.25,0.9,0.0,0.1,0.0
2012-07-14,5.0,"Went to Ria tonight and can honestly say I went in with no expectations.  I will say I walked away so impressed.  I had the summer menu and was able to try almost all of the dishes.  If I could do it over, I would go with the poussin, the lobster, the strip loin, and the blueberry dessert.  Those dishes were by far the best.  In terms of cocktails, I really enjoyed the Bees Knees 2. The amuse bouches were great too and the service was impeccable.  I loved the decor as it really hits the nice yet comfortable setting.  Did not feel like it was stuffy at all.  But now the bad news... As great as the experience was, we were informed that the restaurant is closing.  I could not believe it.  It was so good, and my family had already been planning to return for other special occasions.  To make it worse, we heard rumors as to why the restaurant was closing.  Supposedly, when the Waldorf Astoria took over the Elysian, since it is now a chain hotel, they are looking to cut costs.  Not sure if this is just a rumor or not, but if this is true, thats a true shame and would never support by staying at any waldorf astoria hotels. Either way, try to go there while you can because it is closing in just two weeks...",0.9531,0.792,0.144,0.064,0.6941421012849583
2012-07-11,4.0,"RIA was my first 2 Michelin Star experience in the US. I liked it a lot, although I expected a little more delicacy for one of the  courses (i mean a little bit :)). Nonetheless, the experience was really great and very enjoyable. Thank you Chef :-)  Maybe this will sound inexperienced, or weird, but my favorite parts were  the amuse bouche. There were REALLY amazing and delicate. And I want to add, unique in their texture and taste. I have never eaten such delicious and delicate amuse-bouche anywhere else. We had deep fried brie cheese balls, from Wisconsin (I am not sure) - so rich in flavor and melting so nicely in your mouth. And my favorite one: some ""little rolls"" made of foie gras and truffle. I was in heaven :) I was eating them really slowly to appreciate them as long as possible. I have taken discretely a photo of them for a souvenir :)  I actually hate taking photos while eating... but these... I did not want to forget! I'll upload the photos soon.  The only thing I did not particularly enjoy,  (and that's why I put 4 starts instead of 5) was the sparkling wine selection they bring before you start your meal.  It's very nice and they have a diversified selection, but  it kind of forces you to take one... and I was not in the mood to drink sparkling wine at this time... However I still took one because I felt I had to. Maybe I am a weak person :-)   The place itself is very nice. Very sophisticated, modern. The decoration is very well done because it can fit many styles of diners: romantic, business, food-lovers, classy etc. Voila! And to conclude: If I return to Chicago, I will return to RIA :)",0.9982,0.654,0.297,0.05,0.7419733796296294
2012-07-06,5.0,"Recently had an absolutely excellent experience here.   The staff is incredibly likeable and very polite.  Overall the service is miles beyond what I have experienced in the bar and at Balsan.  The interior is comfortable and not too quiet or loud.  The assistant sommelier had perfect suggestions and provided excellent service.  Most of their selections are pricey, but I guess that is to be expected. The food was better than I expected.  We did the summer tasting and it was a large amount of food.  Everything tasted great!  The menu reminded me of a refined Schwa, if that oxymoron makes sense. Overall, it was very expensive, but also one of the best meals (food and service) I have ever had.",0.9787,0.784,0.203,0.013,0.573595238095238
2012-07-06,5.0,A great night and fantastic experience.  I've long maintained that at this level (and price) a meal is not necessarily twice as delicious as a meal costing half as much.  What I'm looking for is an elevation of the dining experience. The food is expectedly good but I'm also looking for dinner theatre without the theatre.  Ria carries that out well. The service is nearly seamless. At times effusive but interspersed with times of appropriate reserve. The food (my primary rating driver) is indeed one step beyond excellent. The wine pairings with my extended tasting menu were not just well chosen but were outstanding wines by themselves (except for one which I thought was a stretch).  Overall a great experience worthy of the hype.,0.9877,0.758,0.242,0.0,0.6088541666666667
