date,star,text,compound,neutral,positive,negative,subjectivity
2017-01-26,5.0,"This review comes almost a year after the night my now husband proposed to me, on Groundhog Day 2/2/2016. We started our evening, a gloomy and rainy Tuesday, at this location that he picked out. It was absolutely fabulous to the point of a 5-star review, even upon discovering that they are now closed (bring on the tears). We had hoped to come here for our ""engagement"" anniversary. Service and quality were excellent and authentic and I was so much looking forward to getting leftovers from the dish I ordered a year ago, when it was the only time ever that my now spouse suggested I don't get leftovers because we were going somewhere else afterwards (proposal spot!) I just thought I'd share this story. I wish the owners and operators of this establishment the best and would like to extend my thanks. I will never forget the best date night of my entire life over one of the best and most authentic italian dishes I've ever had.",0.9869,0.785,0.199,0.016,0.5017857142857143
2016-12-10,5.0,"I'm so sad to find out they had closed their doors for good. One of the best Italian restaurants I'd ever been to. I had only dined there once but was one of the best experience with great food, and local places I've dined to date. I hope they can reconsider opening up again for another 25 years. I hate to see such wonderful place close its door.",0.962,0.639,0.279,0.081,0.5375
2016-11-11,5.0,"PLEASE PLEASE PLEASE PLEASE come back! You guys make the best gnocchi I have ever tasted. I'm Italian and your gnocchi is even better than my mothers (don't tell her I said that!) But in all seriousness, I felt like crying when this restaurant closed so I'm begging the owners, please open a new one! My friends and I always talk about how your dishes, portions and atmosphere were the best in the city.",0.9816,0.61,0.344,0.046,0.30606060606060603
2016-09-30,1.0,Terrible customer service.  No wonder they are going out of business.  Been a regular here for more than two years and they could not even offer takeout for one last meal before they close because allegedly they do not have the capacity to cook and wrap a meal (something that takes less than 20 minutes),-0.6486,0.906,0.0,0.094,0.3017094017094017
2016-09-28,5.0,awesome Italian restaurant! Too sad that they had to close it:(,0.3164,0.546,0.266,0.188,0.75
2016-09-26,5.0,"Literally dying that this place is closing. Hoping that they'll have some change of heart after seeing the outpouring of love that they've had since they announced their demise. Absolute best Italian for the price, especially as a neighborhood restaurant that could charge so much more. Dining in here is like being in your favorite Italian Aunt's kitchen - so full of warmth and comfort. I will truly shed a tear when I eat here one last time this week.",0.976,0.725,0.275,0.0,0.4916666666666666
2016-09-23,5.0,"They have one of the best hearty Italian food in Chicago and in big portions. I'm so sad that they are closing. It is dimly lit and a perfect date spot. I have tried most of their menu and I have not been disappointed. I got the linguine al fruti mari with plenty of seafood from mussels,  squid, shrimp, one of my favorites.  They are closing October 1st so try to make it before they close!",0.8609,0.793,0.16,0.047,0.51875
2016-09-21,5.0,Love this place ! Please don't close.  Have been coming to this fabulous restaurant for many years. No other place like it.,0.902,0.508,0.422,0.07,0.61875
2016-09-10,1.0,"Not good. If I could write just not good I would leave it at that but Yelp won't let me post a review unless I write more. I wanted to like it because the decor is really lovely but unfortunately I was terribly disappointed by their pasta.  Why in the world is it ok to just throw whatever you have in the kitchen in your pasta dish? That's what it left like...it was just too much stuff not well put together. One of the pasta dishes had giant pieces of sausage and peppers cut fajita style and put on average tomato sauce, it was hard to eat looked sloppy and the pasta was undercooked (I they have the meaning of ""al dente"" confused).  Our other pasta dish was swimming in cream sauce, very bland. The dishes reminded me of when I was a server, at the end of the night the cooks used to experiment with whatever was left over and ask us to try it. I overheard someone asking the server if the owner was Italian and he replied no that he was once married to an Italian...so I'll just leave it at that.",-0.6742,0.811,0.086,0.103,0.5219298245614036
2016-09-09,5.0,Italian food place Yummy stuff and good service Sad to see them go. This was a Haiku Jew Review!,0.5411,0.607,0.267,0.126,0.5333333333333333
2016-08-29,2.0,"I was really looking forward to my first time at Rose Angelis, but it was so disappointing :( We went with a group of 9 and the waitress was awesome! Super nice and friendly.  The appetizers were good:  steak brushetta and calamari (it's grilled though, so if you're looking forward to fried ones, these are not it) The Bad: 1) I ordered the duck tortellini, but I thought the tortellini was bland and it did come with a very soupy sauce that did taste good, but it would have been better if it was thicker. 2) I tried my friends' food as well, but nothing really stood out as amazing. 3) We sat in the middle room, but unfortunately we could smell the odor of #2's when people would come in and out of the bathrooms which are close to where we were sitting.  Not really the restaurant's fault, but it definitely did not help with the experience. Because of all the great reviews and my friends really like this place, I'll give it another go.",0.9935,0.641,0.274,0.085,0.591304347826087
2016-08-25,5.0,"Great authentic Italian food! Intimate, sophisticated, and charming. Go now! Outdoor patio and reasonable prices take this place over the top.",0.9311,0.55,0.45,0.0,0.6499999999999999
2016-08-14,4.0,We arrived a few minutes before the restaurant opened and waited outside.  The restaurant opened promptly on time. Service was friendly and accommodating.  We were having a business dinner and asked to have the music turned down which was promptly taken care of.  We tried several dishes.  I had the gnocchi in cream with bacon.  It was a large dish and flavorful dish.  We had the bruschetta appetizer and along with the steamed mussels.   We were so stuffed we didn't have room for desert. I'd definitely come back.,0.8442,0.899,0.101,0.0,0.23343253968253969
2016-08-07,4.0,"The outdoor patio was lovely and the food was delicious. I got chicken stuffed with spinach, on top of risotto. Yum! The inside of the place looked cute too, like someone's old house. The only down side were the flies that were swarming our table. I wish they had been proactive and lit some torches ahead of time.",0.9617,0.704,0.296,0.0,0.7111111111111111
2016-07-31,4.0,"Wow, what a pleasant find! We found this place by searching for Italian restaurants with outdoor patios. The patio here is beautiful. It's like sitting in a backyard and is well decorated with lights, tiki torches, etc - it was a really nice ambiance at night. It is worth noting that the indoor dining room was beautiful too. There were multiple rooms that each have a different feel and overall it is very homey and romantic. The server was very friendly and brought us bread and olive oil right away. She was helpful recommending red  wines. For our entrees, we had the lasagna and spinach shell pasta. The lasagna was massive, a giant brick that could feed a family - not a bad value for $18. The size was very impressive although we thought the taste was only good, not great. The spinach pasta was tasty and a very large portion for a reasonable  $15. Overall, this is a beautiful, homey Italian restaurant definitely worth visiting whether you eat inside or outside. The only reason I left off a star was the food did not blow me away, but it was still tasty and a good value. I will be returning.",0.9756,0.786,0.184,0.03,0.5492559523809524
2016-07-30,5.0,"This is just great Italian food.  Their homemade marinara is amazing.  I always get a quart to take home.  It is so fresh and flavorful you could eat it as soup--it is that good.  Every meal I have ever had here has been fantastic.  My friend is a bread pudding fan and he raves about it--I think it is good, but I have never been that fond of bread pudding--their caramel sauce is TDF!  I love their salads, great Lasagna--great seafood/pasta dishes as well.  I would go every night if I lived closer--a treat to go to a place that always has great food, great service and never disappoints!",0.9923,0.621,0.356,0.023,0.6454545454545454
2016-07-20,1.0,"I was so excited for my duck tortelloni. When it finally arrived, I was devastated. It was swimming in sauce and the spinach looked weird (like it was over cooked and canned). Now, I don't really care if my food looks pretty as long as it tastes good. Unfortunately, the presentation was a mess and it tasted awful so it was like adding insult to injury. I definitely don't think whatever meat was in the tortelloni was duck. It went straight to the trash. What a waste.",-0.8477,0.614,0.15,0.236,0.6173076923076923
2016-07-20,5.0,"WHY have I never reviewed this place?  LOVE IT,  LOVE IT!  Love the staff, food everything!  Thanks Rose Angelis you are like our 2nd family.",0.9684,0.487,0.513,0.0,0.49166666666666664
2016-07-18,4.0,Very good authentic Italian food. My husband ordered the salmon special and said it was great. Huge portions!,0.9115,0.527,0.473,0.0,0.6252380952380953
2016-07-09,5.0,"Great meal had their specials...mussells, vegetsble salad and manicotti...great flavor and srvice was outstanding!",0.8553,0.588,0.412,0.0,0.8125
2016-07-06,5.0,"Wow, is all that I can say.  Just bought a new condo in the neighborhood and have been wanting to check out this place.  Went for dinner last night to celebrate our Anniversary and all that I can say is ""WOW"".  Service, food, ambiance, everything was on point.  Had the NY Strip and it was the best steak that I have ever had.  On top of it all, it was 1/2 off bottles of wine, which was a welcomed treat.  The portions are huge, we left with a ton of leftovers, which I am so excited to have dinner now tonight.  I can't stress enough, this place is fantastic and such a hidden gem.  Thank you for making our night that much more special.",0.9866,0.744,0.256,0.0,0.5517316017316017
2016-06-26,1.0,"I will tell @ the end of the review why the 1 star.   Never have I given a bad review before. Of the over 20 tables, only 3 were occupied on this past Friday @ 7:00 PM. The room was very noisy. We were a party of four & my wife ordered gnocchi which she usually loves @ previous Italian restaurants. The ingredients were weird. Raw scallions & apricots & thick & gloopy sauce. She did not like any of it. I had to specially order spaghetti with marinara sauce which was not on the menu. It was less than average. Now the reason for the 1 star. After the waiter  accidentally spilled my full glass of Pellegrino on our table in front of me which soaked my linen pants, the Maitre'd graciously offered to replace them or pay for the dry cleaning which I declined.",-0.1035,0.841,0.067,0.091,0.45053113553113544
2016-06-20,5.0,"I went here with a group of 8 and they were very accommodating although we were unable to sit on the patio due to our size, but inside was just fine. The food was delicious and there was such a variety. Everyone enjoyed their food and we definitely had leftovers. I would highly recommend visiting this restaurant, you won't be disappointed.",0.9728,0.692,0.308,0.0,0.5665
