date,star,text,compound,neutral,positive,negative,subjectivity
2017-06-17,4.0,Loved the food and drinks.  Our waitress was great.,0.8402,0.467,0.533,0.0,0.775
2017-06-08,5.0,"This place was amazing. Food was great. My friend and I celebrated an Anniversary here and they even put a note on the table congratulating us. I had the cod special, which was incredible paired with a wine suggested by our waiter. He had the chicken which was great. All around fun atmosphere. I will definitely be back.",0.981,0.62,0.38,0.0,0.6412698412698412
2017-04-26,3.0,cmcw cursed,0.0,1.0,0.0,0.0,0.0
2017-04-15,1.0,"The Bedford and its General Manager should hold itself and its staff members more accountable. The General Manager provided me with his business card as my party left his restaurant Saturday, January 28, 2017. As the General Manager requested, I followed-up on the concerns regarding the reservation and service. The concerns were as follows: (A) The reserved section did not accommodate 20 persons. The expectation was for 3 booths only 2 booths were reserved for our party of 20. (B) The one service attendant was not prepared for a party of 20 and neither was the management/staff. There should have been at least 2 servers for a party of 20. (C) The guests had to sit separately at the hi-top table for approximately 1.5 hours until the other party at the third booth finished their meal. (D) The drink service for premium open bar for two hours was not efficient or economical for my guests because only 1 server was assigned to the party and the party was split apart based on lack of promised reserved seating. (E) The tables were not periodically cleaned and cleared of glasses and plates until I requested someone remove the dirty dishes (more than one occasion). (F) The guest were not greeted and directed to the party. Many occasions I ran back-and-forth to check coats for guests and direct guests to the tables. (G) The employee who assisted in booking our reservation did not let me know she would not oversee the event. She left during the first 30 minutes of the party without introducing me to the General Manager or any other management. (H) The first four requests to speak with the General Manager were not obliged. I had to ask the hostess 3 times and a server one time before the General Manager came to the table to introduce yourself. (I) The accountability for not having 3 booths was lacking. The General Manager stated he did not promise 3 booths only 2 booths. The General Manager also stated you would check in with me at the end of the party to ""take care"" of the issues with billing and service.          (1) The General Manager did not check in with me or follow-up, even though I expressed to you the 'calamity of errors.'       (2) The presumption is and my memory recalls a 3 booth reservation is likely accurate because you did not even keep your word to follow-up when the bill arrived; and      (3) Nearly 3 months later, Bedford staff and management have not responded to direct mail, e-mail, or phone calls from me and my bank for the $1,730.43 horrible experience for a surprise birthday party. (J) The valet attendant was rude and sarcastic to the group of 60 year olds as they were leaving the birthday celebration, which escalated the prior poor service (listed above). The Bedford never responded to these concerns, which displays it does not appreciate its customers, even when they book an early $2000.00 party. Please contact me regarding your additional promise to ""take care"" of the issues.",0.9539,0.858,0.088,0.054,0.5034883720930234
2017-04-08,5.0,"Awesome place! I really enjoyed the ambience  and interesting  that this place used to be a bank. Where else can you sip cocktails while in an old vault? The cocktails are good too. I had the  ""dark & stormy"" and the ""airmail"" cocktails. The bar tender  was also really nice.  This is definitely a place I would like to  come  back to. Perfect place to bring a date.  Dress code is dressy.",0.9766,0.69,0.31,0.0,0.5900000000000001
2017-04-07,1.0,"All show and zero substance. The menu is comparable to Applebee's and the service was the absolute worst. Their prices need to be about half of what they are, if a server can't even make it to your table in the first 10 minutes. We walked out - support places that actually care about running a business and not fleecing millennials out of their hard-earned money.",0.2023,0.857,0.084,0.059,0.5
2017-04-04,3.0,"This was my first time at The Bedford and I was there for a birthday party. The venue was beautiful. Accents of the old bank vault really gave great character to the location. It was located in the basement sections and was definitely a nice place to have a party or a sexy date night. At a certain time the venue changed over from a dining location into a dance floor with a DJ, lights, and all. I want to say that happened around 11 p.m. The dance floor was moderately sized.  The menu selection is very specialized. Don't expect to be able to order chicken fingers and fries here. I ordered the Duck Confit Cassoulet. It was a well seasoned dish. The duck was salty, as it is supposed to be, the sausage was tender, and the herb crumbs were a nice accent taste! The meal was well prepared and according to my other table guests was a larger portion than most of the items on the list. Apparently, the other food option arrived in a more miniature portion than they had anticipated given the price point.  It was probably a bit too salty for my taste, but that's not a reflection of the preparation, but more of a personal preference. Nevertheless, I would recommend it! Perhaps with a sweetener of some sort (honey, balsamic glaze, etc.) the saltiness could be cut. If you are concerned I'm sure the waiter/waitress can provide some assistance.  Things to know:  1. Parking is crazy. There is valet. I believe the cost was upwards of $10. I rarely carry cash so I opted out of that option. I didn't ask if they could put it on a credit card so you may want to inquire about that. 2. Be careful of street parking because there are number spots for the residents who live near by and you don't want to get towed.  3. They do check IDs so have it ready.  4. The venue is in the basement so know that there will be some stair climbing involved.",0.9804,0.856,0.127,0.017,0.5989189928845101
2017-04-02,1.0,"I wish I could give 0 stars. The WORST experience EVER!! They were so rude I tried to start a tab and the female bartender obviously did not start it then tried to blame everything on me. I talked to the ""manager"" and he tried to kick me out for complaining! I was so sad because this was the ONLY bar I wanted to go to.",-0.9379,0.724,0.038,0.239,0.7111111111111111
2017-03-22,5.0,"Had an amazing dinner here last night for my best friend's wedding-- the food was amazing- i got the short rib, per the server's recommendation and it did not disappoint. Also the cocktails were incredible. And they have a fun photo booth in the back! Good time all around.",0.9664,0.666,0.334,0.0,0.4629629629629629
2017-03-10,4.0,"The Bedford is all about the vibe and the atmosphere. Food and service are secondary here. It's in the basement of an old bank from 1926, complete with a real vault door serving as the centerpiece and gateway to a swanky lounge area lined with lockboxes. The tunes echo the modern-vintage space, with a trip-hop/hip-hop instrumental playlist setting the tone. The dim ambience is interrupted only by the row of sleek fireplaces separating the dining areas.  Cocktails are rock solid, and $1 oyster Thursdays are a real treat. The food is not great, but it is good. Aside from the host/coat check gals, service can be oddly slow and awkward on even the deadest of nights. Rarely is this my final destination, rather a starting point for a night of drinks and conversation. That being said, the Bedford is a one-of-a-kind spot for cocktails and chill vibes, and should be celebrated in that regard.",0.8403,0.891,0.077,0.032,0.5375000000000001
