date,star,text,compound,neutral,positive,negative,subjectivity
2015-07-23,5.0,Best food I have had in Chicago so far! We were a party of 4 started with  Swordfish chops were so so good. Fish was perfectly cooked. H drooled over his orange chicken.,0.9475,0.618,0.382,0.0,0.7700000000000001
2015-06-08,5.0,"This is one of the best restaurants in Chicago.  I absolutely LOVE LOVE their food, their wine list, their bread, the atmosphere, everything.  I had the grilled octopus and it was perfect.  Then I had mussels in a broth, omg.  So good.  Then pasta with some I believe chicken, it was excellent  The waiter was so nice and the restaurant is spotless.  I noted that a person can order, to go, a chicken dinner for 3 and the price was very reasonable.  I'll be doing that in the future.",0.9847,0.717,0.283,0.0,0.7186363636363636
2015-05-28,2.0,This was the second time we had dinner here. I must say that I was very disappointed. We ordered drinks and waited 15 minutes for our server to remind him what we ordered.  Food took a  long time for preparation. One of the sides we ordered was cold. Probably will not be back.,-0.5256,0.935,0.0,0.065,0.475
2015-05-12,5.0,"Fantastic night out for my girlfriend's birthday. Ordered the calamari risotto to start...superb. Just the right amount of smokiness to go with the al dente risotto. For dinner she had the swordfish, I got the lamb shank. The swordfish was some of the best I've ever sampled. It's a limited run item, so if it's available while you're dining, order it. The lamb was think and hearty, also delicious. All in all, a great experience, I can't wait to go back again. Great service and delicious hearty meals. A neighborhood gem.",0.9735,0.757,0.224,0.018,0.5778571428571428
2015-05-04,4.0,"Amazing food. Well presented, good atmosphere and in all a good place for dinner.  We were there on a night with ""valet"" parking and I'd recommend it as the area (construction and just where it is in the city) sucks for parking and that's no way to start a dinner with a suckie parking experience. I liked the food and the presentation.  The venue was meh, but that's not why we were there.  The bar is tiny (read TINY) but amazing mixology of the bartender will have us coming back for more and carving our names in the seats as regulars. The Brussel Sprouts were amazing as were most of the entrees, but for the price that's to be expected.  We were slightly rushed as we were going to hear a friend sing at ""The Store"" but the staff accommodated us and we were in and out with a high end meal under our belt. Well played Rustic House, we'll be back soon.",0.9777,0.802,0.173,0.025,0.5066666666666667
2015-04-24,4.0,Well.... It's good..not spectacular but pretty good.  The decor/ ambiance is pretty cool! It's very intimate with a  feel. So to start...  1. Cocktails were awesome! The orange mule was phenomenal! It's very refreshing.  My boyfriend really enjoyed the manhattan!  2. As for the appetizer we had the mussels! I highly recommend! Has a little spice kick to it!   3. As for the entree I had the rotisserie duck and swordfish. The duck was hearty & full of flavor. 4. As for the swordfish I was pretty disappointed. The fish was huge! Looked like a flintstone bone! I was hoping for a smaller piece of fish    I would like to come back and try some other options.,0.9932,0.642,0.33,0.028,0.6971052631578948
2015-04-23,2.0,"I had high hopes considering all the positive reviews, but I left disappointed to be honest. Maybe as I get older I get more sensitive to how loud a place is, but I literally had to shout to be heard by my dinner companions. Not exactly a relaxing dinner chat environment. The service, while polite and friendly, was slow. There was a noticeable lag between our appetizers and dinner. Our server apologized (I'm sure the kitchen was backed up and it wasn't his fault) but the damage was sort of already done.  My asparagus burrata salad was tasty, but the burrata, instead of being a little parcel of heaven that oozes when you cut into it, was sort of a big gooey mess atop the asparagus. I ordered the rotisserie chicken because I figured that's their specialty so it should be really great, right? By the time it finally got to me it was just sort of dry. Pretty major disappointment there.  I think my companions enjoyed their meals, but I think I'd rather try somewhere new than go back to Rustic House.",0.9615,0.704,0.193,0.102,0.5418905895691609
2015-04-08,5.0,I thought this place was great. We had a larger party than usual as well. The octopus was very good- as well as the pasta. There service was decent- it was loud and busy that night- our Wine took quite some time to get to the table as well as other drinks. But the food was very good.,0.9551,0.715,0.285,0.0,0.577962962962963
2015-03-31,5.0,"Rustic House has recently become one of my favorite places in Lincoln Park. I recently had dinner there on a Friday night with friends, and it was the perfect atmosphere to begin the weekend.  The decor definitely has a laid back, rustic look and feel that creates a very comfortable atmosphere.  The menu is filled with great Chicken, Beef or Seafood options. They are known for their rotisserie chicken, FYI. All of us different choices, and everything was prepared to perfection. For Apps, I recommend the Wood Grilled Octopus and Crab Dip, and for dinner, try the Organic Chicken or Alaskan Halibut (special).  The staff was very friendly, and super helpful in recommending wines to pair with dinner.  Overall I highly recommend Rustic House for dinner.",0.9922,0.696,0.304,0.0,0.6404497354497354
2015-03-20,4.0,"great place, very nice for a date night or even a group dinner (they have a cosy room at the back with a fireplace that can accomodate a larger group). the food is delicious, and cocktails too. Will definitely go back once in a while!",0.9311,0.716,0.284,0.0,0.5416666666666666
2015-03-14,4.0,"I took my boyfriend here to celebrate his birthday.  We agreed the atmosphere and food were equally impressive. We got gnoochi, chicken pot pie and lamb shank.  All were delicious! Wait staff was courteous and attentive.   I would highly recommend this place for a date night.",0.9595,0.659,0.341,0.0,0.8983333333333334
2015-02-09,4.0,"I came here with my roommate for dinner during Restaurant Week. The restaurant is very quaint, and I felt like I stepped back in time (in a good way). It has a very ""homey"" feel to it, and on a chilly Chicago night, it's exactly what you need!   Their portions are pretty big, so expect to come home with leftovers. I got the Lobster Bisque (good), the Faroe Islands Salmon (good), and the Caramel Popcorn Brownie (huge).  My roommate got the Wood-grilled Octopus (super good), the Flat Iron Poivre (she asked for the meat to be cooked medium, but it was still VERY much alive when she got it. still really good, though, especially for me when I had it as my leftovers for lunch the next day. Hello, microwave. I win.), and the Baileys Crème Brulee (it came with a wafer which I really liked lol). The complimentary bread and olive oil was REALLY good, and now that I think about it, maybe stuffing our face with it was the reasoning behind the bigger-looking portions. Oh well. Leftovers = winning.",0.9859,0.828,0.172,0.0,0.5356666666666667
2015-02-07,5.0,Such a great meal! Rustic House's restaurant week options are great! I have to say that their regular menu looked so good I can't wait to go back and try something new. The Orange Mule was a refreshing start. The homemade focaccia bread is delicious. I had the grilled octopus and my friend had the spinach salad. Both had so much flavor and were cooked to perfection. I had the duck (sooo good) and my friend had the flat iron steak. Not only were the proteins great but the sides were on point.  Dessert. The brownie with carmel corn and Bailey's creme brûlée were so decadent. We couldn't pick a favorite. I can't wait to go back!,0.9271,0.813,0.161,0.026,0.5504042832167833
2015-02-06,4.0,good service goood foooddd. although the duck l'range was not very acidic. but cooked soo soo well. wasnt' a big fan of the popcorn brownie.. too heavy.  really romantic setting.,0.7308,0.694,0.238,0.068,0.4
2015-01-14,1.0,"We went January 3rd, we had a 8pm reservation.  We had to make a 10pm show about 10 minutes away.  We were sat right at reservation time and were greeted by friendly faces.  There's coat check and valet.  Which was awesome because it was a cold night.  We get seated and were given entrée menu's.  We waited about 3-5 minutes on our actual server to greet us where she asked for our drinks. We asked about specialty drinks and she noticed we hadn't received a drink menu,  she then hands us one and says she'll give us a minute,  which all this mind you happened in a bout a minute,  we chose a drinks and waited another 3-5 minutes on her return. In her defense it was busy every seat was full.  But minutes were feeling like life time, there seemed to be people to help.  We decide to order everything at the same time, It's now about 8:10 which also was about the time we received the bread oil and water.   We went with the hot crab dip, Which honestly as I type this I wish I was enjoying it right now,  really delicious and a lot of flavor.  We both went for the new York strip which is off bone here.  My date orders hers medium/rare I order mine well done.  And garlic mashed potatoes Before we ordered we had explain that we had a show to make and we were fine with everything coming at the same time, if possible.  The steaks we received were under cooked.  I've eaten plenty of steaks to know what a well done steak looks to a medium rare steak,  it indeed was  rare. The only thing was when the food was dropped it was a minutes before any one asked if everything was OK.  When she takes the steak back I encourage my date to continue eating she said her steak was gummy, and fatty.  I took a bite of the mashed potatoes and they were bitter and garlic OVERLOAD grainy even.  My steak returned and it was medium.   At that point we had to leave.  I never got to eat dinner.  A manager did take care of my steak from the ticket,  but I also never touched it. I just don't know yet if this was a bad night or what.  If I crave that crab dip I might be back.   I also think it'd be a fun idea to have a system where the valet ticket is run out while you close you tab.   Until then.",0.9584,0.887,0.09,0.023,0.540808596165739
2014-12-14,5.0,"Hidden gem on Halsted! Had my second experience with Rustic House last night and again I was completely satisfied!  The prices are expensive, but you pay for what you get: a huge portion, delicious food, good service, and a very cozy atmosphere.",0.931,0.679,0.289,0.032,0.6194444444444444
2014-11-06,4.0,"I brought my parents who were visitng along with my brother, his wife, newborn and my finance here. We loved it. The food was great- the women all had the lamb shank and it was amazing, the boys had various items- mahi mahi, pasta, chicken pot pie and we all really enjoyed our food.  The atmosphere was perfect to catch up- nice background music, but you can still hear eachother and it's a nice, casual restaurant.  The service was solid. The server himself was great, but you can tell he was covering the entire backroom, which had larger parties, which was hard for him to cover everyone. I think he could have used  another server back there. That said, you can tell he was working hard and trying to get everyone everything they were asking for in a timely manner. He was quite polite and very helpful advising people on what he thought they would enjoy.  Overall, this is a solid go-to to meet up with friends to catch up and have a great meal. I know we will be returning here soon!",0.9936,0.743,0.242,0.015,0.5988636363636363
2014-10-31,4.0,We went on a Thursday night with a reservation and although the place was packed our table was ready and waiting for us. I found the wine list rather limited but my father had an Old Fashioned and he enjoyed quite a bit. The crab dip was good and the entrees we ordered were great although a bit too big (especially my chicken pot pie was huge). The place was a bit noisy and bit crowded but it was a great dinner overall.,0.9676,0.735,0.227,0.037,0.512987012987013
2014-10-26,5.0,Delicious!!! The chicken is amazing. Spinach salad to start with was perfection. Drinks and Desserts incredible. Can't wait to go back. Service was awesome too!,0.955,0.56,0.44,0.0,0.7916666666666666
2014-09-27,2.0,"Came here on a Saturday night with family from out of town. Heard great reviews and recommendations but Rustic House was far from our expectations. The server we had was very quiet and would occasionally disappear. Not around much when we needed her. The appetizers were good, pretty simple but the bacon platter rocked. Muscles were another that we enjoyed. My biggest issue was the main course, two of us were very excited about the seared tuna special. When I received the dish, the sauce was lukewarm and the fish was ice cold. We sent it back to heat up slightly but had very well done tuna returned to us. When we pressed the issue, a second waitress said the outside is meant to be hot and the inside of the fish slightly warm. She took a tone to make us seem wrong, but then I spoke up to reiterate that the fish seemed like it came straight out of the fridge. Desserts were good, nothing you can't find at your neighborhood grocery store. If you do come, the sweet corn brûlée was fantastic, it tastes like a dessert served as a side. Really enjoyed that one. With how many amazing restaurants there are in the neighborhood, I would pass on this one and move to another.",0.995,0.747,0.229,0.024,0.5557823129251701
2014-09-13,3.0,"I remember coming here over a year ago, and thinking that the food was just okay.  Not bad, not great, but not on my sh*t list. I came here again last night and was disappointed. The food is at best average, and does not warrant the pricing. For the same price, there are plenty of restaurants in the chicago area that can provide better flavors, better textures. There was no wow factor with the food. Same with the cocktails.  We ordered the mussels yesterday. While the flavors were good, I was so disappointed with the mussels themselves.  They were shriveled up pathetic little nuggets of tough chewy mofos. Mussels are supposed to be succulent and plump. And these were not.  It was embarrassing because we were the ones that suggestted this place to our friends that joined us last night. Then the poultry - the flavors were bland. I tried the duck and the chicken.  When people go to restaurants they want to experience flavors that you can't get at home, or at least experience an intensity of flavor.  Both of these were ok. Below, please find my comments and suggestions on the chicken and duck.  In case its not obvious, I am very much a duck person.  The Chicken: $22 for half a chicken, or $34 for the entire chicken to go -- let me help you -- Mariano's rotisserie chicken is so much more tender, juicy, and delicious. Costco's rotisserie chicken, though not as juicy and flavorful as Mariano's chicken (probably because they are bigger in an unnatural hormone-injected way) still had better flavor, and we all know for Costco chicken, it has that ""injected with marinade/brine"" taste to it -- but i'd still take that over Rustic House chicken.   The Duck: Then the duck -- who rotisseries a duck!??  Again, let that sink in .... WHO ROTISSERIES A DUCK? What a waste of duck! All the benefits of the duck is wasted when you rotisserie a duck. The contrast between the crispy skin, and the flavors that melt into medium/meidum rare duck breast are all gone. Try searing it or oven roasting it and shove some aromatics into the cavity for heaven's sake to give it more flavor, or smoking it. So the duck was bland except for the sloppy orange glaze on the outside of the duck skin.  It's too bad the duck skin wasn't better utilized, and that the duck was just your standard ""a l'orange.""  The Chicken and The Duck: Finally, who really wants to struggle with carving up an entire half chicken or duck? Lucky for me, I carve up helpless animals all the time so I know where to strike, but i'm usually using a kitchen knife. When you have the smaller meat cutting knife, it's hard. Rustic House should consider cutting up the poultry for its customers.  Sure, its not as pretty when you cut into the skin and expose meat, but hey, figure it out. You'd at least get better plating possibilities that way. Conclusion: Athough it may not sound like it, I hope Rustic House does well and doesn't continuously slip into the Groupon/OpenTable 1000points table hell its in.  But I can see why it's headed that way.  It simply doesn't have the ability to keep up.  I also noticed Karianne W's 8/24/2014 3 star review-- agree with it whole heartedly.  Thanks for reading.",0.9644,0.767,0.128,0.105,0.5910294455946628
2014-08-31,4.0,"Overall, phenomenal food. I was very impressed with the size of the portions we got on the special, but the rotisserie basics (chicken and duck) were slightly dry.  Was happy with the price of the drinks, and overall atmosphere.  Service was slow at times but overall on par for  20%.   Rates a 4/5 because of price of food vs. qty/quality.  Also doesn't have a chill and drink atmosphere.",0.8272,0.877,0.123,0.0,0.5021428571428572
2014-08-24,3.0,"Great ambiance, okay service and decent food - but a bit pricey for what you get. We live in the neighborhood and have walked by with curiosity several times, finally made a reservation when the folks were in town. They are known for their roasted dishes and overall we all enjoyed our meals though my dad was the only one who ordered the roasted chicken. After living in the city for 6+ years, my expectations on the value equation of taste and price is pretty specific. Would be a good destination for a rainy, cold night as they get the atmosphere right but if you are looking for unique flavors, there are better bets for your money in the neighborhood.",0.9723,0.811,0.178,0.011,0.6369047619047619
2014-08-17,4.0,"I chose Rustic House for my birthday dinner after considering a number of other places, and I was very pleased with my choice! We started with cocktails, a martini and a rhubarb smash. The latter was sweet and tart, and went down very easily. I had the octopus starter, which was incredibly tender and delicious. I asked our server which of the rotisserie entrees she would recommend, and consequently chose the pork chop. The minor quibble I had with that dish was that the texture of the fruit seemed off-- a bit mealy. My dining partner had the flat iron steak and we split a side of brussels sprouts. We topped off the meal with dessert (creme brulee trio for me, pistachio ice cream for my wife) and shared a glass of tawny port. Having heard it was my birthday, the staff kindly comped my dessert. All in all, a cozy and delicious experience!",0.9771,0.832,0.168,0.0,0.62991452991453
2014-08-01,5.0,"Delicious!!!! The mussels are to die for! Also try the Duck L'orange. All around a awesome meal, good cocktails, and great service! I reccommend this reaturant for a couples date or a small intimate group of friends.",0.9094,0.592,0.325,0.083,0.725
2014-07-25,5.0,"Went on Friday night only because most other restaurants had long waits, but there was no wait here. The inside looks a lot nicer than the facade of the storefront portrays.  Most menu items were adventurous but still delicious sounding. Their rotisserie was advertised as their special on the menu so while it seemed less adventurous I still ordered the duck while my girlfriend ordered the chicken.  We both agreed that respectively they were the best birds we had ever consumed. My duck was cooked perfectly and served with plenty of the French inspired orange sauce for extra dipping. I tried the chicken and appreciated it just as much. Cannot stress enough that it was THE BEST poultry I have ever had. Both the chicken and duck.  I cannot wait to both go back to eat and take a few whole birds for carry out every so often.",0.994,0.688,0.277,0.035,0.48652380952380936
2014-07-23,5.0,"Went there on a Saturday for an early dinner a few weeks ago, we got lucky and walked in and got a table in the back without a reservation (yay!). There was this stylish looking server who gave us the best service whole night, I forgot his name otherwise would have to give him credit here. We had pork chop, prime rib and creme brûlée as dessert. All were delicious! I'm missing this place already, can't wait to check out this place again soon, I so want to try their other dishes!!",0.9326,0.813,0.165,0.022,0.43583333333333324
2014-07-21,4.0,"Booked a last minute reservation at Rustic House on a Saturday night for an early dinner. I did not know much about the restaurant going in other than looking at the menu online.   I was very pleasantly surprised by the quality of the food and the service. Great starters like the hand rolled gnocchi and grilled octopus complimented the bread service perfectly. For mains we had the Flat Iron steak and the Spicy seafood bucatini, both generous portions and very tasty. Service was fast and attentive.  This would be a 4.5 star review if I could give half stars, definitely looking forward to trying Rustic House again.",0.9806,0.764,0.236,0.0,0.47564102564102567
2014-07-18,2.0,"Given the prices here, I expected much more - I found the to to be fairly food boring and the service to be slow. Plus the place was fairly empty on a Saturday night. Definitely not returning.",-0.1027,0.815,0.073,0.111,0.5999999999999999
2014-07-16,4.0,"Total fan of this restaurant!   Went on Father's Day as a treat to dad and had a wonderful experience.  The ambiance is great very ""rustic"" ;), warm lighting, relaxed elegance.  Great food that is completely satisfying, flavorful and not too heavy.  Great date night spot as well.  Great drinks, great service fantastic food.",0.9932,0.441,0.559,0.0,0.7538461538461537
2014-07-16,5.0,Really enjoyed the food here. That wood fired octopus and the mussels was excellent. Just want to update. I'm still of the octopus here and i dont even like mussels.,0.4372,0.627,0.224,0.149,0.85
2014-06-29,4.0,"The food and service were solid, but the highlight was the dessert - trio of creme brulee as well as the cheesecake. Was here for a private event downstairs but would love to return for a regular menu meal too. Not many veg options, but the two they offered us were both well prepared.",0.9505,0.716,0.284,0.0,0.3303846153846154
2014-06-28,3.0,"Based on our experience tonight, this place was about 3.5 stars...but it has potential to be 4 or 5 stars.  First, we were about 5 min late to our reso and they were still able to seat us immediately. I really appreciated that. We were seated in the front dining room (4 of us)   The ambiance was really cute, it would be great for a date night.  Food was great: -Appetizers: we got the gnocchi (great, super light and fluffy), octopus (good, but really small portion), and mussels (delicious, but only served with 3 pieces of toast....there were 4 of us...).  -Mains: I got the salmon (tasty, well cooked), 2 of my friends got the chicken (great, they said), and 1 got the tuna (not so great). We got the corn brûlée (amazing!!) and brussel sprouts to share.  -Dessert: We ordered the creme brûlée trio and rhubarb crumble. Both were good.   Service was not: -Our server did not introduce herself to us -She had zero personality -She did not ask us if we'd been there before, make any recommendations, or tell us about any specials.  -She touched our table 5 times: to take drink, apps, main order (after I had to ask her to do so), and dessert orders, and to drop off the check -She didn't ask how out food was or check that everything came out as it should.  Timing of our meal was off: -Drinks took about 10 min -Apps took 20+ min -2 of our mains came out, then 5 min later the other 2, and then 5 min later the shared sides -Dessert came out quickly Bottom line, if I'm going to spend $75-100 on dinner, I want attentive service and for the main dishes to come out at the same time. The food was good, which is why I'd come back to give this place another chance - as long as we get a different server.",0.9852,0.88,0.112,0.008,0.5694444444444445
2014-05-12,4.0,"Came here on Friday night with a group of 4. Started with some wine and the octopus and tuna tartare. Best octopus I've eve had, so tender and charred. The tartare was well seasoned and delish! Perfect start to a meal, not too much, and well recommended by our waiter, Jimmy. As we finished up our apps, 2 additional members of our family showed up and the hostess noticed. She came over and offered us an available 6-top. What service!  Moving on to the entrees, the table ordered duck (x2), roast chicken, the rotisserie prime rib, halibut, and the spicy seafood pasta. We had a few sides as well. Everything was tasty and well cooked. The hubs gobbled up his prime rib and I was happy to have the chance to get both a great seafood and steak at the same table.  Dessert was just as delicious. Creme brulee trio (x2) and strawberry rhubarb crumble. Everyone at the table was satisfied.  I can't wait to come back again, although I'll likely wait until fall or winter rolls around. Gotta find those patios to enjoy!",0.9886,0.81,0.19,0.0,0.5716666666666667
2014-05-06,4.0,"I LOVE THIS PLACE. I think I have been here over a dozen times over the past 6 months.  My recommendations: NY Strip Steak with melted butter comes out sizzling and it is so tender and amazing. I get this about 75 percent of the time.  Rotisserie Chicken- how do I even begin to tell you about it? First of all, the rotisserie is right in the front area. It warms the place up and a bit of character to the place.  The skin is so crispy that the first time I ate it, I freaked out and through that they breaded it. It was that crispy. The inside flesh is so soft and buttery, it melts on your tongue.  Ok, the atmosphere is laid back and comfortable. I feel like this is such a neighborhood spot that is unpretentious. In Lincoln Park, on this street, it is hard to find. Don't sit at the bar, the chairs are so uncomfortable, I always feel like I am going to fall off!!! The customer service is amazing, tip them very well because they have earned it!!!!",0.9728,0.815,0.15,0.036,0.5496279761904762
2014-04-29,5.0,"Excellent food & good atmosphere.  Though I will say out wait staff was almost too attentive, I was asked no less than 3 times if I was done with my food.  I know I talk rather than eat sometimes but sheesh!",0.4574,0.834,0.123,0.043,0.6416666666666667
2014-04-27,4.0,"I mean it when I say there may not be a more appropriate name for a restaurant than Rustic House in Lincoln Park.  You walk in and feel like you're transported away from the hustle and bustle of Lincoln Park to another place.  It's cozy, the decor feels straight out of a Restoration Hardware catalog, dimly lit (so, sorry about the poor pics), and the spitfire rotisserie sitting right in the middle of the restaurant. The service fits right along with the vibe - our waitress was friendly in an authentic, genuine fashion. And most importantly, the food fits right along with the vibe of the restaurant - if I had to use two words to describe the cuisine at Rustic House, it would be ""comfort"" and, well, ""Rustic"".  Ha.   The bread service is worth mentioning and stellar, the focaccia soft and buttery with a nice herbal crust.  To start, we got the Ahi Tuna Tartare, mixed together with a salsa of avocado, shallots, cucumber, and ginger.  The tuna and avocado dominated this dish, and paired together nicely, with the ginger adding just a bit of bite.  The crostini was sprinkled with sesame and were perfectly crisped. Sara went with one of the specials - an order of seared diver scallops served atop a bed of rich saffron risotto.  This was intense, flavorful, and the scallops were tender and meaty.  A sprinkle of truffle on top of the scallop only added to the richness of this dish. The rotisserie drew me in, and I went with the rotisserie chicken, served aside a scoop of mashed potatoes that were pretty standard, but the chicken steals the show (and most of what comes off the rotisserie, in my experience.  The chicken was juicy, tender, and the skin was extremely savory, the just adding a nice touch and melding the chicken and creamy mashed potatoes together into a blob of rustic goodness.  The rotisserie chicken here is not quite on par with Lee Wolen's chicken thighs, or the jidori chicken I had at Moto in February, but it was a solid choice and one of the better chicken dishes I've had in the city, and at $22, it's very reasonably priced.   Summary: Rustic House is solid comfort food well done in a perfect atmosphere.  Best in the fall or winter, as the warmth of the decor sets the stage for that kind of climate, but I'm sure they've got some great seasonal dishes as the produce gets fresher in the spring/summer.  Looking forward to going back.   Pics up at :  eatinginchicago2014.word…",0.9949,0.827,0.156,0.017,0.6551672891378774
2014-04-04,4.0,"The night I went, the special on the rotisserie was suckling pig.  It was delicious.  They gave you a heaping portion of different parts of meat pulled form the pig topped with crispy skin.  I would recommend this place for good traditional American fare.  Although it is a bit pricey.",0.8957,0.781,0.219,0.0,0.5869047619047619
