date,star,text,compound,neutral,positive,negative,subjectivity
2012-10-20,1.0,"This restaurant closed without any notice to patrons or even (from what I heard) their employees?? Very upset that they are gone, and never got a chance to say goodbye. Think it was very unprofessional how they closed up shop. Anyway, FYI this place is CLOSED. I am waiting for Yelp to update the listing. But yes, they are no longer there.  :(",-0.8153,0.737,0.073,0.19,0.31666666666666665
2012-09-10,1.0,"Wish I could write a real review of this restaurant, but since they were closed (on Friday night and we had reservations), I guess not.  Very disappointing.",0.6826,0.797,0.203,0.0,0.31282051282051276
2012-08-11,3.0,"They DO NOT accept  restaurant.com  certificates! I wish I had known this prior to ordering over $45 worth of food. They say they terminated their contract with the company 2 years ago yet I was still able to purchase one less than a year ago. So now I am writing  restaurant.com  a nice little letter. And the overview synopsis on yelp says they have outdoor seating but in fact, they DO NOT have that either! None the less, despite that aggravation and totally over-ordering, the food was good (not great). The best part by far was the coconut sorbet for dessert. I would go back for plantain chips and garlic dip and the sorbet, and call it a night for under $10.",0.9454,0.861,0.139,0.0,0.442948717948718
2012-07-06,2.0,"Eating here was like watching ""Y tu mamá tambien"": Lots of hype, but not enough delivery. That was the same with Sabor a Cuba. We did our due diligence and looked it up before walking in. The reviews were good. The time was right and we were in the neighborhood. So we decided to come in. On a Thursday night. We expected a huge crowd since the other restaurants in the area appeared to be busy. We even made reservations. But when we finally got there, were the only ones. We were sat at the table closest to the kitchen (to speed service no doubt). But that didn't help in the least. The service was slow slow slow. I can understand because, well, there's really only one person in the front of the house and seemingly one person in the kitchen. But when you don't' have customers, that makes sense. Reading the reviews, it doesn't. Back to the food. I started with the plantains and then entreed the ropa vieja. They were both very good. The beef was tender and flavorful. The plantains were done well and just like mom makes them. The proportions were right, too: not too much, not too little. It even left us room for dessert (we didn't have any here). The biggest challenge I had was the bill. It was $60 for an entree, a salad and an appetizer for the two of us. No alcohol (nor did we bring any because we didn't know it was BYO). That just seems like WAY too much for the food we got. I have a feeling that it's the prices and the service that bring this place down. I don't know what the rents are in the neighborhood, but out of business shouldn't be an option for this place. The food is really good. Just high priced for what it is.",0.9673,0.879,0.095,0.026,0.4752045177045177
2012-06-30,4.0,Love the cuba sandwiches here and the Palomialla. Service is alway great and the food in consistence.,0.8519,0.644,0.356,0.0,0.675
2012-06-06,4.0,"We went to this neighborhood spot on a friend's recommendation and were very happy that we disregarded some of the complaining reviews!  We found the food to be excellent:  loved the plantain, the rice and beans, the chicken and shrimp dishes and the flan!  We also received friendly and prompt service.   The fact that it's BYOB was also great for us because we brought along four bottles of wine for our little birthday party and didn't have to add on the $20 and up premium that restaurants usually add!  So our party was not only delicious and fun, but also reasonably priced.",0.9041,0.792,0.162,0.046,0.7125
2012-06-02,4.0,"The Taste Buds, three young restaurant reviewers, really enjoyed their very garlicy meal at Sabor A Cuba. Read the entire review on Chicago Now,  chicagonow.com/taste-bud… .",0.5563,0.865,0.135,0.0,0.5062500000000001
2012-05-16,1.0,"On a Friday night, service was spotty. The male server has a great personality but unfortunately he only played shortstop to our main server. There IS such a thing as TOO MUCH GARLIC and this was it for me. My sis is allergic to onions and requested none on her sandwich and it came with a ton of grilled onions. The female server took the plate to the kitchen and brought back the same sandwich, obviously, because there were still a few stray onions on it! That's unacceptable. My Jibarito was really good but sloppily made. We won't go back.",0.0853,0.816,0.094,0.091,0.36607142857142855
2012-05-11,4.0,"I walk by this place every day.  It always smells phenomenal.  There aren't always a lot of people dining there, but don't let that fool you.   Pros:  The food here is very delicious, and the main reason it's worth coming.  Everything is made fresh, and fresh food takes longer to cook than microwaving frozen stuff.  There is a second dining room that I've seen several large groups at, so they can accommodate groups.  There's no need for a reservation.  BYOB and no corking fee. Cons:  The servers can be pushy or seem lazy.  Sounds like they signed up for groupons and  restaurant.com  coupons but then had a change of heart.",0.8624,0.75,0.159,0.091,0.43619047619047624
2012-05-08,3.0,"We had a wait, though I think not as bad as some other people. After order our food, a friend and I popped out and walked down to the liquor store on Montrose, maturely discussed what beer to select, bought it and walked back. We still had a longish wait for the food, even with that time waster built in.  Other than that, the food was actually very good. Everyone enjoyed everything except my future-SIL who thought her chicken was overly oily.  I would certainly go again because the food was good -- I just wouldn't do it if I had other things to do that night.",0.9545,0.835,0.165,0.0,0.48183201058201064
