date,star,text,compound,neutral,positive,negative,subjectivity
2014-01-16,4.0,Went here for a birthday dinner.  Had the Steak Diane and it was good.  I had two drinks that were delicious.  Server couldn't be bothered with any conversation which was fine because we weren't there for him.  Nice city atmosphere.,0.9034,0.715,0.285,0.0,0.775
2014-01-09,4.0,It is with deep sadness and regret that I announce this hidden gem and most underrated steakhouse in the great city of Chicago has closed its doors. The Saloon will be greatly missed and was one of the last old school throwbacks of its kind. The best old-fashioned I ever had and one of only 4 establishments in the city where one could get a bone-in filet. RIP The Saloon.,0.6712,0.751,0.146,0.103,0.48181818181818187
2013-12-29,5.0,"I had NY steak, delicious steak, affordable, close to Walter tower.",0.5719,0.709,0.291,0.0,1.0
2013-12-29,4.0,"Do a Yelp check-in and get a free dessert! So, I think the food at the nearby Rosebud Steakhouse is a notch better--but I love the quiet 60's ambiance of the Saloon. You feel like you are joining the Rat Pack! (look it up kids, before the brat pack, there was the Rat Pack...) You walk past a wall of signed baseballs, past the tiny bar with apparent regulars, into the 60's style steakhouse. Our service was just adequate..and the bartender could not make hubby a Sazerac.  They were out of some of the small filet...the waiter said it had been a busy weekend. Hubby had the dry-aged Kansas City, I had the New York strip.  Both were cooked to our liking.  The obligatory humongous baked potato was fine but no serving spoon was provided for the chives, etc.  My steak knife was missing. Lots of little service flaws. Nothing traumatic though. We had key lime pie for our free dessert--it was decent.  All in all, we still like--especially because of the quiet cool vibe.",0.6229,0.846,0.096,0.058,0.48543771043771045
2013-12-11,3.0,Hmmm last time I went for lunch I ordered the steak salad but got the steak sammy. WTF?,-0.8074,0.704,0.0,0.296,0.5333333333333333
2013-12-11,5.0,"This place is legit. My gf lives in the Seneca, so we frequent this place quite a bit. It's cozy, never packed, we can go in looking like Hell and hide at a high top, and service is excellent. I wish I remembered his name. Tall, dark haired gentleman behind the bar.  Something about him, I just like.  Sliders- we order them every time, they're the best I have had anywhere. Cesar salad- very good.  Burger- great Fries- great Mashes potatoes- are there bad ones? Lobster Mac- not my favorite, but good.  Pinot noir- the best I've had by the glass.  Excellent.  Not much left to say, can't go wrong.",0.9826,0.655,0.283,0.061,0.6242592592592593
2013-11-26,1.0,"Unfortunately, we didn't have a good experience here :( Would've given two or three stars if not for the food poisoning. It was our first time at this restaurant. Went around 5:30 on a Saturday evening, and the place was fairly empty when we got there. Felt rushed by the waiter the whole time. He kept coming by before we'd had a chance to really explore the menu, finish eating, etc. I guess he was attentive, but maybe a little TOO attentive. Ordered the caesar salad to split with my husband. Quality was average, definitely not worth the $9. I ordered the 8oz. petite filet mignon, cooked medium. The filet was pretty good and very tender, but what ruined it for me was the charred outside. Too burnt, which added an unpleasant charcoal taste. My husband ordered the cowboy rib-eye steak, cooked medium rare. It was also charred on the outside and rather burnt. The inside, as he described it, was quite rare and rather game-y in some parts. He was going to overlook these details, but woke up with food poisoning at 4am the next morning. NOT OK. He called the restaurant to see if they'd be willing to offer some sort of compensation, but never heard back. We did order a banana cream pie for dessert, and we enjoyed that a lot. That, and the corn chowder soup that came with our entrees was pretty good, as well. In the end, the food was only average and not worth the prices they were asking. And because my husband got food poisoning, we definitely won't be going back :(",-0.8938,0.774,0.091,0.135,0.5494949494949495
2013-11-22,2.0,"Went with a good friend to have beef and good conversation. We had modest expectations, but.. - the waiter switched our drinks...no big deal. - the food took a long time to arrive...hope it's good. - we received broccoli instead of hand cut fries...not even remotely close. - ""How is everything?"" asked the waiter. ""Honestly, the meatloaf has nice seasoning with some spice but is soggy,"" I said. ""It's supposed to be soft"" said the waiter. Honestly, it had the texture of dog food and had a skin on the top of the gravy. - We were charged for the broccoli. - I will never go back. Too bad considering I work 3 blocks away. The only attentive moment of the evening was the hostess handing my friend a tide stick for a stain on his shirt.",0.8625,0.766,0.158,0.076,0.6010416666666668
2013-11-09,3.0,"Overall the steak was good, but it didn't come out as hot as it should have which was frustrating because the dining room was almost empty. I had the tenderloin trio with 3 different sauces. Just an ""eh"" experience, really.",-0.6073,0.793,0.045,0.161,0.5214285714285715
2013-10-25,4.0,Food and service was great. Lobster Bisque was amazing.  The only thing keeping it a 4 Star is size and location of restaurant.  It's a little on the smaller size and location is not real visible.,0.836,0.797,0.203,0.0,0.6583333333333333
2013-10-21,4.0,"Just a classic Chicago steakhouse. Great martins (dirty with freshly stuffed blue cheese olives is my favorite). Excellent steaks and seafood, with wonderful sides. The brownie dessert (with chocolate gelato and chocolate mousse) was so large and decadent it took three of us to finish. Friendly staff and a warm atmosphere, I make it a point to stop in whenever in town.",0.9371,0.734,0.234,0.031,0.6222943722943722
2013-10-21,3.0,Food was average all 3 of us had steak and  agreed we all could cook better at home. Fries and mash were good. Salad had a pitiful amount of tomatoes. Musta taken one cherry tomato cut it in pieces.,0.3818,0.708,0.175,0.117,0.5
2013-10-09,4.0,"Great Food! Nice steak, the Au Gratin Potato is amazing. We had thr Brownie for dessert. I recommend a visit id you are in Chicago.",0.9312,0.547,0.453,0.0,0.8833333333333333
2013-09-22,5.0,"Superior! Delectable! Superb! Absolutely love dining here! Everything is absolutely Devine! My husband and I love dining here alone or with family and friends! It's a wonderful atmosphere, amazing food, excellent service. Wonderful place to dine.",0.991,0.356,0.613,0.031,0.8777777777777778
2013-08-29,5.0,"Excellent steaks and the service was superb!! Try the bone-in dry aged ribeye, it was excellent...",0.855,0.625,0.375,0.0,0.8
2013-08-27,5.0,"Great steak, relaxing atmosphere, and professional staff.  I highly recommend.",0.8777,0.373,0.627,0.0,0.4633333333333333
2013-07-21,4.0,"We went here on a Saturday night after reading reviews on Yelp.  We made reservations for 8:30 but was surprised when we walked in because there were many open tables. This made me a bit skeptical thinking that maybe the food or service was bad but I was pleasantly survived.  Our waiter, Michael was delightful and helpful and the supporting staff was top notch.  Our glasses were never empty and everyone, including the hostess and food runners stopped by to ensure we had everything we needed.  We had a cup of gazpacho and wedge salad to start which was perfect.  We then ordered steaks after our waiter brought over examples of each cut.  We ordered our steaks and sides of brussel sprouts and au gratin potatoes, which were amazing.  The steaks were on point and cooked to perfection!  I would recommend this place to visitors and look forward to coming back!",0.9913,0.665,0.27,0.066,0.6294871794871795
